Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2010-08-05,PerthAirport,2.4,21.0,0.0,2.0,9.6,SW,31.0,NE,SW,6.0,19.0,67.0,47.0,1022.7,1020.2,1.0,2.0,11.2,20.3,No,No
2010-08-05,Adelaide,3.7,13.4,7.4,2.4,3.8,SW,28.0,N,SW,2.0,13.0,86.0,54.0,1026.0,1025.3,,,6.8,13.2,Yes,No
2010-08-06,WaggaWagga,3.9,11.5,0.4,1.0,6.6,WSW,28.0,W,WSW,11.0,17.0,91.0,62.0,1024.4,1022.9,7.0,3.0,5.5,11.1,No,No
2010-08-06,Sydney,7.6,17.0,0.0,2.4,10.3,,,W,S,19.0,19.0,56.0,40.0,1020.5,1019.2,1.0,2.0,10.5,15.7,No,No
2010-08-06,Launceston,0.6,12.0,0.0,,,SE,26.0,NE,SE,2.0,15.0,92.0,51.0,1022.3,1022.3,,,4.0,11.6,No,No
2010-08-06,Watsonia,6.3,13.0,1.4,1.2,3.0,SSW,24.0,SW,SSW,9.0,11.0,99.0,64.0,1025.0,1023.9,7.0,6.0,7.0,12.5,Yes,No
2010-08-06,SalmonGums,3.6,15.5,0.0,,,S,35.0,SW,SSW,7.0,19.0,83.0,60.0,,,,,11.6,14.2,No,No
2010-08-06,Brisbane,12.7,22.4,0.0,2.6,9.9,W,28.0,WSW,WSW,9.0,7.0,53.0,20.0,1019.3,1015.9,3.0,1.0,17.1,22.1,No,No
2010-08-06,Canberra,-3.4,12.2,0.0,2.8,8.7,NW,22.0,SSW,WNW,2.0,7.0,78.0,37.0,1022.2,1020.8,1.0,2.0,3.3,11.7,No,No
2010-08-06,Richmond,0.1,16.9,0.0,4.4,,SSE,26.0,E,S,4.0,13.0,79.0,37.0,1021.1,1019.1,,,7.8,16.4,No,No
2010-08-06,Ballarat,4.0,10.3,1.8,,,S,26.0,WSW,SW,11.0,20.0,99.0,72.0,1025.6,1024.2,7.0,8.0,5.0,9.2,Yes,No
2010-08-06,Wollongong,9.1,15.3,0.0,,,SSE,46.0,SSW,SSE,13.0,41.0,46.0,60.0,1020.3,1019.9,,2.0,12.2,13.6,No,No
2010-08-06,NorfolkIsland,11.8,18.5,0.0,2.4,1.1,NNW,33.0,NE,NNE,15.0,17.0,64.0,85.0,1021.7,1017.9,7.0,7.0,17.3,16.9,No,Yes
2010-08-06,CoffsHarbour,5.9,17.5,0.2,2.4,10.1,SW,35.0,SW,S,15.0,22.0,49.0,34.0,1019.8,1017.1,0.0,1.0,13.7,16.9,No,No
2010-08-06,AliceSprings,-0.9,15.9,0.0,4.0,10.9,E,33.0,ESE,ESE,7.0,13.0,65.0,25.0,1025.6,1021.4,0.0,0.0,6.7,15.6,No,No
2010-08-06,Woomera,2.2,16.0,0.0,2.0,10.5,N,31.0,ENE,N,11.0,17.0,69.0,34.0,1028.1,1024.1,2.0,2.0,7.2,15.3,No,No
2010-08-06,Darwin,19.2,32.9,0.0,7.8,11.2,ESE,50.0,SE,S,20.0,13.0,31.0,19.0,1015.6,1011.2,3.0,7.0,23.6,31.4,No,No
2010-08-06,Dartmoor,1.3,13.2,1.8,1.8,3.7,NW,17.0,ENE,WSW,7.0,9.0,99.0,83.0,1026.6,1024.6,,,3.9,10.7,Yes,No
2010-08-06,MelbourneAirport,5.9,12.9,1.6,1.2,3.0,W,31.0,SW,SW,9.0,9.0,88.0,57.0,1025.3,1024.1,7.0,6.0,7.1,12.0,Yes,No
2010-08-06,Melbourne,7.3,14.5,2.2,1.2,3.0,W,31.0,SW,SW,9.0,9.0,86.0,53.0,1025.0,1023.9,7.0,4.0,8.0,13.4,Yes,No
2010-08-06,GoldCoast,12.2,21.7,0.0,,,SE,33.0,SSE,SE,11.0,26.0,51.0,42.0,1018.8,1016.1,,,18.0,19.5,No,No
2010-08-06,SydneyAirport,6.8,15.2,0.0,2.4,10.3,,,W,S,28.0,26.0,52.0,48.0,1020.5,1019.3,1.0,1.0,11.4,14.6,No,No
2010-08-06,Townsville,18.1,29.2,0.0,5.2,10.6,SSW,41.0,SSW,SSE,26.0,17.0,50.0,33.0,1017.7,1013.8,1.0,1.0,22.7,28.5,No,No
2010-08-06,Newcastle,4.8,16.8,0.1,,,,,NW,,6.0,,67.0,,,,0.0,,10.0,,No,No
2010-08-06,BadgerysCreek,4.3,16.3,0.0,,,S,33.0,WSW,WSW,19.0,17.0,58.0,38.0,1020.9,1019.5,,,10.9,15.9,No,No
2010-08-06,Nuriootpa,3.5,10.6,0.2,0.6,3.2,NNW,20.0,NW,NW,6.0,15.0,83.0,62.0,1028.3,1025.6,6.0,8.0,8.1,9.7,No,No
2010-08-06,MountGinini,-5.4,2.2,0.8,,,,,,,,,82.0,35.0,,,,,-4.8,1.1,No,
