Date,MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2008-07-01,8.8,15.7,1.6,92.0,67.0,1017.4,1017.7,13.5,14.9
2008-07-02,12.7,15.8,1.4,75.0,52.0,1022.4,1022.6,13.7,15.5
2008-07-03,6.2,15.1,1.8,81.0,56.0,1027.8,1026.5,9.3,13.9
2008-07-04,5.3,15.9,1.4,71.0,46.0,1028.7,1025.6,10.2,15.3
2008-07-05,9.8,15.4,,56.0,67.0,1023.6,1020.2,11.3,13.8
2008-07-06,11.3,15.7,,62.0,62.0,1019.5,1016.2,13.0,14.4
2008-07-07,7.6,11.2,4.6,83.0,88.0,1015.9,1017.9,9.8,9.3
2008-07-08,5.3,13.5,0.6,73.0,91.0,1025.8,1025.9,10.9,10.8
2008-07-09,8.4,14.3,1.6,90.0,64.0,1025.8,1022.7,10.8,13.5
2008-07-10,9.5,13.1,1.2,54.0,66.0,1019.8,1019.6,10.9,11.2
2008-07-11,8.2,14.0,2.8,70.0,43.0,1023.8,1021.2,10.0,13.5
2008-07-12,8.1,15.8,,65.0,42.0,1014.0,1009.8,9.5,15.6
2008-07-13,9.4,16.8,,67.0,47.0,1011.2,1009.5,11.7,16.5
2008-07-14,10.0,15.4,7.0,85.0,72.0,1014.0,1015.4,13.2,15.2
2008-07-15,11.1,14.7,2.8,91.0,72.0,1020.4,1020.1,12.0,13.0
2008-07-16,6.3,14.1,1.6,74.0,52.0,1019.9,1015.3,10.0,13.9
2008-07-17,9.8,14.7,1.6,58.0,61.0,1009.8,1007.4,10.5,14.7
2008-07-18,7.4,15.3,0.8,86.0,58.0,1014.3,1012.4,9.3,13.7
2008-07-19,9.3,18.1,,44.0,47.0,1004.7,997.9,14.2,17.6
2008-07-20,9.9,12.0,,67.0,91.0,1000.7,1000.4,10.0,9.6
2008-07-21,6.5,14.2,4.0,69.0,55.0,1021.2,1024.7,11.9,12.8
2008-07-22,6.0,13.8,1.2,70.0,61.0,1032.8,1031.1,9.7,11.8
2008-07-23,5.4,14.2,1.0,49.0,36.0,1033.9,1029.8,10.7,13.7
2008-07-24,2.6,14.9,1.4,58.0,38.0,1027.5,1023.4,8.8,14.5
2008-07-25,3.1,16.4,1.2,52.0,33.0,1022.1,1018.8,9.6,16.1
2008-07-26,7.1,13.8,,90.0,57.0,1019.1,1017.3,8.8,12.6
2008-07-27,2.8,11.8,,85.0,58.0,1018.1,1016.2,6.9,11.1
2008-07-28,0.7,14.0,4.6,82.0,61.0,1024.1,1022.4,6.4,12.7
2008-07-29,4.9,13.0,0.8,51.0,45.0,1017.9,1010.3,10.5,12.5
2008-07-30,8.5,16.1,1.4,89.0,44.0,1013.7,1011.7,11.5,15.7
2008-07-31,7.6,19.3,1.8,56.0,52.0,1006.8,1005.2,14.4,18.1
2008-08-01,10.6,13.8,1.8,58.0,57.0,1010.9,1014.6,12.2,13.5
2008-08-02,7.6,14.3,,95.0,86.0,1021.4,1019.8,10.9,11.9
2008-08-03,7.2,18.1,,54.0,37.0,1017.3,1012.4,11.8,17.8
2008-08-04,9.0,13.8,4.4,92.0,92.0,1014.8,1015.8,10.1,11.7
2008-08-05,6.4,15.0,2.6,95.0,75.0,1025.5,1025.2,10.4,13.6
2008-08-06,7.4,11.9,0.4,90.0,92.0,1021.3,1016.8,10.0,9.5
2008-08-07,5.9,13.2,1.2,70.0,52.0,1023.9,1024.0,9.6,11.9
2008-08-08,8.2,14.4,2.0,91.0,47.0,1022.5,1022.6,10.6,13.7
2008-08-09,5.2,12.9,,94.0,88.0,1022.3,1018.9,7.4,9.1
