Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-07-01,NW,48.0,SW,W,13.0,15.0
2008-07-02,SW,35.0,SSW,SW,13.0,15.0
2008-07-03,W,20.0,NNE,SW,2.0,11.0
2008-07-04,NNE,30.0,NNE,NE,6.0,13.0
2008-07-05,N,30.0,NNE,NE,9.0,9.0
2008-07-06,NNW,52.0,NNE,NNW,15.0,22.0
2008-07-07,WSW,46.0,WNW,SW,17.0,13.0
2008-07-08,SW,43.0,SW,WSW,11.0,22.0
2008-07-09,NW,41.0,N,NW,9.0,19.0
2008-07-10,WSW,52.0,WSW,SW,24.0,20.0
2008-07-11,SW,28.0,ENE,NNW,9.0,13.0
2008-07-12,N,48.0,NE,N,24.0,22.0
2008-07-13,NNW,54.0,N,NNW,17.0,28.0
2008-07-14,N,48.0,W,W,15.0,19.0
2008-07-15,WSW,43.0,W,WSW,17.0,24.0
2008-07-16,NNW,39.0,NNE,N,7.0,19.0
2008-07-17,NW,44.0,N,NW,17.0,22.0
2008-07-18,WNW,39.0,NE,NW,9.0,19.0
2008-07-19,NNW,52.0,N,ENE,19.0,11.0
2008-07-20,N,46.0,N,ENE,26.0,11.0
2008-07-21,SSE,41.0,S,S,13.0,15.0
2008-07-22,SW,20.0,,SSW,,13.0
2008-07-23,ENE,19.0,ESE,NNW,7.0,9.0
2008-07-24,NNW,28.0,N,NNW,9.0,13.0
2008-07-25,N,30.0,NNE,NNW,9.0,15.0
2008-07-26,SW,35.0,N,WSW,7.0,20.0
2008-07-27,WSW,37.0,NE,SW,7.0,15.0
2008-07-28,W,22.0,N,W,7.0,13.0
2008-07-29,NNW,56.0,NE,NNE,17.0,19.0
2008-07-30,WNW,28.0,NE,W,11.0,9.0
2008-07-31,W,69.0,NNE,NW,17.0,20.0
2008-08-01,SW,74.0,W,WSW,20.0,26.0
2008-08-02,NW,31.0,WNW,,11.0,0.0
2008-08-03,NNW,39.0,NNE,NNW,15.0,19.0
2008-08-04,NW,31.0,N,S,9.0,6.0
2008-08-05,W,26.0,S,S,6.0,11.0
2008-08-06,WSW,48.0,N,N,17.0,13.0
2008-08-07,SW,43.0,SSW,WSW,9.0,17.0
2008-08-08,WSW,41.0,WNW,WSW,20.0,20.0
2008-08-09,NW,61.0,N,W,11.0,17.0
2008-08-10,SSW,48.0,SSW,SW,13.0,24.0
2008-08-11,WSW,37.0,N,W,9.0,17.0
2008-08-12,WNW,46.0,NNW,W,11.0,17.0
2008-08-13,SW,28.0,N,SW,7.0,15.0
2008-08-14,SW,35.0,N,SW,7.0,20.0
2008-08-15,WSW,43.0,SW,WSW,13.0,22.0
2008-08-16,SW,33.0,S,SSW,6.0,11.0
2008-08-17,SW,39.0,SSW,SSW,4.0,17.0
2008-08-18,WSW,30.0,,SW,0.0,13.0
2008-08-19,NW,39.0,NNW,NW,11.0,19.0
2008-08-20,WSW,43.0,NNE,NW,9.0,20.0
2008-08-21,SW,57.0,SSE,SSW,15.0,17.0
2008-08-22,WSW,37.0,S,SW,6.0,15.0
2008-08-23,WSW,24.0,N,SW,2.0,9.0
2008-08-24,NNW,20.0,N,WSW,6.0,13.0
2008-08-25,,,NNE,WNW,13.0,17.0
2008-08-26,WSW,31.0,NE,WSW,7.0,17.0
2008-08-27,ESE,28.0,ESE,E,9.0,13.0
2008-08-28,ESE,24.0,ENE,WSW,13.0,13.0
2008-08-29,N,31.0,NE,NNE,11.0,15.0
2008-08-30,N,48.0,NNE,NW,20.0,22.0
2008-08-31,WSW,50.0,NW,WSW,20.0,28.0
2008-09-01,NW,44.0,NNW,WNW,17.0,26.0
2008-09-02,WSW,30.0,SW,SW,7.0,15.0
2008-09-03,ESE,37.0,E,E,19.0,11.0
2008-09-04,ESE,35.0,E,ENE,17.0,9.0
2008-09-05,W,28.0,S,SW,6.0,13.0
2008-09-06,N,37.0,NE,WNW,13.0,17.0
2008-09-07,ESE,39.0,NNE,NNE,7.0,9.0
2008-09-08,SE,31.0,NNW,WSW,6.0,17.0
2008-09-09,WSW,22.0,NE,SW,9.0,13.0
2008-09-10,N,31.0,N,NNW,15.0,19.0
2008-09-11,N,41.0,N,NW,19.0,20.0
2008-09-12,WNW,44.0,NNW,WNW,11.0,20.0
2008-09-13,NNW,57.0,NNE,NW,11.0,31.0
2008-09-14,WSW,52.0,WNW,NW,24.0,26.0
2008-09-15,W,74.0,WNW,WSW,26.0,33.0
2008-09-16,SW,39.0,SW,WSW,13.0,13.0
2008-09-17,N,41.0,NNE,NNE,17.0,17.0
2008-09-18,NE,44.0,NE,WNW,13.0,20.0
2008-09-19,WNW,35.0,N,SW,11.0,13.0
2008-09-20,SW,43.0,W,WSW,22.0,20.0
2008-09-21,N,35.0,N,NW,17.0,19.0
2008-09-22,SW,65.0,SSW,SSW,22.0,20.0
2008-09-23,SW,35.0,W,SW,20.0,15.0
2008-09-24,NNE,28.0,NW,NW,9.0,13.0
2008-09-25,NNW,41.0,N,WNW,22.0,22.0
2008-09-26,NNW,39.0,N,NNW,15.0,17.0
2008-09-27,W,65.0,N,NNW,19.0,31.0
2008-09-28,SW,39.0,WSW,WSW,9.0,17.0
2008-09-29,WSW,31.0,S,W,9.0,19.0
2008-09-30,NE,39.0,NNE,NNE,13.0,11.0
2008-10-01,NNW,65.0,NNE,W,22.0,24.0
2008-10-02,W,28.0,WNW,W,7.0,13.0
2008-10-03,SW,31.0,ENE,SW,2.0,19.0
2008-10-04,WSW,31.0,S,W,9.0,17.0
2008-10-05,WNW,33.0,NE,W,7.0,13.0
2008-10-06,,,SW,SW,22.0,20.0
2008-10-07,,,,WSW,,19.0
2008-10-08,WSW,30.0,NNE,W,6.0,19.0
2008-10-09,W,28.0,NNE,SW,4.0,15.0
2008-10-10,N,28.0,NE,NW,15.0,11.0
2008-10-11,NNW,35.0,WSW,NW,7.0,19.0
2008-10-12,NNW,54.0,N,NW,19.0,28.0
2008-10-13,SSW,39.0,SW,SW,17.0,19.0
2008-10-14,SW,37.0,SSE,SW,15.0,19.0
2008-10-15,WSW,35.0,SSW,SW,9.0,19.0
2008-10-16,SW,26.0,S,WSW,2.0,15.0
2008-10-17,N,30.0,N,W,6.0,13.0
2008-10-18,WNW,30.0,NE,WNW,11.0,19.0
2008-10-19,SSE,35.0,SSE,S,15.0,13.0
2008-10-20,SSE,33.0,SE,SSE,17.0,17.0
2008-10-21,SSE,35.0,SE,SSE,7.0,15.0
