Date,MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2008-12-01,13.3,18.5,3.8,82.0,63.0,1017.9,1015.2,15.2,17.9
2008-12-02,14.7,21.0,5.4,64.0,71.0,1012.8,1009.3,17.8,19.1
2008-12-03,16.5,24.0,4.8,36.0,73.0,999.8,998.7,20.0,21.0
2008-12-04,14.1,20.6,7.0,69.0,81.0,1006.7,1008.5,19.8,18.0
2008-12-05,13.0,17.8,3.6,73.0,63.0,1015.3,1016.3,16.0,17.0
2008-12-06,14.8,18.5,3.8,46.0,48.0,1020.1,1017.9,16.9,17.7
2008-12-07,14.0,20.0,6.0,62.0,72.0,1013.4,1007.9,18.0,19.5
2008-12-08,16.3,19.6,7.0,68.0,55.0,1008.2,1008.0,18.3,18.7
2008-12-09,10.8,19.4,4.4,71.0,66.0,1010.5,1010.3,17.0,17.8
2008-12-10,13.6,19.2,4.4,84.0,69.0,1013.1,1013.0,14.9,18.8
2008-12-11,14.6,19.7,2.2,71.0,67.0,1016.3,1015.1,18.5,18.9
2008-12-12,14.6,21.0,6.2,72.0,64.0,1018.1,1016.6,17.7,19.6
2008-12-13,16.5,21.3,5.8,90.0,82.0,1020.0,1019.1,18.0,21.0
2008-12-14,14.6,22.5,4.2,72.0,75.0,1018.9,1015.6,19.5,20.8
2008-12-15,17.5,20.6,8.0,81.0,77.0,1012.4,1013.3,18.5,19.5
2008-12-16,14.0,18.8,4.2,87.0,69.0,1017.6,1016.9,14.9,17.7
2008-12-17,14.5,19.0,4.0,69.0,64.0,1018.3,1018.3,17.2,18.0
2008-12-18,12.0,21.0,4.2,85.0,60.0,1019.1,1014.8,17.0,20.0
2008-12-19,15.8,22.0,6.8,76.0,78.0,1010.6,1007.7,20.2,21.1
2008-12-20,18.9,27.7,6.0,71.0,53.0,998.9,997.6,21.9,24.0
2008-12-21,15.5,18.5,8.2,87.0,68.0,1011.9,1013.1,16.0,17.5
2008-12-22,10.5,20.8,3.8,68.0,,1016.2,1014.4,17.5,
2008-12-23,12.0,21.2,5.4,67.0,65.0,1012.5,1010.9,17.8,20.5
2008-12-24,14.0,19.6,8.0,57.0,63.0,1016.5,1013.8,17.5,19.0
2008-12-25,12.2,21.1,6.8,66.0,56.0,1014.7,1013.1,18.0,20.5
2008-12-26,13.4,21.0,6.6,58.0,60.0,1015.7,1013.4,18.0,20.0
2008-12-27,17.5,24.6,8.2,77.0,70.0,1013.2,1011.0,20.0,22.5
2008-12-28,,20.0,7.6,69.0,60.0,1018.4,1016.7,17.4,19.8
2008-12-29,12.0,21.5,6.6,77.0,62.0,1018.4,1017.3,17.0,21.5
2008-12-30,16.5,21.0,7.2,76.0,77.0,1018.1,1014.4,18.4,20.5
2008-12-31,16.9,20.5,7.2,73.0,69.0,1015.2,1014.0,18.3,19.2
2009-01-01,16.4,21.4,8.0,64.0,64.0,1017.9,1015.6,19.4,20.8
2009-01-02,,22.8,9.4,79.0,77.0,1014.5,1011.1,19.8,21.8
2009-01-03,17.8,21.5,8.0,72.0,71.0,1017.1,1016.7,19.2,20.8
2009-01-04,15.0,24.0,7.2,77.0,53.0,1020.2,1017.7,19.5,24.0
2009-01-05,15.0,23.5,7.4,84.0,73.0,1018.2,1014.9,19.6,22.4
2009-01-06,18.9,23.0,7.8,75.0,83.0,1018.5,1017.2,19.8,19.8
2009-01-07,16.5,23.0,5.6,56.0,53.0,1021.0,1018.3,18.8,21.0
