Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-12-01,,,NNW,SW,4.0,17.0
2008-12-02,,,NE,ESE,6.0,17.0
2008-12-03,,,ENE,WSW,19.0,24.0
2008-12-04,,,N,WSW,13.0,41.0
2008-12-05,,,SW,SW,13.0,19.0
2008-12-06,,,ESE,ESE,11.0,20.0
2008-12-07,,,ENE,ESE,7.0,31.0
2008-12-08,,,SW,WSW,20.0,31.0
2008-12-09,,,NNW,SSE,6.0,13.0
2008-12-10,,,ENE,SE,6.0,20.0
2008-12-11,,,ESE,ESE,22.0,20.0
2008-12-12,,,SW,SW,17.0,30.0
2008-12-13,,,W,WSW,4.0,31.0
2008-12-14,,,NE,N,6.0,22.0
2008-12-15,,,S,S,24.0,19.0
2008-12-16,,,N,S,9.0,19.0
2008-12-17,,,W,SW,6.0,28.0
2008-12-18,,,ENE,SE,6.0,33.0
2008-12-19,,,ESE,SSE,19.0,19.0
2008-12-20,,,WNW,W,9.0,19.0
2008-12-21,,,N,WSW,37.0,30.0
2008-12-22,,,NNE,,4.0,
2008-12-23,,,W,WSW,6.0,43.0
2008-12-24,,,SE,ESE,7.0,22.0
2008-12-25,,,WNW,WSW,9.0,30.0
2008-12-26,,,W,SW,6.0,30.0
2008-12-27,,,W,WSW,6.0,43.0
2008-12-28,,,S,SE,19.0,11.0
2008-12-29,,,SSW,S,4.0,19.0
2008-12-30,,,ESE,ESE,6.0,20.0
2008-12-31,,,SE,SE,19.0,22.0
2009-01-01,,,E,ESE,13.0,31.0
2009-01-02,,,ESE,ESE,31.0,28.0
2009-01-03,,,SSE,S,19.0,19.0
2009-01-04,,,WSW,ESE,2.0,17.0
2009-01-05,,,SE,N,7.0,20.0
2009-01-06,,,S,SSE,4.0,24.0
2009-01-07,,,ENE,ESE,9.0,26.0
2009-01-08,,,E,ESE,20.0,30.0
2009-01-09,,,ESE,ESE,15.0,26.0
2009-01-10,,,NNE,SSW,6.0,19.0
2009-01-11,,,NNE,ESE,7.0,26.0
2009-01-12,,,WNW,WSW,6.0,30.0
2009-01-13,,,WSW,SW,24.0,22.0
2009-01-14,,,W,SSW,6.0,19.0
2009-01-15,,,NNE,ESE,7.0,30.0
2009-01-16,,,ENE,E,7.0,26.0
2009-01-17,,,SSW,S,22.0,19.0
2009-01-18,,,S,SSE,7.0,22.0
2009-01-19,,,SSE,S,11.0,13.0
2009-01-20,,,N,WSW,7.0,31.0
2009-01-21,,,WSW,WSW,6.0,39.0
2009-01-22,,,WSW,WSW,30.0,37.0
2009-01-23,,,WSW,SW,20.0,30.0
2009-01-24,,,WSW,SW,6.0,19.0
2009-01-25,,,NNE,ESE,4.0,24.0
2009-01-26,,,ESE,WSW,9.0,30.0
2009-01-27,,,ESE,E,19.0,20.0
2009-01-28,,,SSE,SE,19.0,19.0
2009-01-29,,,S,SSW,15.0,11.0
2009-01-30,,,E,E,19.0,26.0
2009-01-31,,,ENE,ENE,11.0,39.0
2009-02-01,,,NE,ESE,6.0,24.0
2009-02-02,,,ENE,ESE,15.0,43.0
2009-02-03,,,WSW,SW,22.0,19.0
2009-02-04,,,SSW,SSW,30.0,24.0
2009-02-05,,,N,S,2.0,19.0
2009-02-06,,,,WSW,0.0,44.0
2009-02-07,,,WSW,SW,31.0,26.0
2009-02-08,,,E,ESE,6.0,20.0
2009-02-09,,,ESE,,19.0,
2009-02-10,,,NNE,ESE,9.0,31.0
2009-02-11,,,ENE,E,17.0,28.0
2009-02-12,,,NE,WSW,9.0,19.0
2009-02-13,,,S,S,31.0,31.0
2009-02-14,,,ESE,E,19.0,19.0
2009-02-15,,,NNE,ESE,6.0,20.0
2009-02-16,,,NNW,WSW,9.0,30.0
2009-02-17,,,S,SSE,19.0,19.0
2009-02-18,,,SE,ESE,15.0,19.0
2009-02-19,,,E,SE,15.0,24.0
2009-02-20,,,E,E,17.0,28.0
2009-02-21,,,E,ESE,9.0,26.0
2009-02-22,,,SSW,SW,30.0,17.0
2009-02-23,,,ENE,ESE,15.0,33.0
2009-02-24,,,NE,WSW,11.0,31.0
2009-02-25,,,NNE,W,7.0,6.0
2009-02-26,,,N,SSW,6.0,13.0
2009-02-27,,,NE,SSE,4.0,19.0
2009-02-28,,,ENE,ESE,6.0,19.0
2009-03-01,,,ENE,E,7.0,11.0
2009-03-02,,,WSW,SW,41.0,41.0
2009-03-03,,,SW,SW,17.0,17.0
2009-03-04,,,NE,ESE,2.0,31.0
2009-03-05,,,NE,ESE,9.0,26.0
2009-03-06,,,,SSE,0.0,26.0
2009-03-07,,,E,E,28.0,20.0
2009-03-08,,,ENE,E,6.0,26.0
2009-03-09,,,NE,ESE,2.0,15.0
2009-03-10,,,ENE,ESE,6.0,31.0
2009-03-11,,,WSW,SW,19.0,24.0
2009-03-12,,,SSE,SE,2.0,11.0
2009-03-13,,,SW,SSW,19.0,26.0
2009-03-14,,,NE,ESE,4.0,22.0
2009-03-15,,,E,ESE,11.0,41.0
2009-03-16,,,,SE,0.0,20.0
2009-03-17,,,NNW,NNW,11.0,15.0
2009-03-18,,,WSW,WSW,31.0,20.0
2009-03-19,,,NW,WSW,6.0,15.0
2009-03-20,,,NNW,WSW,19.0,31.0
2009-03-21,,,NW,SSW,6.0,7.0
2009-03-22,,,NNE,SW,4.0,24.0
2009-03-23,,,NW,SW,6.0,26.0
2009-03-24,,,NNW,WSW,6.0,19.0
2009-03-25,,,NW,SW,2.0,15.0
2009-03-26,,,NNE,ESE,6.0,26.0
2009-03-27,,,W,WSW,6.0,24.0
2009-03-28,,,WSW,S,20.0,28.0
2009-03-29,,,ESE,ESE,28.0,24.0
2009-03-30,,,ENE,ESE,13.0,19.0
2009-03-31,,,SSE,SSW,15.0,19.0
2009-04-01,,,SSW,SSW,19.0,13.0
2009-04-02,,,NNW,SW,15.0,24.0
2009-04-03,,,N,SE,4.0,19.0
2009-04-04,,,,ESE,0.0,19.0
