Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-12-01,W,44.0,W,WNW,20.0,24.0
2008-12-02,WNW,44.0,NNW,WSW,4.0,22.0
2008-12-03,WSW,46.0,W,WSW,19.0,26.0
2008-12-04,NE,24.0,SE,E,11.0,9.0
2008-12-05,W,41.0,ENE,NW,7.0,20.0
2008-12-06,WNW,56.0,W,W,19.0,24.0
2008-12-07,W,50.0,SW,W,20.0,24.0
2008-12-08,W,35.0,SSE,W,6.0,17.0
2008-12-09,NNW,80.0,SE,NW,7.0,28.0
2008-12-10,W,28.0,S,SSE,15.0,11.0
2008-12-11,N,30.0,SSE,ESE,17.0,6.0
2008-12-12,NNE,31.0,NE,ENE,15.0,13.0
2008-12-13,W,61.0,NNW,NNW,28.0,28.0
2008-12-14,SW,44.0,W,SSW,24.0,20.0
2008-12-15,,,S,WNW,4.0,30.0
2008-12-16,WNW,50.0,,WNW,,22.0
2008-12-17,ENE,22.0,SSW,E,11.0,9.0
2008-12-18,W,63.0,N,WNW,6.0,20.0
2008-12-19,SSE,43.0,WSW,SW,24.0,17.0
2008-12-20,SSE,26.0,SE,NNW,17.0,6.0
2008-12-21,S,24.0,SE,SE,9.0,9.0
2008-12-22,NE,43.0,NE,N,17.0,22.0
2008-12-23,WNW,41.0,W,W,19.0,20.0
2008-12-24,N,33.0,ESE,NW,6.0,13.0
2008-12-25,W,43.0,E,W,4.0,19.0
2008-12-26,WSW,35.0,SE,WSW,9.0,13.0
2008-12-27,WSW,57.0,,W,0.0,26.0
2008-12-28,WNW,48.0,N,WNW,13.0,30.0
2008-12-29,WNW,46.0,NW,WSW,19.0,30.0
2008-12-30,WNW,50.0,WSW,SW,11.0,22.0
2008-12-31,W,39.0,WNW,WNW,17.0,17.0
2009-01-01,WNW,56.0,W,WNW,19.0,31.0
2009-01-02,W,41.0,WSW,SSW,19.0,11.0
2009-01-03,SSE,26.0,SSE,E,11.0,7.0
2009-01-04,WNW,37.0,SSE,NW,6.0,17.0
2009-01-05,WNW,41.0,ENE,NW,6.0,26.0
2009-01-06,W,52.0,SE,WNW,4.0,26.0
2009-01-07,W,57.0,E,W,6.0,30.0
2009-01-08,W,48.0,W,WSW,17.0,24.0
2009-01-09,NE,37.0,SSE,S,20.0,9.0
2009-01-10,NE,37.0,NNE,E,15.0,11.0
2009-01-11,S,31.0,SSE,N,13.0,17.0
2009-01-12,SW,35.0,SE,WSW,7.0,15.0
2009-01-13,NNW,35.0,SE,NW,7.0,17.0
2009-01-14,NW,39.0,SSE,SSW,7.0,17.0
2009-01-15,WNW,44.0,W,W,20.0,28.0
2009-01-16,SW,56.0,WSW,SW,20.0,31.0
2009-01-17,SE,33.0,SE,SW,19.0,11.0
2009-01-18,WNW,28.0,ENE,SSW,17.0,15.0
2009-01-19,WNW,39.0,SSE,NNE,2.0,15.0
2009-01-20,NNW,61.0,SSE,WNW,9.0,20.0
2009-01-21,NNW,61.0,NE,WSW,15.0,17.0
2009-01-22,NW,98.0,N,NNW,26.0,48.0
2009-01-23,WNW,52.0,S,NW,6.0,28.0
2009-01-24,W,54.0,W,W,30.0,28.0
2009-01-25,WSW,24.0,ESE,SSE,7.0,13.0
2009-01-26,S,33.0,SSE,WSW,7.0,7.0
2009-01-27,NNE,31.0,SE,NNW,9.0,17.0
2009-01-28,N,37.0,E,NNE,7.0,13.0
2009-01-29,SW,24.0,ESE,S,6.0,11.0
2009-01-30,NNE,28.0,ESE,SE,9.0,11.0
2009-01-31,ESE,48.0,ESE,SW,4.0,4.0
2009-02-01,SW,83.0,SE,E,15.0,9.0
2009-02-02,SW,56.0,NE,NW,19.0,7.0
2009-02-03,,,N,,13.0,9.0
2009-02-04,,,,,11.0,11.0
2009-02-05,WSW,35.0,SSE,S,7.0,19.0
2009-02-06,W,37.0,SE,W,6.0,15.0
2009-02-07,NNW,59.0,SE,NW,9.0,33.0
2009-02-08,NW,52.0,N,W,9.0,22.0
2009-02-09,SE,37.0,SW,WSW,7.0,11.0
2009-02-10,SSE,41.0,SSE,SE,20.0,13.0
2009-02-11,SSE,46.0,SSE,E,19.0,11.0
2009-02-12,SE,46.0,SSE,NE,11.0,15.0
2009-02-13,SSE,41.0,SE,SSE,26.0,24.0
2009-02-14,NE,39.0,S,,7.0,0.0
2009-02-15,NNE,41.0,SSE,SSW,7.0,15.0
2009-02-16,E,35.0,SE,ESE,17.0,11.0
2009-02-17,N,31.0,SSE,ENE,7.0,11.0
2009-02-18,NW,31.0,ENE,SW,4.0,13.0
2009-02-19,WSW,48.0,SE,WSW,4.0,22.0
2009-02-20,SSW,41.0,NNW,SSE,7.0,17.0
2009-02-21,SSE,28.0,SSE,S,2.0,9.0
