Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-12-01,WNW,87.0,NNE,NE,20.0,11.0
2008-12-02,NNW,41.0,NNW,S,24.0,9.0
2008-12-03,NNW,48.0,ENE,N,7.0,24.0
2008-12-04,WNW,72.0,SSW,W,2.0,22.0
2008-12-05,SSW,46.0,S,S,9.0,17.0
2008-12-06,SSE,35.0,SSW,N,19.0,11.0
2008-12-07,N,31.0,SSW,NNW,11.0,17.0
2008-12-08,E,26.0,ENE,NNW,15.0,9.0
2008-12-09,S,50.0,N,WNW,28.0,11.0
2008-12-10,W,54.0,NNE,WSW,22.0,35.0
2008-12-11,NW,63.0,NNW,WSW,26.0,9.0
2008-12-12,NW,41.0,NNW,WSW,13.0,19.0
2008-12-13,S,37.0,S,S,26.0,24.0
2008-12-14,SSE,46.0,SE,SSE,20.0,19.0
2008-12-15,ESE,35.0,ESE,SE,20.0,13.0
2008-12-16,ENE,31.0,E,SW,22.0,13.0
2008-12-17,W,35.0,NE,W,9.0,9.0
2008-12-18,S,41.0,SSW,SSW,15.0,17.0
2008-12-19,ESE,41.0,ESE,SE,26.0,17.0
2008-12-20,E,41.0,ESE,ESE,31.0,13.0
2008-12-21,SE,30.0,E,SW,19.0,15.0
2008-12-22,E,33.0,NE,ENE,13.0,19.0
2008-12-23,ENE,48.0,NE,ESE,28.0,20.0
2008-12-24,SE,37.0,ESE,S,20.0,17.0
2008-12-25,ESE,30.0,E,S,13.0,13.0
2008-12-26,N,69.0,E,SW,20.0,35.0
2008-12-27,SW,22.0,E,N,11.0,7.0
2008-12-28,NNE,46.0,,SE,0.0,19.0
2008-12-29,SE,39.0,SE,E,19.0,17.0
2008-12-30,ESE,37.0,ESE,SE,28.0,17.0
2008-12-31,ESE,37.0,E,ESE,19.0,13.0
2009-01-01,SE,54.0,E,ESE,22.0,28.0
2009-01-02,ESE,50.0,SE,SE,30.0,30.0
2009-01-03,SE,54.0,SE,ESE,19.0,24.0
2009-01-04,SE,57.0,ESE,SE,17.0,26.0
2009-01-05,ESE,57.0,SE,SE,20.0,30.0
2009-01-06,SSE,52.0,SE,SSE,19.0,24.0
2009-01-07,S,59.0,SSW,SE,22.0,37.0
2009-01-08,SE,56.0,ESE,SE,24.0,31.0
2009-01-09,SSE,46.0,SE,SE,24.0,24.0
2009-01-10,SSE,41.0,E,E,20.0,15.0
2009-01-11,SSE,44.0,ESE,S,17.0,17.0
2009-01-12,SE,43.0,ESE,SSE,24.0,17.0
2009-01-13,E,33.0,N,ENE,24.0,11.0
2009-01-14,ESE,59.0,ENE,E,13.0,37.0
2009-01-15,ESE,67.0,E,SE,22.0,35.0
2009-01-16,ESE,56.0,ESE,ESE,30.0,30.0
2009-01-17,ENE,41.0,ESE,ENE,26.0,28.0
2009-01-18,ENE,39.0,ESE,ESE,7.0,13.0
2009-01-19,ESE,30.0,ENE,ESE,13.0,22.0
2009-01-20,WNW,37.0,NW,WNW,7.0,17.0
2009-01-21,S,39.0,WNW,SW,9.0,19.0
2009-01-22,SE,41.0,WSW,W,15.0,9.0
2009-01-23,N,35.0,WNW,ESE,15.0,13.0
2009-01-24,SE,54.0,NW,SSE,9.0,28.0
2009-01-25,SE,93.0,E,SE,17.0,59.0
2009-01-26,E,44.0,NW,NNE,7.0,13.0
2009-01-27,E,61.0,NE,ENE,22.0,31.0
2009-01-28,ENE,54.0,ENE,ENE,28.0,30.0
2009-01-29,ENE,52.0,NE,E,15.0,24.0
2009-01-30,ESE,69.0,ESE,ESE,17.0,37.0
2009-01-31,ENE,72.0,E,ENE,20.0,17.0
2009-02-01,E,46.0,E,E,22.0,20.0
2009-02-02,SE,44.0,E,ESE,11.0,28.0
2009-02-03,ESE,57.0,NE,ESE,6.0,28.0
2009-02-04,E,67.0,NE,ESE,15.0,24.0
2009-02-05,ESE,50.0,NNW,ESE,13.0,31.0
2009-02-06,E,70.0,WNW,E,15.0,30.0
2009-02-07,ENE,48.0,NE,NE,15.0,19.0
2009-02-08,SE,50.0,ESE,E,11.0,24.0
2009-02-09,SSE,48.0,SSE,SSE,26.0,30.0
2009-02-10,S,52.0,SSE,SE,28.0,35.0
2009-02-11,SE,46.0,ESE,ESE,28.0,30.0
2009-02-12,E,43.0,E,SSE,22.0,24.0
2009-02-13,ESE,44.0,E,SSE,19.0,26.0
