Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,W,61.0,NNE,,11.0,
2009-01-02,SE,46.0,SE,SE,7.0,24.0
2009-01-03,NNE,30.0,ESE,NE,6.0,15.0
2009-01-04,NE,39.0,NNE,N,9.0,15.0
2009-01-05,SW,50.0,NNE,W,7.0,17.0
2009-01-06,ESE,35.0,N,ENE,6.0,15.0
2009-01-07,W,63.0,N,WNW,6.0,30.0
2009-01-08,SE,31.0,SSE,SE,11.0,19.0
2009-01-09,E,33.0,SSE,E,15.0,19.0
2009-01-10,ENE,37.0,SSW,ENE,4.0,13.0
2009-01-11,E,41.0,N,E,7.0,19.0
2009-01-12,ESE,37.0,SW,ESE,4.0,22.0
2009-01-13,NNE,39.0,NNE,ENE,7.0,17.0
2009-01-14,ENE,50.0,ENE,NE,6.0,13.0
2009-01-15,SE,50.0,E,WSW,7.0,17.0
2009-01-16,SE,50.0,SE,NNE,7.0,15.0
2009-01-17,ESE,33.0,SSE,E,15.0,15.0
2009-01-18,E,37.0,,NE,0.0,9.0
2009-01-19,NE,35.0,NNE,NNE,9.0,19.0
2009-01-20,ENE,43.0,W,NNE,4.0,20.0
2009-01-21,N,41.0,NNW,WSW,11.0,11.0
2009-01-22,N,56.0,NNE,N,17.0,28.0
2009-01-23,NE,43.0,E,ENE,6.0,24.0
2009-01-24,W,72.0,NNE,W,6.0,31.0
2009-01-25,SSW,33.0,E,NE,7.0,15.0
2009-01-26,SE,35.0,SW,E,7.0,19.0
2009-01-27,E,30.0,SW,ENE,7.0,9.0
2009-01-28,NE,35.0,NE,N,6.0,15.0
2009-01-29,SE,41.0,SSE,E,2.0,15.0
2009-01-30,NE,37.0,E,NE,7.0,11.0
2009-01-31,ESE,37.0,SSE,ENE,6.0,13.0
2009-02-01,E,39.0,SSE,ENE,15.0,22.0
2009-02-02,ESE,41.0,NE,E,2.0,13.0
2009-02-03,ESE,41.0,SSW,SE,7.0,26.0
2009-02-04,E,35.0,ESE,NNE,2.0,17.0
2009-02-05,ENE,35.0,,NE,0.0,19.0
2009-02-06,ENE,46.0,S,ESE,9.0,26.0
2009-02-07,NE,46.0,,NNE,0.0,30.0
2009-02-08,SE,43.0,WNW,NE,6.0,22.0
2009-02-09,S,30.0,S,SE,17.0,13.0
2009-02-10,SSW,46.0,W,SSE,2.0,9.0
