Date,MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2008-12-01,5.8,17.6,,71.0,37.0,1008.2,1007.5,10.4,15.7
2008-12-02,4.3,19.5,,66.0,47.0,1009.3,1007.3,12.5,17.6
2008-12-03,9.5,18.8,,82.0,42.0,1009.5,1011.5,11.2,16.5
2008-12-04,6.7,21.8,,60.0,33.0,1016.2,1012.6,14.4,20.6
2008-12-05,13.3,25.6,,74.0,40.0,1006.6,1005.5,18.3,24.3
2008-12-06,9.6,23.0,,76.0,42.0,1009.6,1005.7,13.8,20.8
2008-12-07,4.6,16.4,,71.0,42.0,1012.3,1012.1,9.6,15.6
2008-12-08,2.9,23.1,,64.0,30.0,1014.0,1010.5,9.7,20.6
2008-12-09,5.3,17.6,,55.0,87.0,1007.5,1006.4,13.2,12.4
2008-12-10,8.3,18.3,,71.0,43.0,1011.8,1010.9,10.6,18.1
2008-12-11,6.9,23.8,,67.0,28.0,1013.8,1011.0,12.2,22.9
2008-12-12,12.1,19.6,,47.0,97.0,1006.2,1002.2,18.8,15.3
2008-12-13,13.1,13.9,,99.0,99.0,990.5,996.5,13.5,13.0
2008-12-14,10.0,16.2,,99.0,71.0,1005.8,1007.5,11.0,15.0
2008-12-15,8.3,18.7,,72.0,50.0,1012.3,1011.2,9.2,16.9
2008-12-16,7.9,19.1,,84.0,57.0,1012.5,1011.6,13.4,17.9
2008-12-17,10.3,20.1,,91.0,64.0,1012.3,1008.8,12.3,18.7
2008-12-18,11.1,19.2,,86.0,49.0,1005.6,1005.1,13.6,18.8
2008-12-19,6.3,16.9,,69.0,41.0,1014.1,1014.6,8.9,16.3
2008-12-20,5.5,21.4,,76.0,44.0,1020.4,1018.0,11.6,20.6
2008-12-21,6.8,26.7,,44.0,32.0,1017.6,1013.8,19.2,25.2
2008-12-22,18.8,32.2,,39.0,21.0,1007.6,1004.2,22.3,30.2
2008-12-23,10.5,20.1,,90.0,52.0,1013.2,1012.7,11.2,18.0
