Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-12-01,W,52.0,W,WNW,26.0,30.0
2008-12-02,WNW,44.0,WNW,WNW,20.0,24.0
2008-12-03,W,43.0,WSW,SW,22.0,20.0
2008-12-04,NNE,39.0,ENE,N,9.0,22.0
2008-12-05,NW,61.0,NNW,NW,30.0,39.0
2008-12-06,WNW,61.0,WNW,WNW,15.0,39.0
2008-12-07,SW,39.0,SW,SW,20.0,24.0
2008-12-08,NW,43.0,SSE,WSW,17.0,7.0
2008-12-09,S,35.0,NW,SSE,9.0,19.0
2008-12-10,SE,50.0,SSE,SE,28.0,22.0
2008-12-11,SSE,54.0,SE,SSE,28.0,26.0
2008-12-12,SE,41.0,NE,E,24.0,11.0
2008-12-13,SW,63.0,SSW,SW,26.0,39.0
2008-12-14,SSW,46.0,SSW,SW,19.0,26.0
2008-12-15,W,37.0,SW,WNW,17.0,20.0
2008-12-16,W,35.0,W,W,15.0,24.0
2008-12-17,ESE,31.0,S,WSW,7.0,7.0
2008-12-18,SSW,48.0,SW,WSW,15.0,22.0
2008-12-19,SSW,52.0,SSW,SSW,26.0,26.0
2008-12-20,SSE,37.0,SSE,SE,22.0,20.0
2008-12-21,N,46.0,NNE,N,20.0,28.0
2008-12-22,NNW,72.0,N,NNW,44.0,41.0
2008-12-23,SSW,44.0,SSW,S,26.0,24.0
2008-12-24,SW,33.0,SE,WSW,15.0,17.0
2008-12-25,WSW,37.0,SE,SSW,13.0,9.0
2008-12-26,ESE,46.0,N,WNW,22.0,11.0
2008-12-27,S,43.0,N,W,13.0,19.0
2008-12-28,WSW,44.0,NNW,WSW,17.0,26.0
2008-12-29,W,46.0,WSW,SW,17.0,24.0
2008-12-30,W,61.0,WSW,W,22.0,37.0
2008-12-31,NW,39.0,WSW,NW,15.0,26.0
2009-01-01,SW,54.0,W,WSW,26.0,30.0
2009-01-02,SSW,52.0,SW,SSW,26.0,28.0
2009-01-03,SE,31.0,SSE,SSW,20.0,11.0
2009-01-04,S,39.0,,SW,,11.0
2009-01-05,W,41.0,NW,WSW,6.0,20.0
2009-01-06,SSW,41.0,WNW,WSW,9.0,19.0
2009-01-07,SSW,44.0,S,SSW,15.0,24.0
2009-01-08,SSW,50.0,SSW,SSW,26.0,28.0
2009-01-09,SE,44.0,SE,SSE,24.0,20.0
2009-01-10,SE,44.0,SE,W,13.0,6.0
2009-01-11,SSW,48.0,SE,WSW,15.0,15.0
2009-01-12,ESE,39.0,S,SSE,20.0,17.0
2009-01-13,N,50.0,N,NW,20.0,22.0
2009-01-14,S,41.0,N,WSW,19.0,13.0
2009-01-15,SSW,48.0,SW,SW,28.0,22.0
2009-01-16,WSW,54.0,WSW,SW,26.0,30.0
2009-01-17,SSE,44.0,SSE,SSE,28.0,22.0
2009-01-18,SE,35.0,SE,SW,20.0,19.0
2009-01-19,S,43.0,N,NNW,20.0,24.0
2009-01-20,NW,67.0,N,SW,22.0,30.0
2009-01-21,SSW,43.0,S,NW,7.0,15.0
2009-01-22,NNW,83.0,N,NW,37.0,50.0
2009-01-23,NNW,54.0,NNW,N,11.0,30.0
2009-01-24,WNW,54.0,WSW,WSW,28.0,28.0
2009-01-25,SE,37.0,SSE,SW,9.0,13.0
2009-01-26,SE,39.0,SSE,SE,30.0,20.0
2009-01-27,ESE,39.0,NNE,NNW,11.0,9.0
2009-01-28,N,48.0,NNE,NNW,22.0,17.0
2009-01-29,NW,61.0,NNE,N,35.0,33.0
2009-01-30,NNE,54.0,N,NNW,20.0,17.0
2009-01-31,SSE,67.0,SE,SSE,22.0,33.0
2009-02-01,SE,54.0,SE,SE,31.0,30.0
2009-02-02,SE,46.0,SSE,SW,11.0,19.0
2009-02-03,SE,59.0,SE,SE,35.0,33.0
2009-02-04,SE,39.0,SE,NW,13.0,13.0
2009-02-05,SW,39.0,SW,SW,2.0,20.0
2009-02-06,WNW,41.0,SE,W,11.0,24.0
2009-02-07,NNW,93.0,N,NNW,39.0,61.0
2009-02-08,S,44.0,SW,SSW,20.0,26.0
2009-02-09,S,54.0,S,SSE,31.0,26.0
2009-02-10,SSE,50.0,S,SSW,30.0,33.0
