Date,MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2008-12-01,9.1,21.7,7.4,47.0,23.0,1009.1,1007.5,14.0,19.4
2008-12-02,6.2,23.0,8.8,49.0,29.0,1010.4,1007.8,15.2,21.2
2008-12-03,10.8,23.7,6.2,49.0,23.0,1009.4,1010.7,17.1,21.8
2008-12-04,8.2,24.6,5.8,50.0,22.0,1017.0,1012.5,16.1,23.6
2008-12-05,15.1,30.3,5.8,68.0,29.0,1008.0,1005.0,21.3,29.2
2008-12-06,9.9,27.2,9.6,60.0,29.0,1010.0,1005.6,18.0,26.2
2008-12-07,8.0,22.0,4.4,47.0,26.0,1012.4,1010.7,13.1,20.4
2008-12-08,7.8,25.5,5.6,47.0,17.0,1014.2,1010.6,13.9,23.5
2008-12-09,9.7,22.0,6.6,44.0,42.0,1007.0,1006.2,16.5,18.9
2008-12-10,9.8,23.2,2.0,62.0,30.0,1010.4,1009.3,15.3,21.6
2008-12-11,8.7,28.7,7.2,43.0,13.0,1012.8,1009.7,16.8,26.3
2008-12-12,16.5,19.9,7.4,57.0,94.0,1007.1,1001.9,19.4,16.6
2008-12-13,14.1,20.2,0.8,94.0,68.0,989.5,994.6,15.6,18.6
2008-12-14,10.9,21.5,3.2,79.0,41.0,1004.7,1005.4,14.4,20.8
2008-12-15,9.9,21.2,6.4,58.0,37.0,1012.7,1011.2,11.8,18.8
2008-12-16,7.9,23.9,3.0,49.0,41.0,1012.5,1011.2,18.3,22.0
2008-12-17,13.5,22.0,5.2,86.0,58.0,1012.5,1008.4,14.9,20.9
2008-12-18,12.7,21.8,3.4,95.0,44.0,1006.1,1004.1,14.7,20.3
2008-12-19,8.4,20.3,4.2,58.0,32.0,1013.5,1013.6,12.3,17.8
2008-12-20,6.3,24.4,6.2,51.0,24.0,1019.9,1017.3,14.8,23.0
2008-12-21,11.2,28.6,6.4,54.0,24.0,1018.1,1013.8,19.0,26.7
2008-12-22,15.3,35.0,7.0,38.0,15.0,1009.6,1004.3,23.9,34.4
2008-12-23,15.0,24.3,10.6,60.0,34.0,1012.0,1011.2,16.6,23.1
