Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-12-01,W,44.0,WNW,WSW,20.0,20.0
2008-12-02,W,48.0,WNW,WNW,20.0,26.0
2008-12-03,WSW,44.0,SW,W,17.0,24.0
2008-12-04,NNE,41.0,SE,NNE,17.0,13.0
2008-12-05,NW,54.0,NW,W,19.0,31.0
2008-12-06,WNW,54.0,WNW,NW,9.0,30.0
2008-12-07,SW,43.0,SSW,SSW,22.0,15.0
2008-12-08,W,35.0,S,WSW,11.0,17.0
2008-12-09,WSW,39.0,SSE,WSW,7.0,17.0
2008-12-10,SE,39.0,SE,S,24.0,17.0
2008-12-11,SSE,43.0,SSE,ESE,22.0,13.0
2008-12-12,ENE,44.0,NE,ENE,13.0,20.0
2008-12-13,SW,70.0,WNW,SW,13.0,33.0
2008-12-14,S,50.0,SSW,SSW,19.0,28.0
2008-12-15,S,41.0,S,WSW,13.0,19.0
2008-12-16,W,39.0,W,WNW,13.0,19.0
2008-12-17,N,24.0,SSE,NNE,4.0,11.0
2008-12-18,SSW,44.0,N,SW,7.0,20.0
2008-12-19,SSE,43.0,S,SSE,20.0,19.0
2008-12-20,SE,35.0,SE,SE,22.0,11.0
2008-12-21,NNE,41.0,NE,NNE,19.0,24.0
2008-12-22,,,NNE,NW,20.0,30.0
2008-12-23,SSE,48.0,SSE,SSE,22.0,22.0
2008-12-24,W,37.0,SSE,WSW,11.0,19.0
2008-12-25,WNW,44.0,SSE,W,7.0,24.0
2008-12-26,NW,41.0,E,NNW,6.0,22.0
2008-12-27,NW,46.0,N,WNW,7.0,22.0
2008-12-28,W,46.0,WNW,WNW,15.0,30.0
2008-12-29,SSW,46.0,SSW,SW,22.0,24.0
2008-12-30,WNW,56.0,WNW,WSW,24.0,26.0
2008-12-31,NW,41.0,SW,W,17.0,17.0
2009-01-01,SW,56.0,NW,WSW,15.0,31.0
2009-01-02,SSW,43.0,SW,SSE,26.0,17.0
2009-01-03,E,35.0,SSE,SSW,13.0,13.0
2009-01-04,W,43.0,S,WNW,9.0,22.0
2009-01-05,W,54.0,NNW,W,6.0,24.0
2009-01-06,WSW,44.0,NNW,WNW,7.0,24.0
2009-01-07,SW,48.0,WSW,SW,9.0,30.0
2009-01-08,SW,46.0,SSW,SSW,20.0,26.0
2009-01-09,SE,43.0,ESE,E,22.0,19.0
2009-01-10,SSE,39.0,ESE,N,13.0,20.0
2009-01-11,SE,48.0,SSE,W,13.0,9.0
2009-01-12,SE,39.0,S,WSW,13.0,20.0
2009-01-13,N,41.0,NE,N,15.0,11.0
2009-01-14,W,69.0,NE,WNW,11.0,31.0
2009-01-15,WSW,43.0,SSW,SSW,19.0,20.0
2009-01-16,SSW,54.0,SW,SSW,33.0,31.0
2009-01-17,SSE,39.0,SSE,SSW,22.0,17.0
2009-01-18,SSE,30.0,SE,S,17.0,15.0
2009-01-19,N,37.0,ESE,NW,9.0,20.0
2009-01-20,NW,57.0,ESE,NW,7.0,31.0
2009-01-21,NNW,48.0,SE,W,11.0,26.0
2009-01-22,NW,80.0,N,WNW,28.0,43.0
2009-01-23,N,52.0,NNE,NW,6.0,22.0
2009-01-24,SSW,48.0,SW,SW,30.0,22.0
2009-01-25,SSE,33.0,SE,SSW,7.0,13.0
2009-01-26,SSE,39.0,SSE,S,20.0,11.0
2009-01-27,SSE,35.0,ESE,WSW,9.0,15.0
