Date,Rainfall,Sunshine,Cloud9am,Cloud3pm,RainToday,RainTomorrow
2008-07-01,0.0,9.5,0.0,1.0,No,No
2008-07-02,0.0,9.8,0.0,0.0,No,No
2008-07-03,0.0,9.4,1.0,4.0,No,No
2008-07-04,0.8,1.1,7.0,7.0,No,No
2008-07-05,0.0,0.3,7.0,8.0,No,Yes
2008-07-06,16.2,6.4,5.0,2.0,Yes,No
2008-07-07,0.0,1.6,7.0,7.0,No,Yes
2008-07-08,24.2,0.6,8.0,6.0,Yes,Yes
2008-07-09,3.8,,1.0,1.0,Yes,No
2008-07-10,0.2,10.0,0.0,1.0,No,No
2008-07-11,0.0,7.9,7.0,7.0,No,No
2008-07-12,0.0,8.1,1.0,6.0,No,No
2008-07-13,0.0,2.2,7.0,7.0,No,No
2008-07-14,0.0,4.5,7.0,1.0,No,No
2008-07-15,0.0,5.9,5.0,6.0,No,Yes
2008-07-16,5.4,0.0,8.0,8.0,Yes,Yes
2008-07-17,2.8,8.7,3.0,3.0,Yes,No
2008-07-18,0.0,9.6,2.0,2.0,No,No
2008-07-19,0.0,9.8,0.0,0.0,No,No
2008-07-20,0.0,9.0,1.0,1.0,No,No
2008-07-21,0.0,3.3,8.0,7.0,No,No
2008-07-22,0.0,7.5,1.0,8.0,No,No
2008-07-23,0.2,0.0,8.0,8.0,No,Yes
2008-07-24,12.6,0.0,8.0,8.0,Yes,Yes
2008-07-25,22.4,1.9,8.0,6.0,Yes,No
2008-07-26,0.4,9.5,0.0,1.0,No,No
2008-07-27,0.0,2.3,7.0,7.0,No,Yes
2008-07-28,2.4,5.2,7.0,6.0,Yes,No
2008-07-29,0.0,9.8,1.0,3.0,No,No
2008-07-30,0.0,9.5,0.0,0.0,No,No
2008-07-31,0.0,9.9,0.0,0.0,No,No
2008-08-01,0.0,9.8,1.0,1.0,No,No
2008-08-02,0.0,10.3,1.0,0.0,No,No
2008-08-03,0.0,10.1,0.0,1.0,No,No
2008-08-04,0.0,9.8,1.0,1.0,No,No
2008-08-05,0.0,8.0,1.0,2.0,No,No
2008-08-06,0.2,10.2,1.0,1.0,No,No
2008-08-07,0.0,10.3,0.0,0.0,No,No
2008-08-08,0.0,10.3,0.0,0.0,No,No
2008-08-09,0.0,10.3,1.0,0.0,No,No
2008-08-10,0.0,10.2,0.0,0.0,No,No
2008-08-11,0.0,10.4,0.0,0.0,No,No
2008-08-12,0.0,10.4,1.0,1.0,No,No
2008-08-13,0.0,5.3,7.0,7.0,No,No
2008-08-14,0.0,8.0,7.0,7.0,No,No
2008-08-15,0.0,10.8,1.0,0.0,No,No
2008-08-16,0.0,10.7,1.0,1.0,No,No
2008-08-17,0.0,10.6,1.0,2.0,No,No
2008-08-18,0.0,0.0,8.0,8.0,No,No
2008-08-19,0.0,10.8,1.0,1.0,No,No
2008-08-20,0.0,10.7,1.0,3.0,No,No
2008-08-21,0.0,0.0,7.0,7.0,No,No
2008-08-22,0.0,7.9,2.0,7.0,No,Yes
2008-08-23,10.0,10.6,1.0,1.0,Yes,No
2008-08-24,0.0,10.7,1.0,1.0,No,No
2008-08-25,0.0,10.3,2.0,4.0,No,No
2008-08-26,0.0,8.2,3.0,5.0,No,No
2008-08-27,0.2,5.4,7.0,7.0,No,No
2008-08-28,0.0,5.6,7.0,7.0,No,Yes
2008-08-29,5.0,10.0,4.0,2.0,Yes,No
2008-08-30,0.4,9.5,5.0,2.0,No,No
2008-08-31,0.0,9.0,4.0,4.0,No,Yes
2008-09-01,1.6,5.7,6.0,6.0,Yes,No
2008-09-02,0.0,7.9,6.0,2.0,No,No
2008-09-03,0.0,8.7,7.0,7.0,No,Yes
2008-09-04,6.0,0.0,8.0,8.0,Yes,Yes
2008-09-05,41.6,5.4,7.0,7.0,Yes,Yes
2008-09-06,3.8,11.0,1.0,2.0,Yes,No
2008-09-07,0.0,10.7,1.0,1.0,No,No
2008-09-08,0.0,10.6,1.0,1.0,No,No
2008-09-09,0.0,10.1,2.0,2.0,No,No
2008-09-10,0.0,10.2,1.0,2.0,No,No
2008-09-11,0.0,10.1,3.0,3.0,No,No
2008-09-12,0.0,7.7,7.0,2.0,No,No
2008-09-13,0.4,10.1,2.0,1.0,No,No
2008-09-14,0.2,9.6,2.0,7.0,No,No
2008-09-15,1.0,9.7,1.0,1.0,No,No
2008-09-16,0.0,10.3,1.0,1.0,No,No
2008-09-17,0.0,3.5,7.0,5.0,No,No
2008-09-18,0.0,0.0,8.0,7.0,No,No
2008-09-19,0.4,6.2,7.0,3.0,No,No
2008-09-20,0.2,10.0,3.0,2.0,No,No
2008-09-21,0.4,10.4,1.0,2.0,No,No
2008-09-22,0.0,9.5,2.0,1.0,No,No
2008-09-23,0.0,7.8,1.0,7.0,No,No
2008-09-24,0.0,1.2,7.0,7.0,No,No
2008-09-25,0.0,10.1,1.0,2.0,No,No
2008-09-26,0.0,11.3,1.0,2.0,No,No
2008-09-27,0.0,11.1,1.0,1.0,No,No
2008-09-28,0.0,11.1,0.0,0.0,No,No
2008-09-29,0.0,10.7,0.0,1.0,No,No
2008-09-30,0.0,10.5,4.0,4.0,No,No
2008-10-01,0.0,9.7,7.0,7.0,No,No
2008-10-02,0.0,7.6,7.0,6.0,No,No
2008-10-03,0.0,10.8,2.0,1.0,No,No
2008-10-04,0.0,11.3,1.0,0.0,No,No
2008-10-05,0.0,10.3,1.0,1.0,No,No
2008-10-06,0.0,10.5,1.0,2.0,No,No
2008-10-07,0.0,11.6,1.0,1.0,No,No
2008-10-08,0.0,11.0,1.0,1.0,No,No
2008-10-09,0.0,5.9,7.0,8.0,No,Yes
2008-10-10,22.6,0.0,8.0,8.0,Yes,Yes
2008-10-11,7.6,0.0,8.0,8.0,Yes,Yes
2008-10-12,2.0,1.4,7.0,7.0,Yes,Yes
2008-10-13,1.2,9.4,5.0,2.0,Yes,No
2008-10-14,0.0,10.7,3.0,2.0,No,No
2008-10-15,0.2,9.1,6.0,2.0,No,Yes
2008-10-16,14.4,4.7,6.0,7.0,Yes,No
2008-10-17,0.2,8.3,6.0,4.0,No,No
2008-10-18,0.0,11.5,2.0,2.0,No,No
2008-10-19,0.0,11.4,2.0,1.0,No,No
2008-10-20,0.0,11.4,2.0,1.0,No,No
2008-10-21,0.0,11.1,1.0,1.0,No,Yes
2008-10-22,6.6,9.4,7.0,3.0,Yes,No
2008-10-23,0.0,12.8,1.0,1.0,No,No
2008-10-24,0.0,12.4,1.0,1.0,No,No
2008-10-25,0.0,10.5,4.0,6.0,No,No
2008-10-26,0.0,10.2,3.0,6.0,No,No
2008-10-27,0.0,9.3,7.0,6.0,No,No
2008-10-28,0.0,12.4,2.0,1.0,No,No
2008-10-29,0.0,11.5,3.0,1.0,No,No
2008-10-30,0.4,11.3,3.0,3.0,No,
2008-10-31,,12.1,2.0,1.0,,No
2008-11-01,0.0,9.8,3.0,5.0,No,No
2008-11-02,0.0,2.5,8.0,8.0,No,No
2008-11-03,0.2,1.2,7.0,8.0,No,Yes
2008-11-04,2.8,9.9,6.0,2.0,Yes,No
2008-11-05,0.0,0.0,8.0,8.0,No,Yes
2008-11-06,23.6,12.2,6.0,1.0,Yes,No
2008-11-07,0.0,11.8,1.0,3.0,No,No
2008-11-08,0.0,4.3,6.0,7.0,No,Yes
2008-11-09,8.6,0.1,7.0,7.0,Yes,No
2008-11-10,0.0,12.6,6.0,2.0,No,No
2008-11-11,0.0,10.5,7.0,3.0,No,No
2008-11-12,0.4,8.1,7.0,7.0,No,Yes
2008-11-13,8.8,11.0,7.0,3.0,Yes,No
2008-11-14,1.0,11.3,5.0,3.0,No,No
2008-11-15,0.2,9.6,7.0,3.0,No,No
2008-11-16,0.0,9.7,3.0,7.0,No,Yes
2008-11-17,31.8,0.0,8.0,8.0,Yes,Yes
2008-11-18,14.6,0.0,8.0,8.0,Yes,Yes
2008-11-19,77.2,8.1,8.0,7.0,Yes,Yes
2008-11-20,79.4,8.6,2.0,7.0,Yes,Yes
2008-11-21,28.8,12.0,6.0,4.0,Yes,No
2008-11-22,0.2,9.3,7.0,5.0,No,Yes
2008-11-23,6.6,13.2,1.0,0.0,Yes,No
2008-11-24,0.0,12.6,0.0,0.0,No,No
2008-11-25,0.0,10.5,7.0,6.0,No,Yes
2008-11-26,11.6,2.8,7.0,7.0,Yes,Yes
2008-11-27,25.2,3.9,8.0,5.0,Yes,Yes
2008-11-28,2.2,10.7,7.0,7.0,Yes,No
2008-11-29,0.0,0.7,7.0,8.0,No,Yes
2008-11-30,3.4,13.5,1.0,1.0,Yes,No
2008-12-01,0.0,13.2,1.0,1.0,No,No
2008-12-02,0.0,13.2,1.0,1.0,No,No
2008-12-03,0.0,11.1,2.0,6.0,No,Yes
2008-12-04,3.6,8.1,2.0,8.0,Yes,Yes
2008-12-05,9.6,5.5,6.0,6.0,Yes,Yes
2008-12-06,7.8,7.2,6.0,7.0,Yes,Yes
2008-12-07,12.4,5.3,7.0,7.0,Yes,No
2008-12-08,0.0,1.0,8.0,7.0,No,No
2008-12-09,0.2,11.1,3.0,4.0,No,No
2008-12-10,0.6,11.5,2.0,1.0,No,No
2008-12-11,0.0,9.6,1.0,7.0,No,Yes
2008-12-12,9.6,4.1,8.0,7.0,Yes,No
2008-12-13,0.0,7.2,7.0,7.0,No,No
2008-12-14,0.4,13.1,2.0,1.0,No,No
2008-12-15,0.0,13.3,1.0,1.0,No,No
2008-12-16,0.0,13.2,4.0,2.0,No,No
2008-12-17,0.0,13.1,2.0,1.0,No,No
2008-12-18,0.0,12.6,1.0,2.0,No,Yes
2008-12-19,2.0,12.8,1.0,2.0,Yes,No
2008-12-20,0.0,9.7,7.0,8.0,No,No
2008-12-21,0.0,7.5,7.0,4.0,No,No
2008-12-22,0.0,12.7,5.0,2.0,No,No
2008-12-23,0.0,12.3,3.0,1.0,No,No
2008-12-24,0.0,10.1,1.0,2.0,No,No
2008-12-25,0.0,,7.0,8.0,No,No
2008-12-26,0.8,3.4,7.0,7.0,No,No
2008-12-27,0.6,6.3,6.0,7.0,No,Yes
2008-12-28,4.2,3.2,7.0,6.0,Yes,No
2008-12-29,0.2,11.1,3.0,1.0,No,Yes
2008-12-30,6.6,9.7,1.0,7.0,Yes,Yes
2008-12-31,4.0,12.4,0.0,0.0,Yes,No
2009-01-01,0.0,6.9,5.0,7.0,No,No
2009-01-02,0.0,0.7,8.0,8.0,No,Yes
2009-01-03,4.4,0.0,8.0,8.0,Yes,Yes
2009-01-04,4.8,7.0,7.0,7.0,Yes,No
2009-01-05,0.0,7.7,7.0,7.0,No,No
2009-01-06,0.0,12.7,3.0,2.0,No,No
2009-01-07,0.0,11.4,3.0,7.0,No,Yes
2009-01-08,1.4,1.1,7.0,7.0,Yes,No
2009-01-09,0.6,2.8,8.0,7.0,No,No
2009-01-10,0.2,9.6,3.0,5.0,No,No
2009-01-11,0.0,8.9,7.0,7.0,No,No
2009-01-12,0.0,9.5,7.0,7.0,No,No
2009-01-13,0.0,11.5,6.0,4.0,No,No
2009-01-14,0.0,13.0,3.0,3.0,No,No
2009-01-15,0.0,12.8,3.0,1.0,No,No
2009-01-16,0.0,12.4,1.0,6.0,No,No
2009-01-17,0.0,7.1,7.0,7.0,No,No
2009-01-18,0.0,5.8,7.0,7.0,No,No
2009-01-19,0.0,9.0,7.0,7.0,No,No
2009-01-20,0.0,12.5,4.0,3.0,No,No
2009-01-21,0.0,11.7,5.0,1.0,No,No
2009-01-22,0.0,8.2,5.0,6.0,No,Yes
2009-01-23,26.6,0.5,7.0,7.0,Yes,Yes
2009-01-24,4.4,3.8,7.0,7.0,Yes,No
2009-01-25,0.0,3.1,7.0,7.0,No,Yes
2009-01-26,29.8,7.4,6.0,6.0,Yes,Yes
2009-01-27,1.8,10.4,6.0,4.0,Yes,No
2009-01-28,0.2,10.2,6.0,1.0,No,No
2009-01-29,0.0,5.2,7.0,7.0,No,Yes
2009-01-30,3.2,12.0,3.0,2.0,Yes,
2009-01-31,,10.9,5.0,6.0,,No
2009-02-01,0.8,0.1,7.0,7.0,No,No
2009-02-02,1.0,1.5,7.0,8.0,No,Yes
2009-02-03,6.2,8.7,7.0,4.0,Yes,No
2009-02-04,0.6,11.8,3.0,2.0,No,No
2009-02-05,0.0,11.8,7.0,3.0,No,No
2009-02-06,0.0,12.1,7.0,2.0,No,No
2009-02-07,0.0,9.0,4.0,2.0,No,No
2009-02-08,0.0,12.2,6.0,2.0,No,No
2009-02-09,0.0,12.0,0.0,1.0,No,No
2009-02-10,0.0,7.5,7.0,7.0,No,Yes
2009-02-11,1.4,9.7,7.0,7.0,Yes,No
2009-02-12,0.0,3.3,7.0,7.0,No,Yes
2009-02-13,23.8,0.0,8.0,8.0,Yes,Yes
2009-02-14,36.8,0.1,8.0,8.0,Yes,Yes
2009-02-15,2.0,11.4,2.0,5.0,Yes,No
2009-02-16,0.0,9.3,2.0,7.0,No,No
2009-02-17,0.0,2.3,7.0,8.0,No,Yes
2009-02-18,17.4,2.5,7.0,7.0,Yes,Yes
2009-02-19,2.2,10.3,4.0,2.0,Yes,Yes
