Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-07-01,WNW,26.0,SSW,W,6.0,15.0
2008-07-02,W,30.0,W,WNW,15.0,19.0
2008-07-03,E,22.0,SW,E,7.0,15.0
2008-07-04,SW,24.0,SW,SSE,9.0,7.0
2008-07-05,S,37.0,S,SSW,11.0,7.0
2008-07-06,ENE,31.0,SSW,E,7.0,17.0
2008-07-07,NE,17.0,SW,NE,9.0,9.0
2008-07-08,WSW,31.0,SW,NW,7.0,2.0
2008-07-09,W,43.0,WSW,W,13.0,19.0
2008-07-10,W,39.0,WSW,WSW,17.0,17.0
2008-07-11,W,28.0,WSW,WSW,11.0,9.0
2008-07-12,ENE,30.0,SW,E,7.0,15.0
2008-07-13,ENE,20.0,SSW,ENE,6.0,9.0
2008-07-14,N,19.0,SSW,NE,4.0,9.0
2008-07-15,W,31.0,SSW,NNE,9.0,9.0
2008-07-16,SW,19.0,WSW,WSW,2.0,4.0
2008-07-17,WSW,17.0,SW,NE,7.0,9.0
2008-07-18,WNW,37.0,SW,WNW,6.0,15.0
2008-07-19,W,33.0,SW,WNW,2.0,15.0
2008-07-20,NNE,30.0,SW,NNE,6.0,15.0
2008-07-21,W,35.0,N,W,6.0,15.0
2008-07-22,W,33.0,SW,E,7.0,15.0
2008-07-23,SSE,26.0,SW,S,6.0,7.0
2008-07-24,S,28.0,SSW,,9.0,
2008-07-25,SW,28.0,WSW,SW,9.0,11.0
2008-07-26,WSW,24.0,SW,WNW,9.0,11.0
2008-07-27,SSW,30.0,SW,W,6.0,4.0
2008-07-28,WSW,39.0,WSW,WSW,11.0,15.0
2008-07-29,WSW,33.0,WSW,SW,11.0,9.0
2008-07-30,WNW,22.0,WSW,WSW,11.0,6.0
2008-07-31,WSW,26.0,SSE,W,6.0,11.0
2008-08-01,W,35.0,SW,N,2.0,7.0
2008-08-02,W,46.0,W,W,19.0,17.0
2008-08-03,WSW,22.0,SSW,NE,11.0,11.0
2008-08-04,NE,26.0,SW,NE,7.0,11.0
2008-08-05,E,22.0,WSW,ENE,7.0,11.0
2008-08-06,W,39.0,SW,W,7.0,15.0
2008-08-07,W,30.0,SW,W,9.0,19.0
2008-08-08,W,48.0,W,W,11.0,19.0
2008-08-09,SW,19.0,SW,ENE,7.0,13.0
2008-08-10,W,31.0,S,W,6.0,17.0
2008-08-11,W,37.0,WSW,WSW,11.0,13.0
2008-08-12,SW,24.0,WSW,SSW,9.0,4.0
2008-08-13,WNW,20.0,SW,NNW,7.0,6.0
2008-08-14,W,30.0,SW,WNW,9.0,11.0
2008-08-15,WNW,41.0,W,W,17.0,17.0
2008-08-16,WNW,43.0,W,W,17.0,22.0
2008-08-17,WSW,56.0,SW,NE,13.0,11.0
2008-08-18,WNW,19.0,SW,SSE,7.0,4.0
2008-08-19,SW,30.0,SW,NNE,15.0,9.0
