Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-12-01,NE,31.0,E,ENE,7.0,13.0
2008-12-02,NE,35.0,S,NE,11.0,13.0
2008-12-03,SSE,31.0,SSE,E,17.0,20.0
2008-12-04,SE,39.0,SSE,ESE,19.0,24.0
2008-12-05,SE,43.0,SSE,ESE,22.0,26.0
2008-12-06,NE,33.0,SE,NE,15.0,20.0
2008-12-07,NNE,28.0,NW,NE,7.0,17.0
2008-12-08,NNE,30.0,NW,NNE,13.0,15.0
2008-12-09,NNE,28.0,NE,N,9.0,13.0
2008-12-10,ENE,28.0,ESE,NNE,15.0,11.0
2008-12-11,ENE,33.0,ENE,NE,15.0,22.0
2008-12-12,ENE,31.0,SSE,S,19.0,15.0
2008-12-13,NNE,30.0,SE,NE,9.0,15.0
2008-12-14,N,37.0,WNW,NNE,15.0,20.0
2008-12-15,S,35.0,SW,N,4.0,17.0
2008-12-16,SSE,41.0,SSE,SE,11.0,19.0
2008-12-17,ENE,37.0,SSE,N,17.0,11.0
2008-12-18,SSE,28.0,S,NNE,7.0,13.0
2008-12-19,N,24.0,W,NE,9.0,9.0
2008-12-20,N,26.0,NW,NNE,9.0,15.0
2008-12-21,NE,35.0,SSE,NE,13.0,24.0
2008-12-22,E,35.0,ESE,NNE,15.0,17.0
2008-12-23,,,SSE,ESE,17.0,28.0
2008-12-24,E,37.0,SE,ESE,15.0,26.0
2008-12-25,ENE,35.0,SSE,E,13.0,26.0
2008-12-26,SSE,41.0,SSE,SE,19.0,26.0
2008-12-27,S,37.0,NW,ENE,7.0,11.0
2008-12-28,NE,26.0,WSW,N,13.0,13.0
2008-12-29,NNE,28.0,,N,0.0,17.0
2008-12-30,N,28.0,WNW,N,6.0,13.0
2008-12-31,N,37.0,WNW,NW,9.0,17.0
2009-01-01,NNE,28.0,E,N,4.0,19.0
2009-01-02,NNE,28.0,SE,NNE,9.0,11.0
2009-01-03,NE,30.0,SE,NE,9.0,13.0
2009-01-04,ENE,28.0,S,S,13.0,19.0
2009-01-05,SE,33.0,SSE,S,13.0,13.0
2009-01-06,SE,35.0,ESE,SE,2.0,24.0
2009-01-07,S,30.0,W,S,9.0,7.0
2009-01-08,NE,31.0,W,SW,9.0,6.0
2009-01-09,S,44.0,S,E,17.0,11.0
2009-01-10,S,35.0,SSE,NE,9.0,13.0
2009-01-11,SSE,39.0,S,ESE,17.0,13.0
2009-01-12,NW,59.0,SSE,NNW,17.0,11.0
2009-01-13,N,39.0,NNW,N,20.0,13.0
2009-01-14,NE,30.0,SE,NE,11.0,15.0
2009-01-15,WSW,28.0,ENE,NNE,6.0,13.0
2009-01-16,ENE,33.0,ESE,SSE,9.0,15.0
2009-01-17,NNE,28.0,SE,NNE,9.0,11.0
2009-01-18,ESE,35.0,SSE,ESE,15.0,19.0
2009-01-19,SE,43.0,SE,ESE,13.0,28.0
2009-01-20,S,37.0,N,S,13.0,17.0
2009-01-21,ESE,31.0,S,ESE,13.0,20.0
2009-01-22,NNE,24.0,SE,N,9.0,17.0
2009-01-23,NNE,22.0,,N,0.0,13.0
2009-01-24,NNE,28.0,NNW,N,2.0,15.0
2009-01-25,NNW,26.0,W,N,11.0,13.0
2009-01-26,SE,35.0,SSE,E,22.0,7.0
2009-01-27,ESE,37.0,SSE,ESE,15.0,22.0
2009-01-28,ESE,37.0,SSE,ESE,15.0,17.0
2009-01-29,SSE,35.0,SSE,ESE,17.0,20.0
2009-01-30,SSE,43.0,SSE,NW,11.0,9.0
2009-01-31,SSE,52.0,S,S,19.0,11.0
2009-02-01,WNW,48.0,ENE,W,6.0,26.0
2009-02-02,WNW,33.0,NW,N,11.0,17.0
2009-02-03,SSE,24.0,,SSE,0.0,15.0
2009-02-04,NW,30.0,SE,SSE,13.0,15.0
2009-02-05,SE,41.0,SE,SSE,13.0,20.0
2009-02-06,SSE,35.0,SSE,NNE,9.0,13.0
2009-02-07,N,31.0,,N,0.0,17.0
2009-02-08,S,22.0,NE,NNE,2.0,9.0
2009-02-09,N,30.0,ENE,NNW,7.0,17.0
2009-02-10,WNW,28.0,NNW,NNW,6.0,9.0
2009-02-11,N,31.0,NNW,N,11.0,24.0
2009-02-12,SSE,28.0,S,NNW,6.0,17.0
2009-02-13,NNE,28.0,,N,0.0,17.0
2009-02-14,W,30.0,W,NNE,7.0,13.0
2009-02-15,N,26.0,W,N,9.0,17.0
2009-02-16,N,28.0,ESE,N,6.0,19.0
2009-02-17,NE,31.0,,NE,0.0,19.0
2009-02-18,NE,28.0,,NNE,0.0,13.0
2009-02-19,N,26.0,ESE,N,9.0,15.0
2009-02-20,ENE,28.0,S,NE,13.0,17.0
2009-02-21,ESE,35.0,S,ESE,15.0,13.0
2009-02-22,S,35.0,S,ENE,15.0,20.0
2009-02-23,NNE,33.0,WNW,NE,7.0,19.0
2009-02-24,NNE,33.0,S,NNE,20.0,9.0
2009-02-25,ENE,31.0,SE,ESE,13.0,20.0
2009-02-26,SSE,35.0,S,SE,13.0,22.0
2009-02-27,SE,44.0,SSE,SSE,17.0,28.0
2009-02-28,ESE,44.0,SSE,SE,26.0,31.0
2009-03-01,ESE,44.0,SSE,ESE,22.0,28.0
2009-03-02,SE,48.0,SSE,ESE,20.0,31.0
2009-03-03,SE,43.0,SSE,ESE,20.0,31.0
2009-03-04,SE,43.0,SSE,SE,20.0,28.0
2009-03-05,SE,43.0,SSE,ESE,17.0,31.0
2009-03-06,SSE,48.0,SSE,SSE,20.0,31.0
2009-03-07,SSE,50.0,SE,NNW,4.0,13.0
2009-03-08,NNE,33.0,WSW,NE,7.0,24.0
2009-03-09,NE,28.0,NNE,NE,4.0,17.0
2009-03-10,,,W,E,6.0,13.0
2009-03-11,ESE,33.0,SSE,SE,13.0,20.0
2009-03-12,ESE,35.0,S,ESE,20.0,24.0
2009-03-13,SE,35.0,SSE,SE,15.0,24.0
2009-03-14,SE,37.0,SSE,SE,19.0,28.0
2009-03-15,SE,39.0,SSE,ESE,22.0,26.0
2009-03-16,SE,35.0,SSE,ESE,15.0,24.0
2009-03-17,SE,33.0,SSE,ESE,13.0,24.0
2009-03-18,SE,48.0,SSE,ESE,19.0,28.0
2009-03-19,SE,48.0,SSE,SSE,24.0,19.0
2009-03-20,ESE,41.0,SSE,ESE,24.0,24.0
2009-03-21,SE,39.0,SSE,ESE,17.0,26.0
2009-03-22,ESE,50.0,SSE,ESE,24.0,30.0
2009-03-23,SE,48.0,SSE,SE,24.0,31.0
2009-03-24,SE,44.0,SSE,ESE,24.0,30.0
2009-03-25,SE,48.0,SSE,ESE,17.0,28.0
2009-03-26,ESE,50.0,SSE,ESE,19.0,35.0
2009-03-27,SE,43.0,SSE,SE,24.0,28.0
2009-03-28,SE,56.0,SSE,SE,22.0,39.0
2009-03-29,SE,56.0,SSE,ESE,24.0,30.0
2009-03-30,SSE,35.0,SSE,ESE,17.0,20.0
2009-03-31,NE,26.0,NNE,NNE,4.0,15.0
2009-04-01,NNE,20.0,,N,0.0,13.0
2009-04-02,N,26.0,SE,NNE,11.0,13.0
2009-04-03,NE,28.0,E,NNE,4.0,15.0
2009-04-04,SE,33.0,NW,E,2.0,24.0
2009-04-05,ESE,43.0,SSE,E,15.0,28.0
2009-04-06,SE,37.0,SSE,ESE,15.0,28.0
2009-04-07,ESE,44.0,SSE,SE,20.0,30.0
2009-04-08,SE,43.0,S,SSE,19.0,17.0
2009-04-09,SE,41.0,S,ESE,17.0,24.0
2009-04-10,SE,39.0,S,SE,20.0,22.0
2009-04-11,S,35.0,S,SE,22.0,24.0
2009-04-12,ESE,43.0,SSE,SSE,19.0,22.0
2009-04-13,E,39.0,SSE,SSE,17.0,17.0
