Date,MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2007-11-01,8.0,24.3,3.4,68.0,29.0,1019.7,1015.0,14.4,23.6
2007-11-02,14.0,26.9,4.4,80.0,36.0,1012.4,1008.4,17.5,25.7
2007-11-03,13.7,23.4,5.8,82.0,69.0,1009.5,1007.2,15.4,20.2
2007-11-04,13.3,15.5,7.2,62.0,56.0,1005.5,1007.0,13.5,14.1
2007-11-05,7.6,16.1,5.6,68.0,49.0,1018.3,1018.5,11.1,15.4
2007-11-06,6.2,16.9,5.8,70.0,57.0,1023.8,1021.7,10.9,14.8
2007-11-07,6.1,18.2,4.2,63.0,47.0,1024.6,1022.2,12.4,17.3
2007-11-08,8.3,17.0,5.6,65.0,57.0,1026.2,1024.2,12.1,15.5
2007-11-09,8.8,19.5,4.0,70.0,48.0,1026.1,1022.7,14.1,18.9
2007-11-10,8.4,22.8,5.4,82.0,32.0,1024.1,1020.7,13.3,21.7
2007-11-11,9.1,25.2,4.2,74.0,34.0,1024.4,1021.1,14.6,24.0
2007-11-12,8.5,27.3,7.2,54.0,35.0,1023.8,1019.9,16.8,26.0
2007-11-13,10.1,27.9,7.2,62.0,29.0,1022.0,1017.1,17.0,27.1
2007-11-14,12.1,30.9,6.2,67.0,20.0,1017.3,1013.1,19.7,30.7
2007-11-15,10.1,31.2,8.8,45.0,16.0,1018.2,1013.7,18.7,30.4
2007-11-16,12.4,32.1,8.4,70.0,22.0,1017.9,1012.8,19.1,30.7
2007-11-17,13.8,31.2,7.2,72.0,23.0,1014.4,1009.8,20.2,29.8
2007-11-18,11.7,30.0,7.2,59.0,26.0,1016.4,1013.0,20.1,28.6
2007-11-19,12.4,32.3,7.4,60.0,25.0,1017.1,1013.3,20.2,31.2
2007-11-20,15.6,33.4,8.0,61.0,27.0,1018.5,1013.7,22.8,32.0
2007-11-21,15.3,33.4,8.8,60.0,26.0,1012.4,1006.5,22.2,32.8
2007-11-22,16.4,19.4,9.2,88.0,72.0,1010.7,1008.9,16.5,18.3
2007-11-23,12.8,18.5,2.8,91.0,79.0,1014.0,1014.9,14.0,16.8
2007-11-24,12.0,24.3,1.2,74.0,57.0,1020.7,1019.2,17.8,22.8
2007-11-25,15.4,28.4,4.4,85.0,31.0,1022.4,1018.6,16.8,27.3
2007-11-26,15.6,26.9,6.8,65.0,48.0,1019.7,1016.5,19.8,25.1
2007-11-27,13.3,22.2,6.6,70.0,55.0,1021.0,1018.6,16.5,21.2
2007-11-28,12.9,28.0,4.4,61.0,31.0,1019.2,1014.8,18.8,26.7
2007-11-29,15.1,24.3,7.0,69.0,80.0,1019.0,1017.1,18.9,19.7
2007-11-30,13.6,24.1,2.6,83.0,49.0,1017.2,1013.3,17.3,23.2
2007-12-01,15.1,20.4,2.4,82.0,90.0,1015.0,1014.1,17.0,16.3
2007-12-02,11.6,26.3,1.6,66.0,46.0,1013.9,1009.5,16.7,25.2
2007-12-03,16.6,24.2,6.6,72.0,60.0,1007.9,1004.6,20.5,19.9
2007-12-04,13.3,26.5,3.8,74.0,40.0,1007.3,1006.3,18.8,25.1
2007-12-05,14.5,21.8,8.4,69.0,63.0,1015.0,1015.3,18.6,20.5
2007-12-06,16.3,26.8,6.0,78.0,54.0,1018.8,1016.1,18.6,24.5
2007-12-07,17.2,25.8,4.2,70.0,74.0,1014.5,1011.5,21.5,22.6
2007-12-08,16.5,28.2,4.2,76.0,42.0,1014.8,1011.4,18.0,26.3
2007-12-09,15.0,29.4,6.6,78.0,24.0,1010.8,1008.5,20.6,28.6
2007-12-10,14.9,24.8,10.4,58.0,37.0,1011.7,1010.4,19.3,22.9
2007-12-11,11.8,18.5,4.8,60.0,63.0,1018.0,1017.4,13.8,16.4
2007-12-12,11.7,21.5,4.2,66.0,51.0,1021.1,1019.6,15.7,19.4
2007-12-13,9.6,20.3,5.0,70.0,49.0,1021.9,1019.3,15.8,19.2
2007-12-14,8.9,27.1,4.4,63.0,37.0,1018.1,1012.5,15.8,25.0
2007-12-15,10.1,29.9,6.8,63.0,36.0,1012.6,1010.2,17.4,29.1
2007-12-16,15.5,21.1,6.4,93.0,86.0,1010.1,1008.6,16.6,20.0
2007-12-17,10.8,21.7,2.8,59.0,40.0,1017.6,1016.8,15.3,20.8
2007-12-18,7.5,20.9,6.6,61.0,43.0,1020.6,1018.3,15.3,19.8
2007-12-19,12.8,21.0,6.4,72.0,54.0,1018.0,1015.6,16.1,20.0
2007-12-20,12.6,23.1,1.6,97.0,74.0,1015.8,1014.1,15.3,20.4
2007-12-21,14.8,29.5,1.8,81.0,48.0,1012.9,1008.3,21.0,28.2
2007-12-22,19.9,22.0,4.4,92.0,62.0,996.5,996.8,20.6,19.6
2007-12-23,9.2,20.4,7.8,59.0,49.0,1009.5,1009.1,14.9,18.8
