Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2007-11-01,NW,30.0,SW,NW,6.0,20.0
2007-11-02,ENE,39.0,E,W,4.0,17.0
2007-11-03,NW,85.0,N,NNE,6.0,6.0
2007-11-04,NW,54.0,WNW,W,30.0,24.0
2007-11-05,SSE,50.0,SSE,ESE,20.0,28.0
2007-11-06,SE,44.0,SE,E,20.0,24.0
2007-11-07,SE,43.0,SE,ESE,19.0,26.0
2007-11-08,E,41.0,SE,E,11.0,24.0
2007-11-09,S,48.0,E,ENE,19.0,17.0
2007-11-10,E,31.0,S,ESE,7.0,6.0
2007-11-11,N,30.0,SE,NW,6.0,9.0
2007-11-12,E,41.0,E,NW,2.0,15.0
2007-11-13,WNW,30.0,S,NW,6.0,7.0
2007-11-14,NW,44.0,WNW,W,7.0,20.0
2007-11-15,NW,41.0,S,W,6.0,20.0
2007-11-16,E,46.0,SE,WSW,7.0,9.0
2007-11-17,ESE,44.0,WSW,W,6.0,19.0
2007-11-18,S,52.0,SW,NE,6.0,11.0
2007-11-19,E,39.0,NNE,W,4.0,17.0
2007-11-20,NE,33.0,NNW,NNW,2.0,13.0
2007-11-21,WNW,59.0,N,NW,2.0,31.0
2007-11-22,E,26.0,ENE,E,6.0,11.0
2007-11-23,ESE,28.0,S,SE,13.0,13.0
2007-11-24,NNE,26.0,WSW,NE,6.0,9.0
2007-11-25,ENE,33.0,SSE,NE,9.0,15.0
2007-11-26,E,41.0,E,E,6.0,22.0
2007-11-27,ENE,39.0,E,E,20.0,17.0
2007-11-28,S,52.0,S,NNE,6.0,11.0
2007-11-29,SE,39.0,SE,SE,7.0,17.0
2007-11-30,NNW,30.0,SSW,S,6.0,6.0
2007-12-01,SSE,41.0,E,S,6.0,20.0
2007-12-02,NNE,41.0,E,SW,6.0,9.0
2007-12-03,NW,50.0,WNW,NW,13.0,35.0
2007-12-04,NW,50.0,NW,WNW,20.0,26.0
2007-12-05,ENE,43.0,ESE,E,11.0,30.0
2007-12-06,ENE,39.0,ESE,ESE,13.0,9.0
2007-12-07,SW,41.0,NW,N,6.0,6.0
2007-12-08,NE,39.0,E,N,7.0,13.0
2007-12-09,NW,43.0,N,W,9.0,24.0
2007-12-10,NNW,35.0,NNE,WNW,11.0,6.0
2007-12-11,ENE,35.0,ESE,E,9.0,15.0
2007-12-12,ENE,41.0,ESE,E,15.0,24.0
2007-12-13,SE,39.0,ESE,E,22.0,20.0
2007-12-14,E,35.0,NNW,N,6.0,11.0
2007-12-15,E,41.0,SE,WNW,2.0,13.0
2007-12-16,S,31.0,SSE,NE,6.0,7.0
2007-12-17,ESE,48.0,SSE,ESE,13.0,20.0
2007-12-18,ENE,39.0,SE,E,13.0,20.0
2007-12-19,NE,22.0,NE,ENE,7.0,6.0
2007-12-20,NNW,30.0,N,NW,4.0,13.0
2007-12-21,N,41.0,NW,NW,6.0,22.0
2007-12-22,NNW,76.0,N,WNW,41.0,30.0
2007-12-23,ENE,39.0,N,N,9.0,20.0
2007-12-24,NW,44.0,NNW,WNW,7.0,13.0
2007-12-25,E,41.0,SE,NE,11.0,11.0
2007-12-26,NNW,41.0,W,NNW,6.0,19.0
2007-12-27,NNW,65.0,N,NNW,7.0,48.0
2007-12-28,NNW,28.0,NNW,NW,6.0,13.0
2007-12-29,NNW,30.0,NW,N,6.0,7.0
2007-12-30,E,39.0,SSW,ESE,6.0,22.0
2007-12-31,NE,31.0,SSE,NE,7.0,9.0
2008-01-01,NNE,35.0,ESE,W,2.0,11.0
2008-01-02,ESE,41.0,ESE,WSW,2.0,9.0
2008-01-03,ESE,50.0,ESE,ESE,20.0,24.0
2008-01-04,ESE,46.0,ESE,ESE,24.0,26.0
2008-01-05,NE,35.0,SSE,E,7.0,15.0
2008-01-06,ENE,39.0,W,NNW,6.0,19.0
2008-01-07,ENE,39.0,E,NW,11.0,11.0
2008-01-08,E,46.0,E,N,7.0,9.0
2008-01-09,E,43.0,E,ENE,13.0,11.0
2008-01-10,NE,33.0,WNW,NW,6.0,11.0
2008-01-11,SSE,57.0,NNW,NW,6.0,19.0
2008-01-12,SW,50.0,E,WNW,4.0,17.0
2008-01-13,WNW,52.0,NNW,W,6.0,24.0
2008-01-14,E,50.0,E,ENE,13.0,19.0
2008-01-15,W,35.0,E,NW,7.0,15.0
2008-01-16,N,59.0,N,NNE,15.0,20.0
2008-01-17,E,46.0,ESE,ESE,20.0,28.0
2008-01-18,ESE,39.0,ESE,ESE,17.0,19.0
2008-01-19,NE,33.0,SSE,NNE,9.0,13.0
2008-01-20,NW,50.0,NW,WNW,19.0,28.0
2008-01-21,E,48.0,SSE,ESE,17.0,22.0
2008-01-22,E,33.0,SE,S,11.0,7.0
2008-01-23,NE,28.0,SE,E,7.0,7.0
2008-01-24,ENE,35.0,SE,NE,6.0,11.0
2008-01-25,E,41.0,E,NE,9.0,17.0
2008-01-26,NNE,28.0,NW,SSW,4.0,7.0
2008-01-27,WSW,46.0,N,WNW,4.0,26.0
2008-01-28,NNW,44.0,NNE,NW,4.0,24.0
2008-01-29,ENE,46.0,S,W,6.0,11.0
2008-01-30,NW,69.0,N,W,6.0,13.0
2008-01-31,ESE,39.0,N,NNW,13.0,13.0
2008-02-01,SSE,30.0,SE,ESE,11.0,11.0
2008-02-02,NNE,30.0,SSE,NNE,7.0,11.0
2008-02-03,E,48.0,SE,ESE,9.0,17.0
2008-02-04,ENE,33.0,SSE,ENE,7.0,13.0
2008-02-05,ESE,30.0,S,SSE,7.0,11.0
2008-02-06,W,52.0,NW,WNW,6.0,24.0
2008-02-07,SSW,61.0,N,NNW,11.0,20.0
2008-02-08,ENE,41.0,ESE,ESE,7.0,20.0
2008-02-09,SSE,33.0,S,S,15.0,17.0
2008-02-10,ENE,41.0,SSE,W,17.0,13.0
2008-02-11,NE,31.0,SE,NE,7.0,13.0
2008-02-12,W,48.0,NNW,WNW,9.0,17.0
2008-02-13,ENE,30.0,SSE,SSE,13.0,15.0
2008-02-14,E,33.0,S,SE,11.0,9.0
2008-02-15,ENE,35.0,SE,E,7.0,7.0
2008-02-16,ENE,39.0,SE,E,7.0,19.0
2008-02-17,ENE,46.0,ESE,NNE,9.0,13.0
