Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,SSW,48.0,ENE,SW,6.0,20.0
2009-01-02,S,37.0,SSE,SSE,19.0,19.0
2009-01-03,SE,30.0,,N,,7.0
2009-01-04,NNE,46.0,NNE,NNW,30.0,15.0
2009-01-05,WNW,31.0,WNW,WSW,6.0,6.0
2009-01-06,WNW,35.0,NW,WNW,17.0,13.0
2009-01-07,N,43.0,N,WNW,7.0,20.0
2009-01-08,SSW,41.0,S,SSE,17.0,19.0
2009-01-09,SE,37.0,SE,S,15.0,6.0
2009-01-10,ENE,48.0,ENE,WSW,30.0,9.0
2009-01-11,NE,41.0,NNE,WSW,15.0,17.0
2009-01-12,E,30.0,SE,ENE,11.0,7.0
2009-01-13,ENE,39.0,NE,N,24.0,9.0
2009-01-14,SSW,43.0,N,NNW,17.0,11.0
2009-01-15,SW,44.0,W,SW,13.0,22.0
2009-01-16,SW,44.0,S,S,17.0,19.0
2009-01-17,S,33.0,S,SW,17.0,15.0
2009-01-18,SE,61.0,NE,SE,22.0,17.0
2009-01-19,NNE,43.0,ENE,NNE,26.0,9.0
2009-01-20,W,59.0,N,NW,19.0,17.0
2009-01-21,N,46.0,NW,N,9.0,28.0
2009-01-22,WNW,56.0,N,N,24.0,19.0
2009-01-23,WSW,94.0,NNE,NW,13.0,7.0
2009-01-24,NNW,50.0,SSW,SW,11.0,15.0
2009-01-25,SSW,28.0,SE,ENE,13.0,6.0
2009-01-26,S,31.0,ENE,E,17.0,7.0
2009-01-27,ENE,46.0,ENE,ESE,24.0,7.0
2009-01-28,E,39.0,NNE,ENE,15.0,19.0
2009-01-29,ENE,52.0,NNE,NNE,19.0,20.0
2009-01-30,ESE,44.0,NNE,ESE,20.0,20.0
2009-01-31,ENE,44.0,NNE,NE,24.0,20.0
2009-02-01,SE,30.0,W,SSE,9.0,9.0
2009-02-02,S,57.0,NNE,NNE,17.0,9.0
2009-02-03,WSW,54.0,E,SSW,9.0,11.0
2009-02-04,ENE,39.0,NE,WSW,17.0,7.0
2009-02-05,NNW,37.0,N,N,15.0,7.0
2009-02-06,WNW,28.0,NNW,NNW,9.0,13.0
2009-02-07,NNE,41.0,NNE,ENE,20.0,19.0
2009-02-08,NNE,39.0,N,NNE,15.0,13.0
2009-02-09,SW,43.0,SSW,SSW,19.0,13.0
2009-02-10,SSW,46.0,S,SSW,19.0,24.0
2009-02-11,SW,44.0,SSW,S,22.0,24.0
2009-02-12,S,37.0,S,SE,9.0,13.0
2009-02-13,E,63.0,E,E,35.0,35.0
2009-02-14,ESE,54.0,ESE,ESE,28.0,19.0
2009-02-15,SE,43.0,SE,ESE,13.0,24.0
2009-02-16,ESE,48.0,SE,SE,19.0,20.0
2009-02-17,ESE,44.0,ESE,ESE,15.0,19.0
2009-02-18,E,30.0,E,ESE,19.0,15.0
2009-02-19,SSE,26.0,E,S,6.0,13.0
2009-02-20,SW,31.0,WSW,SSE,9.0,4.0
2009-02-21,S,31.0,S,SSW,13.0,11.0
2009-02-22,WNW,39.0,E,NNW,15.0,9.0
2009-02-23,S,43.0,NNE,NNW,22.0,24.0
2009-02-24,E,46.0,NNE,NW,15.0,22.0
2009-02-25,WSW,31.0,SSW,SW,11.0,9.0
2009-02-26,ESE,24.0,ESE,WSW,13.0,7.0
2009-02-27,NE,39.0,ENE,N,26.0,7.0
2009-02-28,WSW,41.0,N,WNW,17.0,19.0
2009-03-01,SSW,30.0,SW,S,2.0,11.0
2009-03-02,SE,30.0,E,NW,7.0,6.0
2009-03-03,W,65.0,NE,NNE,19.0,28.0
2009-03-04,SSW,54.0,SSW,SW,22.0,24.0
2009-03-05,SSW,46.0,SSW,SSW,20.0,17.0
2009-03-06,WSW,41.0,SSW,WSW,11.0,9.0
2009-03-07,SW,26.0,ESE,NE,11.0,7.0
2009-03-08,E,46.0,SE,ESE,15.0,11.0
2009-03-09,E,41.0,ENE,ENE,24.0,9.0
2009-03-10,SW,61.0,ENE,E,30.0,11.0
2009-03-11,ESE,46.0,ENE,ENE,26.0,19.0
2009-03-12,NNE,48.0,ENE,N,28.0,20.0
2009-03-13,NE,39.0,ENE,NE,13.0,6.0
2009-03-14,NW,37.0,,NW,,11.0
2009-03-15,S,39.0,SSE,SW,17.0,13.0
2009-03-16,SSW,41.0,SW,SW,9.0,15.0
2009-03-17,SSW,30.0,SSW,S,11.0,9.0
2009-03-18,ESE,28.0,ESE,E,11.0,9.0
2009-03-19,SW,24.0,E,SSW,4.0,9.0
2009-03-20,E,39.0,ESE,WSW,7.0,6.0
2009-03-21,ENE,28.0,ENE,SE,13.0,7.0
2009-03-22,NNW,28.0,NE,WNW,13.0,13.0
2009-03-23,N,35.0,N,WNW,9.0,15.0
2009-03-24,NNW,43.0,N,NW,15.0,20.0
2009-03-25,NNW,44.0,NNE,N,19.0,20.0
2009-03-26,NNW,37.0,NNE,NW,13.0,9.0
2009-03-27,SE,33.0,SSE,S,13.0,11.0
2009-03-28,ENE,37.0,ENE,SSE,20.0,6.0
2009-03-29,WSW,26.0,ENE,ESE,13.0,7.0
2009-03-30,SE,33.0,E,SSE,17.0,9.0
2009-03-31,,,SE,ESE,15.0,20.0
2009-04-01,SE,44.0,SE,SE,15.0,19.0
2009-04-02,ESE,37.0,E,ESE,19.0,20.0
2009-04-03,N,31.0,ENE,WNW,19.0,9.0
2009-04-04,S,43.0,S,S,17.0,11.0
2009-04-05,SSW,31.0,SSE,SW,11.0,15.0
2009-04-06,SSW,43.0,SSE,S,17.0,15.0
2009-04-07,SSW,31.0,S,SSE,13.0,13.0
2009-04-08,ENE,35.0,ENE,ENE,24.0,11.0
2009-04-09,WNW,43.0,ENE,ENE,15.0,15.0
2009-04-10,E,30.0,NE,NNE,7.0,9.0
2009-04-11,ENE,31.0,NNW,E,4.0,15.0
2009-04-12,NNE,20.0,ENE,ENE,4.0,7.0
2009-04-13,ENE,24.0,ESE,E,6.0,9.0
2009-04-14,SSW,19.0,,SSW,,4.0
2009-04-15,WNW,39.0,NW,WSW,15.0,22.0
2009-04-16,NW,33.0,ENE,WNW,13.0,15.0
2009-04-17,SSW,28.0,SSE,SSW,11.0,13.0
2009-04-18,S,35.0,S,S,7.0,15.0
2009-04-19,ESE,26.0,SSE,SSE,7.0,9.0
2009-04-20,SE,31.0,E,S,13.0,15.0
2009-04-21,ESE,35.0,E,ESE,19.0,13.0
2009-04-22,E,31.0,ESE,SE,15.0,15.0
2009-04-23,NE,33.0,ENE,E,20.0,9.0
2009-04-24,WNW,57.0,NW,NNW,6.0,24.0
2009-04-25,NW,46.0,WSW,WNW,13.0,24.0
2009-04-26,WNW,63.0,WSW,W,22.0,19.0
2009-04-27,WSW,52.0,WSW,WNW,9.0,17.0
2009-04-28,WSW,35.0,SW,SW,17.0,19.0
2009-04-29,SW,33.0,SSE,SW,4.0,11.0
2009-04-30,,,S,S,9.0,11.0
2009-05-01,ESE,17.0,ESE,SSE,7.0,2.0
2009-05-02,S,28.0,SE,SSE,7.0,15.0
2009-05-03,ESE,30.0,SE,ESE,9.0,17.0
2009-05-04,ESE,22.0,SE,SSW,11.0,9.0
2009-05-05,S,22.0,ESE,SSE,7.0,13.0
2009-05-06,SW,20.0,NE,S,9.0,9.0
2009-05-07,SE,26.0,S,SE,9.0,9.0
2009-05-08,SSW,24.0,S,SSW,9.0,13.0
2009-05-09,SSW,24.0,S,S,4.0,11.0
2009-05-10,SW,22.0,SE,ESE,6.0,9.0
2009-05-11,ENE,30.0,ENE,ENE,17.0,9.0
2009-05-12,S,24.0,NE,SW,13.0,9.0
2009-05-13,WSW,33.0,E,WSW,2.0,20.0
2009-05-14,WSW,31.0,SW,WSW,6.0,15.0
2009-05-15,WSW,37.0,W,W,9.0,19.0
2009-05-16,SW,39.0,WSW,WSW,17.0,17.0
2009-05-17,S,31.0,S,S,7.0,17.0
2009-05-18,,,E,NE,11.0,15.0
2009-05-19,NE,41.0,ENE,E,20.0,17.0
2009-05-20,ESE,52.0,E,ESE,20.0,26.0
2009-05-21,ESE,52.0,ESE,ESE,22.0,28.0
2009-05-22,ESE,46.0,SE,ESE,11.0,20.0
2009-05-23,E,44.0,E,ENE,24.0,19.0
2009-05-24,ENE,44.0,ENE,ENE,24.0,19.0
2009-05-25,NE,44.0,NE,NNE,24.0,17.0
2009-05-26,NE,26.0,NNE,N,13.0,2.0
2009-05-27,S,20.0,SSW,S,7.0,7.0
2009-05-28,SSW,24.0,S,SSW,6.0,13.0
2009-05-29,SW,28.0,SSW,WSW,6.0,11.0
2009-05-30,ESE,37.0,ESE,ESE,17.0,15.0
