Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,NNE,54.0,N,NNE,7.0,37.0
2009-01-02,SSW,56.0,SSW,S,35.0,15.0
2009-01-03,SE,35.0,SE,E,20.0,19.0
2009-01-04,E,24.0,SSE,ESE,7.0,17.0
2009-01-05,NE,41.0,NW,NE,7.0,30.0
2009-01-06,NNE,54.0,NW,NE,24.0,39.0
2009-01-07,NNE,56.0,NNW,NNE,20.0,37.0
2009-01-08,SSW,44.0,NW,NNE,9.0,20.0
2009-01-09,S,56.0,SSW,SSE,26.0,28.0
2009-01-10,SW,30.0,SW,SE,20.0,15.0
2009-01-11,E,26.0,SW,ESE,13.0,15.0
2009-01-12,E,31.0,E,E,11.0,19.0
2009-01-13,E,28.0,SSW,E,15.0,20.0
2009-01-14,N,43.0,NNW,NNE,13.0,30.0
2009-01-15,NNE,61.0,NNW,NNE,31.0,46.0
2009-01-16,SSW,39.0,SSE,E,6.0,15.0
2009-01-17,S,50.0,SSW,S,19.0,30.0
2009-01-18,SW,28.0,SW,SE,17.0,9.0
2009-01-19,NNE,44.0,NNW,NE,7.0,31.0
2009-01-20,NNE,59.0,NNW,NNE,17.0,39.0
2009-01-21,NNE,48.0,NNW,NNE,17.0,31.0
2009-01-22,NNW,48.0,NNW,NNW,24.0,20.0
2009-01-23,NNE,50.0,NNW,NNE,17.0,31.0
2009-01-24,NNE,56.0,N,NNE,24.0,35.0
2009-01-25,S,41.0,S,S,19.0,17.0
2009-01-26,SSE,31.0,SSW,SE,20.0,15.0
2009-01-27,S,30.0,SW,SSE,13.0,15.0
2009-01-28,SSW,30.0,SSW,E,19.0,15.0
2009-01-29,NE,31.0,ESE,NE,6.0,19.0
2009-01-30,ENE,35.0,WSW,NE,11.0,19.0
2009-01-31,ENE,33.0,NNW,ENE,7.0,24.0
2009-02-01,ENE,30.0,NNE,E,7.0,19.0
2009-02-02,SE,26.0,SW,E,11.0,15.0
2009-02-03,NNE,30.0,NW,NNE,7.0,20.0
2009-02-04,ENE,31.0,N,ENE,4.0,20.0
2009-02-05,NE,33.0,SE,ENE,9.0,20.0
2009-02-06,NE,39.0,NNW,NE,15.0,24.0
2009-02-07,ENE,31.0,NNW,NE,9.0,20.0
2009-02-08,ENE,31.0,WSW,ENE,7.0,20.0
2009-02-09,SE,22.0,SW,ESE,13.0,15.0
2009-02-10,NNE,56.0,N,NNE,19.0,39.0
2009-02-11,S,48.0,SW,S,24.0,31.0
2009-02-12,S,48.0,SSW,SSE,28.0,31.0
2009-02-13,ENE,65.0,WSW,WSW,20.0,20.0
2009-02-14,E,59.0,NNW,E,9.0,24.0
2009-02-15,SW,57.0,SW,SW,28.0,31.0
2009-02-16,S,57.0,S,S,39.0,33.0
2009-02-17,E,54.0,SW,SW,31.0,30.0
2009-02-18,SSW,31.0,SW,S,15.0,24.0
2009-02-19,ESE,43.0,SSW,ENE,13.0,13.0
2009-02-20,SSW,24.0,SE,S,9.0,7.0
2009-02-21,SW,41.0,S,ESE,9.0,15.0
2009-02-22,SW,30.0,SW,SE,19.0,22.0
2009-02-23,NNE,33.0,,NE,0.0,22.0
2009-02-24,NNE,50.0,NW,NNE,17.0,33.0
2009-02-25,NE,44.0,NNW,NE,11.0,28.0
2009-02-26,S,50.0,SW,SSE,17.0,31.0
2009-02-27,S,46.0,SW,SSE,28.0,28.0
2009-02-28,NNE,35.0,NW,NNE,20.0,22.0
2009-03-01,S,33.0,S,ESE,20.0,11.0
2009-03-02,S,33.0,SW,S,20.0,22.0
2009-03-03,SSW,24.0,W,SSE,11.0,17.0
2009-03-04,NNE,48.0,NNW,NNE,20.0,31.0
2009-03-05,SW,33.0,SW,ESE,17.0,17.0
2009-03-06,ENE,35.0,SSW,NE,6.0,26.0
2009-03-07,NNE,52.0,SSE,NNE,9.0,33.0
2009-03-08,S,35.0,SW,SSE,13.0,28.0
2009-03-09,ESE,43.0,SW,E,15.0,17.0
2009-03-10,ESE,35.0,SW,ESE,17.0,22.0
2009-03-11,E,33.0,SW,S,17.0,13.0
2009-03-12,WSW,19.0,WSW,ESE,6.0,9.0
2009-03-13,ENE,30.0,SW,ENE,7.0,20.0
2009-03-14,NNE,50.0,NNW,NE,13.0,35.0
2009-03-15,NNE,46.0,NNW,NNE,13.0,31.0
2009-03-16,NNW,31.0,WSW,NNW,13.0,7.0
2009-03-17,S,33.0,WSW,S,9.0,20.0
2009-03-18,SW,30.0,SW,S,17.0,19.0
2009-03-19,NNE,31.0,WNW,NE,11.0,24.0
2009-03-20,SSE,22.0,SW,SE,11.0,15.0
2009-03-21,S,31.0,SW,ESE,19.0,13.0
2009-03-22,SSW,33.0,SW,SSE,13.0,13.0
2009-03-23,SE,22.0,WSW,ESE,9.0,15.0
2009-03-24,NE,30.0,W,NE,7.0,17.0
2009-03-25,NE,33.0,WNW,NE,11.0,24.0
2009-03-26,NE,39.0,WNW,NNE,6.0,28.0
2009-03-27,S,52.0,SW,SSE,13.0,24.0
2009-03-28,SSW,44.0,SW,S,24.0,30.0
2009-03-29,ESE,43.0,SW,SSW,20.0,19.0
2009-03-30,SE,69.0,SW,SE,26.0,24.0
2009-03-31,SSE,70.0,SSE,S,43.0,19.0
2009-04-01,E,61.0,ESE,E,33.0,35.0
2009-04-02,ENE,43.0,E,ENE,20.0,13.0
2009-04-03,N,35.0,SW,S,13.0,9.0
2009-04-04,S,41.0,NW,SSW,9.0,11.0
2009-04-05,SW,35.0,SW,WSW,22.0,20.0
2009-04-06,SSW,44.0,SW,SSE,15.0,30.0
2009-04-07,SE,31.0,SW,WSW,13.0,7.0
2009-04-08,SSE,37.0,SW,SSE,24.0,20.0
2009-04-09,WSW,31.0,SW,SE,19.0,7.0
2009-04-10,NNE,37.0,NNE,NNE,17.0,24.0
2009-04-11,N,31.0,W,NE,9.0,13.0
2009-04-12,ENE,28.0,N,ENE,9.0,15.0
2009-04-13,SW,24.0,W,WSW,7.0,11.0
2009-04-14,S,22.0,,S,0.0,9.0
2009-04-15,SW,26.0,SSW,ESE,9.0,11.0
2009-04-16,SW,28.0,WSW,SE,17.0,13.0
2009-04-17,S,30.0,S,SSE,6.0,20.0
2009-04-18,S,56.0,SW,SSW,22.0,26.0
2009-04-19,SSW,61.0,SSW,SSW,33.0,41.0
2009-04-20,SSW,57.0,SSW,SSW,35.0,35.0
2009-04-21,S,72.0,SW,SSE,24.0,39.0
2009-04-22,S,41.0,SW,SSW,22.0,31.0
2009-04-23,SSW,31.0,SW,S,26.0,28.0
2009-04-24,N,33.0,NW,N,19.0,15.0
2009-04-25,NW,39.0,NW,S,20.0,17.0
2009-04-26,N,37.0,N,NW,15.0,15.0
2009-04-27,SSW,28.0,SW,E,19.0,11.0
2009-04-28,E,24.0,NNW,E,7.0,13.0
2009-04-29,SW,41.0,SSW,S,19.0,19.0
2009-04-30,SW,37.0,SSW,S,19.0,22.0
2009-05-01,SW,30.0,SW,SSE,13.0,17.0
2009-05-02,SSE,41.0,NW,NNE,13.0,26.0
2009-05-03,SSW,44.0,WSW,S,17.0,28.0
2009-05-04,SW,31.0,SW,S,15.0,15.0
2009-05-05,S,39.0,WSW,S,19.0,26.0
2009-05-06,WSW,33.0,SW,W,19.0,11.0
2009-05-07,ESE,17.0,WSW,E,6.0,11.0
2009-05-08,S,57.0,SW,S,22.0,28.0
2009-05-09,SW,35.0,WSW,S,17.0,20.0
2009-05-10,SSW,52.0,SW,S,28.0,37.0
2009-05-11,SW,37.0,SW,SSE,20.0,20.0
2009-05-12,SSE,26.0,SW,ESE,9.0,9.0
2009-05-13,SE,17.0,,ESE,0.0,11.0
2009-05-14,NE,20.0,WNW,NE,9.0,13.0
2009-05-15,N,30.0,WNW,N,7.0,17.0
2009-05-16,E,19.0,W,NE,9.0,13.0
2009-05-17,WSW,26.0,SW,SE,9.0,11.0
2009-05-18,ESE,41.0,SW,WSW,22.0,15.0
2009-05-19,NE,50.0,SW,E,20.0,17.0
2009-05-20,E,61.0,E,ENE,35.0,28.0
2009-05-21,ESE,76.0,ESE,E,41.0,35.0
2009-05-22,ESE,87.0,ESE,E,46.0,44.0
2009-05-23,E,69.0,ESE,ESE,39.0,41.0
2009-05-24,SE,48.0,ESE,SE,22.0,20.0
2009-05-25,E,26.0,SW,WNW,11.0,13.0
2009-05-26,SW,22.0,SSW,NNE,9.0,13.0
2009-05-27,NW,20.0,SSW,SSE,6.0,9.0
2009-05-28,S,22.0,S,SSE,9.0,11.0
2009-05-29,SSW,50.0,WSW,S,9.0,31.0
2009-05-30,SSW,43.0,WSW,S,17.0,30.0
2009-05-31,ESE,39.0,SW,ESE,15.0,24.0
2009-06-01,SW,33.0,SW,SW,17.0,19.0
2009-06-02,SW,28.0,SW,S,15.0,9.0
2009-06-03,S,17.0,SW,SE,11.0,9.0
2009-06-04,NE,20.0,,ENE,0.0,9.0
2009-06-05,SW,19.0,S,ENE,9.0,11.0
2009-06-06,WSW,30.0,W,SE,6.0,11.0
2009-06-07,,,N,E,15.0,9.0
2009-06-08,,,,NNE,0.0,17.0
2009-06-09,,,WSW,SE,2.0,7.0
2009-06-10,,,NW,SW,17.0,17.0
2009-06-11,,,SW,ESE,20.0,9.0
2009-06-12,,,SW,SE,17.0,13.0
2009-06-13,NW,31.0,WNW,ESE,13.0,9.0
2009-06-14,SSW,54.0,NW,NNE,7.0,15.0
2009-06-15,WNW,28.0,SSW,ENE,7.0,11.0
2009-06-16,WSW,33.0,WSW,SE,17.0,11.0
2009-06-17,SSW,48.0,SW,SSW,24.0,28.0
2009-06-18,SSE,39.0,SW,SE,24.0,13.0
2009-06-19,ENE,52.0,SW,ESE,20.0,28.0
2009-06-20,E,37.0,W,NNW,9.0,7.0
2009-06-21,NNE,54.0,WNW,NE,11.0,15.0
2009-06-22,NE,56.0,SW,ENE,13.0,9.0
2009-06-23,SSE,30.0,WSW,S,11.0,19.0
2009-06-24,NW,22.0,WNW,NE,6.0,9.0
2009-06-25,WNW,28.0,SSE,WNW,7.0,6.0
2009-06-26,SW,17.0,NW,S,7.0,9.0
2009-06-27,SSW,39.0,WSW,S,7.0,20.0
2009-06-28,SW,22.0,W,N,6.0,13.0
2009-06-29,SW,22.0,NNE,E,6.0,13.0
2009-06-30,NNW,31.0,,N,0.0,15.0
2009-07-01,N,41.0,NNE,N,4.0,20.0
2009-07-02,WSW,28.0,W,NE,7.0,11.0
2009-07-03,SW,57.0,NW,WSW,9.0,31.0
2009-07-04,SSW,30.0,WNW,SE,13.0,13.0
2009-07-05,S,35.0,NW,SSE,6.0,17.0
2009-07-06,NNW,35.0,W,N,7.0,19.0
2009-07-07,S,41.0,SW,SW,19.0,28.0
2009-07-08,S,48.0,SW,SW,26.0,17.0
2009-07-09,ESE,50.0,SW,SW,22.0,22.0
2009-07-10,SSW,46.0,SW,SSW,28.0,31.0
2009-07-11,SW,37.0,SW,S,20.0,24.0
2009-07-12,NNE,30.0,NW,NE,15.0,20.0
2009-07-13,NNW,35.0,NE,NE,15.0,17.0
2009-07-14,WNW,35.0,SSW,E,15.0,13.0
2009-07-15,NW,30.0,NW,NNW,13.0,11.0
2009-07-16,SW,30.0,,SW,0.0,6.0
2009-07-17,SW,56.0,SW,SSW,28.0,31.0
2009-07-18,SW,24.0,SW,E,7.0,15.0
2009-07-19,NW,22.0,WNW,E,13.0,11.0
2009-07-20,N,39.0,NNW,NNE,11.0,22.0
2009-07-21,NNW,31.0,WNW,N,17.0,26.0
2009-07-22,N,39.0,NW,N,13.0,17.0
2009-07-23,SW,28.0,WSW,ESE,13.0,13.0
2009-07-24,SSE,41.0,SW,S,22.0,30.0
2009-07-25,SW,22.0,W,E,2.0,13.0
2009-07-26,NNW,37.0,N,NNW,13.0,19.0
2009-07-27,NW,41.0,S,SSE,13.0,20.0
2009-07-28,SW,28.0,SW,SSE,9.0,15.0
2009-07-29,SE,20.0,NW,SE,6.0,13.0
