Date,MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2008-07-01,20.0,33.1,4.4,81.0,32.0,1016.0,1012.1,25.4,32.3
2008-07-02,19.4,32.4,6.0,81.0,17.0,1016.8,1012.4,24.3,31.9
2008-07-03,18.2,31.8,8.0,38.0,24.0,1017.2,1013.0,24.3,31.2
2008-07-04,17.3,30.7,7.0,55.0,16.0,1017.3,1013.6,21.3,29.8
2008-07-05,15.5,30.8,7.0,37.0,16.0,1016.3,1012.6,22.2,29.6
2008-07-06,16.2,31.9,7.2,62.0,18.0,1015.8,1012.2,22.8,30.5
2008-07-07,17.0,32.7,5.2,54.0,18.0,1016.7,1013.1,23.3,31.5
2008-07-08,19.6,30.8,9.2,36.0,12.0,1018.2,1014.6,22.3,30.2
2008-07-09,17.3,29.2,9.6,26.0,15.0,1019.1,1015.2,20.3,28.6
2008-07-10,17.1,30.3,9.2,33.0,14.0,1018.3,1013.2,19.5,28.8
2008-07-11,17.7,30.6,8.0,21.0,11.0,1015.7,1011.0,22.4,30.0
2008-07-12,14.7,30.9,7.0,43.0,40.0,1014.5,1010.6,22.2,29.0
2008-07-13,18.7,31.3,4.8,75.0,42.0,1015.8,1012.1,22.7,29.9
2008-07-14,18.8,31.0,4.8,69.0,56.0,1015.8,1012.1,25.3,28.7
2008-07-15,21.4,33.1,4.0,64.0,45.0,1014.9,1010.5,26.5,30.2
2008-07-16,18.7,33.5,7.4,71.0,32.0,1014.0,1009.7,25.1,32.3
2008-07-17,17.2,33.4,6.6,41.0,15.0,1013.7,1009.4,24.8,32.7
2008-07-18,17.6,32.3,7.6,44.0,41.0,1013.4,1010.1,25.5,31.3
2008-07-19,21.4,29.9,5.4,61.0,57.0,1013.3,1009.8,26.9,29.9
2008-07-20,21.9,31.4,4.8,83.0,72.0,1013.6,1010.0,25.2,28.3
2008-07-21,21.4,32.7,5.4,70.0,36.0,1012.2,1009.0,24.0,30.9
2008-07-22,22.5,32.5,7.2,30.0,28.0,1012.8,1009.1,24.8,31.8
2008-07-23,21.4,30.9,7.6,30.0,20.0,1014.4,1010.7,22.9,30.3
2008-07-24,17.3,29.1,10.8,27.0,19.0,1014.5,1010.3,20.5,28.3
2008-07-25,15.9,29.3,6.6,24.0,13.0,1015.0,1010.8,19.5,28.4
2008-07-26,14.6,30.2,6.8,32.0,8.0,1014.4,1010.7,19.8,29.7
2008-07-27,12.5,31.3,5.6,60.0,37.0,1014.9,1011.2,21.7,27.4
2008-07-28,15.5,30.0,5.0,70.0,56.0,1014.6,1011.3,23.9,27.9
2008-07-29,17.4,31.6,5.6,68.0,33.0,1015.0,1010.6,24.9,29.5
2008-07-30,18.9,28.7,7.6,95.0,54.0,1015.8,1011.7,20.6,27.6
2008-07-31,17.4,30.3,5.4,66.0,54.0,1016.7,1012.6,22.9,27.1
2008-08-01,17.3,32.0,5.0,67.0,50.0,1015.5,1011.8,23.4,29.5
2008-08-02,18.1,32.2,5.6,78.0,23.0,1015.5,1011.2,23.7,32.0
2008-08-03,18.8,34.1,6.2,64.0,11.0,1015.6,1010.9,23.1,33.5
2008-08-04,17.5,34.7,8.6,77.0,45.0,1016.2,1011.8,23.3,29.3
2008-08-05,18.0,33.8,6.2,74.0,62.0,1015.2,1011.3,25.2,28.3
2008-08-06,17.6,32.6,6.8,84.0,21.0,1015.7,1011.9,23.1,31.8
2008-08-07,18.4,32.3,6.4,33.0,18.0,1016.3,1012.0,22.7,31.3
2008-08-08,15.9,32.1,7.6,,13.0,1015.5,1012.0,21.4,31.9
2008-08-09,16.6,31.7,8.0,32.0,18.0,1016.0,1011.7,21.2,30.7
2008-08-10,18.1,32.4,8.0,36.0,25.0,1016.1,1011.9,22.6,30.9
2008-08-11,19.2,32.2,6.4,21.0,15.0,1015.2,1011.6,22.4,31.0
2008-08-12,19.0,31.7,7.8,21.0,24.0,1015.9,1012.1,22.8,30.1
2008-08-13,19.9,32.7,7.4,22.0,19.0,1016.5,1012.5,22.9,31.7
2008-08-14,19.8,32.0,8.0,25.0,27.0,1015.9,1012.2,23.4,29.4
2008-08-15,19.8,33.8,9.4,26.0,13.0,1014.7,1010.4,23.8,33.5
2008-08-16,20.5,31.5,8.2,15.0,13.0,1015.6,1012.5,23.6,30.8
2008-08-17,18.3,30.8,9.8,18.0,8.0,1017.6,1013.7,21.7,29.8
2008-08-18,18.1,30.8,9.2,13.0,9.0,1018.4,1014.7,21.1,29.5
2008-08-19,17.7,31.3,10.1,24.0,20.0,1016.8,1013.2,21.5,30.5
2008-08-20,16.3,31.8,6.8,50.0,37.0,1016.4,1013.0,24.7,30.7
2008-08-21,20.2,33.2,7.2,70.0,48.0,1016.9,1012.6,25.1,29.5
2008-08-22,19.4,34.7,6.6,67.0,25.0,1015.8,1010.8,24.7,33.2
2008-08-23,22.0,31.7,11.0,17.0,15.0,1015.5,1011.3,22.1,30.1
2008-08-24,21.1,32.7,8.6,24.0,26.0,1016.1,1010.9,23.1,32.1
2008-08-25,20.9,32.9,6.8,54.0,43.0,1014.7,1010.1,27.3,31.6
2008-08-26,24.7,33.1,7.6,65.0,44.0,1013.9,1010.2,27.0,31.2
2008-08-27,22.0,34.2,8.0,63.0,43.0,1014.1,1009.8,27.2,33.0
2008-08-28,22.6,32.9,6.4,68.0,52.0,1013.8,1009.7,27.6,30.6
2008-08-29,22.4,33.0,8.0,70.0,44.0,1012.9,1009.0,26.8,32.0
2008-08-30,22.7,32.8,7.7,62.0,47.0,1013.4,1009.3,27.4,30.9
2008-08-31,22.1,32.4,6.6,72.0,55.0,1014.4,1010.0,27.0,30.9
2008-09-01,23.8,33.3,6.2,72.0,50.0,1014.4,1010.4,28.0,30.9
2008-09-02,23.5,34.1,6.4,73.0,57.0,1014.4,1010.8,27.0,30.0
2008-09-03,21.8,34.8,6.8,69.0,47.0,1014.1,1009.4,27.7,31.9
2008-09-04,23.7,34.5,6.8,61.0,59.0,1013.3,1009.0,26.8,30.1
2008-09-05,21.8,31.8,8.2,66.0,54.0,1012.5,1009.1,27.2,30.8
2008-09-06,24.0,30.9,7.2,73.0,63.0,1011.6,1008.7,27.4,28.8
2008-09-07,22.4,31.8,4.6,71.0,57.0,1012.1,1007.9,27.4,30.5
2008-09-08,22.5,36.0,6.2,67.0,55.0,1012.9,1008.1,27.5,31.5
2008-09-09,23.0,36.2,7.0,68.0,30.0,1013.4,1009.7,28.1,32.4
2008-09-10,21.0,37.0,8.0,63.0,24.0,1013.6,1008.5,27.5,32.6
2008-09-11,21.7,32.1,6.4,74.0,50.0,1013.8,1009.2,27.1,30.9
2008-09-12,22.2,32.0,7.6,67.0,53.0,1012.8,1008.7,27.5,30.1
2008-09-13,23.4,32.5,5.8,72.0,43.0,1014.3,1011.0,27.3,32.0
2008-09-14,22.7,32.5,7.8,74.0,56.0,1014.8,1010.9,27.7,31.6
2008-09-15,24.2,30.8,7.6,73.0,61.0,1014.4,1011.3,27.4,29.6
2008-09-16,23.0,32.5,4.0,77.0,52.0,1013.5,1009.7,27.3,31.2
2008-09-17,23.6,33.1,7.0,67.0,61.0,1014.4,1010.8,28.8,30.6
2008-09-18,24.8,34.1,6.4,68.0,42.0,1014.0,1010.1,29.0,32.9
2008-09-19,23.7,33.2,7.8,66.0,51.0,1014.1,1009.8,28.3,32.0
2008-09-20,23.9,33.3,8.0,59.0,56.0,1013.7,1009.8,28.7,31.2
2008-09-21,22.8,33.4,7.0,64.0,42.0,1013.0,1009.0,28.9,32.7
2008-09-22,24.0,32.9,7.8,67.0,39.0,1013.5,1009.4,27.9,32.0
2008-09-23,23.8,32.5,7.2,64.0,55.0,1014.3,1010.3,29.1,30.8
2008-09-24,23.9,33.3,7.0,77.0,43.0,1014.9,1010.7,25.9,32.4
2008-09-25,23.7,34.5,12.2,61.0,34.0,1014.3,1010.1,28.8,32.5
2008-09-26,22.9,34.3,11.0,54.0,45.0,1015.5,1010.8,28.8,31.8
2008-09-27,23.8,32.7,8.2,62.0,42.0,1015.2,1010.9,28.7,31.5
2008-09-28,23.5,33.0,6.6,61.0,50.0,1014.8,1010.9,28.8,31.6
2008-09-29,23.8,33.7,6.8,57.0,52.0,1013.8,1009.0,28.7,30.9
2008-09-30,23.4,33.4,7.0,61.0,43.0,1012.9,1009.1,28.7,32.0
2008-10-01,24.7,33.4,7.6,68.0,41.0,1013.8,1009.9,28.6,32.5
2008-10-02,24.0,34.5,8.0,67.0,53.0,1014.6,1010.4,28.5,32.4
2008-10-03,25.0,34.6,7.6,68.0,44.0,1014.8,1009.9,29.1,33.4
2008-10-04,25.3,33.3,7.2,77.0,51.0,1013.8,1009.6,28.3,32.8
2008-10-05,25.7,33.4,7.2,68.0,50.0,1014.3,1010.2,29.0,32.2
2008-10-06,25.6,36.1,7.0,61.0,40.0,1013.6,1008.9,30.3,34.4
2008-10-07,26.7,34.0,7.6,61.0,55.0,1013.3,1008.8,30.5,32.6
2008-10-08,25.2,34.3,10.2,69.0,48.0,1013.7,1008.9,28.6,33.6
2008-10-09,25.3,33.5,5.6,66.0,55.0,1013.4,1009.7,29.5,32.7
2008-10-10,24.8,35.5,5.0,80.0,52.0,1014.1,1010.4,28.5,32.9
2008-10-11,25.7,36.8,9.2,73.0,61.0,1014.4,1009.6,29.4,32.0
2008-10-12,26.3,33.9,6.8,72.0,59.0,1012.6,1008.8,29.8,32.6
2008-10-13,25.4,34.2,7.0,64.0,60.0,1012.5,1008.0,30.2,32.8
2008-10-14,26.5,34.8,7.6,62.0,54.0,1012.5,1008.4,30.5,32.6
2008-10-15,22.1,34.3,12.4,83.0,48.0,1013.0,1008.2,26.9,34.0
2008-10-16,20.6,33.2,9.8,74.0,63.0,1011.1,1006.2,28.5,31.4
2008-10-17,24.5,30.1,5.6,85.0,75.0,1010.2,1007.5,27.6,28.9
2008-10-18,23.0,33.3,4.4,67.0,48.0,1011.6,1008.9,27.6,32.6
2008-10-19,24.7,34.8,7.0,62.0,48.0,1012.7,1009.2,28.9,32.6
2008-10-20,25.2,37.0,10.4,64.0,51.0,1012.7,1007.5,29.6,33.0
2008-10-21,25.9,35.1,7.6,67.0,56.0,1011.3,1007.3,30.6,33.2
2008-10-22,26.0,37.5,7.6,65.0,20.0,1011.6,1006.5,29.9,36.5
2008-10-23,25.3,36.9,,66.0,41.0,1011.6,1007.6,29.6,34.4
2008-10-24,25.3,36.7,,61.0,44.0,1014.1,1009.8,30.6,33.0
2008-10-25,26.3,33.6,,65.0,53.0,1013.3,1008.7,30.3,32.5
2008-10-26,26.0,33.8,,62.0,46.0,1012.5,1007.6,30.2,32.8
2008-10-27,27.2,34.1,,52.0,36.0,1012.8,1009.0,30.6,33.1
2008-10-28,24.7,33.8,,60.0,41.0,1014.1,1010.0,29.6,31.7
2008-10-29,24.2,33.8,,57.0,47.0,1013.8,1009.8,29.8,32.6
2008-10-30,25.0,33.1,,62.0,48.0,1015.1,1010.9,28.9,32.7
2008-10-31,25.0,34.0,,63.0,49.0,1013.7,1009.0,29.6,33.2
2008-11-01,25.9,34.8,,62.0,41.0,1013.1,1009.4,29.7,33.7
2008-11-02,24.5,34.5,,68.0,44.0,1013.1,1009.1,29.4,33.5
2008-11-03,25.6,33.9,,68.0,57.0,1013.6,1009.3,29.2,32.3
2008-11-04,26.0,33.4,,62.0,53.0,1012.1,1007.6,31.0,31.9
2008-11-05,27.0,33.8,,71.0,53.0,1010.6,1006.7,30.1,32.4
2008-11-06,26.0,35.1,,67.0,51.0,1009.8,1005.8,30.0,33.2
2008-11-07,26.5,35.2,,72.0,41.0,1010.2,1005.9,29.9,34.0
2008-11-08,27.4,34.7,,66.0,50.0,1010.0,1005.7,30.7,34.0
2008-11-09,24.6,35.5,7.8,67.0,54.0,1011.7,1007.2,28.2,33.1
2008-11-10,24.6,32.9,7.2,72.0,62.0,1011.8,1007.9,28.9,30.4
2008-11-11,25.4,33.0,4.4,71.0,62.0,1011.3,1006.5,28.6,31.9
2008-11-12,26.8,33.7,4.2,72.0,56.0,1009.1,1005.3,29.9,32.2
2008-11-13,26.0,34.3,7.0,59.0,45.0,1009.7,1007.1,30.7,33.3
2008-11-14,26.1,35.9,7.4,64.0,42.0,1009.8,1006.0,30.8,34.7
2008-11-15,28.0,35.1,8.2,59.0,43.0,1009.9,1005.2,30.9,33.9
2008-11-16,25.6,35.0,7.4,73.0,46.0,1009.7,1005.3,28.0,34.0
2008-11-17,26.6,34.5,7.2,62.0,50.0,1008.5,1004.3,30.6,33.5
2008-11-18,27.1,31.0,6.8,71.0,91.0,1008.4,1006.4,30.3,25.9
2008-11-19,23.7,34.7,1.6,75.0,57.0,1009.5,1006.0,29.3,33.3
2008-11-20,26.2,34.7,6.6,70.0,51.0,1009.6,1004.8,30.8,34.1
2008-11-21,26.0,32.7,6.4,69.0,87.0,1008.4,1006.0,31.9,26.7
2008-11-22,25.7,34.2,1.8,79.0,60.0,1007.7,1003.3,30.2,33.3
2008-11-23,29.6,34.9,4.4,66.0,50.0,1007.3,1003.7,32.1,34.6
2008-11-24,26.3,35.6,9.2,71.0,57.0,1006.9,1004.2,31.7,34.5
2008-11-25,29.1,35.0,8.2,71.0,71.0,1007.9,1004.4,32.1,31.7
2008-11-26,27.2,34.4,5.4,72.0,58.0,1008.3,1005.0,31.6,33.3
2008-11-27,26.6,35.0,6.4,71.0,54.0,1009.0,1006.3,30.9,33.4
2008-11-28,26.5,33.2,6.8,70.0,62.0,1010.1,1007.6,30.3,32.3
2008-11-29,27.0,34.8,7.6,67.0,61.0,1011.2,1007.7,31.1,33.8
2008-11-30,23.4,31.9,6.6,90.0,63.0,1010.7,1008.7,26.5,31.4
2008-12-01,26.4,34.6,3.6,70.0,58.0,1010.5,1005.9,30.6,33.9
2008-12-02,26.0,34.3,5.8,71.0,77.0,1009.2,1005.8,30.7,30.7
2008-12-03,26.8,34.4,4.2,74.0,58.0,1008.0,1004.9,31.1,33.9
2008-12-04,25.5,34.4,6.2,84.0,90.0,1010.3,1008.9,27.8,26.5
2008-12-05,24.1,34.0,5.4,77.0,60.0,1011.9,1007.6,29.7,32.6
2008-12-06,26.8,34.8,6.6,72.0,59.0,1010.3,1006.6,30.5,32.7
2008-12-07,25.4,33.5,5.2,70.0,66.0,1009.9,1006.8,30.2,30.8
2008-12-08,27.0,34.0,4.0,71.0,56.0,1010.1,1006.4,30.5,33.4
2008-12-09,24.8,33.4,7.6,70.0,66.0,1009.3,1006.2,28.9,31.2
2008-12-10,25.0,33.2,6.6,78.0,64.0,1008.6,1005.7,29.9,32.6
2008-12-11,26.4,33.5,8.0,74.0,66.0,1006.9,1004.1,30.7,30.3
2008-12-12,25.8,33.4,4.6,72.0,76.0,1007.4,1005.0,29.9,29.4
2008-12-13,25.7,32.3,6.0,73.0,76.0,1008.1,1005.1,30.9,30.1
2008-12-14,26.2,33.4,3.8,80.0,89.0,1006.6,1004.7,29.0,27.0
2008-12-15,24.5,32.5,4.0,79.0,90.0,1007.2,1004.3,27.6,26.6
2008-12-16,23.7,29.1,10.4,97.0,76.0,1008.6,1004.7,23.9,28.5
2008-12-17,23.6,28.1,5.6,96.0,87.0,1009.3,1005.7,23.8,26.7
2008-12-18,23.8,28.3,2.8,94.0,95.0,1007.3,1004.6,25.8,24.9
2008-12-19,24.1,28.1,7.8,94.0,89.0,1006.2,1003.0,24.7,27.0
2008-12-20,24.0,29.2,5.0,90.0,82.0,1006.5,1004.8,26.4,27.7
2008-12-21,24.6,31.7,3.0,82.0,70.0,1007.1,1004.1,27.7,30.8
2008-12-22,24.9,31.2,4.0,80.0,65.0,1007.5,1006.1,29.2,31.2
2008-12-23,26.1,32.9,3.6,72.0,62.0,1007.4,1004.6,29.9,32.2
2008-12-24,26.7,32.0,8.0,75.0,72.0,1007.6,1005.4,29.4,29.9
2008-12-25,25.2,32.1,4.8,80.0,59.0,1008.0,1005.8,28.9,31.7
2008-12-26,26.1,33.2,4.4,72.0,61.0,1007.6,1005.0,30.3,32.1
2008-12-27,25.9,34.4,4.8,78.0,59.0,1007.1,1003.9,29.4,32.8
2008-12-28,23.6,32.6,5.6,68.0,62.0,1006.7,1003.8,30.6,31.1
2008-12-29,27.4,31.3,4.0,73.0,96.0,1005.5,1005.1,30.1,23.7
2008-12-30,23.4,29.3,3.8,84.0,75.0,1005.9,1002.5,26.7,29.3
2008-12-31,24.1,29.9,6.4,96.0,74.0,1004.1,1001.2,24.5,29.2
2009-01-01,24.5,31.5,4.2,74.0,72.0,1004.1,1002.2,29.0,30.5
2009-01-02,27.7,32.3,5.2,70.0,61.0,1004.9,1003.0,30.2,31.8
2009-01-03,25.8,32.7,6.0,75.0,71.0,1005.8,1002.9,29.8,30.7
2009-01-04,26.1,31.1,5.6,75.0,80.0,1007.0,1004.2,29.4,30.4
2009-01-05,23.8,31.7,6.6,80.0,85.0,1007.0,1004.5,29.3,27.5
2009-01-06,24.0,32.7,3.0,79.0,64.0,1006.9,1004.0,29.3,32.2
2009-01-07,27.7,33.3,7.2,74.0,65.0,1008.2,1004.8,30.2,32.1
2009-01-08,28.5,33.4,7.2,78.0,70.0,1006.0,1004.0,30.5,30.6
2009-01-09,28.8,31.0,7.4,73.0,69.0,1004.5,1002.5,30.2,29.6
2009-01-10,25.0,31.8,4.6,86.0,69.0,1004.7,1001.1,26.3,30.8
2009-01-11,24.0,32.4,3.0,74.0,65.0,1005.3,1004.5,30.1,31.6
2009-01-12,27.6,33.9,6.6,73.0,66.0,1008.7,1006.2,30.4,32.4
2009-01-13,25.1,33.7,6.8,76.0,62.0,1009.0,1005.5,30.1,32.6
2009-01-14,26.2,30.0,6.4,76.0,85.0,1008.3,1007.2,29.9,26.7
