Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-07-01,E,41.0,ENE,SSE,13.0,17.0
2008-07-02,ENE,50.0,SE,E,15.0,28.0
2008-07-03,E,46.0,ESE,ENE,22.0,19.0
2008-07-04,E,44.0,SE,E,22.0,13.0
2008-07-05,ESE,46.0,E,E,20.0,19.0
2008-07-06,E,41.0,ESE,SE,11.0,13.0
2008-07-07,E,48.0,SE,ESE,11.0,22.0
2008-07-08,ESE,54.0,SE,ESE,20.0,33.0
2008-07-09,ESE,50.0,SE,ESE,31.0,24.0
2008-07-10,ESE,48.0,SE,ESE,17.0,13.0
2008-07-11,E,41.0,ESE,NE,20.0,11.0
2008-07-12,NE,35.0,E,WSW,13.0,15.0
2008-07-13,WNW,28.0,SSE,NW,13.0,22.0
2008-07-14,ENE,33.0,ESE,NNW,7.0,20.0
2008-07-15,ESE,41.0,SE,NNW,9.0,20.0
2008-07-16,ESE,41.0,SSE,ESE,15.0,22.0
2008-07-17,E,43.0,SE,ENE,15.0,20.0
2008-07-18,N,41.0,ESE,NNE,13.0,24.0
2008-07-19,WNW,26.0,E,NW,9.0,15.0
2008-07-20,NW,35.0,S,NW,7.0,22.0
2008-07-21,SE,41.0,SE,NW,22.0,22.0
2008-07-22,ESE,52.0,SE,SSE,26.0,19.0
2008-07-23,SE,52.0,SE,SE,31.0,26.0
2008-07-24,SE,44.0,SE,S,28.0,15.0
2008-07-25,ESE,43.0,SE,SSE,24.0,17.0
2008-07-26,E,41.0,ESE,SE,17.0,15.0
2008-07-27,NNW,28.0,S,NNW,4.0,19.0
2008-07-28,N,33.0,E,NW,2.0,20.0
2008-07-29,E,33.0,SSE,NNW,11.0,19.0
2008-07-30,NW,35.0,S,NW,7.0,22.0
2008-07-31,E,33.0,ENE,NNW,17.0,22.0
2008-08-01,SSE,33.0,SE,N,13.0,28.0
2008-08-02,E,44.0,E,ESE,15.0,24.0
2008-08-03,ESE,54.0,ESE,E,17.0,33.0
2008-08-04,ESE,52.0,S,WNW,11.0,28.0
2008-08-05,ESE,44.0,,NW,0.0,24.0
2008-08-06,E,46.0,SE,ENE,15.0,24.0
2008-08-07,ESE,50.0,ESE,E,24.0,24.0
2008-08-08,ESE,52.0,SE,E,19.0,19.0
2008-08-09,E,41.0,ESE,NW,15.0,24.0
2008-08-10,E,37.0,SE,E,15.0,17.0
2008-08-11,ESE,46.0,SE,WNW,26.0,20.0
2008-08-12,ESE,37.0,SE,WNW,20.0,19.0
2008-08-13,E,43.0,SE,NW,20.0,26.0
2008-08-14,NNE,31.0,SE,NNW,20.0,22.0
2008-08-15,N,41.0,SE,N,24.0,11.0
2008-08-16,ESE,43.0,ESE,NNW,30.0,17.0
2008-08-17,E,44.0,SE,SSE,26.0,24.0
2008-08-18,SE,46.0,SE,SE,31.0,17.0
2008-08-19,E,48.0,SE,N,20.0,15.0
2008-08-20,ENE,39.0,NE,NNE,13.0,22.0
2008-08-21,E,41.0,E,NNW,13.0,20.0
2008-08-22,E,52.0,SSE,ESE,17.0,19.0
2008-08-23,ESE,48.0,SE,SSE,24.0,20.0
2008-08-24,ESE,37.0,SE,SE,19.0,11.0
2008-08-25,ENE,48.0,E,NNE,22.0,31.0
2008-08-26,N,46.0,SSE,N,9.0,30.0
2008-08-27,NE,48.0,E,NNE,7.0,31.0
2008-08-28,NNW,33.0,NE,NNW,11.0,24.0
2008-08-29,NNE,48.0,NE,NNE,17.0,28.0
2008-08-30,E,41.0,ENE,N,15.0,28.0
2008-08-31,NE,33.0,E,NNW,6.0,24.0
2008-09-01,ENE,39.0,ENE,N,7.0,26.0
2008-09-02,E,52.0,,NW,0.0,22.0
2008-09-03,E,43.0,ENE,N,13.0,28.0
2008-09-04,E,37.0,SE,NNW,20.0,24.0
2008-09-05,E,35.0,ENE,N,11.0,19.0
2008-09-06,N,33.0,N,NW,4.0,22.0
2008-09-07,WNW,33.0,SSW,WNW,4.0,26.0
2008-09-08,WNW,33.0,WSW,NW,9.0,22.0
2008-09-09,E,48.0,SSE,NNW,9.0,26.0
2008-09-10,E,52.0,SSE,NNW,13.0,24.0
2008-09-11,NW,33.0,SW,NW,6.0,24.0
2008-09-12,WNW,35.0,WNW,WNW,9.0,26.0
2008-09-13,NNW,31.0,NE,NNW,15.0,17.0
2008-09-14,N,35.0,NNE,NNW,11.0,20.0
2008-09-15,NW,28.0,NW,NNW,7.0,17.0
2008-09-16,NW,31.0,S,NW,17.0,20.0
2008-09-17,WNW,39.0,,NW,0.0,30.0
2008-09-18,WNW,44.0,W,WNW,11.0,22.0
2008-09-19,WNW,35.0,WSW,NW,2.0,28.0
2008-09-20,NNE,39.0,NNE,NNW,17.0,24.0
2008-09-21,N,37.0,N,NNW,9.0,24.0
2008-09-22,N,33.0,NNW,NNW,15.0,20.0
2008-09-23,ESE,39.0,NW,NNW,9.0,22.0
2008-09-24,ENE,35.0,ESE,SW,17.0,19.0
2008-09-25,E,46.0,ENE,NNW,17.0,24.0
2008-09-26,NNW,37.0,ENE,NNW,7.0,22.0
2008-09-27,N,35.0,ENE,NNW,9.0,24.0
2008-09-28,N,35.0,NNE,NNW,11.0,24.0
2008-09-29,NNW,35.0,NNE,NW,6.0,24.0
2008-09-30,NNW,37.0,W,NW,7.0,24.0
2008-10-01,NNW,33.0,NE,WNW,6.0,20.0
2008-10-02,NE,41.0,E,NNW,15.0,20.0
2008-10-03,NNW,39.0,SSE,NNW,11.0,24.0
2008-10-04,NNW,37.0,NNE,N,7.0,26.0
2008-10-05,NW,31.0,NE,NNW,13.0,19.0
2008-10-06,N,50.0,E,NNE,13.0,33.0
2008-10-07,S,57.0,E,N,17.0,26.0
2008-10-08,WNW,35.0,SSE,N,11.0,20.0
2008-10-09,N,31.0,NE,NNW,13.0,22.0
2008-10-10,N,46.0,SE,N,17.0,30.0
2008-10-11,ENE,41.0,S,N,15.0,28.0
2008-10-12,NW,35.0,SSW,NW,15.0,28.0
2008-10-13,WNW,39.0,SSW,NW,7.0,28.0
2008-10-14,N,41.0,NNW,NNW,13.0,22.0
2008-10-15,E,102.0,S,E,13.0,22.0
2008-10-16,NNW,31.0,S,NNW,6.0,20.0
2008-10-17,SE,54.0,ENE,W,9.0,9.0
2008-10-18,E,46.0,SSE,ENE,11.0,22.0
2008-10-19,E,37.0,E,NNE,19.0,24.0
2008-10-20,SE,41.0,E,NNW,19.0,28.0
