Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-12-01,NNW,31.0,NNW,NE,17.0,22.0
2008-12-02,NNE,37.0,NNW,NNE,19.0,31.0
2008-12-03,NNE,52.0,N,N,24.0,31.0
2008-12-04,SE,52.0,ENE,SE,15.0,39.0
2008-12-05,NW,43.0,E,SE,11.0,11.0
2008-12-06,NW,48.0,NW,NW,22.0,17.0
2008-12-07,SSE,54.0,NNW,SSE,17.0,39.0
2008-12-08,SE,41.0,S,SE,26.0,26.0
2008-12-09,,,SSE,ENE,19.0,26.0
2008-12-10,NNE,41.0,N,NNE,19.0,31.0
2008-12-11,SSE,50.0,SE,NNE,20.0,30.0
2008-12-12,S,39.0,S,S,28.0,22.0
2008-12-13,N,41.0,NNW,N,22.0,30.0
2008-12-14,WNW,61.0,NW,W,35.0,33.0
2008-12-15,SSE,39.0,W,SSE,22.0,31.0
2008-12-16,NNE,33.0,E,NE,11.0,26.0
2008-12-17,NNE,37.0,NW,NNE,24.0,31.0
2008-12-18,SSW,56.0,NW,N,20.0,33.0
2008-12-19,S,56.0,NNW,N,28.0,19.0
2008-12-20,SSE,54.0,SSE,SSE,37.0,37.0
2008-12-21,SE,54.0,S,SSE,33.0,39.0
2008-12-22,ESE,39.0,S,SE,24.0,30.0
2008-12-23,NNE,43.0,NNE,NNE,15.0,33.0
2008-12-24,NNE,46.0,NNE,NNE,19.0,37.0
2008-12-25,NE,31.0,SE,E,19.0,11.0
2008-12-26,NNE,26.0,NE,NNE,17.0,17.0
2008-12-27,NNE,30.0,NNE,NNE,17.0,26.0
2008-12-28,NNE,50.0,NW,NNE,17.0,28.0
2008-12-29,WSW,74.0,NE,NNE,17.0,28.0
2008-12-30,NW,35.0,NW,NNE,24.0,26.0
2008-12-31,NW,24.0,NNE,N,11.0,19.0
2009-01-01,WNW,50.0,NNE,NNE,13.0,22.0
2009-01-02,SE,46.0,WSW,SE,13.0,31.0
2009-01-03,SSE,70.0,SSE,SE,46.0,50.0
2009-01-04,SE,56.0,SE,SSE,41.0,33.0
2009-01-05,SE,41.0,SSE,SE,28.0,30.0
2009-01-06,ESE,30.0,SE,ESE,22.0,24.0
2009-01-07,E,28.0,ESE,E,19.0,17.0
2009-01-08,N,22.0,WSW,NNE,11.0,15.0
2009-01-09,SSE,74.0,S,S,43.0,54.0
2009-01-10,S,56.0,SSE,SSE,46.0,39.0
2009-01-11,SSE,33.0,SSE,SE,24.0,24.0
2009-01-12,SE,39.0,SSE,SE,17.0,22.0
2009-01-13,SE,52.0,SE,ESE,33.0,35.0
2009-01-14,SE,41.0,ESE,ESE,26.0,24.0
2009-01-15,NE,39.0,NE,NE,9.0,33.0
2009-01-16,N,50.0,NNW,NNE,24.0,35.0
2009-01-17,SSE,70.0,SSE,SSE,41.0,44.0
2009-01-18,S,52.0,SSE,SSE,31.0,31.0
2009-01-19,SSE,31.0,SSE,E,24.0,15.0
2009-01-20,NE,30.0,SE,NE,7.0,20.0
2009-01-21,NNE,41.0,NE,NNE,15.0,33.0
2009-01-22,NNE,35.0,NNE,NNE,17.0,28.0
2009-01-23,NNW,39.0,NNW,NNE,15.0,28.0
2009-01-24,NNE,37.0,NW,NNE,13.0,28.0
2009-01-25,ENE,37.0,NNE,NE,13.0,19.0
2009-01-26,SE,35.0,SE,SE,11.0,17.0
2009-01-27,S,48.0,S,SE,20.0,31.0
2009-01-28,SE,48.0,SSE,SE,28.0,30.0
2009-01-29,E,54.0,SSE,E,20.0,20.0
2009-01-30,ESE,57.0,E,E,24.0,28.0
2009-01-31,ESE,41.0,SE,SSE,24.0,24.0
2009-02-01,SE,52.0,SSE,SE,28.0,33.0
2009-02-02,SE,48.0,SE,SSE,35.0,33.0
2009-02-03,ESE,35.0,SSW,ESE,13.0,19.0
2009-02-04,SSE,44.0,SE,SE,30.0,31.0
2009-02-05,SE,39.0,SSE,SE,26.0,31.0
2009-02-06,SE,41.0,SSE,SE,24.0,31.0
2009-02-07,SE,41.0,SE,SE,28.0,30.0
