Date,MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2008-07-01,4.6,12.2,3.4,72.0,42.0,988.3,992.3,6.5,12.1
2008-07-02,5.1,10.8,3.6,78.0,60.0,991.7,1002.5,6.0,8.5
2008-07-03,5.5,12.4,2.0,55.0,53.0,1008.7,1015.1,10.1,9.3
2008-07-04,0.9,10.4,0.2,76.0,54.0,1028.9,1028.1,3.2,9.6
2008-07-05,0.5,10.0,1.4,79.0,53.0,1028.2,1025.4,2.9,9.7
2008-07-06,1.3,10.0,1.4,77.0,70.0,1021.6,1017.8,4.2,9.1
2008-07-07,4.1,15.8,1.0,82.0,61.0,1017.2,1015.2,7.7,13.8
2008-07-08,7.3,14.2,0.2,96.0,72.0,1017.6,1017.2,8.3,14.0
2008-07-09,5.4,11.4,0.8,88.0,74.0,1017.8,1012.4,7.5,10.7
2008-07-10,5.2,12.9,4.6,68.0,49.0,998.7,996.5,9.0,10.3
2008-07-11,3.7,10.0,0.2,66.0,52.0,1002.3,1007.4,7.1,9.5
2008-07-12,6.4,10.9,1.8,73.0,63.0,1016.5,1014.8,8.3,10.8
2008-07-13,6.5,13.0,3.0,77.0,56.0,1016.2,1016.0,7.6,12.2
2008-07-14,5.1,13.1,2.4,88.0,64.0,1020.4,1019.6,5.8,11.6
2008-07-15,5.7,12.4,1.0,88.0,69.0,1023.3,1022.4,7.1,11.6
2008-07-16,6.1,10.1,1.0,88.0,87.0,1023.8,1021.5,7.3,10.1
2008-07-17,4.9,12.6,3.0,91.0,66.0,1015.9,1010.0,6.2,11.4
2008-07-18,3.6,13.9,0.2,85.0,53.0,1001.7,999.7,6.0,13.2
2008-07-19,3.9,12.1,0.8,66.0,50.0,1005.0,1005.2,7.4,10.8
2008-07-20,1.3,8.2,4.0,74.0,70.0,1011.4,1008.5,3.5,7.2
2008-07-21,3.3,8.0,0.4,80.0,74.0,1000.6,1004.5,5.1,4.6
2008-07-22,3.3,10.9,1.6,59.0,54.0,1020.3,1022.2,7.9,10.6
2008-07-23,4.6,12.5,5.0,76.0,58.0,1031.2,1030.3,7.4,11.2
2008-07-24,2.7,12.8,1.2,75.0,45.0,1032.2,1028.9,5.3,12.1
2008-07-25,2.7,13.0,1.6,74.0,43.0,1024.9,1021.0,4.2,12.6
2008-07-26,1.5,11.4,0.0,78.0,60.0,1017.3,1014.5,3.6,9.9
2008-07-27,3.6,10.8,2.0,96.0,62.0,1017.6,1017.9,4.8,9.6
2008-07-28,4.8,10.0,1.0,73.0,88.0,1024.2,1024.1,6.9,7.7
2008-07-29,5.4,11.5,0.6,82.0,47.0,1024.0,1019.4,6.5,10.7
2008-07-30,0.3,11.1,0.0,93.0,48.0,1017.6,1013.5,1.2,10.6
2008-07-31,1.1,14.1,0.6,73.0,54.0,1008.9,1003.8,5.3,13.4
2008-08-01,4.9,13.1,1.0,85.0,68.0,993.8,991.7,6.7,11.4
2008-08-02,6.4,12.0,0.4,69.0,55.0,1004.5,1006.2,8.4,10.8
2008-08-03,4.7,15.2,1.8,71.0,52.0,1014.5,1013.0,7.8,12.6
2008-08-04,4.7,15.9,2.2,74.0,41.0,1017.7,1017.4,6.6,15.0
2008-08-05,4.5,16.2,1.4,74.0,43.0,1021.8,1020.0,7.9,16.0
2008-08-06,3.7,14.3,1.6,72.0,50.0,1018.9,1017.6,7.6,12.9
2008-08-07,6.6,12.9,1.2,76.0,63.0,1020.5,1019.2,9.0,12.2
2008-08-08,6.1,13.2,1.4,84.0,70.0,1019.0,1015.6,7.2,11.7
2008-08-09,3.9,13.1,0.8,70.0,51.0,1015.7,1013.3,7.1,10.9
2008-08-10,1.8,10.4,2.0,85.0,66.0,1012.4,1011.8,3.4,9.9
2008-08-11,1.7,12.7,0.6,78.0,53.0,1014.9,1012.5,4.7,10.5
2008-08-12,4.6,11.9,1.8,71.0,46.0,1006.1,1004.7,8.2,8.3
2008-08-13,2.0,11.1,2.4,62.0,44.0,1012.0,1009.4,7.0,10.5
2008-08-14,6.6,11.1,3.2,77.0,73.0,1009.0,1007.7,8.5,8.8
2008-08-15,5.4,9.5,2.0,78.0,63.0,1011.2,1010.2,6.5,8.5
2008-08-16,4.3,10.0,3.8,67.0,65.0,1013.7,1015.7,6.1,9.1
2008-08-17,5.0,12.3,0.2,73.0,84.0,1021.9,1020.8,7.7,8.3
2008-08-18,1.2,13.5,0.2,71.0,48.0,1020.8,1018.2,6.4,12.0
2008-08-19,6.2,17.2,1.0,51.0,35.0,1012.3,1005.6,13.2,15.4
2008-08-20,4.3,13.1,2.8,70.0,36.0,1015.1,1011.7,8.1,12.7
2008-08-21,5.5,11.6,2.0,56.0,61.0,1012.9,1015.9,9.9,7.5
2008-08-22,1.4,12.7,2.2,66.0,40.0,1025.5,1023.4,5.4,11.8
2008-08-23,3.3,14.0,2.4,65.0,57.0,1025.1,1023.8,8.8,13.0
2008-08-24,4.0,15.5,2.4,63.0,45.0,1026.5,1024.7,9.9,13.4
2008-08-25,3.6,15.5,2.4,64.0,41.0,1023.4,1018.4,8.6,15.3
2008-08-26,6.4,13.8,2.0,61.0,51.0,1014.0,1012.4,8.7,13.4
2008-08-27,5.2,16.2,1.0,64.0,48.0,1024.3,1024.2,10.4,14.8
2008-08-28,4.0,13.8,1.4,70.0,53.0,1029.7,1027.5,9.4,13.5
2008-08-29,5.1,16.6,1.6,73.0,49.0,1026.1,1022.0,8.7,14.8
2008-08-30,5.1,17.5,2.2,74.0,43.0,1018.4,1011.2,9.2,16.6
2008-08-31,9.0,19.5,2.4,66.0,40.0,997.1,997.2,13.6,15.9
2008-09-01,7.3,13.7,3.4,48.0,48.0,1004.8,1006.2,10.3,13.3
2008-09-02,7.3,12.6,3.4,70.0,32.0,1013.5,1021.7,8.5,9.9
2008-09-03,2.4,14.0,3.2,60.0,47.0,1036.7,1036.2,8.0,10.9
2008-09-04,2.2,15.4,1.8,66.0,32.0,1037.5,1032.9,6.9,15.0
2008-09-05,4.6,17.2,1.6,55.0,36.0,1027.1,1021.7,9.3,15.3
2008-09-06,6.0,19.2,2.2,57.0,28.0,1020.6,1016.0,10.9,18.9
2008-09-07,9.3,16.1,2.8,68.0,60.0,1012.7,1012.8,10.9,10.7
2008-09-08,4.8,10.6,1.8,58.0,58.0,1023.2,1024.0,7.4,9.1
2008-09-09,3.4,12.1,2.0,46.0,52.0,1025.7,1023.0,10.3,10.5
2008-09-10,4.2,16.1,2.4,66.0,48.0,1019.3,1015.6,10.1,15.0
2008-09-11,5.8,20.0,2.4,51.0,43.0,1010.8,1005.9,10.3,18.2
2008-09-12,10.2,18.9,3.6,75.0,43.0,999.7,993.7,11.7,18.4
2008-09-13,10.9,21.0,5.4,50.0,38.0,997.8,995.4,15.4,20.0
2008-09-14,12.8,20.0,5.4,44.0,46.0,986.3,989.3,19.5,14.9
2008-09-15,7.5,16.0,6.4,48.0,31.0,988.0,984.0,14.7,15.5
2008-09-16,7.4,11.1,5.2,60.0,60.0,1004.5,1012.6,8.0,8.4
2008-09-17,3.3,16.8,3.2,55.0,37.0,1021.9,1018.1,10.0,16.5
2008-09-18,5.0,18.7,3.8,49.0,42.0,1014.4,1007.9,12.3,17.6
2008-09-19,10.0,21.4,4.4,42.0,36.0,1001.8,996.7,15.7,20.3
2008-09-20,6.5,15.3,6.6,52.0,48.0,995.5,994.8,10.7,12.0
2008-09-21,5.8,17.5,2.8,51.0,36.0,1003.6,998.3,12.0,17.0
2008-09-22,11.8,16.5,7.4,50.0,88.0,992.1,994.7,15.9,8.9
2008-09-23,5.8,14.4,3.2,39.0,38.0,1003.4,1007.7,11.1,12.8
2008-09-24,7.6,16.8,2.0,58.0,39.0,1022.5,1021.9,11.5,15.5
2008-09-25,9.2,22.6,3.6,36.0,18.0,1019.9,1012.5,14.0,21.9
2008-09-26,14.0,18.2,8.8,42.0,62.0,1005.2,1007.7,18.1,11.9
2008-09-27,6.7,16.0,2.6,57.0,39.0,1015.6,1010.1,10.3,14.8
2008-09-28,8.7,16.9,3.0,53.0,45.0,1003.0,996.8,12.1,16.2
2008-09-29,5.0,14.0,3.4,38.0,40.0,1012.1,1011.9,10.7,12.0
2008-09-30,7.4,16.6,2.4,44.0,36.0,1010.0,1010.7,13.2,15.9
2008-10-01,9.5,21.9,7.8,47.0,34.0,1011.9,1007.0,15.4,17.8
2008-10-02,10.9,20.9,2.2,48.0,34.0,1002.9,1004.7,17.8,20.4
2008-10-03,10.9,15.9,5.4,82.0,47.0,1003.7,1002.9,11.7,14.5
2008-10-04,6.9,16.6,5.4,48.0,49.0,1012.2,1010.7,11.9,14.1
2008-10-05,9.2,18.6,6.0,47.0,33.0,1010.5,1006.3,14.2,18.1
2008-10-06,7.4,14.1,5.0,47.0,55.0,1003.7,1007.2,11.0,10.7
2008-10-07,5.6,14.8,3.6,51.0,34.0,1002.2,1003.8,11.8,14.0
2008-10-08,7.6,14.8,6.2,52.0,57.0,1011.9,1011.7,10.0,12.7
2008-10-09,9.2,21.6,3.6,54.0,30.0,1016.7,1016.4,12.8,20.8
2008-10-10,10.9,19.9,5.2,52.0,42.0,1021.2,1021.2,15.6,18.7
