Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-07-01,WSW,81.0,NNE,NW,17.0,24.0
2008-07-02,W,83.0,NW,SW,24.0,26.0
2008-07-03,SW,100.0,WNW,SW,37.0,39.0
2008-07-04,NNW,28.0,NW,N,17.0,9.0
2008-07-05,NNW,28.0,NNW,NW,13.0,15.0
2008-07-06,NNW,41.0,NNW,N,19.0,7.0
2008-07-07,NNW,39.0,NNW,WNW,13.0,4.0
2008-07-08,NNW,24.0,N,NNW,7.0,13.0
2008-07-09,NW,35.0,NW,N,11.0,13.0
2008-07-10,NNW,44.0,NNW,NW,19.0,20.0
2008-07-11,SW,52.0,NW,SW,20.0,28.0
2008-07-12,NW,43.0,SW,N,6.0,9.0
2008-07-13,N,30.0,NW,NNW,17.0,11.0
2008-07-14,NNW,28.0,NW,E,13.0,9.0
2008-07-15,SSE,26.0,NNW,SSE,11.0,11.0
2008-07-16,NNW,17.0,NNW,,11.0,0.0
2008-07-17,NNE,20.0,,ENE,0.0,7.0
2008-07-18,NNW,46.0,NNE,NW,4.0,22.0
2008-07-19,WNW,41.0,NE,NNW,11.0,17.0
2008-07-20,NNW,28.0,N,NNW,9.0,7.0
2008-07-21,SW,65.0,SSW,SSW,30.0,28.0
2008-07-22,WSW,52.0,N,SW,11.0,20.0
2008-07-23,WSW,30.0,NW,NW,13.0,15.0
2008-07-24,NW,30.0,NW,NNW,17.0,11.0
2008-07-25,NNW,30.0,NW,NNW,19.0,13.0
2008-07-26,NW,30.0,NW,SE,19.0,7.0
2008-07-27,S,37.0,WNW,SSE,9.0,24.0
2008-07-28,S,39.0,S,SSW,19.0,13.0
2008-07-29,N,28.0,NNW,NNW,15.0,15.0
2008-07-30,NW,28.0,N,NNW,15.0,15.0
2008-07-31,NW,35.0,NNW,NNW,28.0,19.0
2008-08-01,WSW,33.0,NNW,ESE,20.0,2.0
2008-08-02,WSW,57.0,NNE,WSW,13.0,31.0
2008-08-03,NNW,33.0,NW,ESE,17.0,13.0
2008-08-04,NNW,35.0,NNW,NNW,19.0,7.0
2008-08-05,NNW,35.0,NNW,NNW,17.0,15.0
2008-08-06,NNW,28.0,NNW,ESE,17.0,9.0
2008-08-07,SE,20.0,,SE,0.0,15.0
2008-08-08,NNW,24.0,NNW,ENE,13.0,9.0
2008-08-09,NNW,28.0,NNW,SE,17.0,17.0
2008-08-10,NNW,22.0,NNW,SE,7.0,9.0
2008-08-11,NNW,50.0,NNW,E,19.0,9.0
2008-08-12,WSW,63.0,N,W,19.0,28.0
2008-08-13,W,78.0,NW,W,22.0,31.0
2008-08-14,SW,57.0,SW,WSW,20.0,26.0
2008-08-15,SW,44.0,SSE,S,7.0,15.0
2008-08-16,SW,61.0,SSW,S,26.0,22.0
2008-08-17,WSW,33.0,NW,S,9.0,17.0
2008-08-18,N,56.0,N,NNW,11.0,22.0
2008-08-19,NNW,91.0,NNW,NNW,24.0,43.0
2008-08-20,NNW,39.0,NNW,WNW,11.0,13.0
2008-08-21,S,54.0,NNW,S,13.0,20.0
2008-08-22,NNW,28.0,NNW,WSW,15.0,13.0
2008-08-23,WSW,50.0,NNW,NNE,13.0,4.0
2008-08-24,NNW,33.0,NNW,E,17.0,9.0
2008-08-25,WNW,35.0,NNW,WSW,15.0,15.0
2008-08-26,SSW,37.0,NNW,NW,15.0,11.0
2008-08-27,NNW,26.0,NNW,S,11.0,13.0
2008-08-28,ESE,22.0,N,SE,11.0,13.0
2008-08-29,NNW,31.0,NNW,E,20.0,11.0
2008-08-30,NNW,52.0,NNW,NNW,19.0,22.0
2008-08-31,WNW,54.0,NNW,WNW,15.0,15.0
2008-09-01,NW,63.0,NNW,NW,35.0,28.0
2008-09-02,NNW,74.0,N,SW,31.0,28.0
2008-09-03,NNW,33.0,N,ESE,15.0,13.0
2008-09-04,NNW,31.0,NNW,NNW,17.0,9.0
2008-09-05,NW,39.0,N,NNW,15.0,15.0
2008-09-06,NW,37.0,NNW,WNW,17.0,19.0
2008-09-07,NW,50.0,NNE,SW,7.0,11.0
2008-09-08,SSW,52.0,SSW,SSE,19.0,20.0
2008-09-09,SSW,31.0,S,E,7.0,9.0
2008-09-10,SSW,28.0,NNW,NNW,17.0,13.0
2008-09-11,NNW,52.0,N,NNE,28.0,20.0
2008-09-12,NW,87.0,NNW,NNW,15.0,39.0
2008-09-13,NW,93.0,NW,NW,33.0,54.0
2008-09-14,NNW,87.0,NNW,NW,43.0,31.0
