Date,MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2013-03-01,24.7,34.6,4.0,74.0,49.0,1008.5,1005.0,28.7,34.1
2013-03-02,25.2,31.1,6.4,88.0,77.0,1008.6,1004.1,27.0,29.0
2013-03-03,25.4,35.9,3.8,82.0,55.0,1004.1,999.6,29.2,35.1
2013-03-04,21.6,33.0,,95.0,64.0,1005.1,1002.0,25.1,31.2
2013-03-05,24.9,,4.0,89.0,61.0,1007.1,1003.8,26.9,33.6
2013-03-06,,35.9,,,49.0,1008.0,1004.3,,35.0
2013-03-07,24.5,35.7,12.0,81.0,49.0,1008.4,1004.8,28.0,35.0
2013-03-08,25.2,36.5,6.0,77.0,50.0,1009.3,1004.3,28.5,35.2
2013-03-09,21.7,32.8,6.6,93.0,63.0,1009.8,1003.9,22.6,31.4
2013-03-10,21.7,35.9,4.2,85.0,53.0,1007.7,1002.3,28.5,34.8
2013-03-11,23.4,34.6,6.0,83.0,54.0,1007.1,1003.0,27.7,34.5
2013-03-12,23.9,34.8,6.4,87.0,47.0,1008.2,1003.6,26.8,34.0
2013-03-13,23.2,37.3,4.0,78.0,48.0,1007.8,1004.2,28.0,35.8
2013-03-14,22.9,37.0,5.4,76.0,55.0,1008.5,1004.9,27.0,35.2
2013-03-15,25.1,37.5,6.0,77.0,47.0,1011.2,1007.2,29.5,36.2
2013-03-16,23.4,37.4,9.0,68.0,,1012.1,1008.1,29.0,36.1
2013-03-17,23.0,36.8,7.2,75.0,38.0,1011.4,1007.7,28.2,36.0
2013-03-18,22.9,37.0,5.0,74.0,40.0,1011.1,1007.1,28.8,36.3
2013-03-19,22.6,37.0,7.4,67.0,41.0,1011.2,1007.2,30.0,36.1
2013-03-20,24.8,37.5,9.4,65.0,35.0,1012.3,1007.7,29.8,36.8
2013-03-21,24.0,38.1,3.8,67.0,,1010.1,1005.6,30.1,37.3
2013-03-22,24.4,37.9,6.0,71.0,,1010.8,1007.2,29.2,
2013-03-23,23.8,36.5,10.0,66.0,43.0,1011.5,1007.3,30.0,35.2
2013-03-24,24.4,32.5,6.0,69.0,77.0,1010.4,1006.5,29.7,30.0
2013-03-25,23.2,35.0,7.2,78.0,,1009.8,1005.0,27.3,
2013-03-26,23.5,32.7,5.6,82.0,57.0,1008.0,1003.8,26.7,32.0
2013-03-27,24.8,33.8,5.2,87.0,88.0,1006.7,1002.6,26.0,28.1
2013-03-28,23.7,33.8,,98.0,98.0,1006.4,1003.1,25.1,25.4
2013-03-29,23.2,29.6,,91.0,92.0,1006.5,1003.7,26.0,27.0
2013-03-30,24.0,25.8,,96.0,,1006.4,1003.9,24.7,
2013-03-31,24.1,,,96.0,98.0,1007.5,1005.1,25.2,25.6
2013-04-01,,30.4,,,66.0,1011.2,1008.8,,30.5
2013-04-02,22.5,33.6,,86.0,55.0,1011.9,1008.1,26.1,31.5
2013-04-03,24.1,33.5,3.4,87.0,52.0,1010.9,1007.7,26.5,32.5
2013-04-04,22.9,34.3,8.0,64.0,48.0,1011.2,1007.0,27.8,34.0
2013-04-05,23.6,34.6,6.8,78.0,48.0,1010.9,1007.9,28.2,33.9
2013-04-06,23.9,33.0,6.0,81.0,60.0,1011.6,1007.8,27.0,31.9
2013-04-07,22.6,34.4,5.4,78.0,53.0,1010.3,1007.5,27.3,32.5
2013-04-08,21.6,34.3,6.2,74.0,43.0,1011.0,1008.2,27.0,33.3
2013-04-09,21.8,35.2,6.8,81.0,36.0,1011.7,1007.9,27.5,34.6
2013-04-10,20.6,34.3,7.2,53.0,30.0,1009.8,1006.5,26.8,33.9
2013-04-11,18.2,33.8,8.0,44.0,32.0,1009.7,1006.5,26.2,33.1
2013-04-12,17.2,33.4,6.0,62.0,31.0,1011.5,1008.2,24.8,32.8
2013-04-13,16.3,33.4,8.0,66.0,36.0,1012.3,1008.4,23.8,32.2
2013-04-14,19.3,34.8,6.0,69.0,36.0,1011.2,1007.2,25.6,34.1
2013-04-15,21.2,35.4,5.0,71.0,37.0,1009.4,1005.7,27.7,35.0
2013-04-16,20.4,36.0,7.6,76.0,29.0,1010.6,1006.8,26.9,35.6
2013-04-17,20.6,35.8,4.0,58.0,,1011.3,1008.1,28.7,35.0
2013-04-18,19.6,36.2,8.0,71.0,,1011.7,1008.1,26.2,35.4
2013-04-19,18.2,36.0,6.0,67.0,,1013.1,1009.6,25.8,
2013-04-20,19.0,36.3,6.0,,25.0,1013.0,1009.2,27.6,35.6
2013-04-21,18.8,36.4,8.0,58.0,27.0,1012.8,1008.3,27.7,36.0
2013-04-22,18.2,36.7,6.0,70.0,,1011.5,1008.2,26.0,35.5
2013-04-23,19.5,36.3,6.0,72.0,34.0,1012.5,1008.7,26.9,35.8
2013-04-24,17.8,35.1,6.0,63.0,,1015.0,1010.4,26.8,34.0
2013-04-25,18.8,35.4,8.0,69.0,32.0,1014.7,1011.4,26.5,34.7
2013-04-26,16.4,33.9,8.0,42.0,,1015.5,1012.3,25.5,33.5
2013-04-27,14.8,33.9,8.8,53.0,,1014.6,1010.5,23.1,33.3
2013-04-28,16.9,34.7,6.2,,,1014.3,1010.2,23.8,34.2
2013-04-29,18.4,34.1,5.0,63.0,35.0,1014.9,1011.1,26.8,33.3
2013-04-30,15.5,34.2,7.0,54.0,30.0,1014.9,1010.4,25.3,33.1
2013-05-01,16.3,35.0,8.0,67.0,31.0,1013.1,1008.6,24.2,34.0
2013-05-02,21.1,35.5,6.8,64.0,38.0,1011.8,1008.5,27.7,34.6
