Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2013-03-01,WNW,43.0,NW,W,17.0,19.0
2013-03-02,WNW,26.0,WNW,SW,11.0,7.0
2013-03-03,S,48.0,WSW,SW,13.0,15.0
2013-03-04,W,37.0,NW,WNW,13.0,20.0
2013-03-05,NW,30.0,WNW,WNW,13.0,13.0
2013-03-06,NNE,46.0,NNW,WNW,19.0,13.0
2013-03-07,NW,26.0,WNW,W,17.0,11.0
2013-03-08,NNW,39.0,W,N,9.0,9.0
2013-03-09,SSE,61.0,ESE,WNW,22.0,13.0
2013-03-10,SSW,46.0,W,S,9.0,9.0
2013-03-11,SSE,31.0,S,SSE,4.0,15.0
2013-03-12,SSW,20.0,,S,0.0,9.0
2013-03-13,NE,59.0,WNW,WNW,13.0,15.0
2013-03-14,NW,30.0,NNW,WSW,13.0,13.0
2013-03-15,E,74.0,WNW,W,20.0,11.0
2013-03-16,SE,63.0,WNW,S,11.0,9.0
2013-03-17,ENE,24.0,NNW,E,9.0,9.0
2013-03-18,WNW,22.0,NW,E,4.0,7.0
2013-03-19,NE,35.0,N,WSW,11.0,9.0
2013-03-20,SE,22.0,NW,NNW,15.0,6.0
2013-03-21,ENE,24.0,WNW,NW,7.0,9.0
2013-03-22,W,28.0,WNW,NNE,13.0,7.0
2013-03-23,NE,28.0,NE,E,11.0,17.0
2013-03-24,E,43.0,SE,SE,15.0,11.0
2013-03-25,SE,54.0,S,E,9.0,13.0
2013-03-26,ENE,43.0,ESE,ESE,13.0,20.0
2013-03-27,ESE,43.0,E,ESE,19.0,26.0
2013-03-28,ESE,35.0,E,ESE,15.0,15.0
2013-03-29,NE,43.0,ENE,ENE,19.0,15.0
2013-03-30,E,28.0,NE,NE,15.0,13.0
2013-03-31,E,31.0,ENE,ENE,15.0,11.0
2013-04-01,E,31.0,E,E,11.0,11.0
2013-04-02,E,37.0,E,ENE,9.0,13.0
2013-04-03,ESE,28.0,SE,ESE,7.0,15.0
2013-04-04,NE,59.0,ESE,E,13.0,19.0
2013-04-05,ENE,33.0,ENE,E,15.0,13.0
2013-04-06,SE,39.0,ESE,ESE,17.0,19.0
2013-04-07,E,39.0,ESE,ESE,17.0,19.0
2013-04-08,E,46.0,ESE,E,11.0,24.0
2013-04-09,E,35.0,SSE,ESE,15.0,17.0
2013-04-10,ESE,44.0,SE,SE,19.0,19.0
2013-04-11,SSE,37.0,SE,SE,19.0,20.0
2013-04-12,SSE,41.0,SE,SSE,13.0,15.0
2013-04-13,ESE,31.0,,SSE,0.0,17.0
2013-04-14,E,26.0,S,SSE,2.0,9.0
2013-04-15,S,30.0,NE,SE,4.0,9.0
2013-04-16,SSE,24.0,NW,SSE,9.0,7.0
2013-04-17,ENE,35.0,NE,ESE,13.0,20.0
2013-04-18,ENE,39.0,E,E,6.0,22.0
2013-04-19,E,33.0,S,E,6.0,19.0
2013-04-20,SE,33.0,SE,ESE,6.0,17.0
2013-04-21,E,24.0,,E,0.0,13.0
2013-04-22,NW,22.0,NNW,SW,7.0,6.0
2013-04-23,,,NNW,SSE,6.0,9.0
2013-04-24,ESE,37.0,ENE,E,13.0,24.0
2013-04-25,SE,41.0,ESE,ESE,13.0,20.0
2013-04-26,ESE,43.0,SE,ESE,17.0,19.0
2013-04-27,SE,31.0,SE,E,11.0,19.0
2013-04-28,ESE,33.0,SW,E,6.0,17.0
2013-04-29,E,33.0,SSE,SE,7.0,19.0
2013-04-30,E,41.0,SSE,E,13.0,22.0
2013-05-01,ESE,48.0,SE,ENE,9.0,20.0
2013-05-02,SE,44.0,SE,ESE,13.0,19.0
2013-05-03,E,44.0,E,E,17.0,24.0
2013-05-04,E,46.0,ENE,ESE,20.0,19.0
2013-05-05,ESE,35.0,E,SE,19.0,17.0
2013-05-06,ESE,37.0,ENE,SE,11.0,17.0
2013-05-07,ESE,37.0,ENE,ESE,19.0,24.0
2013-05-08,ESE,43.0,SE,SE,13.0,17.0
2013-05-09,ESE,41.0,E,E,17.0,17.0
2013-05-10,ENE,37.0,E,E,13.0,17.0
2013-05-11,ENE,43.0,E,ESE,15.0,20.0
2013-05-12,SE,33.0,NE,ENE,20.0,22.0
2013-05-13,SSE,31.0,S,SSE,17.0,19.0
2013-05-14,SE,37.0,SE,ESE,20.0,17.0
2013-05-15,E,33.0,ESE,ESE,15.0,13.0
2013-05-16,SSE,24.0,NE,SE,9.0,11.0
2013-05-17,E,30.0,SE,E,15.0,9.0
2013-05-18,E,33.0,ESE,E,17.0,19.0
2013-05-19,E,39.0,E,E,22.0,17.0
2013-05-20,E,39.0,ENE,ENE,15.0,17.0
2013-05-21,NE,33.0,E,ENE,9.0,13.0
2013-05-22,W,24.0,NW,W,7.0,11.0
2013-05-23,SE,33.0,SE,ESE,13.0,20.0
2013-05-24,SE,50.0,SE,SE,30.0,24.0
2013-05-25,ESE,50.0,ESE,SE,22.0,24.0
2013-05-26,ESE,44.0,SE,ESE,19.0,24.0
2013-05-27,E,44.0,E,E,22.0,20.0
2013-05-28,ESE,37.0,E,ENE,17.0,13.0
2013-05-29,ENE,37.0,E,E,17.0,15.0
2013-05-30,E,43.0,ESE,ESE,9.0,20.0
2013-05-31,ESE,43.0,ESE,E,15.0,20.0
2013-06-01,E,35.0,ENE,NE,20.0,20.0
2013-06-02,E,50.0,E,ESE,20.0,24.0
2013-06-03,ESE,41.0,ESE,E,24.0,24.0
2013-06-04,E,41.0,ESE,SE,17.0,15.0
2013-06-05,NE,37.0,ENE,ENE,24.0,19.0
2013-06-06,ESE,39.0,E,ENE,22.0,15.0
2013-06-07,E,50.0,ESE,ENE,17.0,22.0
2013-06-08,E,48.0,E,SE,22.0,24.0
