Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-12-01,WNW,57.0,WNW,NW,19.0,28.0
2008-12-02,WNW,46.0,NW,NW,24.0,28.0
2008-12-03,WSW,50.0,NW,WNW,17.0,24.0
2008-12-04,NW,39.0,N,NW,7.0,19.0
2008-12-05,NNW,39.0,SE,NNW,7.0,11.0
2008-12-06,N,54.0,NNW,NNW,24.0,26.0
2008-12-07,W,37.0,NNW,WNW,17.0,17.0
2008-12-08,NW,43.0,NW,NNW,9.0,24.0
2008-12-09,NNW,39.0,NNW,N,13.0,24.0
2008-12-10,NNW,37.0,SSE,NW,15.0,11.0
2008-12-11,NW,37.0,SE,NNW,7.0,19.0
2008-12-12,SE,65.0,SE,NNE,7.0,19.0
2008-12-13,SSE,74.0,SSE,SSE,22.0,39.0
2008-12-14,S,56.0,SSE,SSE,30.0,28.0
2008-12-15,NW,44.0,W,NNW,4.0,28.0
2008-12-16,NNW,43.0,NNW,NNW,15.0,22.0
2008-12-17,NNW,33.0,ESE,NW,11.0,20.0
2008-12-18,NNW,37.0,WNW,NW,9.0,20.0
2008-12-19,S,46.0,SSE,S,30.0,19.0
2008-12-20,NNW,35.0,NNW,NW,9.0,17.0
2008-12-21,NW,35.0,NW,NW,11.0,22.0
2008-12-22,NW,46.0,NE,NW,4.0,17.0
2008-12-23,N,48.0,SE,S,7.0,11.0
2008-12-24,NW,41.0,W,NW,6.0,17.0
2008-12-25,N,39.0,S,N,7.0,17.0
2008-12-26,NW,41.0,WNW,NW,11.0,24.0
2008-12-27,NW,50.0,SE,NNW,6.0,28.0
2008-12-28,NNW,52.0,NNW,NNW,28.0,30.0
2008-12-29,WNW,43.0,NW,NNW,19.0,26.0
2008-12-30,NNW,48.0,NNW,W,13.0,26.0
2008-12-31,WNW,44.0,NW,WNW,13.0,24.0
2009-01-01,WNW,54.0,WNW,WNW,20.0,24.0
2009-01-02,S,39.0,SW,SSW,6.0,19.0
2009-01-03,NNW,35.0,ENE,NW,2.0,20.0
2009-01-04,NW,43.0,WNW,NNW,9.0,28.0
2009-01-05,N,50.0,NNW,N,22.0,28.0
2009-01-06,NNW,54.0,NNW,NNW,28.0,33.0
2009-01-07,NNW,54.0,NNW,NNW,17.0,28.0
2009-01-08,WSW,43.0,WSW,WSW,17.0,22.0
2009-01-09,NW,33.0,SSE,NNW,11.0,13.0
2009-01-10,N,39.0,NW,N,7.0,22.0
2009-01-11,WNW,44.0,NNW,NW,6.0,24.0
2009-01-12,NW,39.0,NW,NW,11.0,20.0
2009-01-13,NW,43.0,NW,NW,11.0,24.0
2009-01-14,NNW,41.0,N,NW,9.0,26.0
2009-01-15,NNW,56.0,NW,WNW,15.0,24.0
2009-01-16,W,54.0,WNW,W,20.0,26.0
2009-01-17,N,41.0,WSW,NNW,6.0,22.0
