Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,SW,69.0,W,SW,33.0,43.0
2009-01-02,SSE,56.0,SW,SSE,31.0,26.0
2009-01-03,SSE,31.0,E,S,13.0,19.0
2009-01-04,SSE,35.0,NE,SSE,2.0,20.0
2009-01-05,SE,33.0,SW,SSE,9.0,20.0
2009-01-06,SSE,50.0,NNE,S,11.0,28.0
2009-01-07,S,46.0,SSW,SSE,17.0,28.0
2009-01-08,SE,56.0,SSW,SSE,28.0,35.0
2009-01-09,S,43.0,SSE,S,19.0,28.0
2009-01-10,S,43.0,WSW,S,7.0,24.0
2009-01-11,S,41.0,SW,SSE,9.0,17.0
2009-01-12,SSE,26.0,SSW,SE,11.0,17.0
2009-01-13,N,52.0,N,NNW,35.0,22.0
2009-01-14,N,57.0,N,S,35.0,24.0
2009-01-15,SW,44.0,SW,SE,28.0,22.0
2009-01-16,WSW,61.0,SW,S,28.0,28.0
2009-01-17,S,41.0,SSE,S,28.0,26.0
2009-01-18,SSE,31.0,SE,SSE,7.0,20.0
2009-01-19,N,54.0,N,WNW,28.0,22.0
2009-01-20,SW,100.0,N,SSE,37.0,37.0
2009-01-21,S,37.0,NE,SSE,9.0,24.0
2009-01-22,W,94.0,NNW,NW,41.0,46.0
2009-01-23,WNW,59.0,N,NW,9.0,24.0
2009-01-24,WSW,54.0,WSW,WSW,30.0,30.0
2009-01-25,S,39.0,NNE,SE,7.0,24.0
2009-01-26,SSE,46.0,SSE,SSE,13.0,26.0
2009-01-27,N,37.0,NNE,SSE,7.0,26.0
2009-01-28,N,50.0,N,NNW,24.0,15.0
2009-01-29,N,59.0,N,N,39.0,26.0
2009-01-30,N,50.0,N,N,15.0,22.0
2009-01-31,SSW,46.0,SW,S,7.0,26.0
2009-02-01,SSW,39.0,SSW,ESE,11.0,11.0
2009-02-02,S,37.0,WSW,S,7.0,26.0
2009-02-03,SSW,52.0,S,S,15.0,28.0
