Date,MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2009-01-01,13.8,27.4,9.6,51.0,24.0,1009.8,1008.5,19.2,26.0
2009-01-02,8.9,24.8,12.4,39.0,21.0,1019.8,1017.7,14.1,23.3
2009-01-03,10.6,28.6,9.2,39.0,18.0,1019.2,1016.0,17.0,27.1
2009-01-04,13.2,34.5,8.8,24.0,9.0,1014.2,1012.1,24.1,32.8
2009-01-05,16.5,37.3,10.4,37.0,7.0,1013.7,1010.8,23.7,35.6
2009-01-06,15.7,39.2,13.4,34.0,6.0,1011.8,1007.7,23.3,37.8
2009-01-07,17.0,32.3,12.6,67.0,22.0,1010.0,1008.7,19.9,31.5
2009-01-08,12.9,27.3,13.6,50.0,20.0,1018.3,1017.0,16.1,24.7
2009-01-09,12.3,27.8,11.2,43.0,14.0,1019.1,1014.8,15.7,26.4
2009-01-10,12.7,32.2,8.4,35.0,11.0,1010.9,1008.0,19.1,30.4
2009-01-11,15.4,33.4,11.6,53.0,14.0,1010.0,1008.9,18.5,32.0
2009-01-12,15.3,34.4,12.4,40.0,9.0,1016.6,1013.9,19.7,33.0
2009-01-13,17.7,40.4,10.4,22.0,9.0,1012.7,1009.4,28.0,38.7
2009-01-14,22.3,42.4,11.2,13.0,7.0,1009.1,1007.6,31.4,41.4
2009-01-15,16.4,29.7,21.0,51.0,23.0,1016.8,1015.8,18.4,25.9
2009-01-16,12.8,29.8,10.0,53.0,21.0,1021.3,1018.3,16.8,27.6
2009-01-17,12.0,28.6,12.0,45.0,15.0,1022.8,1019.5,15.5,25.7
2009-01-18,15.4,32.7,10.2,30.0,12.0,1019.0,1016.0,19.6,30.0
2009-01-19,17.2,39.0,8.0,24.0,8.0,1012.5,1008.8,27.2,36.8
2009-01-20,20.1,42.3,11.8,19.0,4.0,1007.1,1005.2,28.7,41.3
2009-01-21,19.2,36.7,18.2,44.0,18.0,1010.7,1007.0,23.2,34.5
2009-01-22,22.9,38.3,10.4,63.0,8.0,1002.8,1000.8,27.6,37.1
2009-01-23,14.8,36.4,18.4,41.0,24.0,1008.3,1003.8,19.7,33.3
2009-01-24,18.6,30.3,11.6,53.0,24.0,1011.5,1011.9,19.9,27.1
2009-01-25,14.7,34.7,10.6,36.0,12.0,1017.3,1015.8,19.8,32.4
