Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,SSW,56.0,SW,WSW,17.0,31.0
2009-01-02,S,39.0,SSE,SSE,24.0,15.0
2009-01-03,ESE,30.0,E,SW,20.0,9.0
2009-01-04,NNW,26.0,E,NW,9.0,17.0
2009-01-05,WSW,37.0,SSE,WNW,11.0,13.0
2009-01-06,W,37.0,SSE,W,9.0,15.0
2009-01-07,WSW,48.0,SSW,SW,11.0,26.0
2009-01-08,SSE,46.0,SSE,SSW,24.0,17.0
2009-01-09,SE,35.0,SE,ESE,20.0,17.0
2009-01-10,SW,52.0,SSE,SE,13.0,11.0
2009-01-11,WSW,56.0,SW,SW,11.0,17.0
2009-01-12,SSE,50.0,SSE,S,17.0,20.0
2009-01-13,N,35.0,NE,N,13.0,6.0
2009-01-14,W,41.0,N,WNW,11.0,20.0
2009-01-15,S,52.0,S,SSW,24.0,20.0
2009-01-16,SSW,48.0,S,SSW,24.0,20.0
2009-01-17,SSE,43.0,SE,SSE,17.0,20.0
2009-01-18,SE,28.0,SE,SE,15.0,13.0
2009-01-19,WNW,26.0,NNE,N,9.0,9.0
2009-01-20,NW,46.0,NNE,NW,9.0,20.0
2009-01-21,WNW,54.0,SSE,WNW,4.0,11.0
2009-01-22,W,78.0,NW,WNW,28.0,31.0
2009-01-23,WNW,41.0,S,WNW,13.0,15.0
2009-01-24,SW,39.0,SSW,SSW,22.0,13.0
2009-01-25,ESE,30.0,SE,SSE,11.0,9.0
2009-01-26,SE,35.0,SE,ESE,19.0,17.0
2009-01-27,SE,26.0,E,E,15.0,11.0
2009-01-28,NNW,50.0,N,NNW,24.0,13.0
2009-01-29,NNE,44.0,N,N,19.0,19.0
2009-01-30,N,35.0,N,SSW,17.0,11.0
2009-01-31,NNE,33.0,N,NNE,11.0,9.0
2009-02-01,SSE,33.0,ESE,NNW,15.0,13.0
2009-02-02,SSE,24.0,S,S,9.0,20.0
2009-02-03,SSW,31.0,SSE,SE,17.0,11.0
2009-02-04,NNW,35.0,S,NW,9.0,19.0
2009-02-05,S,44.0,SSW,S,13.0,19.0
2009-02-06,S,33.0,ENE,NNW,11.0,15.0
2009-02-07,NNW,56.0,NNE,NW,24.0,31.0
2009-02-08,SSW,44.0,S,S,19.0,17.0
2009-02-09,SSE,46.0,SSE,S,30.0,24.0
2009-02-10,SSE,48.0,SSE,S,22.0,24.0
2009-02-11,S,52.0,S,S,24.0,28.0
2009-02-12,SSE,48.0,S,SSE,22.0,24.0
2009-02-13,ESE,50.0,SE,ESE,24.0,28.0
2009-02-14,ENE,39.0,ENE,SE,22.0,24.0
2009-02-15,S,33.0,SW,SSE,4.0,15.0
2009-02-16,ESE,43.0,SE,ESE,13.0,24.0
2009-02-17,ESE,41.0,NE,ESE,19.0,26.0
2009-02-18,ESE,31.0,E,SSE,7.0,19.0
2009-02-19,SW,50.0,NNW,WNW,7.0,19.0
2009-02-20,SW,33.0,SW,SSW,17.0,19.0
2009-02-21,S,43.0,S,S,17.0,22.0
2009-02-22,SSE,33.0,SE,WNW,13.0,11.0
2009-02-23,W,57.0,N,WNW,9.0,24.0
2009-02-24,S,41.0,SE,SE,17.0,20.0
2009-02-25,SSE,39.0,ESE,S,19.0,11.0
2009-02-26,E,22.0,E,NNW,15.0,4.0
2009-02-27,NW,43.0,NNE,WNW,17.0,15.0
2009-02-28,S,37.0,S,SSW,19.0,20.0
2009-03-01,SSW,31.0,SSE,WSW,13.0,7.0
2009-03-02,NW,26.0,E,NW,13.0,13.0
2009-03-03,N,63.0,NNE,W,31.0,24.0
2009-03-04,WSW,57.0,WNW,WSW,19.0,30.0
2009-03-05,SW,43.0,SSW,SSW,17.0,22.0
2009-03-06,S,28.0,SSW,SW,13.0,15.0
2009-03-07,S,28.0,SSE,ESE,13.0,6.0
2009-03-08,SE,33.0,SE,SSE,22.0,13.0
2009-03-09,SE,26.0,ESE,E,17.0,9.0
2009-03-10,SE,35.0,S,ESE,11.0,11.0
2009-03-11,NE,41.0,E,ENE,17.0,20.0
2009-03-12,E,31.0,SSE,SE,7.0,7.0
2009-03-13,ESE,24.0,NE,SSE,7.0,11.0
2009-03-14,WSW,50.0,NNW,WSW,9.0,30.0
2009-03-15,SW,41.0,WSW,WSW,13.0,19.0
2009-03-16,SW,33.0,WSW,WSW,13.0,17.0
2009-03-17,S,30.0,S,SW,13.0,13.0
2009-03-18,NW,26.0,ESE,NW,7.0,15.0
2009-03-19,NNW,31.0,N,N,11.0,15.0
2009-03-20,NW,28.0,S,NNW,15.0,13.0
2009-03-21,N,50.0,NNE,NW,11.0,24.0
2009-03-22,WSW,41.0,SW,WSW,19.0,13.0
2009-03-23,SSE,26.0,SSE,WSW,15.0,11.0
2009-03-24,ENE,35.0,SE,,2.0,0.0
2009-03-25,W,39.0,NW,NW,9.0,20.0
2009-03-26,SSE,39.0,S,SSW,17.0,20.0
2009-03-27,S,31.0,SSE,SSE,15.0,17.0
2009-03-28,NE,20.0,SE,NNW,7.0,7.0
2009-03-29,SE,26.0,,SE,0.0,9.0
2009-03-30,E,30.0,SSE,SE,11.0,11.0
2009-03-31,NE,31.0,E,ESE,13.0,13.0
2009-04-01,E,41.0,E,E,11.0,19.0
2009-04-02,NE,28.0,E,N,7.0,7.0
2009-04-03,SSW,44.0,SW,SSW,22.0,20.0
2009-04-04,SSW,35.0,SSW,S,9.0,19.0
2009-04-05,SW,37.0,SSW,SW,9.0,19.0
2009-04-06,SSW,43.0,S,S,15.0,22.0
2009-04-07,SSE,39.0,SSE,S,22.0,22.0
2009-04-08,SE,28.0,SSE,S,17.0,15.0
2009-04-09,SSE,19.0,SSE,NNE,9.0,7.0
2009-04-10,SW,26.0,SW,WSW,7.0,7.0
2009-04-11,SSW,20.0,S,W,7.0,9.0
2009-04-12,ESE,20.0,ESE,SSW,9.0,13.0
2009-04-13,SE,24.0,ENE,ESE,9.0,9.0
2009-04-14,WNW,41.0,NNW,W,4.0,22.0
2009-04-15,WSW,50.0,WSW,SSW,30.0,17.0
2009-04-16,W,35.0,SSW,SW,2.0,15.0
2009-04-17,SW,26.0,SSW,SW,6.0,11.0
2009-04-18,SSE,33.0,S,S,11.0,17.0
2009-04-19,SE,31.0,SSE,SE,17.0,17.0
2009-04-20,SE,22.0,E,E,13.0,13.0
2009-04-21,E,35.0,NE,E,19.0,9.0
2009-04-22,NE,19.0,NE,NE,15.0,13.0
2009-04-23,NNE,46.0,NNE,NNE,20.0,24.0
2009-04-24,WNW,43.0,NNW,WNW,19.0,15.0
2009-04-25,W,63.0,NW,NW,19.0,35.0
2009-04-26,WSW,54.0,WNW,WSW,20.0,28.0
2009-04-27,NW,52.0,NNW,W,13.0,24.0
2009-04-28,SSE,26.0,S,S,11.0,11.0
2009-04-29,S,19.0,SE,SW,2.0,11.0
2009-04-30,NNE,20.0,N,NW,9.0,9.0
2009-05-01,W,24.0,N,W,13.0,15.0
2009-05-02,SSE,28.0,S,SSE,11.0,11.0
2009-05-03,ESE,24.0,S,SSE,9.0,13.0
2009-05-04,SE,28.0,S,S,7.0,11.0
2009-05-05,SSE,22.0,S,SW,7.0,9.0
2009-05-06,SSE,28.0,SSW,S,9.0,13.0
2009-05-07,SSE,33.0,SSE,SSE,13.0,17.0
