Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,NW,54.0,N,WNW,15.0,28.0
2009-01-02,NNE,30.0,NNE,N,19.0,15.0
2009-01-03,ENE,46.0,ENE,ENE,22.0,22.0
2009-01-04,ENE,39.0,NE,ENE,20.0,20.0
2009-01-05,SE,35.0,ENE,S,19.0,11.0
2009-01-06,SSE,33.0,NNE,NE,24.0,9.0
2009-01-07,NNE,39.0,NNE,N,26.0,7.0
2009-01-08,ENE,46.0,NNE,ENE,24.0,9.0
2009-01-09,SSW,69.0,E,SE,26.0,7.0
2009-01-10,SW,76.0,,N,,9.0
2009-01-11,SW,76.0,NNE,NNE,24.0,13.0
2009-01-12,ENE,41.0,NNE,NE,26.0,11.0
2009-01-13,ENE,43.0,ENE,E,19.0,15.0
2009-01-14,NE,39.0,NE,NE,24.0,11.0
2009-01-15,NNE,43.0,NNE,NNE,30.0,11.0
2009-01-16,WSW,48.0,N,NW,22.0,17.0
2009-01-17,E,57.0,SSE,WSW,9.0,24.0
2009-01-18,ENE,48.0,NE,E,24.0,11.0
2009-01-19,NE,52.0,NE,N,30.0,17.0
2009-01-20,NNE,44.0,NNE,N,30.0,11.0
2009-01-21,SSW,76.0,NE,N,28.0,11.0
2009-01-22,NNE,48.0,NE,NNE,26.0,31.0
2009-01-23,NE,22.0,NNE,N,13.0,9.0
2009-01-24,NNE,28.0,N,WNW,15.0,11.0
2009-01-25,SW,57.0,NNE,NNE,13.0,37.0
2009-01-26,SE,43.0,NE,ESE,22.0,9.0
2009-01-27,ENE,44.0,E,E,20.0,13.0
2009-01-28,NE,41.0,ENE,ESE,13.0,15.0
2009-01-29,E,61.0,E,ENE,17.0,13.0
2009-01-30,NE,48.0,ENE,NNE,24.0,20.0
2009-01-31,E,44.0,ENE,E,19.0,17.0
2009-02-01,ENE,48.0,NE,ESE,17.0,17.0
2009-02-02,NE,33.0,E,NE,22.0,9.0
2009-02-03,ENE,52.0,NNE,ESE,17.0,15.0
2009-02-04,NNE,37.0,NE,ESE,24.0,7.0
2009-02-05,NNE,35.0,NNE,SSE,17.0,17.0
2009-02-06,NNE,33.0,N,SSE,17.0,13.0
2009-02-07,ENE,44.0,NE,ENE,20.0,15.0
2009-02-08,N,30.0,N,NE,19.0,7.0
2009-02-09,W,31.0,ENE,W,11.0,9.0
2009-02-10,N,59.0,NNE,NNW,28.0,22.0
2009-02-11,WSW,48.0,WSW,WSW,11.0,24.0
2009-02-12,NE,54.0,E,N,26.0,11.0
2009-02-13,E,69.0,E,E,30.0,39.0
2009-02-14,E,56.0,SE,ESE,24.0,39.0
2009-02-15,SE,37.0,E,WSW,15.0,13.0
2009-02-16,ESE,57.0,E,ESE,13.0,39.0
2009-02-17,E,35.0,ESE,E,24.0,4.0
2009-02-18,SW,52.0,NE,N,13.0,7.0
2009-02-19,W,28.0,NE,WSW,13.0,15.0
2009-02-20,E,33.0,N,NW,11.0,9.0
2009-02-21,SSW,48.0,NE,ENE,13.0,9.0
2009-02-22,ENE,41.0,ENE,ENE,20.0,9.0
2009-02-23,ENE,33.0,E,N,17.0,9.0
2009-02-24,NNE,30.0,NNE,NNE,15.0,13.0
2009-02-25,SSE,46.0,N,NW,15.0,7.0
2009-02-26,E,31.0,E,SE,24.0,11.0
2009-02-27,E,37.0,E,NW,19.0,11.0
2009-02-28,N,39.0,N,NW,26.0,15.0
2009-03-01,SSW,37.0,,WSW,,20.0
2009-03-02,SSW,28.0,ENE,WSW,13.0,9.0
2009-03-03,N,33.0,E,N,20.0,9.0
2009-03-04,WSW,59.0,NNE,NNW,31.0,9.0
2009-03-05,SW,57.0,SSW,SW,26.0,28.0
2009-03-06,WSW,31.0,S,WSW,4.0,15.0
2009-03-07,ENE,28.0,ENE,N,17.0,9.0
2009-03-08,ENE,43.0,NE,ENE,20.0,9.0
2009-03-09,ENE,50.0,ESE,ESE,19.0,20.0
2009-03-10,E,52.0,SE,E,22.0,19.0
2009-03-11,ENE,48.0,ESE,E,22.0,11.0
2009-03-12,E,41.0,ENE,E,24.0,11.0
2009-03-13,NNE,30.0,ENE,NNW,19.0,11.0
2009-03-14,N,37.0,N,NNE,15.0,11.0
2009-03-15,NNE,43.0,NNE,NNW,30.0,13.0
2009-03-16,SW,50.0,SW,SW,20.0,30.0
2009-03-17,SW,39.0,SW,SW,11.0,22.0
2009-03-18,NNE,37.0,ENE,NNE,19.0,13.0
2009-03-19,NNE,31.0,ENE,WSW,15.0,11.0
2009-03-20,SSE,35.0,ENE,NE,15.0,9.0
2009-03-21,ESE,52.0,E,SE,15.0,11.0
2009-03-22,E,28.0,E,S,15.0,9.0
2009-03-23,ENE,35.0,ENE,ENE,13.0,11.0
2009-03-24,NNE,37.0,NE,W,19.0,9.0
2009-03-25,NNE,35.0,N,N,24.0,6.0
2009-03-26,NNE,35.0,NNE,S,20.0,7.0
2009-03-27,SW,46.0,NE,SSW,20.0,19.0
2009-03-28,NE,44.0,ESE,ESE,13.0,13.0
2009-03-29,E,39.0,E,SSE,11.0,17.0
2009-03-30,ESE,43.0,SE,SSW,19.0,6.0
2009-03-31,SSW,48.0,S,SSW,22.0,35.0
2009-04-01,SSE,41.0,ESE,SE,13.0,11.0
2009-04-02,ESE,44.0,NE,E,17.0,19.0
2009-04-03,E,35.0,ESE,NE,19.0,13.0
2009-04-04,SSE,54.0,ENE,E,13.0,20.0
2009-04-05,SSW,33.0,E,SSE,11.0,17.0
2009-04-06,WSW,30.0,NE,SW,6.0,13.0
2009-04-07,NE,35.0,ENE,SSE,22.0,9.0
2009-04-08,SE,35.0,E,ESE,24.0,9.0
2009-04-09,SE,33.0,E,ESE,13.0,15.0
2009-04-10,NE,41.0,NE,NNE,24.0,15.0
2009-04-11,NNE,33.0,ENE,NNE,17.0,20.0
2009-04-12,SW,35.0,E,SSE,17.0,17.0
2009-04-13,ESE,30.0,E,SE,15.0,17.0
2009-04-14,SW,30.0,NE,SW,11.0,19.0
2009-04-15,SW,39.0,SW,SW,2.0,22.0
2009-04-16,WSW,30.0,ENE,SW,15.0,13.0
2009-04-17,W,50.0,NE,SW,17.0,17.0
2009-04-18,SSW,39.0,E,SW,17.0,17.0
2009-04-19,S,46.0,SSE,SE,15.0,24.0
2009-04-20,SSE,41.0,S,SSE,15.0,24.0
2009-04-21,SE,37.0,SSW,SE,9.0,24.0
2009-04-22,S,33.0,ESE,S,15.0,7.0
2009-04-23,E,31.0,E,E,24.0,11.0
2009-04-24,WNW,54.0,NNE,NNW,24.0,22.0
2009-04-25,WNW,43.0,W,WNW,19.0,24.0
2009-04-26,WSW,50.0,W,W,31.0,24.0
2009-04-27,WSW,48.0,SSW,WNW,13.0,20.0
2009-04-28,WSW,39.0,N,SW,6.0,24.0
2009-04-29,WSW,35.0,NE,W,13.0,20.0
2009-04-30,SW,37.0,SW,SW,11.0,24.0
2009-05-01,N,30.0,ENE,NNE,15.0,11.0
2009-05-02,ENE,26.0,ENE,SW,13.0,9.0
2009-05-03,E,31.0,E,NNW,20.0,7.0
2009-05-04,WSW,33.0,E,SW,11.0,24.0
2009-05-05,E,30.0,E,SE,17.0,9.0
2009-05-06,E,33.0,E,S,17.0,9.0
2009-05-07,W,28.0,ENE,WNW,13.0,15.0
2009-05-08,ENE,22.0,ESE,E,4.0,11.0
2009-05-09,E,28.0,ENE,SW,15.0,11.0
2009-05-10,SSE,33.0,ESE,SE,13.0,17.0
2009-05-11,E,28.0,E,SE,17.0,6.0
2009-05-12,ENE,26.0,NE,,17.0,
2009-05-13,SSW,35.0,ENE,SW,9.0,17.0
2009-05-14,WSW,48.0,NE,SW,9.0,28.0
2009-05-15,WSW,46.0,,WSW,0.0,24.0
2009-05-16,SW,39.0,,WSW,0.0,24.0
2009-05-17,SW,37.0,S,WSW,9.0,19.0
2009-05-18,ENE,41.0,E,ENE,26.0,20.0
2009-05-19,E,37.0,E,S,28.0,11.0
2009-05-20,ESE,37.0,E,SE,13.0,17.0
2009-05-21,ESE,41.0,S,ESE,11.0,20.0
2009-05-22,ESE,44.0,ESE,ESE,31.0,2.0
2009-05-23,SE,39.0,SE,ESE,19.0,24.0
2009-05-24,E,37.0,E,ENE,11.0,17.0
