Date,MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2008-12-01,6.6,18.7,5.0,73.0,39.0,1009.4,1008.9,13.4,17.8
2008-12-02,8.9,18.1,5.4,74.0,49.0,1009.8,1008.9,14.4,16.2
2008-12-03,10.1,19.3,3.2,73.0,47.0,1011.9,1013.9,13.6,18.2
2008-12-04,5.9,21.2,4.4,69.0,39.0,1014.8,1009.5,13.7,20.5
2008-12-05,13.6,19.3,3.8,86.0,65.0,1005.7,1006.9,16.1,18.7
2008-12-06,12.7,19.6,2.4,81.0,46.0,1008.9,1008.7,15.7,18.5
2008-12-07,10.2,16.8,5.8,65.0,46.0,1015.3,1014.6,12.6,16.4
2008-12-08,11.1,21.0,4.0,51.0,42.0,1015.3,1011.0,13.9,20.4
2008-12-09,6.9,16.5,3.4,87.0,91.0,1006.9,1007.8,11.1,13.1
2008-12-10,7.5,19.9,2.0,58.0,43.0,1014.2,1012.2,14.9,19.3
2008-12-11,6.2,25.8,5.0,56.0,25.0,1014.8,1010.3,14.7,24.7
2008-12-12,13.6,15.4,6.8,85.0,93.0,1005.2,1000.3,15.2,13.5
2008-12-13,11.4,14.9,,86.0,74.0,1002.3,1005.8,11.9,13.6
2008-12-14,11.0,15.9,1.0,69.0,61.0,1011.4,1012.5,13.0,15.8
2008-12-15,10.6,19.9,3.0,61.0,50.0,1014.4,1012.3,13.2,19.6
2008-12-16,11.4,19.3,4.4,89.0,72.0,1013.6,1012.6,14.1,18.4
2008-12-17,12.4,19.7,2.2,87.0,64.0,1012.8,1009.1,14.5,18.5
2008-12-18,10.4,19.1,3.2,63.0,58.0,1008.0,1008.8,15.2,16.2
2008-12-19,8.9,18.5,4.0,46.0,45.0,1017.9,1018.4,15.4,18.0
2008-12-20,6.2,24.9,4.8,63.0,39.0,1021.5,1017.8,15.5,24.0
2008-12-21,11.3,30.2,5.4,38.0,18.0,1014.6,1010.2,22.0,28.2
2008-12-22,18.2,20.6,12.2,71.0,64.0,1006.1,1007.2,18.2,19.8
2008-12-23,13.7,20.5,3.4,61.0,51.0,1016.2,1015.3,15.6,19.0
2008-12-24,6.6,25.4,3.8,57.0,35.0,1013.5,1011.8,16.2,24.8
2008-12-25,9.3,24.0,7.0,63.0,40.0,1015.9,1012.6,16.8,23.5
2008-12-26,11.2,25.8,5.2,68.0,45.0,1010.8,1008.1,18.4,24.8
2008-12-27,12.9,22.8,4.6,66.0,50.0,1007.6,1005.6,18.0,21.6
2008-12-28,13.3,20.6,6.2,89.0,59.0,1004.6,1004.3,16.2,20.1
2008-12-29,10.7,19.1,4.8,45.0,49.0,1010.5,1009.8,16.2,17.9
2008-12-30,13.2,18.8,4.0,60.0,50.0,1006.2,1006.6,16.4,17.4
2008-12-31,12.2,19.6,4.6,64.0,51.0,1007.7,1006.3,14.6,18.6
2009-01-01,12.6,17.0,4.8,66.0,43.0,1008.3,1011.6,14.3,16.6
2009-01-02,7.3,18.8,4.8,48.0,37.0,1020.6,1020.6,15.5,17.4
2009-01-03,4.0,22.6,4.6,55.0,33.0,1020.5,1017.0,13.3,21.3
2009-01-04,6.2,25.3,4.8,56.0,44.0,1016.2,1013.8,16.6,23.9
2009-01-05,6.2,23.1,5.6,68.0,45.0,1014.8,1013.3,15.8,22.3
2009-01-06,12.7,24.7,5.4,90.0,65.0,1011.9,1010.4,16.4,21.6
2009-01-07,13.7,21.2,4.8,89.0,41.0,1012.3,1013.0,14.8,19.9
2009-01-08,10.1,19.3,5.8,42.0,44.0,1020.2,1021.1,17.1,17.5
2009-01-09,6.4,21.6,5.2,52.0,41.0,1021.7,1017.7,15.3,20.8
2009-01-10,9.0,22.5,5.2,59.0,47.0,1014.0,1011.9,16.4,21.4
2009-01-11,7.7,22.6,6.4,68.0,39.0,1013.3,1012.7,14.7,22.1
2009-01-12,14.0,27.2,4.8,71.0,45.0,1018.5,1016.0,18.1,26.0
2009-01-13,13.6,39.3,6.0,24.0,8.0,1010.6,1006.3,26.6,38.2
2009-01-14,15.2,23.0,15.2,78.0,53.0,1012.1,1011.9,17.5,22.4
2009-01-15,11.8,22.1,5.0,56.0,44.0,1016.8,1017.7,17.3,21.2
2009-01-16,13.3,19.9,6.6,63.0,38.0,1021.5,1022.8,15.4,18.3
2009-01-17,6.8,23.1,5.4,50.0,37.0,1024.7,1022.6,16.2,22.6
2009-01-18,4.9,29.0,5.4,53.0,25.0,1021.3,1017.7,16.7,28.6
2009-01-19,9.7,33.7,7.2,32.0,14.0,1011.7,1009.3,23.0,32.5
2009-01-20,12.3,30.2,8.4,69.0,17.0,1007.2,1007.3,19.8,29.5
2009-01-21,9.0,25.7,7.0,72.0,40.0,1011.4,1007.7,17.6,24.3
2009-01-22,14.9,22.7,8.2,42.0,51.0,996.5,1000.2,22.7,19.1
2009-01-23,7.8,24.5,6.6,60.0,31.0,1006.6,1002.8,15.6,23.3
2009-01-24,12.9,20.6,5.6,54.0,37.0,1010.5,1013.9,16.0,19.3
2009-01-25,5.7,24.6,5.2,65.0,39.0,1019.0,1018.2,15.6,23.2
2009-01-26,7.8,27.6,5.2,74.0,44.0,1022.8,1019.4,18.3,26.6
