Date,MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2008-12-01,5.2,13.0,,,,,,,
2008-12-02,3.0,15.0,,66.0,51.0,,,7.1,14.2
2008-12-03,6.0,15.0,,58.0,50.0,,,9.8,14.2
2008-12-04,2.0,15.0,,82.0,52.0,,,6.9,13.4
2008-12-05,8.0,17.8,,,,,,,
2008-12-06,9.4,17.0,,,45.0,,,,14.8
2008-12-07,6.0,16.0,,72.0,30.0,,,9.5,15.5
2008-12-08,1.7,16.0,,,45.0,,,,14.2
2008-12-09,6.0,17.9,,43.0,33.0,,,11.0,17.2
2008-12-10,6.5,17.8,,,64.0,,,,15.0
2008-12-11,5.6,13.1,,,,,,,
2008-12-12,4.9,14.0,,,,,,,7.9
2008-12-13,6.0,13.8,,100.0,,,,9.1,
2008-12-14,2.8,8.0,,,100.0,,,,5.5
2008-12-15,1.0,15.0,,94.0,68.0,,,5.5,13.5
2008-12-16,2.0,15.0,,61.0,70.0,,,8.3,12.6
2008-12-17,7.0,15.0,,84.0,100.0,,,11.8,7.8
2008-12-18,6.4,14.0,,,,,,,
2008-12-19,2.0,11.8,,89.0,58.0,,,4.8,10.0
2008-12-20,-1.0,13.0,,,65.0,,,,11.7
2008-12-21,3.0,15.4,,61.0,57.0,,,9.6,14.9
2008-12-22,6.7,20.0,,,56.0,,,,18.0
2008-12-23,11.0,19.0,,100.0,100.0,,,11.0,15.4
2008-12-24,8.0,14.7,,100.0,99.0,,,10.0,14.4
2008-12-25,8.2,20.0,,,42.0,,,,19.1
2008-12-26,11.0,22.0,,53.0,36.0,,,14.4,20.6
2008-12-27,13.0,18.0,,72.0,100.0,,,15.3,12.5
2008-12-28,10.0,20.0,,100.0,,,,11.9,
2008-12-29,10.0,17.0,,74.0,,,,13.3,
2008-12-30,5.0,10.0,,65.0,100.0,,,8.4,5.5
2008-12-31,3.0,14.0,,78.0,53.0,,,6.1,13.1
2009-01-01,5.0,16.0,,76.0,53.0,,,9.7,15.3
2009-01-02,1.0,16.1,,32.0,32.0,,,7.1,15.2
2009-01-03,2.0,18.0,,,54.0,,,,15.8
2009-01-04,4.0,22.0,,88.0,56.0,,,11.7,19.7
2009-01-05,11.0,22.0,,29.0,30.0,,,15.7,21.2
2009-01-06,14.0,24.6,,26.0,24.0,,,18.3,24.1
2009-01-07,16.4,26.9,,,26.0,,,,26.9
2009-01-08,11.4,21.0,,,,,,,
2009-01-09,3.0,14.0,,99.0,59.0,,,4.2,12.9
2009-01-10,2.0,17.0,,99.0,,,,4.9,
2009-01-11,4.0,20.0,,83.0,54.0,,,12.6,18.6
2009-01-12,9.0,22.0,,79.0,51.0,,,14.2,18.6
2009-01-13,9.0,24.0,,87.0,48.0,,,15.5,22.6
2009-01-14,15.0,26.7,,60.0,,,,17.8,
2009-01-15,17.2,26.4,,,36.0,,,,26.0
2009-01-16,8.0,19.0,,,27.0,,,,17.7
2009-01-17,3.0,17.0,,46.0,,,,6.3,
2009-01-18,5.0,21.0,,48.0,,,,11.6,
2009-01-19,9.0,22.6,,50.0,,,,14.8,
2009-01-20,13.6,25.0,,,61.0,,,,19.1
2009-01-21,12.0,23.7,,90.0,52.0,,,15.0,23.1
2009-01-22,12.2,16.9,,,100.0,,,,13.8
2009-01-23,12.4,20.0,,,100.0,,,,17.0
2009-01-24,12.0,19.0,,100.0,61.0,,,12.7,17.1
2009-01-25,7.0,21.3,,63.0,64.0,,,14.5,20.0
2009-01-26,12.6,25.0,,,55.0,,,,23.3
2009-01-27,10.0,23.8,,49.0,61.0,,,19.2,23.2
2009-01-28,15.0,25.2,,,50.0,,,,24.5
2009-01-29,16.9,28.0,,,33.0,,,,26.8
2009-01-30,18.0,29.0,,29.0,,,,21.3,
2009-01-31,17.0,29.0,,34.0,,,,21.3,
2009-02-01,18.0,25.0,,22.0,36.0,,,21.1,24.8
2009-02-02,9.0,25.0,,21.0,,,,20.2,
2009-02-03,13.0,26.7,,60.0,72.0,,,18.1,21.2
2009-02-04,10.9,23.3,,,65.0,,,,22.6
2009-02-05,15.6,27.0,,,,,,,
2009-02-06,16.0,29.0,,59.0,,,,20.8,
2009-02-07,17.0,28.9,,55.0,,,,21.1,
2009-02-08,20.2,29.0,,,,,,,
2009-02-09,11.3,21.0,,,73.0,,,,20.0
