Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-12-01,,,,,,
2008-12-02,,,W,WNW,26.0,24.0
2008-12-03,,,W,W,33.0,30.0
2008-12-04,,,NNE,N,11.0,15.0
2008-12-05,,,,,,
2008-12-06,,,,W,,30.0
2008-12-07,,,WSW,W,30.0,24.0
2008-12-08,,,,W,,22.0
2008-12-09,,,W,W,22.0,17.0
2008-12-10,,,,NW,,13.0
2008-12-11,,,,,,
2008-12-12,,,,ENE,,26.0
2008-12-13,,,WNW,,37.0,
2008-12-14,,,,WSW,,24.0
2008-12-15,,,S,WSW,11.0,20.0
2008-12-16,,,WSW,WSW,20.0,22.0
2008-12-17,,,W,SW,17.0,24.0
2008-12-18,,,,,,
2008-12-19,,,WSW,WSW,20.0,19.0
2008-12-20,,,,NE,,11.0
2008-12-21,,,ENE,ENE,13.0,11.0
2008-12-22,,,,WNW,,19.0
2008-12-23,,,NW,WNW,28.0,17.0
2008-12-24,,,NNE,N,11.0,11.0
2008-12-25,,,,W,,17.0
2008-12-26,,,W,WNW,15.0,20.0
2008-12-27,,,NNW,WNW,24.0,17.0
2008-12-28,,,W,,26.0,
2008-12-29,,,W,,20.0,
2008-12-30,,,W,W,37.0,31.0
2008-12-31,,,WSW,W,20.0,22.0
2009-01-01,,,W,W,31.0,39.0
2009-01-02,,,SW,SW,13.0,15.0
2009-01-03,,,,WNW,,15.0
2009-01-04,,,NW,WNW,20.0,13.0
2009-01-05,,,W,W,24.0,20.0
2009-01-06,,,W,W,20.0,24.0
2009-01-07,,,,WNW,,26.0
2009-01-08,,,,,,
2009-01-09,,,E,ENE,15.0,17.0
2009-01-10,,,ENE,,17.0,
2009-01-11,,,WNW,WNW,11.0,22.0
2009-01-12,,,WNW,NW,9.0,13.0
2009-01-13,,,NW,WNW,20.0,20.0
2009-01-14,,,WNW,,28.0,
2009-01-15,,,,WNW,,20.0
2009-01-16,,,,W,,26.0
2009-01-17,,,E,,17.0,
2009-01-18,,,WSW,,20.0,
2009-01-19,,,WNW,,15.0,
2009-01-20,,,,NW,,19.0
2009-01-21,,,WNW,WNW,22.0,17.0
2009-01-22,,,,NNW,,33.0
2009-01-23,,,,NNW,,26.0
2009-01-24,,,W,W,31.0,20.0
2009-01-25,,,W,WSW,13.0,9.0
2009-01-26,,,,N,,11.0
2009-01-27,,,NNW,NW,11.0,17.0
2009-01-28,,,,W,,11.0
2009-01-29,,,,E,,6.0
2009-01-30,,,W,,13.0,
2009-01-31,,,SW,,22.0,
2009-02-01,,,E,ENE,19.0,17.0
2009-02-02,,,NNW,,19.0,
2009-02-03,,,WSW,ENE,13.0,24.0
2009-02-04,,,,WNW,,15.0
2009-02-05,,,,,,
2009-02-06,,,NNW,,13.0,
2009-02-07,,,NNW,,26.0,
2009-02-08,,,,,,
2009-02-09,,,,NW,,15.0
2009-02-10,,,,N,,11.0
2009-02-11,,,ESE,,15.0,
2009-02-12,,,E,,19.0,
2009-02-13,,,E,E,35.0,28.0
2009-02-14,,,ESE,E,19.0,19.0
2009-02-15,,,E,,20.0,
2009-02-16,,,E,,35.0,
2009-02-17,,,,ENE,,20.0
2009-02-18,,,ESE,,19.0,
2009-02-19,,,W,W,24.0,20.0
2009-02-20,,,WNW,WSW,11.0,19.0
2009-02-21,,,N,WNW,6.0,19.0
2009-02-22,,,NE,NW,13.0,15.0
2009-02-23,,,NW,W,24.0,24.0
2009-02-24,,,,WNW,,33.0
2009-02-25,,,WSW,SW,22.0,19.0
2009-02-26,,,,ENE,,11.0
2009-02-27,,,SW,SW,11.0,20.0
2009-02-28,,,W,W,17.0,24.0
2009-03-01,,,NE,NW,15.0,15.0
2009-03-02,,,ENE,N,19.0,11.0
2009-03-03,,,N,NNW,20.0,13.0
2009-03-04,,,,W,,22.0
2009-03-05,,,,WSW,,20.0
2009-03-06,,,,W,,13.0
2009-03-07,,,WSW,WSW,15.0,15.0
2009-03-08,,,,N,,13.0
2009-03-09,,,NE,N,13.0,15.0
2009-03-10,,,,ENE,,17.0
2009-03-11,,,ENE,,28.0,
2009-03-12,,,,NW,,15.0
2009-03-13,,,W,NNW,13.0,15.0
2009-03-14,,,WNW,WNW,19.0,19.0
2009-03-15,,,W,W,17.0,28.0
2009-03-16,,,,,,
2009-03-17,,,SSW,W,31.0,13.0
2009-03-18,,,WNW,,20.0,
2009-03-19,,,W,,24.0,
2009-03-20,,,,ENE,,15.0
2009-03-21,,,NE,E,6.0,13.0
2009-03-22,,,WNW,,19.0,
2009-03-23,,,,WNW,,19.0
2009-03-24,,,,W,,28.0
2009-03-25,,,NW,WNW,26.0,31.0
2009-03-26,,,,W,,22.0
2009-03-27,,,NNE,,7.0,
2009-03-28,,,,W,,15.0
2009-03-29,,,WSW,E,15.0,9.0
2009-03-30,,,,E,,17.0
2009-03-31,,,E,,31.0,
2009-04-01,,,E,E,37.0,28.0
2009-04-02,,,ENE,,31.0,
2009-04-03,,,NW,WNW,17.0,19.0
2009-04-04,,,ENE,,7.0,
2009-04-05,,,NW,,22.0,
2009-04-06,,,N,W,13.0,11.0
2009-04-07,,,,NNE,0.0,11.0
2009-04-08,,,,W,,9.0
2009-04-09,,,NW,NNW,11.0,11.0
2009-04-10,,,NW,NW,15.0,13.0
2009-04-11,,,N,,15.0,
2009-04-12,,,WSW,WSW,17.0,13.0
2009-04-13,,,E,,7.0,
2009-04-14,,,SW,WSW,11.0,13.0
2009-04-15,,,WNW,,30.0,
2009-04-16,,,W,WNW,20.0,20.0
2009-04-17,,,S,WSW,22.0,11.0
2009-04-18,,,ESE,S,6.0,13.0
2009-04-19,,,SE,ESE,15.0,15.0
2009-04-20,,,,ESE,,11.0
2009-04-21,,,E,,28.0,
2009-04-22,,,E,E,19.0,17.0
2009-04-23,NW,46.0,E,N,20.0,9.0
2009-04-24,N,69.0,NW,NNW,31.0,30.0
2009-04-25,NW,100.0,W,WNW,33.0,33.0
2009-04-26,NNW,76.0,W,W,28.0,31.0
2009-04-27,W,50.0,W,W,17.0,13.0
2009-04-28,,,W,W,9.0,17.0
2009-04-29,E,24.0,ENE,ENE,7.0,9.0
2009-04-30,NNE,22.0,ESE,NNW,6.0,4.0
2009-05-01,W,33.0,W,WSW,13.0,13.0
2009-05-02,ESE,20.0,ESE,SW,7.0,6.0
2009-05-03,WNW,22.0,WSW,W,9.0,13.0
2009-05-04,SW,31.0,SW,SSW,20.0,9.0
2009-05-05,SSE,26.0,WNW,NW,9.0,13.0
2009-05-06,NW,26.0,WSW,W,15.0,13.0
2009-05-07,SW,41.0,SSW,SW,20.0,17.0
2009-05-08,SE,24.0,SSE,WSW,4.0,7.0
2009-05-09,SSE,31.0,S,ESE,13.0,9.0
2009-05-10,ESE,33.0,ESE,E,15.0,13.0
2009-05-11,WSW,20.0,SSW,SW,13.0,4.0
