Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-12-01,,,NW,NW,6.0,19.0
2008-12-02,,,,NE,,19.0
2008-12-03,,,N,SE,2.0,2.0
2008-12-04,,,SE,SE,22.0,22.0
2008-12-05,,,NE,,4.0,
2008-12-06,,,NW,NW,4.0,7.0
2008-12-07,,,,SE,0.0,6.0
2008-12-08,,,,NE,,22.0
2008-12-09,,,NE,NW,4.0,19.0
2008-12-10,,,SE,,22.0,
2008-12-11,,,NE,SE,2.0,9.0
2008-12-12,,,NE,NE,4.0,9.0
2008-12-13,,,,NW,0.0,50.0
2008-12-14,,,SW,NW,19.0,46.0
2008-12-15,,,S,SE,9.0,28.0
2008-12-16,,,,NE,0.0,4.0
2008-12-17,,,,SE,0.0,7.0
2008-12-18,,,SE,SE,4.0,56.0
2008-12-19,,,,SE,0.0,46.0
2008-12-20,,,S,SE,19.0,9.0
2008-12-21,,,SE,SE,4.0,19.0
2008-12-22,,,NE,NE,7.0,19.0
2008-12-23,,,NW,,4.0,0.0
2008-12-24,,,SE,SE,9.0,9.0
2008-12-25,,,,,,
2008-12-26,,,NE,SE,4.0,11.0
2008-12-27,,,NE,NE,4.0,19.0
2008-12-28,,,NW,,4.0,
2008-12-29,,,NW,SW,2.0,19.0
2008-12-30,,,,NW,0.0,7.0
2008-12-31,,,,NW,0.0,15.0
2009-01-01,,,N,NW,4.0,9.0
2009-01-02,,,,SE,0.0,11.0
2009-01-03,,,SE,NE,4.0,4.0
2009-01-04,,,NE,SE,4.0,37.0
2009-01-05,,,NE,SE,7.0,4.0
2009-01-06,,,SE,SE,4.0,4.0
2009-01-07,,,,,0.0,0.0
2009-01-08,,,SE,SE,11.0,15.0
2009-01-09,,,SE,SE,19.0,28.0
2009-01-10,,,SE,N,7.0,28.0
2009-01-11,,,NE,SE,6.0,46.0
2009-01-12,,,,SE,0.0,19.0
2009-01-13,,,NE,SE,4.0,28.0
2009-01-14,,,NE,NE,4.0,22.0
2009-01-15,,,N,NW,4.0,7.0
2009-01-16,,,NE,SE,4.0,7.0
2009-01-17,,,SE,SE,19.0,22.0
2009-01-18,,,,SE,0.0,11.0
2009-01-19,,,NE,SE,4.0,19.0
2009-01-20,,,NW,NW,4.0,4.0
2009-01-21,,,,NW,0.0,28.0
2009-01-22,,,NE,NW,4.0,19.0
2009-01-23,,,NW,NE,4.0,11.0
2009-01-24,,,NW,NW,9.0,9.0
2009-01-25,,,SE,SE,11.0,22.0
2009-01-26,,,,SE,0.0,9.0
2009-01-27,,,NE,SE,7.0,28.0
2009-01-28,,,NE,NE,4.0,19.0
2009-01-29,,,N,NE,19.0,22.0
