Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2013-03-01,SE,54.0,SSE,SE,28.0,30.0
2013-03-02,ESE,46.0,ESE,ESE,35.0,19.0
2013-03-03,ENE,50.0,ENE,NE,22.0,20.0
2013-03-04,ENE,48.0,ENE,NE,20.0,17.0
2013-03-05,SE,54.0,ENE,ESE,28.0,20.0
2013-03-06,E,28.0,ENE,SSW,17.0,9.0
2013-03-07,ESE,33.0,SE,NW,9.0,9.0
2013-03-08,NE,33.0,ENE,NNE,19.0,11.0
2013-03-09,SW,43.0,NNE,N,11.0,20.0
2013-03-10,E,30.0,E,W,15.0,9.0
2013-03-11,NNW,43.0,ENE,N,13.0,13.0
2013-03-12,NNW,50.0,NE,N,9.0,26.0
2013-03-13,W,54.0,SW,SSW,31.0,30.0
2013-03-14,S,46.0,SSW,SW,22.0,22.0
2013-03-15,SW,41.0,S,S,9.0,19.0
2013-03-16,SW,63.0,SSW,SW,20.0,28.0
2013-03-17,SSE,50.0,S,S,19.0,26.0
2013-03-18,E,48.0,SSE,SSE,13.0,19.0
2013-03-19,ESE,30.0,ESE,ESE,15.0,7.0
2013-03-20,NNW,39.0,ENE,N,20.0,19.0
2013-03-21,WNW,89.0,N,WNW,31.0,57.0
2013-03-22,WNW,43.0,WNW,WNW,11.0,24.0
2013-03-23,WNW,48.0,NNW,WNW,20.0,26.0
2013-03-24,W,56.0,NW,W,24.0,31.0
2013-03-25,NW,26.0,,NW,0.0,11.0
2013-03-26,NNW,39.0,NNE,N,9.0,24.0
2013-03-27,NW,63.0,NNE,WNW,15.0,26.0
2013-03-28,WSW,70.0,WNW,WSW,15.0,37.0
2013-03-29,WNW,26.0,NNW,W,9.0,13.0
2013-03-30,WNW,43.0,NW,WNW,11.0,30.0
2013-03-31,SW,41.0,WSW,WSW,15.0,24.0
2013-04-01,W,39.0,W,W,4.0,24.0
2013-04-02,S,44.0,WNW,WSW,13.0,26.0
2013-04-03,SSE,44.0,S,SSE,13.0,24.0
2013-04-04,ESE,33.0,SSE,ESE,13.0,17.0
2013-04-05,ENE,41.0,E,NE,31.0,19.0
2013-04-06,NNW,31.0,ENE,NNW,17.0,11.0
2013-04-07,SSW,33.0,ENE,W,7.0,17.0
2013-04-08,SE,33.0,SSE,SW,17.0,15.0
2013-04-09,SW,28.0,SE,SSE,17.0,7.0
2013-04-10,SSW,30.0,SE,WSW,9.0,9.0
2013-04-11,S,33.0,SE,SW,11.0,11.0
2013-04-12,NNW,28.0,ENE,N,15.0,13.0
2013-04-13,W,41.0,NW,W,26.0,24.0
2013-04-14,WSW,44.0,S,WSW,11.0,28.0
2013-04-15,SSW,44.0,,SW,0.0,19.0
2013-04-16,S,30.0,S,SSE,6.0,20.0
2013-04-17,SSW,35.0,SSE,S,6.0,20.0
2013-04-18,S,48.0,S,S,9.0,26.0
2013-04-19,SE,41.0,SSE,SSE,17.0,22.0
2013-04-20,E,33.0,ESE,NE,24.0,15.0
2013-04-21,NNW,61.0,NE,N,13.0,15.0
