Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,SSW,63.0,NW,NE,9.0,24.0
2009-01-02,S,69.0,SSE,SE,15.0,28.0
2009-01-03,NNE,52.0,E,NE,19.0,19.0
2009-01-04,NE,61.0,NNE,NE,39.0,46.0
2009-01-05,NNE,48.0,NNE,NE,20.0,35.0
2009-01-06,N,43.0,S,NE,28.0,20.0
2009-01-07,S,44.0,S,NNE,24.0,15.0
2009-01-08,SSE,57.0,S,SSE,35.0,41.0
2009-01-09,SSE,59.0,SSE,SE,43.0,30.0
2009-01-10,NE,50.0,NNE,ENE,19.0,22.0
2009-01-11,NE,43.0,NNE,ENE,19.0,30.0
2009-01-12,ENE,31.0,SSW,,13.0,
2009-01-13,NE,54.0,NE,NE,17.0,31.0
2009-01-14,NE,52.0,NNE,NE,22.0,41.0
2009-01-15,S,69.0,NNE,,30.0,
2009-01-16,SSE,57.0,SSW,ESE,11.0,20.0
2009-01-17,SSE,61.0,SSE,SSE,48.0,43.0
2009-01-18,NNE,41.0,SSW,E,11.0,22.0
2009-01-19,NNE,54.0,NNE,NE,30.0,35.0
2009-01-20,NE,48.0,NNE,NE,20.0,37.0
2009-01-21,S,72.0,N,NE,15.0,37.0
2009-01-22,N,69.0,NNW,,19.0,
2009-01-23,NNE,41.0,NW,NE,19.0,24.0
2009-01-24,S,74.0,NW,WNW,17.0,17.0
2009-01-25,S,65.0,SSE,SSE,31.0,24.0
2009-01-26,,,SSW,SSW,24.0,26.0
2009-01-27,SE,31.0,SSW,SSE,13.0,13.0
2009-01-28,NE,41.0,ENE,NE,6.0,30.0
2009-01-29,NE,50.0,N,NE,9.0,39.0
2009-01-30,NE,57.0,NNE,NE,9.0,41.0
2009-01-31,NNE,56.0,NNE,NE,11.0,33.0
2009-02-01,NNE,31.0,SSE,E,11.0,20.0
2009-02-02,NNE,44.0,NNE,NE,9.0,28.0
2009-02-03,NNE,30.0,NNE,E,19.0,9.0
2009-02-04,NE,33.0,NW,SSE,17.0,13.0
2009-02-05,NE,52.0,NE,NE,9.0,33.0
2009-02-06,NNE,43.0,NNE,N,6.0,11.0
2009-02-07,NE,56.0,NNE,NNE,26.0,35.0
2009-02-08,NNE,50.0,NNE,NNE,22.0,24.0
2009-02-09,S,44.0,SSW,,17.0,
2009-02-10,S,57.0,SSW,SSW,30.0,31.0
2009-02-11,S,56.0,SSW,SSW,24.0,33.0
2009-02-12,SE,56.0,SSE,SSE,33.0,30.0
2009-02-13,SSE,59.0,E,E,30.0,19.0
2009-02-14,SSE,65.0,SE,SE,43.0,37.0
2009-02-15,SSE,56.0,S,SSE,26.0,30.0
2009-02-16,SE,67.0,SE,SSE,37.0,33.0
2009-02-17,SSE,67.0,SE,S,37.0,37.0
2009-02-18,S,74.0,W,S,11.0,30.0
2009-02-19,N,33.0,NNW,NE,11.0,24.0
2009-02-20,ENE,33.0,SSW,E,9.0,22.0
2009-02-21,ESE,31.0,NE,E,4.0,22.0
2009-02-22,NE,30.0,SE,E,13.0,17.0
2009-02-23,NE,50.0,NNE,NE,2.0,33.0
2009-02-24,ENE,43.0,NNW,SSE,9.0,22.0
2009-02-25,SE,41.0,S,ESE,11.0,24.0
2009-02-26,S,50.0,S,S,30.0,41.0
2009-02-27,SSE,41.0,SW,SSE,13.0,24.0
2009-02-28,NNE,46.0,NNW,NE,9.0,22.0
2009-03-01,S,50.0,SE,ESE,24.0,20.0
2009-03-02,E,30.0,E,E,15.0,15.0
2009-03-03,NNE,44.0,NE,ENE,26.0,26.0
2009-03-04,SSW,46.0,N,S,17.0,30.0
2009-03-05,SSE,33.0,WSW,SSE,11.0,26.0
2009-03-06,NNE,43.0,W,ENE,9.0,19.0
2009-03-07,NNE,35.0,WSW,SSE,9.0,22.0
2009-03-08,NE,35.0,SE,ESE,20.0,24.0
2009-03-09,ENE,35.0,E,ENE,26.0,24.0
2009-03-10,NE,33.0,ENE,E,28.0,26.0
2009-03-11,SE,46.0,SE,ENE,39.0,30.0
2009-03-12,NE,43.0,NE,NE,20.0,24.0
2009-03-13,NNE,39.0,NW,ENE,7.0,13.0
2009-03-14,NNW,46.0,NNE,NW,17.0,28.0
2009-03-15,N,50.0,ENE,NE,9.0,19.0
2009-03-16,SSW,41.0,SSW,E,15.0,22.0
2009-03-17,SSW,43.0,W,SSE,7.0,22.0
2009-03-18,NNE,44.0,S,NE,2.0,24.0
2009-03-19,NE,30.0,NNW,NE,9.0,24.0
2009-03-20,ENE,20.0,NE,E,2.0,15.0
2009-03-21,NNE,26.0,N,E,6.0,20.0
2009-03-22,NNE,35.0,NW,ENE,7.0,22.0
