Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,NNW,31.0,NNW,NW,13.0,19.0
2009-01-02,N,31.0,NNE,NE,15.0,6.0
2009-01-03,E,35.0,ENE,SE,6.0,19.0
2009-01-04,ESE,41.0,ESE,ESE,20.0,22.0
2009-01-05,ESE,52.0,ESE,ESE,24.0,28.0
2009-01-06,E,48.0,ESE,ESE,30.0,24.0
2009-01-07,ESE,52.0,ESE,ESE,28.0,31.0
2009-01-08,E,52.0,ESE,SE,28.0,28.0
2009-01-09,SSE,61.0,SSE,SSE,28.0,33.0
2009-01-10,SE,81.0,SE,ESE,46.0,33.0
2009-01-11,SE,54.0,SE,SE,30.0,28.0
2009-01-12,SE,37.0,SE,SE,24.0,22.0
2009-01-13,SSE,35.0,S,SE,22.0,20.0
2009-01-14,SSE,46.0,SSE,SE,26.0,22.0
2009-01-15,SE,37.0,SSE,SE,24.0,24.0
2009-01-16,SSE,26.0,SE,SSE,13.0,15.0
2009-01-17,NW,30.0,WNW,N,13.0,13.0
2009-01-18,WSW,50.0,S,S,15.0,24.0
2009-01-19,SSE,31.0,SE,SSE,13.0,19.0
2009-01-20,E,35.0,SE,SE,17.0,19.0
2009-01-21,E,41.0,ESE,E,22.0,30.0
2009-01-22,E,46.0,ESE,ESE,26.0,26.0
2009-01-23,E,46.0,E,ENE,22.0,30.0
2009-01-24,E,52.0,ESE,E,28.0,31.0
2009-01-25,ENE,46.0,ENE,E,31.0,28.0
2009-01-26,E,41.0,ESE,E,20.0,26.0
2009-01-27,SSE,30.0,SE,SSE,15.0,22.0
2009-01-28,SSE,35.0,SE,ESE,19.0,15.0
2009-01-29,ESE,41.0,ESE,SE,22.0,22.0
2009-01-30,SE,41.0,SE,SE,22.0,26.0
2009-01-31,ESE,43.0,SE,ESE,24.0,26.0
2009-02-01,SE,37.0,ESE,SE,17.0,22.0
2009-02-02,SSE,35.0,SE,SE,17.0,22.0
2009-02-03,E,37.0,E,E,20.0,20.0
2009-02-04,E,35.0,SE,ESE,15.0,17.0
2009-02-05,ESE,44.0,ESE,ESE,26.0,22.0
2009-02-06,SE,67.0,SE,SE,28.0,39.0
2009-02-07,SE,61.0,ESE,ENE,31.0,26.0
2009-02-08,N,43.0,NNE,N,19.0,26.0
2009-02-09,NNW,56.0,N,N,20.0,22.0
2009-02-10,NNW,33.0,NNW,WNW,15.0,20.0
2009-02-11,N,37.0,NE,NNE,17.0,17.0
2009-02-12,N,50.0,N,NW,28.0,24.0
2009-02-13,SE,44.0,SSE,SSE,22.0,22.0
2009-02-14,SE,48.0,SE,SE,26.0,22.0
2009-02-15,E,46.0,ESE,ENE,24.0,28.0
2009-02-16,NNW,30.0,NNE,NW,13.0,15.0
2009-02-17,NE,30.0,NE,SSE,13.0,9.0
2009-02-18,NE,46.0,ENE,NE,22.0,28.0
2009-02-19,NNE,44.0,NNE,NNE,26.0,28.0
2009-02-20,WNW,44.0,NNW,WNW,20.0,24.0
2009-02-21,S,26.0,,SE,,9.0
2009-02-22,S,33.0,SE,SE,15.0,19.0
2009-02-23,SE,35.0,SE,SE,20.0,22.0
2009-02-24,SE,41.0,ESE,SE,20.0,24.0
2009-02-25,E,44.0,ESE,E,20.0,30.0
2009-02-26,SE,52.0,ESE,ESE,26.0,28.0
2009-02-27,SW,65.0,SW,S,17.0,22.0
2009-02-28,W,24.0,SSW,W,11.0,13.0
2009-03-01,NW,28.0,WNW,WNW,13.0,20.0
2009-03-02,S,24.0,SSE,SE,9.0,17.0
2009-03-03,E,41.0,ESE,SE,17.0,22.0
2009-03-04,ESE,41.0,ESE,ESE,20.0,24.0
