Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,WSW,61.0,SW,W,22.0,28.0
2009-01-02,SE,41.0,ESE,ESE,20.0,17.0
2009-01-03,SE,41.0,ENE,ESE,19.0,7.0
2009-01-04,WSW,37.0,ENE,WNW,15.0,22.0
2009-01-05,W,35.0,ESE,W,9.0,17.0
2009-01-06,SW,50.0,NE,WSW,7.0,22.0
2009-01-07,WSW,43.0,SW,SW,11.0,17.0
2009-01-08,SE,43.0,SSE,SSE,17.0,20.0
2009-01-09,SE,46.0,E,ENE,22.0,13.0
2009-01-10,SSE,41.0,ESE,NNE,13.0,9.0
2009-01-11,SE,52.0,SE,SW,11.0,20.0
2009-01-12,SE,44.0,E,N,20.0,7.0
2009-01-13,NNW,48.0,N,NW,20.0,33.0
2009-01-14,WNW,35.0,NW,WNW,2.0,17.0
2009-01-15,SSW,39.0,SSW,SSW,11.0,17.0
2009-01-16,SSE,41.0,SSE,SW,17.0,20.0
2009-01-17,ESE,39.0,E,SSE,17.0,13.0
2009-01-18,SE,35.0,E,ENE,15.0,17.0
2009-01-19,WSW,48.0,NE,WSW,9.0,24.0
2009-01-20,WSW,52.0,NE,SW,9.0,19.0
2009-01-21,WSW,37.0,ENE,SW,11.0,15.0
2009-01-22,WSW,67.0,WNW,W,30.0,37.0
2009-01-23,W,56.0,NNE,WNW,17.0,26.0
2009-01-24,W,50.0,WSW,SW,20.0,17.0
2009-01-25,SE,26.0,ENE,WSW,15.0,13.0
2009-01-26,SE,39.0,E,ESE,20.0,17.0
2009-01-27,NE,31.0,NE,NNW,13.0,11.0
2009-01-28,N,70.0,NNE,NW,19.0,17.0
2009-01-29,NW,48.0,NNW,N,15.0,15.0
2009-01-30,NNW,54.0,N,NNE,9.0,15.0
2009-01-31,SE,59.0,NE,SSE,9.0,13.0
2009-02-01,ESE,54.0,ENE,WSW,15.0,11.0
2009-02-02,SSE,52.0,ESE,SE,19.0,26.0
2009-02-03,WSW,31.0,E,SE,15.0,11.0
2009-02-04,W,39.0,W,WSW,6.0,22.0
2009-02-05,W,30.0,NE,W,9.0,15.0
2009-02-06,NE,41.0,ENE,NNE,17.0,19.0
2009-02-07,NW,76.0,NNW,WSW,31.0,35.0
2009-02-08,SSE,43.0,SSE,S,13.0,17.0
2009-02-09,SSE,46.0,SE,S,20.0,22.0
2009-02-10,SSE,44.0,SSE,SSE,17.0,26.0
2009-02-11,SSE,50.0,SSE,SSE,17.0,28.0
2009-02-12,,,SE,SE,24.0,24.0
2009-02-13,SE,54.0,ESE,E,19.0,24.0
2009-02-14,ESE,54.0,E,SE,19.0,20.0
2009-02-15,SE,44.0,E,N,4.0,7.0
2009-02-16,SE,37.0,ESE,SE,19.0,7.0
2009-02-17,SE,37.0,NE,ENE,9.0,13.0
2009-02-18,SE,30.0,ENE,E,6.0,13.0
2009-02-19,WSW,56.0,ESE,W,2.0,31.0
2009-02-20,S,37.0,SW,W,9.0,24.0
2009-02-21,ESE,39.0,SSE,SE,22.0,20.0
2009-02-22,SE,39.0,E,W,17.0,11.0
2009-02-23,WSW,44.0,,W,0.0,28.0
2009-02-24,ESE,48.0,ESE,ESE,22.0,19.0
2009-02-25,ESE,37.0,ENE,E,19.0,13.0
2009-02-26,NNE,35.0,ENE,NNE,19.0,15.0
2009-02-27,W,46.0,SE,W,7.0,22.0
2009-02-28,SSW,52.0,SE,SSW,17.0,11.0
2009-03-01,E,35.0,ESE,E,17.0,6.0
2009-03-02,ENE,37.0,ENE,E,17.0,15.0
2009-03-03,WSW,65.0,WNW,W,15.0,37.0
2009-03-04,WSW,72.0,W,WSW,35.0,41.0
2009-03-05,SW,37.0,SW,SW,13.0,19.0
2009-03-06,SW,26.0,SW,SSW,2.0,9.0
2009-03-07,SE,50.0,ESE,E,9.0,13.0
2009-03-08,SE,54.0,ESE,SE,19.0,19.0
2009-03-09,SE,35.0,ESE,SE,17.0,13.0
2009-03-10,ESE,31.0,SE,SE,13.0,13.0
2009-03-11,SSE,31.0,E,NE,7.0,7.0
2009-03-12,SW,33.0,NNE,ENE,6.0,13.0
2009-03-13,WSW,30.0,,WSW,0.0,13.0
2009-03-14,WSW,61.0,W,WSW,20.0,33.0
2009-03-15,SW,50.0,W,WSW,20.0,26.0
2009-03-16,SW,39.0,WSW,WSW,13.0,24.0
2009-03-17,ESE,30.0,SSE,SE,9.0,15.0
2009-03-18,NW,37.0,ENE,NW,13.0,20.0
2009-03-19,NW,44.0,N,WSW,7.0,22.0
2009-03-20,NW,33.0,NE,N,9.0,17.0
2009-03-21,W,52.0,ENE,NNW,9.0,24.0
2009-03-22,WSW,41.0,SSE,WSW,15.0,6.0
2009-03-23,SE,33.0,ESE,NE,11.0,15.0
2009-03-24,,,N,W,6.0,13.0
2009-03-25,WNW,33.0,ENE,WSW,7.0,20.0
2009-03-26,SSE,37.0,SW,S,13.0,17.0
2009-03-27,SE,31.0,E,E,13.0,11.0
2009-03-28,NE,28.0,NE,W,13.0,13.0
2009-03-29,SE,33.0,ENE,E,4.0,9.0
2009-03-30,ESE,37.0,ESE,E,13.0,19.0
2009-03-31,SE,31.0,E,ENE,13.0,9.0
2009-04-01,NE,39.0,NE,NNE,13.0,13.0
2009-04-02,W,35.0,NE,WSW,7.0,19.0
2009-04-03,WSW,46.0,SW,WSW,24.0,30.0
2009-04-04,WSW,31.0,SW,SW,6.0,11.0
2009-04-05,WSW,43.0,W,WSW,15.0,26.0
2009-04-06,SSW,39.0,ENE,SSE,11.0,26.0
2009-04-07,ESE,35.0,SE,SE,22.0,19.0
2009-04-08,SE,31.0,SE,WSW,13.0,9.0
2009-04-09,SE,35.0,E,SW,13.0,9.0
2009-04-10,ESE,30.0,NNE,W,2.0,19.0
2009-04-11,WSW,26.0,ENE,NW,13.0,9.0
2009-04-12,NE,30.0,NE,SW,15.0,7.0
2009-04-13,NW,37.0,NNE,W,9.0,15.0
2009-04-14,W,39.0,WSW,W,9.0,19.0
2009-04-15,WSW,65.0,SW,WSW,24.0,20.0
2009-04-16,WNW,43.0,WNW,W,22.0,24.0
2009-04-17,WSW,28.0,WSW,WSW,7.0,13.0
2009-04-18,SE,35.0,NE,ESE,6.0,13.0
2009-04-19,SE,31.0,SE,SE,15.0,13.0
2009-04-20,SE,31.0,E,NE,15.0,17.0
2009-04-21,NE,35.0,ENE,NE,13.0,17.0
2009-04-22,NE,37.0,NE,NE,15.0,17.0
2009-04-23,NNE,52.0,NNE,NE,26.0,17.0
2009-04-24,W,69.0,NW,WSW,22.0,30.0
2009-04-25,WNW,72.0,NW,WSW,30.0,37.0
2009-04-26,W,59.0,WSW,W,31.0,24.0
2009-04-27,NW,63.0,W,W,31.0,33.0
2009-04-28,ENE,22.0,ENE,ENE,13.0,9.0
2009-04-29,W,20.0,ENE,W,9.0,9.0
2009-04-30,NW,33.0,NE,W,6.0,15.0
2009-05-01,W,28.0,NE,WSW,6.0,17.0
2009-05-02,SSE,30.0,SE,SE,17.0,11.0
2009-05-03,ESE,41.0,NNE,WNW,2.0,7.0
2009-05-04,ESE,28.0,ESE,SE,11.0,11.0
2009-05-05,SE,22.0,,NE,0.0,9.0
2009-05-06,WSW,26.0,SSE,SSW,9.0,9.0
2009-05-07,SSE,28.0,ESE,S,11.0,20.0
2009-05-08,SSE,24.0,SE,S,13.0,9.0
2009-05-09,SSE,30.0,SE,SSE,15.0,11.0
2009-05-10,ESE,24.0,SE,SSE,13.0,11.0
2009-05-11,SSW,31.0,SSE,SSE,20.0,11.0
2009-05-12,SW,31.0,NE,S,2.0,13.0
2009-05-13,W,33.0,,WSW,0.0,20.0
2009-05-14,W,50.0,WNW,WNW,20.0,20.0
2009-05-15,W,50.0,WNW,WNW,24.0,28.0
2009-05-16,WNW,52.0,WSW,WSW,20.0,20.0
2009-05-17,SE,28.0,,SE,0.0,2.0
2009-05-18,ESE,28.0,ESE,ESE,9.0,13.0
2009-05-19,SE,20.0,,SSE,,9.0
2009-05-20,ESE,30.0,ENE,ESE,6.0,11.0
2009-05-21,E,35.0,ESE,E,13.0,19.0
2009-05-22,NE,43.0,NE,NE,20.0,24.0
2009-05-23,NNE,46.0,N,NE,24.0,15.0
2009-05-24,W,39.0,ENE,ENE,9.0,7.0
2009-05-25,W,41.0,NW,W,20.0,28.0
2009-05-26,SW,22.0,N,WSW,2.0,13.0
2009-05-27,WSW,26.0,NNE,W,7.0,9.0
