Date,MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2009-01-01,18.8,38.4,,46.0,20.0,1010.4,1007.2,23.1,35.6
2009-01-02,22.0,39.1,,38.0,23.0,1008.3,1007.4,27.1,36.0
2009-01-03,15.9,35.6,,58.0,29.0,1012.1,1010.2,24.0,34.8
2009-01-04,,37.0,,45.0,19.0,1016.6,1012.6,22.7,35.2
2009-01-05,21.8,38.6,,35.0,15.0,1014.1,1010.1,26.8,37.3
2009-01-06,19.9,38.0,,50.0,20.0,1013.5,1009.1,24.9,37.1
2009-01-07,18.8,36.6,,49.0,23.0,1013.8,1010.5,23.2,34.3
2009-01-08,19.6,38.1,,49.0,22.0,1014.1,1010.7,23.9,36.6
2009-01-09,19.4,38.3,,49.0,23.0,1015.0,1010.8,24.1,37.3
2009-01-10,,37.4,,41.0,22.0,1012.7,1009.7,26.0,35.9
2009-01-11,19.8,40.6,,31.0,12.0,1008.6,1004.9,26.6,39.0
2009-01-12,13.3,28.8,,64.0,49.0,1007.3,1008.6,22.1,27.2
2009-01-13,9.1,27.8,,50.0,27.0,1017.4,1014.5,19.8,26.5
2009-01-14,12.0,32.7,,49.0,19.0,1016.8,1013.7,21.0,31.9
2009-01-15,,39.5,,41.0,15.0,1015.4,1011.5,23.2,37.8
2009-01-16,23.2,43.7,,13.0,23.0,1010.5,1010.0,32.8,34.4
2009-01-17,17.0,33.7,,59.0,28.0,1015.1,1013.4,21.9,33.2
2009-01-18,21.7,33.2,,48.0,31.0,1015.3,1011.5,23.1,31.4
2009-01-19,16.8,30.8,,60.0,35.0,1016.0,1013.3,20.2,28.4
2009-01-20,15.7,31.8,,50.0,24.0,1018.0,1014.2,18.8,31.2
2009-01-21,13.6,30.3,,68.0,34.0,1015.7,1012.4,19.4,28.4
2009-01-22,17.1,30.6,,75.0,41.0,1013.4,1011.1,20.4,29.7
2009-01-23,19.5,29.8,,71.0,45.0,1013.6,1011.1,21.3,28.8
2009-01-24,11.9,33.8,,73.0,32.0,1013.4,1010.6,19.6,33.2
2009-01-25,15.4,,,26.0,16.0,1011.9,1007.6,25.8,38.7
2009-01-26,,32.5,,95.0,37.0,1007.9,1007.4,20.2,31.2
2009-01-27,16.1,35.2,,57.0,33.0,1007.8,1003.6,23.2,33.8
2009-01-28,20.1,32.6,,71.0,51.0,1003.4,1000.7,23.7,29.9
2009-01-29,20.2,25.0,,71.0,57.0,1007.6,1007.5,21.1,24.6
2009-01-30,18.1,,,68.0,47.0,1010.1,1006.6,21.7,30.1
2009-01-31,,36.1,,58.0,42.0,1008.5,1005.9,27.6,32.5
2009-02-01,23.2,38.7,,62.0,24.0,1011.3,1008.4,27.7,37.5
2009-02-02,19.4,40.6,,46.0,20.0,1010.4,1007.7,30.5,39.8
2009-02-03,17.6,36.1,,81.0,29.0,1010.1,1007.9,22.5,34.4
2009-02-04,17.8,34.2,,59.0,28.0,1012.0,1009.5,23.1,32.1
2009-02-05,17.5,34.4,,50.0,22.0,1010.7,1006.1,21.2,32.9
2009-02-06,14.3,28.3,,63.0,33.0,1008.7,1006.0,18.0,26.9
2009-02-07,9.2,28.8,,53.0,27.0,1013.9,1011.8,18.5,28.0
2009-02-08,15.0,33.3,,44.0,21.0,1016.5,1014.6,19.0,32.1
2009-02-09,18.5,35.0,,47.0,16.0,1016.5,1014.4,21.3,33.5
2009-02-10,21.2,36.5,,40.0,14.0,1015.3,1012.5,24.0,34.9
2009-02-11,23.9,39.2,,21.0,11.0,1012.1,1009.2,28.2,37.5
2009-02-12,20.1,41.6,,17.0,17.0,1007.2,1007.3,30.1,34.7
2009-02-13,21.6,27.0,,61.0,52.0,1013.3,1011.8,22.5,25.1
2009-02-14,19.0,32.8,,43.0,26.0,1008.6,1006.0,23.7,30.7
2009-02-15,15.3,35.4,,80.0,24.0,1008.2,1005.7,21.1,33.7
2009-02-16,17.9,28.4,,71.0,38.0,1010.8,1009.8,21.3,27.9
2009-02-17,14.7,32.3,,60.0,28.0,1012.8,1009.4,20.0,30.4
2009-02-18,17.7,32.1,,55.0,24.0,1012.8,1009.7,20.6,31.1
2009-02-19,17.2,34.2,,48.0,21.0,1013.0,1010.8,20.7,32.2
2009-02-20,19.8,37.2,,44.0,19.0,1014.5,1012.5,22.8,35.1
2009-02-21,22.7,40.2,,25.0,13.0,1011.4,1007.8,28.3,38.2
2009-02-22,19.5,33.4,,48.0,25.0,1012.0,1009.9,22.3,32.4
2009-02-23,17.6,35.6,,53.0,24.0,1012.2,1008.8,19.9,33.1
2009-02-24,18.6,26.5,,72.0,49.0,1006.6,1007.0,22.5,24.8
2009-02-25,12.5,24.9,,73.0,83.0,1007.3,1006.6,18.3,18.6
2009-02-26,,24.8,,68.0,35.0,1016.6,1015.5,16.1,23.4
2009-02-27,13.0,32.4,,60.0,18.0,1015.7,1011.7,18.5,30.8
2009-02-28,15.2,37.4,,48.0,20.0,1009.1,1005.3,22.0,34.8
2009-03-01,22.0,34.3,,55.0,40.0,1005.7,1002.2,26.0,32.8
2009-03-02,18.1,25.2,,69.0,41.0,1008.6,1010.2,18.4,23.0
2009-03-03,8.4,25.7,,52.0,23.0,1025.2,1022.9,14.2,24.1
2009-03-04,14.1,31.0,,46.0,17.0,1026.8,1022.3,17.1,28.9
2009-03-05,17.1,34.5,,34.0,13.0,1023.7,1019.5,21.6,33.0
2009-03-06,16.8,35.7,,27.0,11.0,1019.2,1016.1,24.8,34.2
2009-03-07,17.6,31.9,,54.0,23.0,1019.0,1016.9,19.3,30.0
2009-03-08,19.2,35.4,,33.0,13.0,1016.0,1013.3,22.8,34.0
2009-03-09,14.5,36.7,,25.0,12.0,1015.9,1013.2,25.9,35.7
2009-03-10,13.0,38.4,,23.0,10.0,1013.5,1010.9,27.0,37.7
2009-03-11,11.7,31.4,,42.0,21.0,1011.7,1011.7,20.4,30.5
2009-03-12,17.8,27.4,,64.0,45.0,1013.8,1012.8,20.7,26.1
2009-03-13,11.9,29.3,,52.0,24.0,1019.5,1017.5,18.2,27.6
2009-03-14,14.6,31.7,,49.0,25.0,1020.7,1016.4,16.8,29.6
2009-03-15,16.7,40.1,,24.0,13.0,1013.7,1010.2,24.6,38.1
2009-03-16,14.9,35.4,,48.0,27.0,1012.4,1010.5,21.6,33.3
