Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,E,50.0,ESE,SE,22.0,13.0
2009-01-02,E,52.0,NW,SW,4.0,31.0
2009-01-03,,,S,SSW,13.0,28.0
2009-01-04,SE,43.0,SE,ESE,24.0,20.0
2009-01-05,E,59.0,ESE,SSE,15.0,15.0
2009-01-06,SSW,43.0,SE,SSE,24.0,20.0
2009-01-07,E,69.0,E,ESE,26.0,22.0
2009-01-08,SE,44.0,ESE,S,19.0,26.0
2009-01-09,,,SE,SSW,11.0,22.0
2009-01-10,SSE,50.0,SE,SSW,17.0,30.0
2009-01-11,E,61.0,ENE,WSW,31.0,13.0
2009-01-12,SSW,59.0,SSW,SW,11.0,31.0
2009-01-13,SSW,48.0,S,S,11.0,17.0
2009-01-14,W,41.0,SE,SE,15.0,13.0
2009-01-15,,,E,E,31.0,17.0
2009-01-16,,,NE,WNW,24.0,15.0
2009-01-17,SSE,44.0,S,SSW,11.0,19.0
2009-01-18,ESE,59.0,S,SSW,11.0,20.0
2009-01-19,ESE,72.0,S,SSE,20.0,13.0
2009-01-20,SW,46.0,ESE,SSW,24.0,20.0
2009-01-21,S,52.0,S,WSW,17.0,28.0
2009-01-22,SW,46.0,S,SW,17.0,22.0
2009-01-23,SW,39.0,SSE,SSW,17.0,24.0
2009-01-24,WSW,41.0,W,SW,7.0,24.0
2009-01-25,,,SE,ESE,15.0,13.0
2009-01-26,SW,39.0,WNW,SW,7.0,26.0
2009-01-27,SW,43.0,E,ENE,20.0,9.0
2009-01-28,WSW,43.0,SE,SW,13.0,11.0
2009-01-29,SSW,33.0,SSW,S,22.0,13.0
2009-01-30,,,SE,ESE,17.0,9.0
2009-01-31,S,63.0,ENE,SE,17.0,15.0
2009-02-01,WSW,44.0,ENE,S,15.0,15.0
2009-02-02,SW,41.0,NNE,SW,6.0,22.0
2009-02-03,WSW,35.0,WSW,WSW,6.0,28.0
2009-02-04,SSW,43.0,SE,SSW,19.0,24.0
2009-02-05,ESE,57.0,ESE,S,19.0,20.0
2009-02-06,SW,54.0,S,SW,24.0,31.0
2009-02-07,SSE,41.0,SE,S,17.0,22.0
2009-02-08,E,67.0,E,ESE,39.0,28.0
2009-02-09,E,65.0,E,NE,41.0,28.0
2009-02-10,ENE,63.0,ENE,NE,33.0,17.0
2009-02-11,NE,46.0,NNE,W,20.0,9.0
2009-02-12,WSW,50.0,NNE,SSW,15.0,28.0
