Date,MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2008-12-01,15.2,32.6,,35.0,23.0,,,24.4,31.3
2008-12-02,15.0,31.7,,64.0,38.0,,,20.4,30.1
2008-12-03,15.9,33.4,,63.0,16.0,,,21.0,31.4
2008-12-04,17.2,24.8,,71.0,55.0,,,19.5,22.7
2008-12-05,17.8,32.2,,97.0,48.0,,,19.8,29.6
2008-12-06,18.1,36.2,,75.0,26.0,,,25.9,35.7
2008-12-07,19.3,27.8,,99.0,89.0,,,20.3,21.7
2008-12-08,17.2,26.9,,84.0,99.0,,,20.5,19.6
2008-12-09,15.9,33.0,,89.0,21.0,,,20.0,32.2
2008-12-10,19.5,,,60.0,,,,23.5,
2008-12-11,,18.7,,100.0,84.0,,,17.4,18.6
2008-12-12,15.5,21.1,,100.0,,,,15.8,16.7
2008-12-13,15.8,32.7,,100.0,35.0,,,21.1,32.0
2008-12-14,19.1,25.5,,42.0,37.0,,,21.8,23.3
2008-12-15,15.1,27.3,,42.0,34.0,,,20.0,25.8
2008-12-16,12.9,30.5,,70.0,32.0,,,18.4,29.2
2008-12-17,14.8,31.6,,69.0,30.0,,,21.9,30.4
2008-12-18,18.6,33.5,,60.0,26.0,,,23.3,32.1
2008-12-19,15.8,28.5,,44.0,27.0,,,23.0,28.0
2008-12-20,14.2,24.1,,52.0,55.0,,,18.3,20.6
2008-12-21,10.7,25.8,,66.0,40.0,,,18.6,24.1
2008-12-22,13.3,30.1,,72.0,33.0,,,19.5,29.0
2008-12-23,16.3,29.4,,82.0,47.0,,,21.2,29.4
2008-12-24,18.3,19.9,,86.0,99.0,,,18.9,19.1
2008-12-25,17.6,27.8,,99.0,56.0,,,19.0,26.4
2008-12-26,19.0,34.7,,81.0,35.0,,,23.0,32.7
2008-12-27,18.9,33.0,,93.0,48.0,,,23.7,30.2
2008-12-28,17.2,34.9,,79.0,34.0,,,23.1,33.2
2008-12-29,18.9,29.3,,79.0,68.0,,,25.0,24.3
2008-12-30,17.5,32.9,,99.0,21.0,,,19.9,31.6
2008-12-31,17.8,33.2,,31.0,13.0,,,25.7,32.6
2009-01-01,14.8,35.4,,65.0,17.0,,,21.9,34.4
2009-01-02,16.9,28.5,,65.0,50.0,,,20.4,23.5
2009-01-03,14.1,23.2,,60.0,51.0,,,18.1,22.6
2009-01-04,18.1,31.7,,74.0,43.0,,,21.2,29.6
2009-01-05,17.5,39.3,,71.0,20.0,,,23.6,39.0
2009-01-06,16.5,41.6,,71.0,9.0,,,24.2,40.0
2009-01-07,18.7,40.2,,76.0,22.0,,,24.3,39.5
2009-01-08,20.4,22.6,,82.0,99.0,,,21.6,19.3
2009-01-09,15.3,21.8,,71.0,45.0,,,18.1,21.3
2009-01-10,14.3,26.8,,58.0,39.0,,,18.7,25.4
2009-01-11,14.3,30.9,,61.0,37.0,,,21.4,29.8
2009-01-12,17.4,29.9,,100.0,55.0,,,20.2,27.3
2009-01-13,19.9,32.9,,89.0,39.0,,,22.1,31.1
2009-01-14,18.1,40.0,,70.0,19.0,,,24.0,39.6
2009-01-15,20.3,43.3,,49.0,17.0,,,28.4,42.2
2009-01-16,17.1,37.2,,55.0,30.0,,,21.5,32.4
2009-01-17,16.6,23.2,,62.0,42.0,,,17.9,21.7
2009-01-18,12.9,29.3,,56.0,30.0,,,19.5,28.3
2009-01-19,13.8,33.6,,65.0,23.0,,,19.8,32.5
2009-01-20,17.1,39.5,,59.0,18.0,,,23.8,39.2
2009-01-21,22.8,39.8,,64.0,25.0,,,26.0,37.5
2009-01-22,21.7,33.5,,67.0,41.0,,,26.4,32.2
2009-01-23,22.2,36.8,,61.0,35.0,,,28.8,36.6
2009-01-24,23.1,42.1,,61.0,14.0,,,29.1,40.4
2009-01-25,19.7,29.4,,59.0,38.0,,,21.4,28.1
2009-01-26,20.7,31.4,,64.0,53.0,,,23.0,29.6
2009-01-27,19.7,29.5,,98.0,66.0,,,20.4,27.0
2009-01-28,18.6,35.8,,94.0,38.0,,,20.9,33.5
2009-01-29,18.6,36.0,,72.0,21.0,,,24.4,34.6
2009-01-30,19.8,35.4,,70.0,29.0,,,24.0,34.2
2009-01-31,18.9,38.6,,68.0,28.0,,,24.3,37.5
2009-02-01,20.5,33.0,,70.0,46.0,,,25.5,31.2
2009-02-02,21.2,35.4,,71.0,36.0,,,25.4,34.1
2009-02-03,21.8,34.8,,68.0,34.0,,,24.7,32.6
2009-02-04,22.3,33.4,,70.0,41.0,,,25.5,32.3
2009-02-05,21.0,39.5,,74.0,27.0,,,25.3,38.5
2009-02-06,22.8,41.4,,68.0,21.0,,,26.8,40.0
2009-02-07,22.3,42.3,,54.0,17.0,,,27.1,40.7
2009-02-08,19.8,42.5,,49.0,19.0,,,25.6,40.6
2009-02-09,22.2,23.6,,80.0,70.0,,,22.4,23.0
2009-02-10,17.4,20.2,,93.0,96.0,,,18.5,19.3
2009-02-11,16.2,22.0,,80.0,68.0,,,17.4,20.9
2009-02-12,15.9,21.3,,76.0,60.0,,,18.0,20.9
2009-02-13,15.6,19.8,,86.0,72.0,,,16.6,19.1
