Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-12-01,WNW,59.0,NNE,W,13.0,22.0
2008-12-02,ENE,28.0,NNE,N,13.0,15.0
2008-12-03,NW,52.0,N,NW,9.0,30.0
2008-12-04,E,35.0,SSE,E,9.0,19.0
2008-12-05,ENE,28.0,NE,ENE,7.0,15.0
2008-12-06,W,46.0,NW,W,7.0,24.0
2008-12-07,S,50.0,NE,SE,4.0,24.0
2008-12-08,NNE,37.0,W,NNE,6.0,11.0
2008-12-09,NNW,35.0,NNE,WNW,7.0,15.0
2008-12-10,,,SSE,,15.0,
2008-12-11,ESE,31.0,S,ESE,13.0,11.0
2008-12-12,SSW,17.0,E,SSW,7.0,9.0
2008-12-13,NW,76.0,NNW,WNW,9.0,31.0
2008-12-14,WSW,61.0,W,WSW,26.0,30.0
2008-12-15,S,43.0,SSW,SE,19.0,9.0
2008-12-16,E,24.0,SSE,E,2.0,13.0
2008-12-17,SE,50.0,N,N,4.0,13.0
2008-12-18,NW,56.0,NNE,NW,7.0,30.0
2008-12-19,SE,54.0,SE,SE,6.0,20.0
2008-12-20,SSE,39.0,S,SE,19.0,20.0
2008-12-21,ENE,30.0,SSW,E,6.0,13.0
2008-12-22,ENE,33.0,N,NE,7.0,17.0
2008-12-23,SE,35.0,S,ESE,17.0,7.0
2008-12-24,S,24.0,SSE,WSW,9.0,7.0
2008-12-25,NE,33.0,NNE,NNE,7.0,15.0
2008-12-26,E,37.0,NW,NE,6.0,22.0
2008-12-27,W,59.0,NW,NNE,4.0,28.0
2008-12-28,NE,35.0,E,NNE,7.0,13.0
2008-12-29,ESE,35.0,S,ESE,7.0,19.0
2008-12-30,WNW,57.0,NNW,W,11.0,28.0
2008-12-31,WNW,46.0,W,WNW,26.0,24.0
2009-01-01,NW,59.0,NNE,WNW,9.0,28.0
2009-01-02,SE,43.0,SE,SE,7.0,28.0
2009-01-03,ENE,28.0,SSW,NNE,7.0,11.0
2009-01-04,NE,39.0,NW,NNE,11.0,17.0
2009-01-05,NW,48.0,SSE,W,6.0,26.0
2009-01-06,NW,46.0,NNW,NE,6.0,11.0
2009-01-07,,,N,WNW,7.0,26.0
2009-01-08,SE,35.0,S,SE,11.0,24.0
2009-01-09,E,30.0,S,ENE,19.0,11.0
2009-01-10,NE,35.0,SSE,E,4.0,13.0
2009-01-11,ENE,37.0,NE,E,6.0,13.0
2009-01-12,SE,37.0,NNW,SE,6.0,24.0
2009-01-13,NNW,37.0,ENE,NE,7.0,15.0
2009-01-14,NE,37.0,SE,NE,6.0,13.0
2009-01-15,SE,54.0,S,W,6.0,22.0
2009-01-16,SSE,54.0,SE,NNE,2.0,9.0
2009-01-17,ESE,31.0,S,ENE,11.0,13.0
2009-01-18,ENE,35.0,NNE,ENE,4.0,9.0
2009-01-19,ENE,39.0,N,NE,7.0,17.0
2009-01-20,NE,44.0,SSE,NW,6.0,17.0
2009-01-21,S,57.0,N,WNW,9.0,9.0
2009-01-22,N,54.0,N,N,17.0,35.0
2009-01-23,NNE,43.0,SE,ENE,6.0,20.0
2009-01-24,WNW,67.0,NNW,W,2.0,35.0
2009-01-25,SSE,31.0,SSE,SE,9.0,13.0
2009-01-26,SE,39.0,S,ESE,7.0,17.0
2009-01-27,ENE,35.0,SSW,SSE,13.0,7.0
2009-01-28,ENE,31.0,NE,NE,4.0,15.0
2009-01-29,ESE,37.0,WNW,NNE,4.0,15.0
2009-01-30,E,33.0,SSE,NNE,9.0,13.0
2009-01-31,ENE,33.0,SE,SE,7.0,17.0
2009-02-01,SE,37.0,SSE,SE,15.0,22.0
2009-02-02,ENE,39.0,NE,NE,4.0,13.0
2009-02-03,SE,39.0,SSE,ESE,9.0,28.0
2009-02-04,N,37.0,E,NE,7.0,9.0
