Date,MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2009-01-01,18.8,37.2,11.6,48.0,22.0,1011.0,1007.9,22.2,35.0
2009-01-02,21.9,36.1,12.8,39.0,31.0,1008.7,1007.9,27.5,33.9
2009-01-03,20.3,34.4,11.8,57.0,34.0,1012.8,1010.7,23.5,33.0
2009-01-04,18.5,36.5,11.2,48.0,20.0,1017.1,1013.1,22.5,34.9
2009-01-05,21.8,37.2,11.4,38.0,21.0,1014.7,1010.8,25.3,36.4
2009-01-06,19.7,36.4,12.0,54.0,35.0,1014.5,1009.7,24.6,33.9
2009-01-07,18.9,36.3,12.0,50.0,23.0,1014.7,1011.1,23.1,34.3
2009-01-08,20.3,37.2,10.8,48.0,24.0,1014.7,1011.4,24.2,36.3
2009-01-09,19.1,37.1,12.6,50.0,32.0,1015.7,1011.4,24.4,34.6
2009-01-10,20.5,35.7,11.2,43.0,26.0,1013.1,1010.5,26.0,33.3
2009-01-11,21.2,39.1,12.0,41.0,15.0,1009.6,1005.4,25.6,38.0
2009-01-12,13.5,28.4,11.4,54.0,52.0,1007.7,1009.0,23.8,26.6
2009-01-13,10.3,26.9,9.4,60.0,37.0,1017.8,1014.9,18.1,25.0
2009-01-14,14.6,31.7,9.6,49.0,35.0,1017.5,1014.6,21.4,30.0
2009-01-15,19.0,39.8,10.6,45.0,16.0,1016.4,1012.0,22.7,37.2
2009-01-16,22.5,43.0,13.8,12.0,18.0,1011.1,1010.1,34.0,37.3
2009-01-17,17.9,32.6,13.2,57.0,31.0,1015.5,1013.9,22.1,31.6
2009-01-18,21.9,33.5,8.6,47.0,31.0,1015.2,1012.0,23.9,31.0
2009-01-19,15.7,30.0,8.0,68.0,39.0,1016.8,1013.9,19.5,28.0
2009-01-20,15.5,30.1,8.0,51.0,35.0,1018.6,1015.0,18.7,28.7
2009-01-21,15.4,27.3,10.0,63.0,42.0,1016.1,1013.5,20.1,26.6
2009-01-22,18.7,28.7,8.6,67.0,48.0,1013.6,1011.6,21.5,28.2
2009-01-23,20.0,28.9,9.0,71.0,50.0,1013.9,1011.7,21.8,27.8
2009-01-24,13.1,31.0,7.6,62.0,46.0,1013.8,1011.4,21.4,28.8
2009-01-25,17.0,38.6,9.6,28.0,18.0,1012.4,1008.0,25.3,38.0
2009-01-26,17.5,30.8,10.0,74.0,54.0,1007.8,1008.3,23.6,27.1
2009-01-27,17.1,34.5,8.8,61.0,34.0,1008.2,1004.2,23.3,33.8
2009-01-28,21.7,31.2,10.4,71.0,51.0,1003.9,1001.2,23.3,30.0
2009-01-29,19.7,25.6,7.2,72.0,58.0,1008.1,1007.9,21.0,24.4
2009-01-30,18.9,32.1,4.0,69.0,51.0,1010.7,1007.0,21.7,29.0
2009-01-31,21.6,35.1,5.6,62.0,44.0,1008.8,1006.3,26.6,33.4
2009-02-01,23.3,37.4,6.4,67.0,40.0,1011.7,1008.8,27.5,35.9
