Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,E,56.0,E,ENE,30.0,15.0
2009-01-02,E,59.0,NE,W,11.0,20.0
2009-01-03,SSW,44.0,S,W,17.0,24.0
2009-01-04,SE,39.0,E,E,11.0,13.0
2009-01-05,E,57.0,E,W,19.0,22.0
2009-01-06,WSW,43.0,ESE,W,15.0,26.0
2009-01-07,E,52.0,SE,SSE,15.0,17.0
2009-01-08,ESE,41.0,ESE,SSE,15.0,13.0
2009-01-09,SW,46.0,SSE,W,13.0,26.0
2009-01-10,SW,48.0,ESE,SW,13.0,33.0
2009-01-11,SW,41.0,ENE,WSW,20.0,20.0
2009-01-12,SW,57.0,SW,WSW,24.0,35.0
2009-01-13,SW,48.0,NNE,W,2.0,28.0
2009-01-14,W,37.0,ESE,WSW,17.0,22.0
2009-01-15,E,72.0,ENE,ESE,35.0,20.0
2009-01-16,NE,50.0,NE,WNW,31.0,20.0
2009-01-17,W,41.0,SW,SW,9.0,17.0
2009-01-18,SSE,46.0,SSE,SSE,15.0,11.0
2009-01-19,E,72.0,SSE,SSE,17.0,20.0
2009-01-20,SW,48.0,E,SW,24.0,28.0
2009-01-21,SSW,43.0,SSW,SW,17.0,30.0
2009-01-22,WSW,43.0,S,WSW,15.0,24.0
2009-01-23,SW,39.0,S,SW,20.0,24.0
2009-01-24,SW,39.0,W,W,7.0,26.0
2009-01-25,WSW,39.0,ESE,W,13.0,15.0
2009-01-26,W,37.0,NW,W,6.0,24.0
2009-01-27,SSW,48.0,SE,SSW,9.0,20.0
2009-01-28,WSW,43.0,SE,SW,11.0,19.0
2009-01-29,SSW,33.0,S,SSW,19.0,22.0
2009-01-30,WSW,30.0,SE,S,13.0,9.0
2009-01-31,,,E,SE,22.0,17.0
2009-02-01,SSW,39.0,E,W,19.0,22.0
2009-02-02,WSW,39.0,ENE,WSW,19.0,28.0
2009-02-03,SW,33.0,SW,W,9.0,22.0
2009-02-04,SW,48.0,SSE,SSW,22.0,24.0
2009-02-05,ESE,50.0,ESE,WSW,13.0,30.0
2009-02-06,SW,56.0,S,SW,26.0,35.0
2009-02-07,WSW,46.0,SSE,WSW,13.0,19.0
2009-02-08,E,57.0,E,E,28.0,26.0
2009-02-09,E,69.0,ENE,E,39.0,30.0
2009-02-10,E,65.0,ENE,ENE,37.0,28.0
2009-02-11,NE,41.0,NE,ENE,26.0,9.0
2009-02-12,WSW,54.0,NE,WSW,24.0,26.0
2009-02-13,SE,52.0,SE,ESE,20.0,26.0
2009-02-14,E,65.0,ESE,SE,28.0,11.0
2009-02-15,WSW,33.0,,WSW,,24.0
2009-02-16,SSW,41.0,SSW,WSW,26.0,28.0
2009-02-17,SE,44.0,SE,SSE,17.0,17.0
2009-02-18,E,57.0,ESE,SSE,26.0,24.0
2009-02-19,E,61.0,E,SSE,26.0,15.0
2009-02-20,E,61.0,ENE,ENE,35.0,19.0
2009-02-21,E,54.0,ENE,W,26.0,19.0
2009-02-22,WSW,41.0,SSW,WSW,26.0,26.0
2009-02-23,E,57.0,ENE,N,31.0,7.0
2009-02-24,SW,39.0,WSW,WSW,15.0,28.0
2009-02-25,WSW,43.0,NNE,W,17.0,24.0
2009-02-26,SSW,37.0,NNE,SSW,7.0,22.0
2009-02-27,ENE,41.0,ENE,WSW,20.0,26.0
2009-02-28,,,E,E,24.0,20.0
2009-03-01,NE,50.0,NNE,W,11.0,19.0
2009-03-02,SW,59.0,SSW,SW,35.0,37.0
2009-03-03,ESE,43.0,SSE,ESE,15.0,20.0
2009-03-04,ESE,52.0,ENE,E,28.0,28.0
2009-03-05,NE,39.0,ENE,N,24.0,6.0
2009-03-06,E,72.0,ENE,W,13.0,24.0
2009-03-07,E,78.0,ENE,ESE,37.0,19.0
2009-03-08,ENE,44.0,ENE,SW,22.0,13.0
2009-03-09,WSW,37.0,ENE,W,19.0,22.0
2009-03-10,WSW,37.0,ENE,W,15.0,26.0
2009-03-11,S,39.0,W,S,11.0,13.0
2009-03-12,SSW,37.0,SE,WSW,11.0,17.0
2009-03-13,SE,39.0,S,SSW,19.0,15.0
2009-03-14,E,57.0,ENE,E,26.0,24.0
2009-03-15,E,61.0,ENE,NE,30.0,13.0
2009-03-16,WNW,33.0,NNE,W,11.0,19.0
2009-03-17,W,48.0,NNE,W,9.0,24.0
2009-03-18,SW,41.0,SW,W,13.0,19.0
2009-03-19,W,35.0,SW,W,9.0,26.0
2009-03-20,SW,43.0,W,W,11.0,24.0
2009-03-21,WSW,33.0,NE,WSW,9.0,17.0
2009-03-22,WSW,39.0,,WSW,0.0,22.0
2009-03-23,WSW,35.0,NNE,WSW,11.0,20.0
2009-03-24,W,31.0,NNE,WSW,9.0,15.0
2009-03-25,W,37.0,NE,W,4.0,26.0
2009-03-26,E,57.0,E,S,24.0,9.0
2009-03-27,NNW,35.0,,WSW,0.0,20.0
2009-03-28,SW,44.0,S,SW,22.0,20.0
2009-03-29,ESE,52.0,ESE,E,22.0,28.0
2009-03-30,SW,46.0,ESE,WSW,19.0,26.0
2009-03-31,SW,48.0,SSW,WSW,22.0,31.0
2009-04-01,SSE,41.0,S,SW,15.0,11.0
2009-04-02,E,41.0,WSW,SSW,7.0,20.0
2009-04-03,E,57.0,E,ENE,35.0,24.0
2009-04-04,E,52.0,ENE,ESE,26.0,19.0
2009-04-05,E,52.0,E,E,26.0,24.0
2009-04-06,ENE,48.0,E,E,20.0,24.0
2009-04-07,ENE,44.0,NE,NE,31.0,13.0
2009-04-08,NNE,35.0,ENE,WSW,19.0,20.0
2009-04-09,E,54.0,E,,17.0,
2009-04-10,E,57.0,ENE,NNE,31.0,17.0
2009-04-11,SW,30.0,NNE,WSW,9.0,17.0
2009-04-12,ENE,67.0,NE,ENE,24.0,37.0
2009-04-13,E,70.0,ENE,SE,35.0,9.0
2009-04-14,SE,50.0,NE,ESE,6.0,19.0
2009-04-15,E,41.0,E,S,20.0,15.0
2009-04-16,E,35.0,E,SSE,17.0,9.0
2009-04-17,E,37.0,ENE,WSW,19.0,22.0
2009-04-18,E,52.0,ENE,N,9.0,13.0
2009-04-19,NE,31.0,ENE,WSW,19.0,24.0
2009-04-20,W,30.0,NNE,W,2.0,22.0
2009-04-21,SSW,33.0,ENE,W,7.0,17.0
2009-04-22,SSW,56.0,S,SW,15.0,35.0
2009-04-23,S,39.0,SSE,SW,7.0,19.0
2009-04-24,SW,35.0,N,SW,4.0,26.0
2009-04-25,S,31.0,ENE,SSW,6.0,17.0
2009-04-26,W,31.0,S,WSW,6.0,22.0
2009-04-27,W,30.0,ENE,WSW,17.0,22.0
2009-04-28,E,39.0,E,E,20.0,20.0
2009-04-29,ENE,39.0,NE,SSW,9.0,13.0
2009-04-30,ESE,39.0,S,WSW,17.0,17.0
2009-05-01,E,54.0,ENE,ESE,31.0,17.0
2009-05-02,ENE,39.0,ENE,SW,20.0,7.0
2009-05-03,E,33.0,ENE,E,15.0,9.0
2009-05-04,ENE,33.0,ENE,NE,15.0,11.0
2009-05-05,ENE,39.0,ENE,ENE,26.0,20.0
2009-05-06,NE,37.0,ENE,SE,26.0,11.0
2009-05-07,ENE,31.0,ENE,E,17.0,11.0
2009-05-08,ENE,37.0,ENE,E,20.0,11.0
2009-05-09,ENE,33.0,ENE,N,17.0,13.0
2009-05-10,ENE,22.0,NNE,WSW,9.0,9.0
2009-05-11,ESE,56.0,NW,W,4.0,22.0
2009-05-12,E,67.0,E,ESE,17.0,20.0
2009-05-13,E,54.0,E,ESE,20.0,9.0
2009-05-14,E,33.0,ENE,WNW,20.0,11.0
2009-05-15,WSW,30.0,NE,ENE,15.0,11.0
2009-05-16,NE,31.0,NE,ENE,15.0,9.0
2009-05-17,ENE,31.0,ENE,W,20.0,15.0
2009-05-18,NW,30.0,N,W,9.0,15.0
2009-05-19,WSW,31.0,WNW,WSW,11.0,17.0
2009-05-20,NNW,41.0,NNE,NNW,13.0,26.0
2009-05-21,NW,107.0,N,W,41.0,35.0
2009-05-22,W,91.0,WNW,W,33.0,39.0
2009-05-23,SSW,56.0,SW,SSW,11.0,30.0
2009-05-24,WSW,22.0,NNE,WSW,7.0,7.0
2009-05-25,ENE,37.0,ESE,ENE,2.0,20.0
2009-05-26,ENE,54.0,NE,NE,24.0,24.0
2009-05-27,ENE,50.0,ENE,E,20.0,22.0
2009-05-28,ENE,46.0,ENE,ENE,26.0,22.0
2009-05-29,ENE,41.0,ENE,NE,19.0,20.0
2009-05-30,N,48.0,ENE,NE,24.0,13.0
2009-05-31,ENE,26.0,E,SSE,15.0,11.0
2009-06-01,E,37.0,ENE,NNE,15.0,15.0
2009-06-02,ENE,26.0,ENE,WNW,17.0,15.0
2009-06-03,SW,50.0,NE,W,9.0,24.0
2009-06-04,SW,39.0,WNW,S,9.0,26.0
2009-06-05,SSW,30.0,S,SSW,2.0,19.0
2009-06-06,SSW,26.0,NE,S,15.0,17.0
2009-06-07,SSW,26.0,NE,SSW,9.0,13.0
2009-06-08,NNE,20.0,NE,NNW,11.0,9.0
2009-06-09,NNE,35.0,NE,NNE,13.0,20.0
2009-06-10,WNW,37.0,N,WNW,11.0,20.0
2009-06-11,WSW,37.0,WNW,S,4.0,22.0
2009-06-12,SW,22.0,NE,SSW,9.0,9.0
2009-06-13,SSW,33.0,NNE,SSW,9.0,19.0
2009-06-14,W,24.0,NNE,W,13.0,11.0
2009-06-15,NE,26.0,NNE,WNW,11.0,13.0
2009-06-16,N,28.0,N,NNE,9.0,15.0
2009-06-17,NW,43.0,NNE,NNW,13.0,26.0
2009-06-18,N,35.0,N,N,19.0,28.0
2009-06-19,W,81.0,WNW,WSW,35.0,33.0
2009-06-20,W,74.0,NW,WNW,13.0,30.0
2009-06-21,W,50.0,S,SSW,17.0,24.0
2009-06-22,ENE,31.0,ENE,NNE,15.0,11.0
2009-06-23,NE,41.0,E,NE,20.0,17.0
2009-06-24,NNE,52.0,NNE,NNE,22.0,13.0
2009-06-25,W,48.0,W,W,19.0,24.0
2009-06-26,NNW,52.0,NE,N,13.0,26.0
2009-06-27,NW,70.0,WNW,WNW,26.0,35.0
2009-06-28,NW,65.0,WNW,NW,22.0,33.0
2009-06-29,WNW,83.0,W,W,33.0,44.0
2009-06-30,W,56.0,WSW,SW,24.0,19.0
2009-07-01,SSW,33.0,NE,WSW,11.0,20.0
2009-07-02,ENE,30.0,ENE,ESE,7.0,11.0
2009-07-03,ENE,41.0,E,ENE,20.0,24.0
2009-07-04,ENE,30.0,NE,SE,7.0,9.0
2009-07-05,NE,30.0,NE,NNE,17.0,17.0
2009-07-06,NNE,48.0,NNE,W,26.0,22.0
2009-07-07,WNW,28.0,NE,NNW,9.0,15.0
2009-07-08,NNE,37.0,NE,N,7.0,20.0
2009-07-09,NE,41.0,WSW,W,11.0,19.0
2009-07-10,WSW,56.0,W,WSW,19.0,24.0
2009-07-11,WSW,28.0,NNW,W,9.0,17.0
2009-07-12,S,26.0,S,E,11.0,9.0
2009-07-13,S,28.0,NNE,S,11.0,17.0
2009-07-14,NE,35.0,E,NE,20.0,20.0
2009-07-15,NNW,56.0,NNE,NNE,26.0,33.0
2009-07-16,W,63.0,WNW,WNW,13.0,24.0
2009-07-17,W,50.0,SW,WSW,19.0,26.0
2009-07-18,NNW,52.0,WNW,WNW,20.0,33.0
2009-07-19,WNW,65.0,NNW,NW,2.0,15.0
2009-07-20,WSW,76.0,W,WNW,24.0,26.0
2009-07-21,WSW,76.0,SSW,SW,13.0,26.0
