Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-07-01,ENE,20.0,,E,0.0,7.0
2008-07-02,NE,22.0,ESE,ENE,6.0,9.0
2008-07-03,NE,31.0,,WNW,0.0,4.0
2008-07-04,W,26.0,NNE,NNW,11.0,6.0
2008-07-05,WSW,44.0,W,SW,13.0,17.0
2008-07-06,NNE,24.0,ENE,NE,4.0,7.0
2008-07-07,N,37.0,NE,NNE,15.0,13.0
2008-07-08,NNW,24.0,NE,N,9.0,13.0
2008-07-09,ESE,31.0,,ESE,0.0,9.0
2008-07-10,NNW,46.0,NE,NNE,19.0,11.0
2008-07-11,SW,54.0,SW,SW,26.0,13.0
2008-07-12,SSW,19.0,N,SSW,7.0,9.0
2008-07-13,N,17.0,NE,W,7.0,7.0
2008-07-14,NE,31.0,NE,N,11.0,15.0
2008-07-15,NNE,43.0,N,W,22.0,15.0
2008-07-16,SW,44.0,SW,WSW,19.0,13.0
2008-07-17,WSW,46.0,NE,NNW,9.0,9.0
2008-07-18,NW,76.0,NW,W,22.0,30.0
2008-07-19,SSE,37.0,,S,0.0,17.0
2008-07-20,NE,20.0,NE,SSE,7.0,6.0
2008-07-21,NNE,28.0,NE,E,2.0,6.0
2008-07-22,NE,37.0,NE,N,11.0,15.0
2008-07-23,N,43.0,N,NNW,15.0,7.0
2008-07-24,W,33.0,WNW,WSW,7.0,15.0
2008-07-25,NE,28.0,E,SW,7.0,19.0
2008-07-26,SE,52.0,E,N,4.0,2.0
2008-07-27,NNE,39.0,NE,W,11.0,11.0
2008-07-28,WSW,44.0,N,W,11.0,15.0
2008-07-29,WNW,39.0,NNE,WNW,7.0,11.0
2008-07-30,WSW,54.0,W,W,19.0,24.0
2008-07-31,SW,37.0,NNE,SSW,4.0,9.0
2008-08-01,N,30.0,NNE,N,11.0,11.0
2008-08-02,SW,46.0,SW,SSW,22.0,20.0
2008-08-03,S,24.0,NNE,S,6.0,15.0
2008-08-04,NE,22.0,ENE,NE,6.0,6.0
2008-08-05,NE,20.0,ENE,SE,7.0,7.0
2008-08-06,WSW,22.0,,WSW,0.0,13.0
2008-08-07,ESE,24.0,SE,ESE,11.0,9.0
2008-08-08,ENE,31.0,E,ENE,11.0,13.0
2008-08-09,ESE,46.0,E,E,17.0,15.0
