Date,MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2009-01-01,12.5,16.6,4.8,97.0,99.0,1006.7,1010.5,13.7,14.5
2009-01-02,8.6,15.2,4.8,60.0,61.0,1020.0,1021.3,11.9,14.0
2009-01-03,1.6,18.0,4.6,67.0,52.0,1020.4,1018.3,11.6,17.5
2009-01-04,4.8,20.1,4.8,73.0,63.0,1016.4,1015.2,14.7,18.1
2009-01-05,4.4,18.8,5.6,72.0,68.0,1014.0,1013.4,14.9,18.0
2009-01-06,,20.0,5.4,99.0,81.0,1010.9,1010.8,15.4,18.9
2009-01-07,12.8,18.6,4.8,88.0,57.0,1011.5,1012.8,14.6,17.9
2009-01-08,10.8,16.2,5.8,58.0,50.0,1019.8,1021.5,12.9,15.0
2009-01-09,10.9,18.0,5.2,56.0,51.0,1022.2,1019.7,14.1,17.2
2009-01-10,11.8,18.5,5.2,71.0,56.0,1014.5,1013.0,15.4,17.7
2009-01-11,7.4,18.6,6.4,75.0,51.0,1012.7,1013.1,14.0,17.5
2009-01-12,13.4,21.6,4.8,89.0,64.0,1018.3,1017.5,16.2,20.8
2009-01-13,11.0,36.8,6.0,51.0,14.0,1010.9,1006.7,21.4,36.3
2009-01-14,15.2,18.5,15.2,90.0,71.0,1011.5,1012.7,15.4,17.2
2009-01-15,10.5,20.0,5.0,61.0,58.0,1015.8,1017.5,16.7,18.2
2009-01-16,13.0,17.6,6.6,51.0,47.0,1020.3,1022.7,14.6,15.7
2009-01-17,7.4,18.5,5.4,59.0,52.0,1024.4,1023.9,14.5,17.2
2009-01-18,2.7,22.6,5.4,67.0,50.0,1021.8,1019.7,14.1,20.9
2009-01-19,8.4,29.4,7.2,72.0,28.0,1012.3,1010.3,16.9,26.0
2009-01-20,13.2,27.8,8.4,78.0,27.0,1006.3,1007.6,18.0,24.6
2009-01-21,8.4,22.4,7.0,79.0,53.0,1011.3,1008.2,16.3,21.2
2009-01-22,13.5,23.2,8.2,46.0,63.0,994.6,998.9,21.7,17.8
2009-01-23,8.1,23.3,6.6,75.0,50.0,1006.6,1003.1,12.8,21.4
2009-01-24,12.6,18.3,5.6,60.0,48.0,1008.8,1013.6,15.3,17.3
2009-01-25,6.5,20.4,5.2,78.0,54.0,1018.5,1018.9,13.8,19.6
2009-01-26,6.9,21.5,5.2,86.0,63.0,1022.6,1021.4,16.6,20.4
2009-01-27,12.3,33.1,6.6,87.0,35.0,1016.3,1013.3,15.5,32.1
2009-01-28,15.1,39.1,10.8,29.0,19.0,1009.0,1008.6,27.5,33.4
2009-01-29,18.3,39.3,13.8,33.0,21.0,1006.9,1007.8,31.3,36.5
2009-01-30,18.2,30.9,14.2,64.0,65.0,1011.7,1011.8,23.2,23.7
2009-01-31,,25.2,8.6,77.0,77.0,1015.7,1017.2,21.2,20.8
2009-02-01,16.1,26.1,6.4,87.0,64.0,1017.1,1014.7,17.9,25.2
2009-02-02,17.6,21.4,7.8,93.0,89.0,1012.6,1013.7,19.3,19.2
2009-02-03,15.9,24.0,4.4,83.0,64.0,1014.7,1012.2,17.4,23.1
2009-02-04,14.9,26.2,5.6,83.0,57.0,1009.7,1007.5,17.8,25.5
2009-02-05,13.4,20.4,9.0,84.0,68.0,1008.4,1010.6,17.2,20.4
2009-02-06,6.1,26.8,4.6,89.0,77.0,1009.5,1008.6,14.3,18.7
2009-02-07,14.3,33.8,6.2,82.0,74.0,1000.4,1003.2,20.4,21.5
2009-02-08,14.2,20.4,7.4,57.0,58.0,1013.6,1016.1,16.3,18.2
2009-02-09,12.1,17.9,5.2,53.0,44.0,1019.9,1019.7,14.0,16.6
2009-02-10,9.9,17.2,6.0,67.0,58.0,1020.5,1021.3,13.1,15.5
2009-02-11,11.9,16.7,2.6,56.0,62.0,1023.1,1023.3,13.1,14.1
2009-02-12,11.5,17.7,4.0,60.0,56.0,1024.5,1024.3,14.4,17.3
2009-02-13,13.5,22.9,5.4,54.0,48.0,1026.5,1024.3,16.4,22.1
2009-02-14,8.8,21.9,6.0,82.0,61.0,1023.0,1020.8,16.0,20.5
2009-02-15,15.3,21.0,5.0,80.0,72.0,1020.7,1020.5,17.4,18.8
2009-02-16,15.2,23.7,6.8,87.0,61.0,1019.7,1017.1,17.4,22.1
2009-02-17,14.5,25.8,5.2,80.0,52.0,1015.5,1013.6,17.0,24.8
2009-02-18,13.1,31.3,6.8,80.0,23.0,1011.5,1009.5,18.4,30.3
2009-02-19,12.0,27.6,8.6,83.0,65.0,1007.9,1007.5,17.7,22.5
2009-02-20,14.9,20.4,7.0,75.0,66.0,1014.2,1016.2,16.0,17.3
2009-02-21,15.1,18.9,3.8,85.0,65.0,1020.6,1020.4,15.6,17.6
2009-02-22,14.8,21.7,2.2,61.0,47.0,1018.5,1015.2,15.9,21.5
2009-02-23,9.4,21.8,5.4,71.0,86.0,1009.5,1012.5,17.1,17.1
