Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,SW,59.0,SW,SW,28.0,28.0
2009-01-02,SSW,39.0,SW,S,20.0,17.0
2009-01-03,S,30.0,NE,ESE,9.0,15.0
2009-01-04,S,28.0,E,S,11.0,17.0
2009-01-05,W,46.0,W,W,20.0,31.0
2009-01-06,,,WNW,W,17.0,26.0
2009-01-07,WSW,50.0,SW,W,9.0,28.0
2009-01-08,S,39.0,SSW,S,20.0,22.0
2009-01-09,SE,35.0,SE,ESE,17.0,19.0
2009-01-10,ESE,33.0,E,SSE,15.0,19.0
2009-01-11,W,35.0,,WSW,0.0,24.0
2009-01-12,S,24.0,WNW,SSE,9.0,13.0
2009-01-13,NW,48.0,N,W,15.0,30.0
2009-01-14,W,43.0,SSW,S,17.0,15.0
2009-01-15,WSW,54.0,W,WSW,20.0,30.0
2009-01-16,WSW,52.0,SW,SW,28.0,26.0
2009-01-17,SSW,41.0,SE,SE,9.0,15.0
2009-01-18,E,28.0,ENE,ESE,13.0,19.0
2009-01-19,WSW,39.0,E,SSW,9.0,20.0
2009-01-20,W,56.0,WSW,NNW,9.0,20.0
2009-01-21,W,43.0,NW,W,17.0,35.0
2009-01-22,WNW,83.0,NW,W,44.0,41.0
2009-01-23,WNW,57.0,N,W,15.0,31.0
2009-01-24,W,57.0,WSW,WSW,28.0,28.0
2009-01-25,W,39.0,N,W,7.0,24.0
2009-01-26,SE,33.0,SE,ESE,9.0,19.0
2009-01-27,E,28.0,ENE,ESE,15.0,15.0
2009-01-28,N,41.0,N,S,11.0,15.0
2009-01-29,W,59.0,N,W,19.0,28.0
2009-01-30,,,S,S,13.0,19.0
2009-01-31,SE,50.0,SE,ESE,20.0,28.0
2009-02-01,ESE,41.0,ESE,SE,20.0,20.0
2009-02-02,SE,35.0,S,SSE,9.0,19.0
2009-02-03,E,39.0,ESE,ESE,20.0,28.0
2009-02-04,E,31.0,E,E,19.0,17.0
2009-02-05,,,WSW,SSW,17.0,15.0
2009-02-06,SW,57.0,ENE,SSE,15.0,17.0
2009-02-07,WSW,67.0,ESE,SW,9.0,15.0
2009-02-08,SW,46.0,WSW,SW,22.0,26.0
2009-02-09,SSW,35.0,S,SSW,17.0,22.0
2009-02-10,S,43.0,SSW,S,15.0,20.0
2009-02-11,S,39.0,S,S,19.0,17.0
2009-02-12,ESE,52.0,SE,SE,20.0,28.0
2009-02-13,E,50.0,E,ESE,30.0,20.0
2009-02-14,SSW,35.0,ESE,S,9.0,15.0
2009-02-15,ESE,52.0,ESE,SE,28.0,31.0
2009-02-16,SE,37.0,ESE,SE,24.0,22.0
2009-02-17,ESE,31.0,ENE,SE,19.0,20.0
2009-02-18,W,37.0,ENE,WSW,9.0,26.0
2009-02-19,WSW,43.0,NNE,W,7.0,22.0
2009-02-20,WSW,37.0,WSW,WSW,17.0,17.0
2009-02-21,S,31.0,SSE,SSE,13.0,17.0
2009-02-22,ESE,33.0,ESE,SE,17.0,19.0
2009-02-23,W,54.0,N,W,15.0,37.0
2009-02-24,S,35.0,S,SSW,13.0,20.0
2009-02-25,SE,35.0,ESE,SE,9.0,19.0
2009-02-26,ENE,31.0,ENE,E,20.0,22.0
2009-02-27,WSW,54.0,N,SW,13.0,30.0
2009-02-28,WSW,33.0,S,SW,13.0,19.0
2009-03-01,SE,31.0,SSW,SE,15.0,17.0
2009-03-02,E,41.0,ENE,E,11.0,17.0
2009-03-03,WNW,72.0,N,W,24.0,41.0
2009-03-04,W,87.0,W,WSW,48.0,43.0
2009-03-05,SW,50.0,SSW,SSW,17.0,17.0
2009-03-06,W,28.0,SW,W,7.0,17.0
2009-03-07,SSW,28.0,SSW,SSW,9.0,15.0
2009-03-08,ESE,37.0,SE,SE,11.0,20.0
2009-03-09,SE,37.0,ESE,ESE,15.0,22.0
2009-03-10,ESE,41.0,SE,SE,24.0,26.0
2009-03-11,ESE,35.0,E,SE,15.0,17.0
2009-03-12,W,35.0,N,W,9.0,26.0
2009-03-13,ESE,22.0,,S,0.0,9.0
2009-03-14,W,69.0,W,WSW,26.0,41.0
2009-03-15,WSW,57.0,WSW,WSW,30.0,39.0
2009-03-16,WSW,50.0,WSW,SW,20.0,22.0
2009-03-17,SSW,28.0,SSW,S,9.0,13.0
2009-03-18,W,26.0,NNE,W,13.0,9.0
2009-03-19,W,33.0,NW,S,13.0,13.0
2009-03-20,,,,SE,0.0,9.0
2009-03-21,NW,56.0,N,NW,9.0,37.0
2009-03-22,SSW,33.0,S,S,17.0,17.0
2009-03-23,,,,S,,15.0
2009-03-24,E,24.0,N,E,9.0,15.0
2009-03-25,W,31.0,NNW,W,7.0,20.0
2009-03-26,WSW,50.0,W,WSW,24.0,31.0
2009-03-27,WNW,31.0,WSW,W,4.0,19.0
2009-03-28,WSW,26.0,NNW,W,7.0,20.0
2009-03-29,SE,31.0,WSW,S,6.0,15.0
2009-03-30,ESE,43.0,ESE,SE,22.0,24.0
2009-03-31,E,26.0,E,SSW,13.0,9.0
2009-04-01,,,N,N,17.0,13.0
2009-04-02,SSW,37.0,N,NNW,13.0,20.0
2009-04-03,,,WSW,W,20.0,37.0
2009-04-04,SW,39.0,SW,W,15.0,24.0
2009-04-05,W,57.0,W,SW,28.0,28.0
2009-04-06,SW,39.0,SSW,SSW,20.0,19.0
2009-04-07,SSW,30.0,SSW,S,11.0,17.0
2009-04-08,S,20.0,S,S,9.0,11.0
2009-04-09,SSW,20.0,,SSW,0.0,13.0
2009-04-10,W,31.0,NNW,W,11.0,20.0
2009-04-11,W,26.0,NNE,WSW,9.0,19.0
2009-04-12,NE,22.0,NW,SSW,7.0,13.0
2009-04-13,ESE,22.0,NNE,S,9.0,11.0
2009-04-14,WNW,57.0,WNW,W,20.0,41.0
2009-04-15,NW,104.0,WSW,WSW,37.0,26.0
2009-04-16,NW,52.0,NNW,WNW,26.0,37.0
2009-04-17,W,37.0,NW,W,19.0,22.0
2009-04-18,WSW,26.0,WSW,SSW,13.0,13.0
2009-04-19,SE,28.0,SE,SE,13.0,17.0
2009-04-20,E,39.0,ENE,E,22.0,13.0
2009-04-21,WNW,30.0,N,SW,13.0,11.0
2009-04-22,NNE,28.0,N,NNE,11.0,13.0
2009-04-23,NNE,44.0,NE,NNE,13.0,19.0
2009-04-24,N,48.0,N,SSW,17.0,19.0
2009-04-25,W,91.0,NNW,W,20.0,33.0
2009-04-26,W,93.0,W,WSW,57.0,37.0
2009-04-27,SSE,31.0,NNW,WNW,13.0,17.0
2009-04-28,SW,37.0,S,S,13.0,13.0
2009-04-29,ESE,17.0,N,ESE,9.0,11.0
2009-04-30,WNW,39.0,NNE,NNW,9.0,24.0
2009-05-01,NW,37.0,NNW,WSW,9.0,19.0
2009-05-02,W,31.0,NNW,W,7.0,17.0
2009-05-03,WNW,30.0,N,W,7.0,17.0
2009-05-04,S,24.0,SW,SSE,9.0,11.0
2009-05-05,S,19.0,N,SW,7.0,7.0
2009-05-06,WSW,33.0,,WSW,0.0,19.0
2009-05-07,S,30.0,SW,S,13.0,15.0
2009-05-08,S,22.0,SSE,S,7.0,11.0
2009-05-09,S,24.0,S,S,11.0,13.0
2009-05-10,S,46.0,S,SSE,7.0,7.0
2009-05-11,SSE,22.0,,S,0.0,11.0
2009-05-12,W,28.0,NW,WNW,11.0,20.0
2009-05-13,W,56.0,WSW,WNW,20.0,26.0
2009-05-14,W,69.0,W,W,35.0,35.0
2009-05-15,W,72.0,W,W,44.0,48.0
2009-05-16,W,69.0,WSW,WSW,31.0,28.0
2009-05-17,WSW,37.0,SW,SSW,15.0,11.0
2009-05-18,NNE,17.0,ESE,E,6.0,7.0
2009-05-19,E,24.0,ENE,E,13.0,13.0
2009-05-20,N,17.0,NE,SSE,9.0,6.0
2009-05-21,E,22.0,E,E,11.0,15.0
2009-05-22,NNE,28.0,NE,NNE,9.0,17.0
2009-05-23,NNE,35.0,NNE,NE,17.0,15.0
2009-05-24,NNE,50.0,N,NNE,19.0,17.0
2009-05-25,W,30.0,NE,WNW,7.0,17.0
2009-05-26,WSW,35.0,NNW,WSW,15.0,20.0
2009-05-27,SSW,28.0,WSW,SSW,9.0,13.0
2009-05-28,SSE,37.0,SSE,SSE,13.0,15.0
2009-05-29,E,30.0,SE,ESE,13.0,15.0
2009-05-30,E,39.0,E,ESE,7.0,17.0
2009-05-31,ENE,41.0,ENE,NE,7.0,9.0
2009-06-01,E,28.0,E,E,7.0,15.0
2009-06-02,E,31.0,E,E,15.0,17.0
2009-06-03,E,20.0,NNE,SW,9.0,7.0
2009-06-04,WNW,26.0,N,NNW,11.0,13.0
2009-06-05,NNE,17.0,N,N,9.0,9.0
2009-06-06,ENE,22.0,NNE,ENE,6.0,13.0
2009-06-07,SW,22.0,N,NNW,7.0,6.0
2009-06-08,WSW,50.0,SW,WSW,22.0,13.0
2009-06-09,SW,61.0,SW,SW,31.0,37.0
2009-06-10,SSW,46.0,SSW,S,11.0,9.0
2009-06-11,N,31.0,N,NNW,9.0,22.0
2009-06-12,N,44.0,N,N,15.0,13.0
2009-06-13,NNE,43.0,NNE,N,17.0,20.0
2009-06-14,E,50.0,NE,ENE,9.0,9.0
