Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,WSW,76.0,W,WSW,41.0,31.0
2009-01-02,W,50.0,W,WSW,30.0,33.0
2009-01-03,ESE,33.0,WNW,ESE,7.0,15.0
2009-01-04,ESE,33.0,SSW,E,6.0,19.0
2009-01-05,ENE,37.0,WNW,SE,11.0,24.0
2009-01-06,SE,44.0,W,SE,13.0,30.0
2009-01-07,W,30.0,SSW,SE,15.0,15.0
2009-01-08,SSW,43.0,W,SW,20.0,28.0
2009-01-09,E,43.0,NW,E,9.0,20.0
2009-01-10,S,44.0,NW,SSE,11.0,22.0
2009-01-11,SE,33.0,S,SE,11.0,13.0
2009-01-12,ESE,35.0,WNW,ESE,11.0,20.0
2009-01-13,ESE,37.0,ENE,SSE,6.0,15.0
2009-01-14,NW,56.0,E,SE,4.0,19.0
2009-01-15,W,54.0,WSW,W,31.0,26.0
2009-01-16,WSW,69.0,W,W,28.0,39.0
2009-01-17,SE,35.0,W,SE,15.0,24.0
2009-01-18,ESE,35.0,NW,ESE,9.0,24.0
2009-01-19,ESE,37.0,NNE,ESE,4.0,28.0
2009-01-20,WNW,57.0,NNE,W,7.0,35.0
2009-01-21,ESE,41.0,NNE,ESE,9.0,22.0
2009-01-22,NNW,70.0,N,NW,24.0,33.0
2009-01-23,E,43.0,SW,E,13.0,33.0
2009-01-24,WNW,76.0,WSW,WSW,37.0,39.0
2009-01-25,ESE,37.0,NNW,E,7.0,26.0
2009-01-26,ESE,41.0,NNW,ESE,7.0,26.0
2009-01-27,ENE,37.0,E,ESE,11.0,22.0
2009-01-28,E,46.0,N,WSW,6.0,9.0
2009-01-29,E,41.0,SSW,WNW,6.0,19.0
2009-01-30,SE,48.0,WNW,S,11.0,13.0
2009-01-31,S,44.0,S,S,6.0,26.0
2009-02-01,ESE,44.0,ESE,ESE,24.0,30.0
2009-02-02,SE,33.0,WSW,SSE,17.0,11.0
2009-02-03,ESE,37.0,ESE,ESE,24.0,30.0
2009-02-04,E,39.0,ESE,ESE,26.0,24.0
2009-02-05,S,48.0,W,SE,15.0,30.0
2009-02-06,E,31.0,S,ENE,13.0,19.0
2009-02-07,WNW,87.0,SSW,NW,4.0,43.0
2009-02-08,,,WSW,S,9.0,22.0
2009-02-09,,,S,S,28.0,26.0
2009-02-10,S,41.0,W,WSW,15.0,17.0
2009-02-11,SSE,35.0,W,S,19.0,22.0
2009-02-12,SE,41.0,WSW,E,7.0,17.0
2009-02-13,E,57.0,E,E,13.0,39.0
2009-02-14,E,52.0,ENE,E,9.0,33.0
2009-02-15,ESE,48.0,E,ESE,19.0,33.0
2009-02-16,E,59.0,ENE,E,37.0,41.0
2009-02-17,E,57.0,E,E,19.0,43.0
2009-02-18,E,54.0,E,E,9.0,39.0
2009-02-19,ESE,35.0,E,E,13.0,22.0
2009-02-20,SW,41.0,NW,W,9.0,28.0
2009-02-21,ESE,31.0,NW,SE,13.0,15.0
2009-02-22,E,46.0,ENE,E,11.0,35.0
2009-02-23,SE,41.0,WNW,W,9.0,20.0
2009-02-24,WSW,63.0,WSW,WSW,20.0,33.0
2009-02-25,WNW,43.0,WNW,WSW,30.0,24.0
2009-02-26,E,48.0,E,E,13.0,35.0
2009-02-27,ENE,37.0,ENE,ESE,13.0,28.0
2009-02-28,WSW,70.0,W,SW,31.0,28.0
2009-03-01,ESE,33.0,,WNW,,11.0
2009-03-02,E,39.0,E,E,6.0,26.0
2009-03-03,NE,54.0,N,NNE,7.0,31.0
2009-03-04,WNW,80.0,WNW,WNW,37.0,46.0
2009-03-05,WSW,54.0,W,WSW,28.0,31.0
2009-03-06,WNW,48.0,WNW,W,22.0,30.0
2009-03-07,WSW,54.0,NW,WSW,11.0,31.0
2009-03-08,E,31.0,WSW,SE,15.0,11.0
2009-03-09,ESE,39.0,WNW,ESE,7.0,26.0
2009-03-10,E,46.0,N,E,9.0,30.0
2009-03-11,E,48.0,E,E,13.0,35.0
2009-03-12,WSW,33.0,WNW,W,6.0,11.0
2009-03-13,SE,33.0,NW,ESE,13.0,26.0
2009-03-14,WSW,85.0,NE,WSW,7.0,30.0
2009-03-15,WNW,63.0,WNW,WNW,17.0,41.0
2009-03-16,WNW,72.0,WNW,W,20.0,37.0
2009-03-17,W,56.0,W,W,26.0,30.0
2009-03-18,E,31.0,NNW,NE,9.0,9.0
2009-03-19,SSE,37.0,WNW,WNW,11.0,20.0
2009-03-20,SE,33.0,WNW,SE,11.0,19.0
2009-03-21,E,41.0,WNW,W,6.0,13.0
2009-03-22,SSW,50.0,ESE,NNE,7.0,20.0
2009-03-23,W,39.0,W,WNW,20.0,17.0
2009-03-24,ESE,31.0,SE,SE,6.0,13.0
2009-03-25,SSW,28.0,SSW,ENE,9.0,19.0
2009-03-26,WSW,70.0,WNW,WSW,11.0,44.0
2009-03-27,ESE,33.0,NW,NW,11.0,19.0
2009-03-28,E,26.0,WNW,N,13.0,9.0
2009-03-29,SSE,43.0,NW,SSE,11.0,28.0
2009-03-30,E,41.0,W,E,9.0,15.0
2009-03-31,E,52.0,NE,ESE,17.0,41.0
2009-04-01,E,50.0,W,E,2.0,37.0
2009-04-02,E,35.0,W,ESE,9.0,15.0
2009-04-03,W,76.0,,SSW,0.0,28.0
2009-04-04,W,44.0,WNW,W,13.0,22.0
2009-04-05,W,65.0,WNW,W,13.0,39.0
2009-04-06,W,52.0,WNW,W,24.0,30.0
2009-04-07,WNW,39.0,W,W,24.0,24.0
2009-04-08,E,28.0,WSW,SW,15.0,7.0
2009-04-09,E,31.0,,E,0.0,24.0
2009-04-10,S,37.0,NNW,S,9.0,26.0
2009-04-11,E,30.0,NE,E,7.0,20.0
2009-04-12,WSW,35.0,NW,WSW,15.0,24.0
2009-04-13,ESE,33.0,NW,ESE,6.0,22.0
2009-04-14,SW,28.0,NNW,WNW,7.0,13.0
2009-04-15,W,104.0,WSW,WSW,63.0,37.0
2009-04-16,NW,57.0,NW,NW,9.0,39.0
2009-04-17,WSW,41.0,NW,WSW,17.0,22.0
2009-04-18,WSW,33.0,NW,W,13.0,17.0
2009-04-19,E,44.0,NW,E,9.0,30.0
2009-04-20,E,39.0,ENE,E,11.0,30.0
2009-04-21,E,41.0,N,E,7.0,33.0
2009-04-22,E,33.0,WNW,E,7.0,13.0
2009-04-23,E,30.0,,ESE,0.0,17.0
2009-04-24,NNE,30.0,NE,WNW,15.0,9.0
2009-04-25,W,57.0,W,NW,24.0,24.0
2009-04-26,WNW,94.0,NW,WNW,52.0,65.0
2009-04-27,WNW,56.0,W,WSW,24.0,17.0
2009-04-28,W,48.0,WNW,WSW,22.0,19.0
2009-04-29,E,19.0,WNW,SE,11.0,7.0
2009-04-30,ESE,28.0,WNW,E,7.0,20.0
2009-05-01,WSW,35.0,NW,WSW,11.0,24.0
2009-05-02,W,26.0,WNW,S,13.0,9.0
2009-05-03,WSW,28.0,NW,WSW,13.0,19.0
2009-05-04,W,41.0,NW,W,11.0,24.0
2009-05-05,NNW,20.0,W,WNW,15.0,7.0
2009-05-06,WNW,31.0,NW,W,15.0,17.0
2009-05-07,W,48.0,WNW,W,24.0,28.0
2009-05-08,W,33.0,WNW,W,15.0,26.0
2009-05-09,W,50.0,W,W,31.0,26.0
2009-05-10,ESE,30.0,NW,ESE,9.0,17.0
2009-05-11,SE,26.0,NW,SE,7.0,15.0
2009-05-12,WSW,28.0,NW,SW,13.0,13.0
2009-05-13,WNW,63.0,WNW,WNW,13.0,39.0
2009-05-14,W,70.0,WNW,W,31.0,43.0
2009-05-15,WNW,69.0,NW,NW,43.0,33.0
