Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,E,46.0,ESE,SE,28.0,20.0
2009-01-02,NNE,43.0,NE,NNW,24.0,17.0
2009-01-03,SSW,54.0,SSW,SSW,15.0,30.0
2009-01-04,E,50.0,SE,ESE,24.0,22.0
2009-01-05,SSE,41.0,NE,E,15.0,11.0
2009-01-06,SSE,44.0,SE,ESE,19.0,19.0
2009-01-07,ENE,46.0,ENE,E,28.0,24.0
2009-01-08,ESE,44.0,ENE,E,24.0,22.0
2009-01-09,SE,46.0,ENE,ENE,22.0,9.0
2009-01-10,SSE,50.0,NE,SSE,15.0,11.0
2009-01-11,NNW,39.0,NNE,WNW,19.0,19.0
2009-01-12,NW,76.0,N,SSW,35.0,41.0
2009-01-13,SSE,39.0,SSW,W,17.0,13.0
2009-01-14,SE,41.0,E,SSE,9.0,19.0
2009-01-15,E,39.0,E,E,26.0,22.0
2009-01-16,NE,39.0,NNE,NNE,26.0,19.0
2009-01-17,SSW,54.0,NNW,S,24.0,31.0
2009-01-18,S,46.0,SE,S,19.0,35.0
2009-01-19,SSE,41.0,SE,S,24.0,22.0
2009-01-20,SE,31.0,SE,SSW,11.0,19.0
2009-01-21,WSW,48.0,N,W,4.0,28.0
2009-01-22,SSW,39.0,SW,SSW,19.0,15.0
2009-01-23,S,44.0,WSW,SSW,22.0,24.0
2009-01-24,SSE,44.0,NNE,SSW,15.0,11.0
2009-01-25,SE,50.0,ENE,NE,15.0,15.0
2009-01-26,NNW,57.0,NNE,N,30.0,33.0
2009-01-27,S,33.0,SSE,E,19.0,13.0
2009-01-28,E,26.0,ENE,ESE,11.0,11.0
2009-01-29,ESE,39.0,S,SE,13.0,19.0
2009-01-30,E,39.0,ESE,E,19.0,20.0
2009-01-31,ESE,33.0,E,E,20.0,20.0
2009-02-01,ESE,31.0,E,ESE,15.0,13.0
2009-02-02,SE,35.0,E,E,20.0,17.0
2009-02-03,SSW,44.0,NNW,S,13.0,31.0
2009-02-04,S,46.0,S,SSE,17.0,30.0
2009-02-05,,,E,ENE,17.0,13.0
2009-02-06,E,33.0,ESE,S,11.0,20.0
2009-02-07,SSE,44.0,SSW,S,20.0,24.0
2009-02-08,ESE,43.0,E,SE,15.0,22.0
2009-02-09,ESE,46.0,E,E,24.0,26.0
