Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,S,72.0,NW,NW,15.0,33.0
2009-01-02,S,63.0,SSE,SE,15.0,35.0
2009-01-03,,,ESE,ENE,15.0,17.0
2009-01-04,NE,65.0,NNE,NE,24.0,48.0
2009-01-05,NNE,63.0,WNW,NE,11.0,35.0
2009-01-06,NE,41.0,S,E,19.0,20.0
2009-01-07,S,59.0,SSE,NE,15.0,26.0
2009-01-08,SSW,56.0,S,S,33.0,35.0
2009-01-09,SSE,50.0,SSE,SE,30.0,28.0
2009-01-10,ENE,48.0,E,NE,17.0,28.0
2009-01-11,NE,54.0,NNE,NE,24.0,33.0
2009-01-12,S,39.0,S,S,9.0,28.0
2009-01-13,NNE,59.0,SSE,NE,11.0,35.0
2009-01-14,NE,67.0,N,NE,9.0,46.0
2009-01-15,S,81.0,ENE,NNE,6.0,26.0
2009-01-16,SSE,54.0,S,E,17.0,24.0
2009-01-17,S,54.0,SSE,S,43.0,33.0
2009-01-18,ENE,43.0,WSW,ENE,9.0,30.0
2009-01-19,NNE,59.0,N,NE,22.0,37.0
2009-01-20,NE,67.0,N,NE,7.0,41.0
2009-01-21,SSW,59.0,NW,NE,13.0,39.0
2009-01-22,N,63.0,NNW,N,26.0,39.0
2009-01-23,NE,80.0,SSW,ESE,13.0,20.0
2009-01-24,S,69.0,NW,SE,11.0,31.0
2009-01-25,SSE,44.0,S,SE,22.0,20.0
2009-01-26,S,39.0,S,S,17.0,30.0
2009-01-27,NE,39.0,S,S,24.0,15.0
2009-01-28,NE,54.0,N,NE,24.0,35.0
2009-01-29,NE,57.0,N,NE,13.0,37.0
2009-01-30,NE,61.0,NNE,NNE,15.0,41.0
2009-01-31,NNE,61.0,NNE,NE,15.0,31.0
2009-02-01,E,41.0,SSE,SSE,17.0,24.0
2009-02-02,NE,63.0,NE,NE,13.0,33.0
2009-02-03,S,46.0,NNE,SSE,13.0,24.0
2009-02-04,ENE,37.0,SSE,E,19.0,24.0
2009-02-05,NE,63.0,N,NE,17.0,31.0
2009-02-06,NNE,59.0,SE,ENE,17.0,30.0
2009-02-07,NE,67.0,NNE,NE,9.0,44.0
2009-02-08,S,59.0,NNE,NE,20.0,39.0
2009-02-09,S,57.0,SSW,SSW,35.0,31.0
2009-02-10,S,54.0,SSW,S,17.0,31.0
2009-02-11,SSW,56.0,SSW,SSW,35.0,33.0
2009-02-12,,,SSW,SE,28.0,31.0
2009-02-13,SE,52.0,SE,E,35.0,28.0
2009-02-14,SE,52.0,ESE,SE,28.0,22.0
2009-02-15,SSE,54.0,S,SSE,28.0,30.0
2009-02-16,SSE,61.0,SE,SSE,35.0,37.0
2009-02-17,SE,50.0,ESE,SE,20.0,26.0
2009-02-18,,,SW,SSE,26.0,30.0
