Date,MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2008-02-01,19.5,22.4,6.2,92.0,84.0,1017.6,1017.4,20.7,20.9
2008-02-02,19.5,25.6,3.4,83.0,73.0,1017.9,1016.4,22.4,24.8
2008-02-03,21.6,24.5,2.4,88.0,86.0,1016.7,1015.6,23.5,23.0
2008-02-04,20.2,22.8,2.2,83.0,90.0,1014.2,1011.8,21.4,20.9
2008-02-05,19.7,25.7,,88.0,74.0,1008.3,1004.8,22.5,25.5
2008-02-06,20.2,27.2,2.6,69.0,62.0,1002.7,998.6,23.8,26.0
2008-02-07,18.6,26.3,5.2,75.0,80.0,999.0,1000.3,21.7,22.3
2008-02-08,17.2,22.3,5.8,77.0,61.0,1008.3,1007.4,18.9,21.1
2008-02-09,16.4,20.8,4.8,92.0,91.0,1006.4,1007.6,17.1,16.5
2008-02-10,14.6,24.2,4.4,80.0,53.0,1014.0,1013.4,17.2,23.3
2008-02-11,16.4,23.9,6.4,78.0,53.0,1017.6,1015.3,18.9,23.7
2008-02-12,18.9,27.3,6.8,68.0,67.0,1010.7,1007.5,22.9,24.7
2008-02-13,18.4,22.8,7.0,87.0,70.0,1009.2,1011.7,20.9,21.0
2008-02-14,16.9,24.3,3.2,81.0,51.0,1017.2,1016.5,18.4,23.3
2008-02-15,18.3,24.4,6.2,80.0,56.0,1020.2,1018.9,19.5,23.8
2008-02-16,16.7,24.1,6.2,77.0,52.0,1023.0,1022.6,19.8,23.3
2008-02-17,19.5,24.8,7.6,63.0,62.0,1024.7,1023.1,21.8,23.4
2008-02-18,18.6,25.3,4.2,70.0,59.0,1021.7,1019.4,21.2,23.8
2008-02-19,19.0,24.8,5.2,79.0,65.0,1018.0,1015.4,20.8,23.4
2008-02-20,18.3,26.4,4.6,80.0,60.0,1013.4,1010.8,21.3,25.2
2008-02-21,20.6,26.8,6.8,86.0,62.0,1011.4,1009.7,22.1,24.9
2008-02-22,19.1,25.4,4.4,77.0,66.0,1009.2,1003.1,22.3,24.9
2008-02-23,20.5,26.0,6.6,38.0,45.0,1007.4,1007.0,22.5,24.0
2008-02-24,16.5,28.3,8.6,48.0,40.0,1007.9,1008.0,21.2,26.1
