Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-02-01,,,S,SSW,17.0,20.0
2008-02-02,,,W,E,9.0,13.0
2008-02-03,,,ESE,ESE,17.0,2.0
2008-02-04,,,NNE,E,22.0,20.0
2008-02-05,,,NNE,W,11.0,6.0
2008-02-06,,,W,ENE,9.0,22.0
2008-02-07,,,W,S,15.0,15.0
2008-02-08,,,S,SE,7.0,15.0
2008-02-09,,,SSW,W,19.0,9.0
2008-02-10,,,W,SSE,11.0,20.0
2008-02-11,,,WNW,E,9.0,26.0
2008-02-12,,,N,NE,7.0,24.0
2008-02-13,,,S,S,24.0,30.0
2008-02-14,,,SSW,SSE,15.0,19.0
2008-02-15,,,SW,SSE,19.0,22.0
2008-02-16,,,WNW,SSE,11.0,26.0
2008-02-17,,,SE,ESE,13.0,24.0
2008-02-18,,,SSE,ENE,13.0,24.0
2008-02-19,,,WNW,E,7.0,17.0
2008-02-20,,,W,E,13.0,22.0
2008-02-21,,,WNW,SE,4.0,15.0
2008-02-22,,,WNW,E,11.0,28.0
2008-02-23,,,WSW,ESE,20.0,24.0
2008-02-24,,,WNW,ESE,11.0,24.0
2008-02-25,,,E,E,15.0,20.0
2008-02-26,,,WSW,E,2.0,28.0
2008-02-27,,,,NNE,0.0,15.0
2008-02-28,,,S,ESE,20.0,9.0
2008-02-29,,,SW,S,24.0,28.0
2008-03-01,,,W,SSE,19.0,31.0
2008-03-02,,,W,SE,13.0,17.0
2008-03-03,,,W,ENE,15.0,19.0
2008-03-04,,,WNW,E,9.0,19.0
2008-03-05,,,S,ESE,19.0,22.0
2008-03-06,,,N,ENE,11.0,19.0
2008-03-07,,,SSW,SSE,13.0,24.0
2008-03-08,,,WNW,E,9.0,22.0
2008-03-09,,,W,E,9.0,19.0
2008-03-10,,,WNW,NE,9.0,24.0
2008-03-11,,,ENE,E,2.0,20.0
2008-03-12,,,W,NE,7.0,22.0
2008-03-13,,,WNW,ESE,6.0,20.0
2008-03-14,,,W,ENE,9.0,24.0
2008-03-15,,,NW,ENE,2.0,20.0
2008-03-16,,,W,E,7.0,24.0
2008-03-17,,,WNW,,4.0,
2008-03-18,,,N,ENE,11.0,20.0
2008-03-19,,,SSE,E,7.0,13.0
2008-03-20,,,NNE,NE,6.0,17.0
2008-03-21,,,S,SSW,26.0,22.0
2008-03-22,,,ESE,E,24.0,30.0
2008-03-23,,,WNW,ESE,9.0,13.0
2008-03-24,,,NNW,ENE,7.0,26.0
2008-03-25,,,NE,NNW,4.0,17.0
2008-03-26,,,,NW,0.0,6.0
2008-03-27,,,W,ESE,20.0,19.0
2008-03-28,,,SSW,SE,13.0,17.0
2008-03-29,,,W,E,15.0,15.0
2008-03-30,,,W,WNW,22.0,15.0
2008-03-31,,,WNW,WNW,9.0,17.0
2008-04-01,,,W,ESE,20.0,15.0
2008-04-02,,,W,N,6.0,22.0
2008-04-03,,,SW,WSW,26.0,20.0
2008-04-04,,,W,E,24.0,15.0
2008-04-05,,,WNW,E,13.0,17.0
2008-04-06,,,W,ESE,13.0,20.0
2008-04-07,,,SSW,SSE,11.0,15.0
2008-04-08,,,SE,SE,20.0,17.0
2008-04-09,,,W,E,13.0,20.0
2008-04-10,,,W,E,15.0,15.0
2008-04-11,,,W,E,15.0,15.0
2008-04-12,,,W,E,11.0,9.0
2008-04-13,,,W,ESE,11.0,4.0
2008-04-14,,,SSW,S,19.0,30.0
2008-04-15,,,SW,S,20.0,22.0
2008-04-16,,,SSW,SSW,15.0,20.0
2008-04-17,,,SSW,S,17.0,13.0
2008-04-18,,,W,SSE,4.0,15.0
2008-04-19,,,SE,SE,22.0,24.0
2008-04-20,,,ESE,S,15.0,6.0
2008-04-21,,,SSW,S,9.0,19.0
2008-04-22,,,SSE,SE,9.0,20.0
2008-04-23,,,SW,SSE,6.0,22.0
2008-04-24,,,S,S,19.0,20.0
2008-04-25,,,SSE,S,17.0,15.0
2008-04-26,,,W,E,15.0,6.0
2008-04-27,,,NNW,N,20.0,22.0
2008-04-28,,,W,WSW,20.0,24.0
2008-04-29,,,W,SSE,24.0,9.0
2008-04-30,,,W,E,15.0,17.0
2008-05-01,,,WNW,W,11.0,7.0
2008-05-02,,,W,WSW,19.0,17.0
2008-05-03,,,W,SSE,19.0,11.0
2008-05-04,,,W,SE,22.0,11.0
2008-05-05,,,W,NW,15.0,7.0
2008-05-06,,,W,WNW,9.0,9.0
2008-05-07,,,W,SSE,22.0,13.0
2008-05-08,,,W,S,24.0,15.0
2008-05-09,,,W,SE,17.0,11.0
2008-05-10,,,WNW,E,11.0,11.0
2008-05-11,,,WNW,SSE,13.0,15.0
2008-05-12,,,W,E,11.0,15.0
2008-05-13,,,W,E,11.0,9.0
2008-05-14,,,W,ENE,20.0,19.0
2008-05-15,,,W,E,13.0,9.0
2008-05-16,,,WNW,NE,15.0,15.0
2008-05-17,,,NNW,NNW,20.0,17.0
2008-05-18,,,W,W,19.0,31.0
2008-05-19,,,W,WNW,22.0,7.0
2008-05-20,,,W,W,24.0,7.0
2008-05-21,,,WNW,S,19.0,22.0
2008-05-22,,,SSW,SSE,20.0,19.0
2008-05-23,,,WNW,SSE,17.0,13.0
2008-05-24,,,W,NW,13.0,2.0
2008-05-25,,,W,ENE,17.0,11.0
2008-05-26,,,W,ENE,20.0,13.0
2008-05-27,,,W,E,15.0,13.0
