Date,MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2008-12-01,24.4,31.4,4.6,72.0,74.0,1011.9,1008.9,30.1,30.1
2008-12-02,25.9,31.7,7.6,72.0,70.0,1012.4,1008.9,29.7,30.4
2008-12-03,26.1,32.0,11.0,59.0,44.0,1013.5,1010.4,29.4,31.2
2008-12-04,23.9,31.2,8.6,63.0,62.0,1014.2,1011.9,29.0,30.5
2008-12-05,24.2,32.3,9.8,65.0,65.0,1015.1,1012.3,29.8,30.7
2008-12-06,26.2,31.8,10.4,74.0,66.0,1013.2,1009.2,29.9,30.9
2008-12-07,26.7,32.4,9.0,71.0,65.0,1010.6,1006.4,29.3,31.5
2008-12-08,22.5,30.9,,93.0,70.0,1011.0,1006.3,24.4,30.4
2008-12-09,23.8,32.2,6.0,76.0,71.0,1010.3,1006.3,29.2,30.8
2008-12-10,27.5,31.5,6.2,72.0,73.0,1010.4,1007.2,30.2,30.7
2008-12-11,27.3,31.6,9.4,70.0,63.0,1010.8,1007.1,29.9,31.0
2008-12-12,25.2,31.4,10.0,61.0,57.0,1011.0,1008.1,29.8,30.3
2008-12-13,26.2,32.2,8.6,71.0,61.0,1009.7,1005.9,29.5,31.7
2008-12-14,27.5,34.0,7.0,74.0,66.0,1006.7,1002.2,29.9,33.0
2008-12-15,23.4,33.8,8.4,36.0,42.0,1007.8,1004.8,30.7,32.3
2008-12-16,26.1,31.7,8.6,67.0,53.0,1011.0,1008.8,29.9,31.1
2008-12-17,27.2,31.2,11.2,63.0,64.0,1012.1,1009.2,29.8,30.2
2008-12-18,26.1,31.4,11.0,64.0,60.0,1010.8,1007.6,29.8,31.1
2008-12-19,27.3,31.5,7.2,70.0,73.0,1009.3,1007.1,29.4,30.1
2008-12-20,26.6,33.5,4.4,65.0,64.0,1009.2,1005.8,31.4,31.8
2008-12-21,26.3,33.0,9.0,75.0,64.0,1010.2,1008.6,28.7,30.7
2008-12-22,25.6,32.4,10.6,75.0,69.0,1012.2,1010.1,28.8,29.3
2008-12-23,25.4,31.2,8.8,57.0,50.0,1013.0,1009.8,29.4,30.4
2008-12-24,24.1,31.5,10.2,54.0,52.0,1012.2,1009.2,28.8,30.5
2008-12-25,24.1,31.7,11.0,59.0,54.0,1010.4,1008.7,29.4,30.5
2008-12-26,25.1,32.4,9.6,60.0,58.0,1010.3,1008.7,29.8,30.8
2008-12-27,26.5,33.2,10.2,66.0,65.0,1010.0,1006.8,30.6,30.4
2008-12-28,26.7,33.4,10.6,75.0,62.0,1008.1,1003.6,29.6,31.4
2008-12-29,24.9,31.1,9.4,82.0,66.0,1007.6,1003.9,28.1,30.3
2008-12-30,25.1,32.3,5.6,66.0,83.0,1007.0,1004.9,29.1,28.4
2008-12-31,24.1,31.2,5.2,76.0,67.0,1007.4,1003.7,28.7,30.7
2009-01-01,24.8,31.9,6.4,77.0,69.0,1008.0,1005.4,28.8,29.9
2009-01-02,25.1,31.0,4.8,73.0,72.0,1009.1,1006.9,28.2,30.2
2009-01-03,25.3,31.3,4.8,90.0,70.0,1010.1,1007.5,25.7,29.7
2009-01-04,23.8,31.5,7.0,72.0,69.0,1010.2,1006.9,28.2,29.7
2009-01-05,25.0,31.3,6.2,66.0,70.0,1008.8,1005.6,29.2,30.1
2009-01-06,25.2,31.6,8.0,68.0,69.0,1009.3,1005.2,29.1,30.0
2009-01-07,25.3,31.6,7.2,68.0,68.0,1008.1,1004.5,28.9,30.8
2009-01-08,26.3,31.6,6.4,67.0,71.0,1006.0,1003.7,29.6,30.0
2009-01-09,25.5,31.7,6.2,83.0,67.0,1006.0,1003.2,26.7,29.7
2009-01-10,23.2,31.3,7.2,66.0,55.0,1005.6,1003.4,29.3,29.7
2009-01-11,23.7,31.2,9.4,75.0,60.0,1007.2,1005.6,26.3,29.8
2009-01-12,24.1,25.1,8.8,91.0,90.0,1005.6,1004.3,24.6,23.2
2009-01-13,20.2,27.2,,96.0,94.0,1005.3,1003.8,23.2,24.9
2009-01-14,23.1,28.3,,89.0,90.0,1007.8,1007.0,26.9,26.7
2009-01-15,24.1,30.0,,96.0,74.0,1011.4,1009.2,24.9,29.5
2009-01-16,24.8,30.4,3.6,78.0,79.0,1012.6,1010.1,27.9,27.6
2009-01-17,25.3,30.8,4.0,84.0,81.0,1011.6,1009.6,27.6,28.4
2009-01-18,24.3,31.0,3.6,74.0,78.0,1012.5,1010.9,28.6,27.7
2009-01-19,24.1,31.1,6.2,80.0,65.0,1013.2,1010.4,27.0,30.1
2009-01-20,23.7,31.1,8.4,66.0,65.0,1012.6,1010.7,28.1,30.2
2009-01-21,24.5,31.4,8.4,70.0,65.0,1012.5,1009.0,29.4,29.9
2009-01-22,25.8,30.7,7.4,81.0,79.0,1010.1,1007.2,28.7,29.2
2009-01-23,24.2,29.1,8.6,90.0,84.0,1011.6,1008.4,26.3,27.7
2009-01-24,23.6,31.6,6.0,89.0,64.0,1012.1,1007.4,25.6,29.2
