Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-12-01,ENE,33.0,NE,ENE,11.0,26.0
2008-12-02,ENE,37.0,E,ENE,19.0,28.0
2008-12-03,ENE,33.0,ENE,NNE,20.0,9.0
2008-12-04,NE,41.0,ENE,NE,11.0,26.0
2008-12-05,ENE,39.0,ESE,ENE,20.0,26.0
2008-12-06,ENE,35.0,NE,ENE,22.0,28.0
2008-12-07,NNE,39.0,N,N,20.0,24.0
2008-12-08,SSW,54.0,NE,ENE,2.0,13.0
2008-12-09,ESE,59.0,E,ENE,17.0,28.0
2008-12-10,ENE,39.0,ENE,ENE,20.0,28.0
2008-12-11,NE,33.0,ENE,ENE,20.0,26.0
2008-12-12,ENE,39.0,NE,ENE,15.0,22.0
2008-12-13,N,33.0,N,N,17.0,20.0
2008-12-14,WSW,80.0,NNW,N,13.0,15.0
2008-12-15,ENE,28.0,SW,NE,17.0,17.0
2008-12-16,ENE,43.0,ESE,ENE,26.0,31.0
2008-12-17,ENE,41.0,ENE,ENE,24.0,30.0
2008-12-18,NNE,37.0,ENE,ENE,19.0,20.0
2008-12-19,ENE,30.0,NW,ENE,4.0,22.0
2008-12-20,ESE,37.0,NNE,N,9.0,20.0
2008-12-21,ENE,39.0,NW,ENE,9.0,22.0
2008-12-22,NE,44.0,SE,E,13.0,30.0
2008-12-23,E,39.0,E,ENE,28.0,30.0
2008-12-24,ENE,39.0,E,ENE,13.0,30.0
2008-12-25,NE,37.0,NE,ENE,13.0,24.0
2008-12-26,NE,37.0,ESE,ENE,20.0,30.0
2008-12-27,E,39.0,E,ENE,20.0,26.0
2008-12-28,N,41.0,WNW,NNE,13.0,28.0
2008-12-29,ENE,35.0,NE,N,28.0,9.0
2008-12-30,W,31.0,NW,N,2.0,13.0
2008-12-31,NNE,37.0,N,NE,13.0,13.0
2009-01-01,NNW,39.0,NNW,N,2.0,19.0
2009-01-02,WNW,26.0,,ENE,0.0,13.0
2009-01-03,ESE,35.0,N,E,9.0,11.0
2009-01-04,E,43.0,ESE,ESE,22.0,28.0
2009-01-05,ENE,33.0,SE,NE,13.0,26.0
2009-01-06,NE,30.0,SW,NE,9.0,22.0
2009-01-07,NE,31.0,SW,NE,6.0,24.0
2009-01-08,E,43.0,SSE,E,13.0,24.0
2009-01-09,ESE,43.0,SE,ENE,28.0,28.0
2009-01-10,ESE,61.0,SE,E,19.0,35.0
2009-01-11,ESE,43.0,SE,ENE,6.0,24.0
2009-01-12,ESE,76.0,ESE,ESE,31.0,37.0
2009-01-13,ESE,80.0,ESE,ESE,41.0,35.0
2009-01-14,ESE,65.0,E,ESE,31.0,15.0
2009-01-15,ESE,31.0,SE,ENE,15.0,24.0
2009-01-16,ENE,43.0,ESE,E,19.0,20.0
2009-01-17,NE,31.0,ESE,ENE,9.0,20.0
2009-01-18,ESE,48.0,SE,ESE,13.0,19.0
2009-01-19,E,54.0,SE,E,20.0,28.0
2009-01-20,NE,39.0,SE,ENE,13.0,28.0
2009-01-21,E,39.0,ESE,ENE,17.0,30.0
2009-01-22,NE,37.0,ENE,ENE,9.0,28.0
2009-01-23,NNW,41.0,SE,NW,11.0,11.0
2009-01-24,W,33.0,SW,N,7.0,17.0
2009-01-25,NW,33.0,WNW,ENE,9.0,19.0
2009-01-26,W,37.0,SSE,N,9.0,9.0
2009-01-27,SSE,39.0,SSE,ESE,13.0,26.0
2009-01-28,E,43.0,ESE,SE,15.0,17.0
2009-01-29,ESE,46.0,SE,SE,15.0,20.0
2009-01-30,SE,41.0,SSE,SE,20.0,17.0
2009-01-31,SE,46.0,ESE,S,24.0,24.0
2009-02-01,SE,54.0,S,ESE,22.0,33.0
2009-02-02,E,69.0,ESE,E,30.0,30.0
2009-02-03,ESE,48.0,ESE,SE,22.0,20.0
2009-02-04,ESE,50.0,SSE,ESE,11.0,22.0
2009-02-05,E,41.0,SSE,ESE,15.0,26.0
2009-02-06,SE,59.0,ESE,ESE,24.0,24.0
2009-02-07,ESE,61.0,ESE,ESE,30.0,19.0
2009-02-08,ESE,37.0,ESE,ESE,9.0,24.0
2009-02-09,N,31.0,,N,,20.0
2009-02-10,N,39.0,NNE,N,19.0,24.0
2009-02-11,NNW,37.0,NW,NNE,13.0,22.0
2009-02-12,N,28.0,W,NNW,6.0,13.0
2009-02-13,SW,35.0,SSE,ENE,7.0,13.0
2009-02-14,N,28.0,SW,N,6.0,9.0
2009-02-15,NE,26.0,W,ENE,9.0,17.0
2009-02-16,N,33.0,,N,,20.0
2009-02-17,ENE,31.0,W,NE,2.0,24.0
2009-02-18,ENE,33.0,NW,ENE,6.0,22.0
2009-02-19,NNE,28.0,NNW,NE,6.0,15.0
2009-02-20,NNE,28.0,NE,NE,7.0,20.0
2009-02-21,SE,39.0,SE,NE,13.0,24.0
2009-02-22,E,41.0,SE,SSE,20.0,15.0
2009-02-23,ESE,37.0,ESE,ESE,9.0,22.0
2009-02-24,ESE,37.0,NW,NE,20.0,20.0
2009-02-25,N,35.0,NNW,NNE,15.0,15.0
2009-02-26,ENE,28.0,SSW,NE,15.0,19.0
2009-02-27,E,39.0,SE,NE,19.0,28.0
2009-02-28,E,44.0,SE,E,13.0,28.0
2009-03-01,ENE,39.0,ESE,ENE,11.0,28.0
2009-03-02,ENE,35.0,E,ENE,13.0,26.0
2009-03-03,E,39.0,ESE,NE,13.0,24.0
2009-03-04,ENE,37.0,SE,ENE,7.0,31.0
2009-03-05,ENE,37.0,ENE,ENE,11.0,28.0
2009-03-06,E,48.0,SE,E,15.0,31.0
2009-03-07,SSE,41.0,SSE,SE,22.0,11.0
2009-03-08,SW,31.0,SW,S,20.0,15.0
2009-03-09,NE,33.0,SSE,NE,6.0,26.0
2009-03-10,ENE,30.0,ENE,ENE,6.0,19.0
2009-03-11,E,43.0,SE,ENE,9.0,22.0
2009-03-12,SE,31.0,SSE,NE,22.0,22.0
2009-03-13,ENE,33.0,S,ENE,19.0,22.0
2009-03-14,ENE,37.0,SSW,NE,11.0,30.0
2009-03-15,NE,37.0,S,ENE,11.0,28.0
2009-03-16,NE,33.0,ESE,ENE,11.0,28.0
2009-03-17,NE,35.0,SE,NE,11.0,24.0
2009-03-18,ESE,46.0,SSE,SE,15.0,20.0
2009-03-19,E,39.0,SSW,S,17.0,17.0
2009-03-20,E,43.0,S,E,13.0,9.0
2009-03-21,ENE,35.0,S,ENE,17.0,26.0
2009-03-22,ENE,41.0,SE,NE,19.0,28.0
2009-03-23,ENE,37.0,SSE,ENE,15.0,30.0
2009-03-24,ENE,41.0,SE,NE,20.0,30.0
2009-03-25,ESE,46.0,ESE,E,19.0,30.0
2009-03-26,ENE,44.0,SE,ENE,19.0,30.0
2009-03-27,ENE,39.0,SSW,E,2.0,11.0
2009-03-28,ENE,37.0,S,ENE,17.0,28.0
2009-03-29,ENE,37.0,SSE,ENE,20.0,28.0
2009-03-30,NE,35.0,S,ENE,6.0,28.0
2009-03-31,NE,28.0,NW,N,4.0,17.0
2009-04-01,N,24.0,WNW,N,9.0,13.0
2009-04-02,NE,39.0,NW,NE,7.0,17.0
2009-04-03,NNE,31.0,N,NNW,6.0,11.0
2009-04-04,NE,31.0,E,NE,6.0,22.0
2009-04-05,NE,37.0,ESE,ENE,15.0,28.0
2009-04-06,NE,39.0,SE,E,13.0,20.0
2009-04-07,NE,35.0,SE,ENE,17.0,28.0
2009-04-08,ESE,50.0,SE,ESE,20.0,31.0
2009-04-09,ESE,54.0,SE,E,15.0,31.0
2009-04-10,E,43.0,SSE,E,17.0,24.0
2009-04-11,ESE,50.0,SE,SE,17.0,17.0
2009-04-12,ENE,43.0,SSE,E,17.0,24.0
2009-04-13,ENE,35.0,SSW,ENE,7.0,24.0
2009-04-14,ENE,31.0,SE,ENE,11.0,24.0
2009-04-15,E,28.0,W,ENE,9.0,19.0
2009-04-16,SE,30.0,SE,E,7.0,13.0
2009-04-17,ENE,37.0,SE,ENE,15.0,26.0
2009-04-18,ENE,28.0,SSE,ENE,6.0,20.0
2009-04-19,NE,26.0,,NE,0.0,15.0
2009-04-20,NNE,31.0,W,N,6.0,17.0
2009-04-21,NE,31.0,ESE,NE,6.0,20.0
2009-04-22,ENE,35.0,SSE,NE,13.0,28.0
2009-04-23,E,35.0,SE,ENE,15.0,24.0
2009-04-24,ENE,30.0,SE,NE,15.0,20.0
2009-04-25,NNE,26.0,,NNE,0.0,15.0
2009-04-26,NE,28.0,E,ENE,2.0,19.0
2009-04-27,SSW,39.0,SSE,SSW,15.0,11.0
2009-04-28,ENE,33.0,E,ENE,2.0,24.0
2009-04-29,ENE,35.0,SE,ENE,17.0,28.0
2009-04-30,ENE,31.0,SE,NE,15.0,20.0
2009-05-01,ENE,44.0,SSE,ENE,19.0,31.0
2009-05-02,ENE,41.0,SE,ENE,19.0,26.0
2009-05-03,E,44.0,SSE,E,15.0,33.0
2009-05-04,ESE,43.0,SSE,NE,24.0,28.0
2009-05-05,ESE,48.0,S,E,15.0,31.0
2009-05-06,ESE,48.0,SE,ESE,9.0,30.0
2009-05-07,SE,56.0,SSW,SE,17.0,15.0
2009-05-08,SE,39.0,SSE,SE,11.0,22.0
2009-05-09,E,41.0,SSE,ESE,22.0,24.0
2009-05-10,SE,30.0,SSE,SE,15.0,15.0
2009-05-11,ESE,37.0,SE,ESE,13.0,22.0
2009-05-12,NE,33.0,SE,E,15.0,17.0
2009-05-13,S,37.0,SSE,ENE,15.0,20.0
2009-05-14,NE,37.0,SSW,ENE,9.0,30.0
2009-05-15,ENE,37.0,S,NE,4.0,22.0
2009-05-16,ENE,39.0,SE,ENE,9.0,26.0
2009-05-17,ENE,33.0,SSE,NE,9.0,19.0
2009-05-18,ENE,35.0,ENE,NE,4.0,26.0
2009-05-19,NE,30.0,WSW,NE,4.0,17.0
2009-05-20,N,28.0,N,N,2.0,13.0
2009-05-21,SSW,35.0,SW,W,13.0,13.0
2009-05-22,W,37.0,SW,W,20.0,17.0
2009-05-23,SW,28.0,SW,NNE,15.0,19.0
2009-05-24,ENE,30.0,,ENE,0.0,22.0
2009-05-25,SSE,31.0,SSE,SE,13.0,13.0
2009-05-26,ENE,41.0,SE,ESE,11.0,24.0
2009-05-27,ENE,35.0,SE,ENE,13.0,22.0
2009-05-28,NE,37.0,SSW,ENE,7.0,28.0
2009-05-29,ENE,33.0,SE,NE,4.0,26.0
2009-05-30,ENE,44.0,,ENE,0.0,33.0
2009-05-31,ESE,48.0,SE,ESE,13.0,30.0
2009-06-01,E,57.0,SE,ESE,15.0,31.0
2009-06-02,ESE,39.0,SE,E,17.0,28.0
2009-06-03,ENE,31.0,S,ENE,6.0,26.0
2009-06-04,ENE,28.0,S,NE,6.0,17.0
2009-06-05,NE,28.0,,NE,0.0,20.0
2009-06-06,NE,31.0,W,ENE,2.0,17.0
2009-06-07,NNE,28.0,W,W,13.0,13.0
2009-06-08,SW,35.0,SW,SE,20.0,13.0
2009-06-09,SSW,35.0,SSW,SSE,17.0,9.0
2009-06-10,ENE,33.0,W,ENE,11.0,9.0
2009-06-11,ENE,35.0,W,ENE,9.0,20.0
2009-06-12,SE,35.0,SSE,NE,11.0,19.0
2009-06-13,ENE,30.0,SSW,NE,9.0,19.0
2009-06-14,NE,30.0,SSE,ENE,7.0,24.0
2009-06-15,ENE,28.0,WNW,ENE,2.0,19.0
2009-06-16,SSW,43.0,SSW,SSW,26.0,15.0
2009-06-17,ENE,35.0,SSW,NE,9.0,28.0
2009-06-18,ESE,37.0,SSW,ENE,6.0,31.0
2009-06-19,ENE,33.0,SE,ENE,9.0,22.0
2009-06-20,NE,35.0,NNW,NE,7.0,20.0
2009-06-21,E,39.0,,ENE,0.0,26.0
2009-06-22,E,30.0,SSW,E,6.0,17.0
2009-06-23,NE,26.0,W,NE,2.0,19.0
2009-06-24,ENE,30.0,WSW,NE,2.0,17.0
2009-06-25,ENE,28.0,WNW,ENE,6.0,19.0
2009-06-26,NNE,30.0,,NNE,0.0,22.0
2009-06-27,WSW,37.0,SW,S,20.0,17.0
2009-06-28,SSW,31.0,SW,ENE,17.0,19.0
2009-06-29,NE,31.0,SSE,ENE,7.0,20.0
2009-06-30,ENE,33.0,S,ENE,9.0,26.0
2009-07-01,NE,30.0,SE,NE,7.0,22.0
2009-07-02,NNE,28.0,,N,0.0,11.0
2009-07-03,SSW,56.0,SSW,S,35.0,24.0
2009-07-04,SSW,37.0,SW,E,17.0,13.0
2009-07-05,NE,30.0,WNW,ENE,2.0,20.0
2009-07-06,ENE,30.0,WSW,ENE,2.0,19.0
2009-07-07,ENE,31.0,SSE,ENE,15.0,24.0
2009-07-08,ENE,43.0,SE,ENE,15.0,28.0
2009-07-09,ENE,35.0,SSW,ENE,15.0,26.0
2009-07-10,SSE,33.0,S,NE,9.0,20.0
2009-07-11,E,39.0,S,ENE,6.0,28.0
2009-07-12,ENE,31.0,SE,ENE,4.0,26.0
2009-07-13,ENE,31.0,ESE,ENE,13.0,26.0
2009-07-14,NNW,33.0,SW,N,13.0,17.0
2009-07-15,SW,50.0,SSW,SW,31.0,13.0
