Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-12-01,WNW,61.0,NW,WNW,22.0,33.0
2008-12-02,WNW,48.0,NNW,WNW,17.0,26.0
2008-12-03,WNW,50.0,NNW,NW,11.0,24.0
2008-12-04,NE,43.0,ENE,NE,17.0,17.0
2008-12-05,WSW,35.0,E,WSW,6.0,11.0
2008-12-06,NW,46.0,N,NW,11.0,24.0
2008-12-07,WSW,56.0,W,W,15.0,24.0
2008-12-08,NW,39.0,WNW,NW,11.0,20.0
2008-12-09,W,41.0,NNE,WNW,6.0,19.0
2008-12-10,SE,39.0,NNW,ESE,6.0,19.0
2008-12-11,ENE,41.0,E,ENE,9.0,20.0
2008-12-12,ENE,46.0,E,E,6.0,11.0
2008-12-13,WNW,67.0,NW,WNW,33.0,37.0
2008-12-14,WSW,44.0,WSW,W,24.0,26.0
2008-12-15,WNW,41.0,SSE,NNE,20.0,13.0
2008-12-16,NW,39.0,NW,WNW,9.0,19.0
2008-12-17,NW,37.0,NW,S,4.0,11.0
2008-12-18,W,46.0,WNW,W,13.0,26.0
2008-12-19,SSE,46.0,S,SE,9.0,20.0
2008-12-20,SSE,41.0,SSW,NNE,13.0,13.0
2008-12-21,E,33.0,E,SSE,7.0,11.0
2008-12-22,W,37.0,E,WNW,9.0,22.0
2008-12-23,SSE,37.0,NE,N,9.0,19.0
2008-12-24,NE,26.0,N,NE,4.0,15.0
2008-12-25,ENE,31.0,WSW,NW,7.0,17.0
2008-12-26,W,35.0,,WNW,0.0,17.0
2008-12-27,W,59.0,WNW,ENE,2.0,7.0
2008-12-28,W,44.0,N,WNW,17.0,28.0
2008-12-29,WNW,56.0,SSE,WNW,2.0,26.0
2008-12-30,W,50.0,NNW,NW,20.0,20.0
2008-12-31,WNW,48.0,NW,WNW,17.0,28.0
2009-01-01,WNW,65.0,WNW,WNW,22.0,31.0
2009-01-02,E,43.0,WNW,NNE,4.0,19.0
2009-01-03,ENE,35.0,ENE,NNE,13.0,13.0
2009-01-04,NW,31.0,SE,WNW,9.0,15.0
2009-01-05,WNW,39.0,NNW,W,6.0,26.0
2009-01-06,WNW,48.0,,W,0.0,26.0
2009-01-07,NW,52.0,SSE,WNW,2.0,22.0
2009-01-08,ESE,46.0,NE,E,13.0,26.0
2009-01-09,ENE,37.0,SE,N,15.0,15.0
2009-01-10,NNE,33.0,NE,N,19.0,13.0
2009-01-11,NW,39.0,SE,NW,4.0,17.0
2009-01-12,ENE,37.0,N,NNE,4.0,19.0
2009-01-13,NW,43.0,ENE,WNW,6.0,26.0
2009-01-14,NW,39.0,N,W,11.0,20.0
2009-01-15,WNW,48.0,N,NW,13.0,22.0
2009-01-16,WNW,44.0,NW,NW,11.0,31.0
2009-01-17,ENE,43.0,SE,WNW,20.0,7.0
2009-01-18,ENE,33.0,WSW,NW,4.0,13.0
2009-01-19,W,46.0,NW,NW,6.0,19.0
2009-01-20,NW,61.0,N,SSE,7.0,11.0
2009-01-21,ENE,56.0,N,NW,9.0,15.0
2009-01-22,W,52.0,NW,NW,15.0,22.0
2009-01-23,NW,48.0,NNW,NW,15.0,19.0
2009-01-24,NW,54.0,NW,WNW,24.0,22.0
2009-01-25,NE,30.0,NE,SE,11.0,9.0
2009-01-26,ENE,39.0,WSW,NNE,2.0,15.0
2009-01-27,ENE,33.0,SSW,N,6.0,13.0
2009-01-28,E,37.0,NW,WNW,4.0,15.0
2009-01-29,ENE,31.0,SSE,WSW,2.0,7.0
2009-01-30,ENE,26.0,,N,0.0,11.0
2009-01-31,N,37.0,,NNW,0.0,7.0
2009-02-01,ENE,46.0,S,ENE,15.0,20.0
2009-02-02,S,50.0,NNW,NNW,4.0,13.0
2009-02-03,ESE,41.0,S,ESE,6.0,26.0
2009-02-04,E,43.0,,NNE,0.0,11.0
2009-02-05,W,43.0,NNW,WNW,2.0,17.0
2009-02-06,W,52.0,,WNW,0.0,22.0
2009-02-07,WNW,43.0,,W,0.0,22.0
2009-02-08,WNW,44.0,NNW,WSW,6.0,24.0
2009-02-09,ENE,31.0,NE,NE,9.0,11.0
2009-02-10,S,37.0,S,E,7.0,7.0
2009-02-11,ESE,43.0,S,SSW,24.0,15.0
