Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2013-03-01,ESE,48.0,E,E,30.0,24.0
2013-03-02,E,33.0,E,N,22.0,11.0
2013-03-03,E,33.0,ENE,SSE,24.0,13.0
2013-03-04,ENE,39.0,E,SSE,28.0,13.0
2013-03-05,S,39.0,E,S,20.0,19.0
2013-03-06,S,46.0,E,SW,22.0,15.0
2013-03-07,WSW,33.0,E,SSE,24.0,15.0
2013-03-08,SSE,54.0,E,SSW,13.0,15.0
2013-03-09,SE,54.0,ESE,NE,22.0,9.0
2013-03-10,NE,37.0,E,SE,24.0,13.0
2013-03-11,ENE,41.0,NNE,E,17.0,19.0
2013-03-12,S,57.0,ENE,NE,15.0,7.0
2013-03-13,S,52.0,SSE,SSW,28.0,19.0
2013-03-14,ESE,39.0,ESE,SE,26.0,11.0
2013-03-15,E,35.0,E,E,24.0,7.0
2013-03-16,SE,43.0,E,ESE,22.0,22.0
2013-03-17,ESE,46.0,ESE,SE,33.0,17.0
2013-03-18,E,35.0,E,SSE,26.0,17.0
2013-03-19,E,30.0,E,ENE,22.0,19.0
2013-03-20,WSW,30.0,ENE,NNW,9.0,11.0
2013-03-21,SSW,39.0,S,SW,22.0,19.0
2013-03-22,S,35.0,SE,SSE,20.0,17.0
2013-03-23,E,46.0,E,ESE,28.0,22.0
2013-03-24,SSW,61.0,E,NNE,26.0,20.0
2013-03-25,SSW,48.0,SE,NNE,9.0,19.0
2013-03-26,N,46.0,ENE,N,26.0,26.0
2013-03-27,SW,50.0,S,SW,15.0,17.0
2013-03-28,ESE,46.0,SE,ESE,22.0,30.0
2013-03-29,E,50.0,E,ESE,31.0,22.0
2013-03-30,,,S,SSE,24.0,20.0
2013-03-31,ESE,43.0,,ESE,,24.0
2013-04-01,E,44.0,ESE,ESE,24.0,26.0
2013-04-02,E,44.0,E,SE,28.0,20.0
2013-04-03,E,46.0,ESE,ENE,26.0,22.0
2013-04-04,ENE,44.0,E,ESE,22.0,13.0
2013-04-05,ENE,35.0,E,NE,24.0,6.0
2013-04-06,NE,39.0,SE,E,6.0,24.0
2013-04-07,E,39.0,ESE,E,17.0,15.0
2013-04-08,E,43.0,E,SE,20.0,24.0
2013-04-09,E,46.0,E,ESE,19.0,26.0
2013-04-10,SE,52.0,ESE,ESE,15.0,22.0
2013-04-11,ESE,50.0,ESE,ESE,13.0,24.0
2013-04-12,E,43.0,E,ESE,20.0,19.0
2013-04-13,ENE,30.0,E,SW,9.0,9.0
2013-04-14,SSW,28.0,E,WSW,4.0,7.0
2013-04-15,SE,30.0,SE,SSW,20.0,17.0
2013-04-16,ENE,35.0,E,E,24.0,4.0
2013-04-17,SSE,28.0,ESE,SSW,13.0,7.0
2013-04-18,ENE,31.0,E,NNW,22.0,7.0
2013-04-19,ENE,31.0,ESE,ESE,13.0,9.0
2013-04-20,NNW,30.0,ESE,WSW,9.0,15.0
2013-04-21,S,39.0,SSW,WSW,24.0,15.0
2013-04-22,ENE,31.0,E,E,19.0,11.0
2013-04-23,ENE,39.0,E,NE,22.0,15.0
2013-04-24,E,39.0,ESE,SE,19.0,19.0
2013-04-25,ENE,39.0,ESE,ENE,19.0,20.0
2013-04-26,ENE,48.0,ENE,NE,24.0,19.0
2013-04-27,NE,22.0,ESE,SE,7.0,11.0
2013-04-28,S,28.0,SE,SW,7.0,2.0
2013-04-29,NNW,24.0,SSE,NNE,11.0,7.0
2013-04-30,SSE,37.0,E,ENE,9.0,15.0
2013-05-01,E,37.0,SE,ENE,11.0,19.0
2013-05-02,ESE,41.0,E,E,17.0,17.0
2013-05-03,NNE,35.0,ESE,ENE,15.0,11.0
2013-05-04,NNE,28.0,SE,ENE,11.0,4.0
