Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,WNW,59.0,NW,W,7.0,35.0
2009-01-02,WSW,48.0,SW,SW,22.0,28.0
2009-01-03,NE,39.0,ENE,NNE,26.0,9.0
2009-01-04,N,39.0,NE,NW,17.0,13.0
2009-01-05,W,43.0,NNE,SW,7.0,19.0
2009-01-06,SW,72.0,NE,W,6.0,30.0
2009-01-07,NNW,59.0,ESE,W,13.0,30.0
2009-01-08,W,54.0,WSW,WSW,19.0,28.0
2009-01-09,ENE,78.0,E,NE,30.0,20.0
2009-01-10,ENE,61.0,ENE,ENE,26.0,20.0
2009-01-11,E,33.0,ENE,NNW,20.0,9.0
2009-01-12,NE,39.0,ENE,WSW,9.0,15.0
2009-01-13,ENE,41.0,ENE,N,15.0,13.0
2009-01-14,WNW,50.0,N,W,13.0,24.0
2009-01-15,W,48.0,W,WSW,26.0,26.0
2009-01-16,SW,61.0,WSW,SW,24.0,37.0
2009-01-17,E,35.0,ESE,NE,15.0,11.0
2009-01-18,E,30.0,ENE,NNE,17.0,9.0
2009-01-19,W,46.0,ENE,W,13.0,20.0
2009-01-20,W,115.0,N,NNE,17.0,20.0
2009-01-21,N,65.0,NNE,NW,17.0,20.0
2009-01-22,WNW,94.0,NNW,NNW,26.0,33.0
2009-01-23,NNW,46.0,N,NNW,4.0,28.0
2009-01-24,WNW,57.0,WSW,W,24.0,22.0
2009-01-25,E,41.0,ENE,SW,22.0,7.0
2009-01-26,ENE,57.0,ENE,WSW,9.0,11.0
2009-01-27,ENE,57.0,NE,NNE,19.0,7.0
2009-01-28,N,31.0,NNE,NE,13.0,6.0
2009-01-29,E,26.0,NE,WNW,15.0,11.0
2009-01-30,WNW,30.0,ENE,NE,17.0,13.0
2009-01-31,SE,28.0,ENE,SSW,13.0,13.0
2009-02-01,ENE,63.0,NE,ENE,19.0,20.0
2009-02-02,ENE,61.0,ENE,NW,26.0,11.0
2009-02-03,E,52.0,ENE,SW,11.0,20.0
2009-02-04,ENE,44.0,ENE,ENE,22.0,7.0
2009-02-05,NW,33.0,NE,N,9.0,11.0
2009-02-06,WNW,31.0,SE,NW,13.0,9.0
2009-02-07,NNW,54.0,ENE,NW,17.0,28.0
2009-02-08,W,50.0,N,WSW,17.0,31.0
2009-02-09,WSW,33.0,W,W,9.0,19.0
2009-02-10,SW,43.0,W,SW,6.0,13.0
2009-02-11,SSW,41.0,SSE,S,15.0,13.0
2009-02-12,SE,57.0,ENE,SSE,13.0,11.0
2009-02-13,E,61.0,E,E,33.0,26.0
