Date,MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2009-01-01,15.7,24.5,,73.0,66.0,1016.5,1014.0,18.0,23.1
2009-01-02,13.2,25.7,,78.0,71.0,1013.4,1011.1,20.0,24.7
2009-01-03,17.1,21.8,,73.0,66.0,1017.0,1016.6,19.1,20.7
2009-01-04,12.9,24.9,,74.0,53.0,1019.7,1017.4,19.8,23.9
2009-01-05,14.3,24.5,,71.0,75.0,1017.5,1015.5,20.4,22.4
2009-01-06,17.4,23.3,,73.0,90.0,1018.0,1017.3,20.5,18.6
2009-01-07,12.5,23.4,,68.0,55.0,1020.4,1017.0,17.3,22.2
2009-01-08,13.1,25.6,,75.0,64.0,1020.1,1017.6,18.9,24.3
2009-01-09,13.9,25.6,,70.0,67.0,1019.6,1017.0,19.9,22.8
2009-01-10,13.3,24.1,,98.0,66.0,1016.1,1015.1,15.9,23.2
2009-01-11,13.2,31.3,,84.0,64.0,1011.1,1007.1,19.3,25.9
2009-01-12,16.0,22.6,,85.0,92.0,1005.5,1008.3,21.1,16.7
2009-01-13,13.0,22.2,,60.0,51.0,1016.3,1016.3,18.5,21.0
2009-01-14,11.6,23.5,,74.0,49.0,1019.6,1019.3,17.0,22.3
2009-01-15,13.1,29.4,,75.0,50.0,1021.3,1017.2,18.9,27.3
2009-01-16,16.9,38.4,,51.0,46.0,1013.3,1009.6,25.5,30.9
2009-01-17,17.2,23.8,,73.0,71.0,1018.3,1017.7,21.1,22.8
2009-01-18,16.4,19.9,,78.0,70.0,1019.4,1018.9,17.4,18.1
2009-01-19,13.5,21.0,,61.0,50.0,1021.3,1019.3,16.7,20.0
2009-01-20,12.3,23.1,,75.0,70.0,1018.5,1017.4,17.5,20.5
2009-01-21,16.3,24.8,,70.0,61.0,1012.9,1011.0,19.2,23.6
2009-01-22,15.7,23.5,,78.0,63.0,1011.7,1010.6,19.4,22.4
2009-01-23,17.7,23.6,,91.0,55.0,1011.4,1012.1,18.4,23.0
2009-01-24,11.7,26.5,,73.0,39.0,1014.8,1013.7,17.7,25.1
2009-01-25,17.2,25.6,,72.0,64.0,1016.4,1013.4,20.4,24.4
2009-01-26,15.4,25.2,,96.0,74.0,1008.6,1008.7,18.7,21.7
2009-01-27,14.4,20.9,,83.0,61.0,1012.9,1011.1,17.4,20.2
2009-01-28,16.5,20.1,,70.0,73.0,1008.4,1007.2,18.2,18.3
2009-01-29,15.6,22.7,,58.0,49.0,1010.2,1010.7,20.0,21.9
2009-01-30,12.2,20.9,,69.0,82.0,1013.8,1012.7,19.9,19.4
2009-01-31,16.9,31.3,,77.0,53.0,1012.4,1009.0,20.7,29.4
2009-02-01,18.9,29.1,,83.0,65.0,1013.7,1012.1,22.4,27.7
2009-02-02,18.7,29.9,,93.0,60.0,1011.9,1009.0,20.8,29.0
2009-02-03,19.2,24.3,,97.0,70.0,1011.5,1011.5,19.7,22.8
2009-02-04,15.5,22.8,,77.0,55.0,1015.5,1015.8,18.1,21.1
2009-02-05,13.3,22.7,,79.0,53.0,1014.8,1012.0,16.8,21.2
2009-02-06,13.7,21.0,,70.0,51.0,1009.7,1008.0,16.8,20.3
2009-02-07,13.7,20.6,,61.0,45.0,1014.3,1016.7,16.6,18.5
2009-02-08,13.9,22.6,,64.0,51.0,1022.8,1021.4,17.6,21.5
2009-02-09,15.6,25.6,,62.0,57.0,1023.5,1020.8,19.6,24.3
2009-02-10,15.2,30.8,,62.0,32.0,1021.5,1017.4,18.9,28.2
2009-02-11,16.9,35.4,,57.0,33.0,1014.0,1010.3,21.2,32.7
2009-02-12,19.1,27.9,,35.0,63.0,1007.8,1010.0,25.2,22.9
2009-02-13,15.3,20.7,,66.0,60.0,1019.8,1019.4,17.0,18.7
2009-02-14,15.0,25.4,,91.0,59.0,1016.4,1012.2,19.0,24.9
2009-02-15,16.6,29.8,,73.0,46.0,1007.7,1006.0,20.8,28.9
2009-02-16,16.4,25.0,,76.0,53.0,1009.8,1010.1,20.3,24.4
2009-02-17,15.2,21.0,,72.0,72.0,1015.7,1016.1,18.1,19.7
2009-02-18,15.0,23.0,,62.0,55.0,1017.6,1016.2,17.7,20.8
2009-02-19,12.4,23.5,,63.0,54.0,1018.3,1017.3,18.4,22.3
2009-02-20,12.6,27.0,,71.0,58.0,1020.8,1018.0,17.7,24.4
2009-02-21,15.6,32.5,,64.0,56.0,1013.2,1010.0,20.4,25.7
2009-02-22,15.7,21.5,,73.0,55.0,1015.2,1016.7,17.5,18.8
2009-02-23,10.3,26.5,,63.0,50.0,1018.1,1012.3,15.2,24.3
2009-02-24,14.9,23.2,,82.0,75.0,1003.8,1003.4,18.5,20.3
2009-02-25,15.6,17.5,,76.0,92.0,1004.7,1003.8,16.7,15.8
2009-02-26,11.8,19.6,,76.0,60.0,1014.1,1016.0,15.0,18.1
2009-02-27,12.6,22.2,,76.0,58.0,1018.6,1016.2,16.2,20.6
2009-02-28,12.6,23.4,,78.0,62.0,1017.3,1013.8,17.4,22.8
2009-03-01,17.1,27.5,,89.0,69.0,1007.7,1004.3,19.2,24.9
2009-03-02,14.0,18.1,,93.0,54.0,1008.1,1012.1,14.0,15.7
2009-03-03,11.8,19.3,,64.0,52.0,1025.2,1027.2,14.0,17.5
2009-03-04,9.6,23.5,,68.0,53.0,1031.5,1027.6,14.2,22.1
2009-03-05,12.9,27.4,,78.0,56.0,1026.1,1023.0,15.9,25.1
2009-03-06,12.2,22.0,,81.0,68.0,1023.7,1023.4,18.9,19.4
