Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,ESE,44.0,E,SE,17.0,28.0
2009-01-02,S,35.0,E,S,11.0,13.0
2009-01-03,SE,33.0,SSE,SSE,13.0,15.0
2009-01-04,SE,31.0,ESE,S,4.0,13.0
2009-01-05,SW,31.0,NE,SSE,9.0,15.0
2009-01-06,SE,39.0,SE,SSE,9.0,19.0
2009-01-07,SE,46.0,E,SE,15.0,30.0
2009-01-08,SE,41.0,E,SE,19.0,24.0
2009-01-09,SSE,35.0,E,SSE,15.0,17.0
2009-01-10,SSE,30.0,W,SSE,4.0,17.0
2009-01-11,SSE,30.0,N,SSE,9.0,15.0
2009-01-12,W,41.0,NW,WSW,15.0,17.0
2009-01-13,WSW,33.0,SW,WSW,17.0,15.0
2009-01-14,SSW,33.0,WNW,S,9.0,15.0
2009-01-15,SE,37.0,ENE,SE,17.0,24.0
2009-01-16,NW,41.0,NE,SSE,9.0,13.0
2009-01-17,SSE,33.0,SE,SSE,20.0,17.0
2009-01-18,SE,44.0,SE,SE,19.0,30.0
2009-01-19,SE,41.0,SE,S,17.0,15.0
2009-01-20,WSW,33.0,NW,WNW,15.0,20.0
2009-01-21,W,57.0,NW,W,22.0,30.0
2009-01-22,WNW,46.0,WSW,WNW,13.0,28.0
2009-01-23,WSW,41.0,W,SW,17.0,19.0
2009-01-24,WNW,28.0,NW,WSW,15.0,17.0
2009-01-25,SE,33.0,SE,SSE,11.0,20.0
2009-01-26,SSW,30.0,,SSW,0.0,17.0
2009-01-27,SE,37.0,ESE,SSE,13.0,20.0
2009-01-28,SSE,33.0,SE,SE,15.0,17.0
2009-01-29,ESE,28.0,SSE,SSE,11.0,15.0
2009-01-30,SSE,35.0,ESE,SE,9.0,19.0
2009-01-31,NE,33.0,E,SE,13.0,19.0
2009-02-01,SE,31.0,N,SSE,7.0,15.0
2009-02-02,SSW,28.0,E,S,11.0,15.0
2009-02-03,SSW,24.0,SW,S,13.0,13.0
2009-02-04,S,35.0,SSW,S,24.0,20.0
2009-02-05,SSW,31.0,S,SSE,4.0,15.0
2009-02-06,WSW,50.0,WNW,WSW,9.0,22.0
2009-02-07,W,37.0,SW,S,13.0,15.0
2009-02-08,SE,43.0,E,SE,11.0,24.0
2009-02-09,SE,52.0,ENE,SE,20.0,33.0
2009-02-10,ENE,46.0,NE,ENE,22.0,20.0
2009-02-11,NE,43.0,NE,SSW,20.0,20.0
2009-02-12,N,50.0,WNW,WSW,9.0,19.0
2009-02-13,SSE,52.0,SE,SE,26.0,31.0
2009-02-14,SSE,54.0,ESE,E,22.0,26.0
2009-02-15,ENE,46.0,ENE,WSW,11.0,17.0
2009-02-16,NW,41.0,W,W,20.0,22.0
2009-02-17,SSE,39.0,SSE,SSE,17.0,19.0
2009-02-18,SE,43.0,ESE,SE,13.0,26.0
2009-02-19,SE,41.0,ESE,SE,15.0,24.0
2009-02-20,SE,46.0,ENE,ESE,13.0,28.0
2009-02-21,NE,46.0,NE,SSE,11.0,15.0
2009-02-22,SSW,39.0,SSW,S,22.0,20.0
2009-02-23,SE,39.0,E,SE,11.0,26.0
2009-02-24,W,50.0,SW,WNW,4.0,28.0
2009-02-25,WNW,48.0,NNW,NNW,15.0,13.0
2009-02-26,WSW,44.0,NW,WSW,13.0,17.0
2009-02-27,SSW,26.0,,SSE,0.0,13.0
2009-02-28,SE,54.0,E,SE,13.0,28.0
2009-03-01,NE,41.0,ENE,NNE,11.0,9.0
2009-03-02,WSW,56.0,SSW,SW,35.0,28.0
2009-03-03,SSW,41.0,S,SSE,11.0,13.0
2009-03-04,SE,43.0,ENE,SE,11.0,24.0
2009-03-05,NE,33.0,NE,S,17.0,15.0
