Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,SSW,61.0,W,SW,19.0,31.0
2009-01-02,SW,52.0,SW,SW,13.0,24.0
2009-01-03,SSW,28.0,SE,SW,6.0,17.0
2009-01-04,SSW,30.0,NNE,SSW,6.0,13.0
2009-01-05,SW,33.0,ENE,SW,4.0,13.0
2009-01-06,SSW,48.0,E,SSW,6.0,24.0
2009-01-07,SSW,39.0,SSE,SW,7.0,24.0
2009-01-08,S,52.0,SW,SSW,19.0,30.0
2009-01-09,SW,43.0,SSE,SSE,13.0,15.0
2009-01-10,SW,39.0,NW,SSW,4.0,22.0
2009-01-11,SW,41.0,E,SSW,6.0,17.0
2009-01-12,S,30.0,E,S,2.0,13.0
2009-01-13,NNW,43.0,NE,NNW,9.0,17.0
2009-01-14,N,46.0,N,WSW,28.0,17.0
2009-01-15,SW,44.0,WSW,SW,17.0,20.0
2009-01-16,SSW,57.0,WSW,SSW,24.0,26.0
2009-01-17,SW,44.0,S,SW,15.0,22.0
2009-01-18,SW,30.0,ESE,SW,6.0,19.0
2009-01-19,N,37.0,NE,NNW,11.0,17.0
2009-01-20,W,65.0,NE,SSW,4.0,33.0
2009-01-21,S,33.0,E,SSW,6.0,20.0
2009-01-22,W,76.0,N,WNW,31.0,31.0
2009-01-23,NW,56.0,W,N,6.0,22.0
2009-01-24,W,50.0,WSW,SSW,20.0,22.0
2009-01-25,SW,39.0,NE,S,4.0,9.0
2009-01-26,SSW,39.0,S,SW,11.0,20.0
2009-01-27,N,39.0,NE,SW,7.0,19.0
2009-01-28,N,31.0,ENE,NNW,9.0,11.0
2009-01-29,SSW,57.0,N,NW,24.0,19.0
2009-01-30,N,44.0,ENE,NNW,9.0,15.0
2009-01-31,S,43.0,ENE,SW,6.0,19.0
2009-02-01,SW,48.0,E,SSE,6.0,11.0
2009-02-02,SSW,39.0,W,SW,7.0,24.0
2009-02-03,S,37.0,SSE,S,15.0,22.0
2009-02-04,SSE,31.0,NE,S,11.0,11.0
2009-02-05,SSW,41.0,NE,S,7.0,22.0
2009-02-06,SSW,41.0,SE,SSW,9.0,15.0
2009-02-07,NNW,74.0,NE,NW,6.0,41.0
2009-02-08,S,37.0,WSW,S,7.0,17.0
2009-02-09,S,46.0,SSE,SSW,13.0,26.0
2009-02-10,SSW,54.0,SSE,SSW,17.0,31.0
2009-02-11,SSW,44.0,S,SSW,19.0,26.0
2009-02-12,S,46.0,SSE,SSE,11.0,20.0
2009-02-13,S,46.0,NW,WSW,2.0,11.0
2009-02-14,NE,44.0,ENE,S,7.0,15.0
