Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,NW,41.0,WNW,SE,17.0,20.0
2009-01-02,S,54.0,S,E,13.0,30.0
2009-01-03,NE,37.0,ESE,ENE,19.0,22.0
2009-01-04,E,50.0,NE,ENE,19.0,35.0
2009-01-05,ENE,37.0,NNW,ENE,15.0,26.0
2009-01-06,ENE,39.0,SSE,ESE,13.0,19.0
2009-01-07,NE,30.0,S,ENE,15.0,19.0
2009-01-08,SSW,48.0,SSW,S,35.0,24.0
2009-01-09,S,43.0,SE,SSE,24.0,28.0
2009-01-10,ESE,44.0,NE,ESE,7.0,30.0
2009-01-11,,,NE,ENE,17.0,28.0
2009-01-12,SE,43.0,ENE,ESE,6.0,31.0
2009-01-13,ENE,46.0,NE,ENE,17.0,26.0
2009-01-14,ENE,39.0,N,ENE,13.0,26.0
2009-01-15,SSW,57.0,N,WNW,11.0,22.0
2009-01-16,SE,46.0,S,SE,17.0,22.0
2009-01-17,SSE,48.0,SSE,SSE,30.0,30.0
2009-01-18,E,39.0,W,ESE,7.0,28.0
2009-01-19,ENE,35.0,NE,ENE,13.0,22.0
2009-01-20,NE,44.0,N,NE,9.0,24.0
2009-01-21,N,50.0,NW,NE,11.0,19.0
2009-01-22,NW,41.0,N,NNW,11.0,13.0
2009-01-23,NE,41.0,WNW,E,13.0,22.0
2009-01-24,SSW,61.0,NNW,WNW,11.0,24.0
2009-01-25,S,57.0,S,SSE,22.0,26.0
2009-01-26,S,37.0,W,S,11.0,22.0
2009-01-27,ESE,37.0,ENE,ESE,13.0,24.0
2009-01-28,ENE,39.0,NNE,ESE,15.0,28.0
2009-01-29,ENE,50.0,NNE,ENE,15.0,37.0
2009-01-30,NE,52.0,NNE,E,17.0,33.0
2009-01-31,ENE,54.0,N,ENE,13.0,28.0
2009-02-01,ENE,54.0,NE,E,9.0,33.0
2009-02-02,ENE,48.0,NNE,ENE,13.0,28.0
2009-02-03,E,46.0,NNE,ENE,13.0,31.0
2009-02-04,ENE,41.0,SE,SE,9.0,22.0
2009-02-05,ENE,39.0,N,E,13.0,22.0
2009-02-06,ENE,37.0,NE,ENE,7.0,24.0
2009-02-07,E,48.0,NE,ENE,19.0,28.0
2009-02-08,NE,37.0,NNE,E,17.0,20.0
2009-02-09,SSW,50.0,S,S,19.0,37.0
2009-02-10,SSW,48.0,SSW,S,22.0,20.0
2009-02-11,SSW,50.0,SW,SSW,22.0,28.0
2009-02-12,SSE,43.0,ESE,SE,22.0,22.0
2009-02-13,S,48.0,S,ESE,9.0,28.0
2009-02-14,SE,56.0,ESE,SE,31.0,39.0
2009-02-15,SSE,54.0,E,SSE,19.0,28.0
2009-02-16,SE,50.0,ESE,SSE,28.0,31.0
2009-02-17,SSE,52.0,ESE,SE,28.0,33.0
2009-02-18,SW,48.0,WNW,SE,19.0,17.0
2009-02-19,SE,31.0,NW,NW,7.0,20.0
2009-02-20,ESE,35.0,SW,ESE,11.0,24.0
2009-02-21,ESE,39.0,ENE,ESE,13.0,30.0
2009-02-22,ESE,33.0,ESE,ESE,17.0,22.0
2009-02-23,NE,37.0,NW,SSE,13.0,17.0
2009-02-24,WNW,41.0,NNW,WNW,6.0,13.0
2009-02-25,ESE,39.0,S,ESE,9.0,24.0
2009-02-26,SSE,41.0,SSE,SSE,22.0,30.0
2009-02-27,S,37.0,WSW,SSE,13.0,20.0
2009-02-28,WNW,28.0,NW,SE,7.0,20.0
2009-03-01,SSW,37.0,SSE,ESE,22.0,20.0
2009-03-02,SE,39.0,NE,SE,2.0,28.0
2009-03-03,E,37.0,NE,ESE,11.0,28.0
2009-03-04,S,48.0,N,S,13.0,28.0
2009-03-05,W,48.0,WNW,SE,30.0,20.0
2009-03-06,,,WNW,SE,13.0,20.0
2009-03-07,SE,30.0,WNW,SSE,19.0,15.0
2009-03-08,ESE,39.0,WNW,ESE,7.0,26.0
2009-03-09,ESE,41.0,E,E,22.0,26.0
2009-03-10,ESE,35.0,ENE,E,15.0,24.0
2009-03-11,,,ESE,ESE,26.0,31.0
2009-03-12,E,35.0,ENE,ENE,15.0,24.0
2009-03-13,NW,35.0,N,ESE,9.0,19.0
2009-03-14,SW,39.0,N,N,7.0,17.0
2009-03-15,NE,37.0,NW,N,15.0,7.0
2009-03-16,,,SSW,ESE,13.0,11.0
2009-03-17,SSE,35.0,W,SE,17.0,24.0
2009-03-18,ENE,35.0,NW,E,13.0,24.0
2009-03-19,ENE,30.0,NW,E,7.0,15.0
2009-03-20,ESE,39.0,ENE,ESE,9.0,30.0
2009-03-21,SE,37.0,E,ESE,11.0,24.0
2009-03-22,SE,33.0,WSW,ESE,2.0,24.0
2009-03-23,ENE,31.0,NNW,NE,9.0,11.0
2009-03-24,NE,31.0,NNE,NE,9.0,13.0
2009-03-25,ENE,33.0,N,NNE,11.0,13.0
2009-03-26,SE,26.0,NNE,SE,11.0,15.0
2009-03-27,SSE,44.0,SE,SE,33.0,30.0
2009-03-28,SE,33.0,NW,ESE,9.0,24.0
2009-03-29,SE,35.0,,E,0.0,24.0
2009-03-30,SSE,70.0,SSE,SE,24.0,28.0
2009-03-31,ESE,70.0,SE,SE,30.0,37.0
2009-04-01,E,59.0,E,ESE,28.0,26.0
2009-04-02,ESE,39.0,ESE,E,17.0,28.0
2009-04-03,ENE,30.0,ENE,NE,9.0,17.0
2009-04-04,SSW,43.0,SW,S,6.0,24.0
2009-04-05,E,31.0,E,E,11.0,17.0
2009-04-06,S,41.0,WSW,S,15.0,28.0
2009-04-07,SE,26.0,SSW,SE,13.0,15.0
