Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2009-01-01,SSE,39.0,ESE,SSE,19.0,22.0
2009-01-02,SSE,50.0,SE,SSE,11.0,22.0
2009-01-03,SE,44.0,SE,S,24.0,22.0
2009-01-04,SSE,44.0,SE,SSE,13.0,20.0
2009-01-05,SSE,44.0,SE,SSE,13.0,24.0
2009-01-06,SSE,54.0,SE,SSE,20.0,24.0
2009-01-07,SSE,50.0,ESE,SSE,20.0,28.0
2009-01-08,SSE,48.0,SE,SE,17.0,22.0
2009-01-09,S,39.0,SE,S,13.0,24.0
2009-01-10,S,37.0,SSE,SE,13.0,19.0
2009-01-11,WNW,31.0,NNE,WNW,9.0,19.0
2009-01-12,WSW,43.0,WNW,SW,9.0,22.0
2009-01-13,SW,31.0,SSW,SW,17.0,17.0
2009-01-14,SSE,43.0,SE,SE,9.0,15.0
2009-01-15,,,E,SSE,17.0,19.0
2009-01-16,WNW,39.0,E,W,7.0,22.0
2009-01-17,SSE,50.0,SSE,S,28.0,26.0
2009-01-18,SSE,57.0,SE,SSE,17.0,31.0
2009-01-19,SE,48.0,ESE,SSE,13.0,26.0
2009-01-20,WSW,37.0,,SW,0.0,20.0
2009-01-21,W,41.0,W,W,15.0,17.0
2009-01-22,WSW,31.0,SSW,W,11.0,17.0
2009-01-23,SW,31.0,WSW,SW,15.0,15.0
2009-01-24,SW,28.0,ESE,SW,6.0,11.0
2009-01-25,SSE,39.0,E,SSE,17.0,20.0
2009-01-26,SE,35.0,SSE,SSW,19.0,19.0
2009-01-27,S,50.0,SE,SSE,13.0,26.0
2009-01-28,SSE,46.0,SE,SSE,19.0,24.0
2009-01-29,SSE,39.0,SE,S,13.0,20.0
2009-01-30,SSE,50.0,SE,SSE,13.0,26.0
2009-01-31,SSE,33.0,ESE,S,13.0,20.0
2009-02-01,SSE,39.0,SE,SW,9.0,20.0
2009-02-02,WNW,30.0,SE,WSW,7.0,13.0
