Date,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm
2008-12-01,,,,,,
2008-12-02,,,,,,
2008-12-03,SSE,70.0,,E,,19.0
2008-12-04,NE,39.0,E,ENE,20.0,22.0
2008-12-05,ENE,41.0,NNE,NNE,22.0,19.0
2008-12-06,SSE,44.0,SE,SSE,6.0,22.0
2008-12-07,SSE,50.0,WNW,SSE,28.0,28.0
2008-12-08,ENE,54.0,S,ENE,11.0,37.0
2008-12-09,NE,57.0,ENE,NE,15.0,44.0
2008-12-10,SSW,59.0,SSE,SSE,44.0,37.0
2008-12-11,E,33.0,E,E,13.0,20.0
2008-12-12,NNE,67.0,NNE,NE,28.0,24.0
2008-12-13,NW,91.0,N,W,22.0,30.0
2008-12-14,WNW,85.0,WSW,W,30.0,33.0
2008-12-15,SSW,56.0,SSW,SSE,31.0,28.0
2008-12-16,ENE,39.0,NE,NNE,9.0,17.0
2008-12-17,S,50.0,ENE,SE,9.0,9.0
2008-12-18,NW,67.0,E,NE,13.0,9.0
2008-12-19,S,56.0,SSE,SSE,9.0,33.0
2008-12-20,SSE,56.0,S,SSE,26.0,30.0
2008-12-21,ENE,35.0,ESE,ENE,6.0,22.0
2008-12-22,NE,63.0,N,NE,31.0,52.0
2008-12-23,SSE,52.0,NNE,ESE,19.0,9.0
2008-12-24,S,43.0,SSE,SSE,20.0,11.0
2008-12-25,NE,24.0,NNE,NE,13.0,19.0
2008-12-26,NE,48.0,NNE,NE,19.0,31.0
2008-12-27,W,54.0,NE,NNE,24.0,24.0
2008-12-28,NE,48.0,ENE,N,13.0,11.0
2008-12-29,SE,44.0,SE,SE,31.0,19.0
2008-12-30,NW,41.0,N,ENE,9.0,28.0
2008-12-31,W,44.0,SW,E,11.0,17.0
2009-01-01,SSE,70.0,ENE,NE,9.0,33.0
2009-01-02,SE,54.0,SE,SE,17.0,24.0
2009-01-03,NNE,33.0,E,ENE,15.0,17.0
2009-01-04,NE,63.0,NNE,NE,28.0,48.0
2009-01-05,NNE,37.0,NNE,NE,22.0,22.0
2009-01-06,N,28.0,NNE,NE,13.0,17.0
2009-01-07,SE,52.0,E,SE,13.0,7.0
2009-01-08,SSW,52.0,SSE,SSE,26.0,35.0
2009-01-09,SE,46.0,SSE,SE,26.0,17.0
2009-01-10,NNE,43.0,NNE,ENE,7.0,22.0
2009-01-11,NNE,46.0,NNE,NE,19.0,35.0
2009-01-12,SSE,39.0,SE,SSE,20.0,26.0
2009-01-13,NE,57.0,E,NE,11.0,44.0
2009-01-14,NE,39.0,NE,N,22.0,24.0
2009-01-15,SE,76.0,ENE,SE,19.0,35.0
2009-01-16,SE,52.0,SE,ENE,13.0,13.0
2009-01-17,SSE,50.0,SSE,SSE,31.0,30.0
2009-01-18,NNE,33.0,SE,NE,9.0,22.0
2009-01-19,NE,57.0,NNE,NE,19.0,43.0
2009-01-20,SE,61.0,NE,N,19.0,20.0
2009-01-21,WNW,59.0,ESE,N,9.0,22.0
2009-01-22,N,63.0,ENE,N,20.0,26.0
2009-01-23,NE,37.0,SE,SE,15.0,11.0
2009-01-24,SE,85.0,NE,WSW,19.0,31.0
2009-01-25,SE,39.0,SE,ESE,17.0,17.0
2009-01-26,SE,39.0,SE,SE,9.0,9.0
2009-01-27,SE,37.0,SW,ESE,11.0,7.0
2009-01-28,NE,50.0,NNE,NE,19.0,35.0
2009-01-29,NE,54.0,NNE,NE,9.0,41.0
2009-01-30,NE,52.0,NE,NE,13.0,26.0
2009-01-31,NE,44.0,NE,N,13.0,19.0
2009-02-01,SE,31.0,SE,SE,19.0,17.0
2009-02-02,NE,52.0,NNE,NE,17.0,39.0
2009-02-03,SE,48.0,ENE,SE,11.0,35.0
2009-02-04,SSE,24.0,SE,NNE,7.0,11.0
2009-02-05,NNE,43.0,NNE,N,11.0,24.0
2009-02-06,SE,31.0,NNE,NE,9.0,17.0
2009-02-07,NE,56.0,ENE,N,11.0,19.0
2009-02-08,S,56.0,NE,N,26.0,17.0
2009-02-09,S,48.0,S,S,26.0,22.0
2009-02-10,S,54.0,S,S,11.0,26.0
2009-02-11,SE,81.0,SSW,SSW,26.0,31.0
2009-02-12,SE,52.0,S,SE,26.0,22.0
2009-02-13,ESE,56.0,SE,SE,37.0,37.0
2009-02-14,SE,52.0,SE,SE,33.0,35.0
2009-02-15,SE,61.0,SW,SSE,20.0,37.0
2009-02-16,SE,61.0,SE,SSE,41.0,41.0
2009-02-17,SE,52.0,W,SE,9.0,24.0
2009-02-18,SSW,63.0,SSW,S,35.0,20.0
2009-02-19,S,33.0,SE,ENE,9.0,6.0
2009-02-20,ENE,30.0,NNE,E,7.0,13.0
2009-02-21,S,37.0,WSW,SSE,9.0,26.0
2009-02-22,NNE,30.0,S,ESE,9.0,11.0
2009-02-23,SSW,57.0,NNE,NE,20.0,37.0
2009-02-24,SSE,39.0,SE,SE,19.0,22.0
2009-02-25,SE,37.0,SSE,SE,9.0,19.0
2009-02-26,SSE,48.0,SSW,SSE,19.0,39.0
2009-02-27,S,30.0,SW,ESE,11.0,13.0
2009-02-28,NNE,35.0,NNE,NE,7.0,26.0
2009-03-01,SE,31.0,E,E,11.0,13.0
2009-03-02,NE,30.0,S,ENE,7.0,19.0
2009-03-03,NE,43.0,N,NE,20.0,33.0
2009-03-04,WSW,56.0,WNW,,15.0,0.0
2009-03-05,W,50.0,W,SE,22.0,26.0
2009-03-06,NE,30.0,SSE,ENE,13.0,15.0
2009-03-07,SSW,22.0,SSW,ESE,13.0,13.0
2009-03-08,S,41.0,SSE,SE,30.0,30.0
2009-03-09,SSE,31.0,WSW,E,7.0,9.0
2009-03-10,NE,31.0,NNE,NE,13.0,22.0
2009-03-11,ENE,33.0,ESE,E,15.0,24.0
2009-03-12,NE,43.0,N,NE,13.0,33.0
2009-03-13,NNW,35.0,N,ENE,7.0,7.0
2009-03-14,NNE,44.0,N,NE,15.0,35.0
2009-03-15,W,39.0,SE,SSE,17.0,7.0
2009-03-16,W,43.0,WSW,ENE,13.0,13.0
2009-03-17,SSE,31.0,W,SE,11.0,26.0
2009-03-18,NE,46.0,SE,NE,6.0,30.0
2009-03-19,N,33.0,NE,NNW,9.0,11.0
2009-03-20,N,19.0,,N,0.0,11.0
2009-03-21,NNW,20.0,WSW,NNE,4.0,13.0
2009-03-22,NE,46.0,N,NE,19.0,26.0
2009-03-23,NNE,57.0,N,NNE,9.0,33.0
2009-03-24,NE,52.0,NE,NNE,9.0,35.0
2009-03-25,NW,33.0,N,N,17.0,15.0
2009-03-26,SSW,50.0,E,NNW,13.0,11.0
2009-03-27,S,46.0,SSE,S,24.0,20.0
2009-03-28,NNE,35.0,,NNE,0.0,19.0
2009-03-29,N,33.0,NE,NNE,11.0,19.0
2009-03-30,SE,57.0,S,S,13.0,15.0
2009-03-31,SE,61.0,E,SSE,46.0,33.0
2009-04-01,ESE,56.0,ESE,SE,35.0,19.0
2009-04-02,ENE,41.0,NNE,,26.0,0.0
2009-04-03,NE,48.0,ENE,NE,9.0,28.0
